"month","year","promedio"
1,2005,18.6922043010753
1,2006,15.7163978494624
1,2007,9.09811827956989
1,2008,10.0604838709677
1,2009,8.99865591397849
1,2010,8.43548387096774
1,2011,6.63978494623656
1,2012,5.87634408602151
1,2013,11.0456989247312
1,2014,6.19086021505376
1,2015,5.4247311827957
1,2016,6.35349462365591
1,2017,9.53494623655914
1,2018,9.25268817204301
1,2019,6.24731182795699
1,2020,16.635752688172
2,2005,12.9077380952381
2,2006,11.8869047619048
2,2007,5.38541666666667
2,2008,7.01724137931035
2,2009,10.1339285714286
2,2010,4.66369047619048
2,2011,7.58482142857143
2,2012,5.91522988505747
2,2013,7.05505952380952
2,2014,4.16666666666667
2,2015,4.44196428571429
2,2016,13.610632183908
2,2017,5.93303571428571
2,2018,5.85267857142857
2,2019,3.21875
2,2020,14.7126436781609
3,2005,9.49596774193548
3,2006,6.01209677419355
3,2007,7.14247311827957
3,2008,6.57795698924731
3,2009,7.34408602150538
3,2010,8.10887096774194
3,2011,5.21505376344086
3,2012,5.05779569892473
3,2013,7.38440860215054
3,2014,3.76478494623656
3,2015,3.14112903225806
3,2016,3.81182795698925
3,2017,4.69354838709677
3,2018,4.28091397849462
3,2019,5.38172043010753
3,2020,13.4462365591398
4,2005,17.1416666666667
4,2006,5.62638888888889
4,2007,5.04305555555556
4,2008,6.97638888888889
4,2009,6.00416666666667
4,2010,5.55694444444444
4,2011,4.04722222222222
4,2012,4.37083333333333
4,2013,4.675
4,2014,3.43472222222222
4,2015,4.21111111111111
4,2016,5.28888888888889
4,2017,3.14583333333333
4,2018,3.59722222222222
4,2019,3.64444444444444
4,2020,6.7
5,2005,8.36424731182796
5,2006,9.53494623655914
5,2007,4.8508064516129
5,2008,5.11559139784946
5,2009,4.98387096774194
5,2010,5.71639784946237
5,2011,2.93817204301075
5,2012,5.17741935483871
5,2013,4.08602150537634
5,2014,5.4744623655914
5,2015,2.56451612903226
5,2016,3.42741935483871
5,2017,4.64516129032258
5,2018,5.92876344086022
5,2019,7.87231182795699
5,2020,4.02150537634409
6,2005,7.81388888888889
6,2006,5.64722222222222
6,2007,6.775
6,2008,4.71944444444444
6,2009,3.94861111111111
6,2010,4.71527777777778
6,2011,3.03611111111111
6,2012,3.70694444444444
6,2013,4.55555555555556
6,2014,3.57777777777778
6,2015,4.73055555555556
6,2016,2.96388888888889
6,2017,3.33611111111111
6,2018,4.39027777777778
6,2019,5.83055555555556
6,2020,7.10277777777778
7,2005,9.47715053763441
7,2006,-0.936827956989247
7,2007,6.11021505376344
7,2008,4.68682795698925
7,2009,4.6491935483871
7,2010,3.70967741935484
7,2011,2.40860215053763
7,2012,4.04032258064516
7,2013,3.37634408602151
7,2014,2.92204301075269
7,2015,3.06317204301075
7,2016,3.36559139784946
7,2017,3.64112903225806
7,2018,4.2997311827957
7,2019,4.95430107526882
7,2020,2.99596774193548
8,2005,7.80779569892473
8,2006,5.56720430107527
8,2007,3.77822580645161
8,2008,5.75134408602151
8,2009,6.16935483870968
8,2010,4.65188172043011
8,2011,2.70698924731183
8,2012,3.42204301075269
8,2013,2.70430107526882
8,2014,3.08736559139785
8,2015,3.24059139784946
8,2016,3.60618279569892
8,2017,3.54166666666667
8,2018,3.29166666666667
8,2019,7.14784946236559
8,2020,3.38172043010753
9,2005,7.875
9,2006,6.10555555555556
9,2007,4.29444444444444
9,2008,3.99166666666667
9,2009,4.68194444444444
9,2010,5.02083333333333
9,2011,3.80416666666667
9,2012,4.33194444444444
9,2013,2.80277777777778
9,2014,1.90555555555556
9,2015,3.2625
9,2016,3.02916666666667
9,2017,3.30416666666667
9,2018,3.59444444444444
9,2019,7.975
9,2020,5.54722222222222
10,2005,10.2809139784946
10,2006,5.85483870967742
10,2007,6.38172043010753
10,2008,7.93279569892473
10,2009,6.70967741935484
10,2010,6.8239247311828
10,2011,6.18145161290323
10,2012,6.87096774193548
10,2013,4.99865591397849
10,2014,4.17876344086022
10,2015,3.80241935483871
10,2016,3.95564516129032
10,2017,2.9260752688172
10,2018,1.98252688172043
10,2019,6.85752688172043
10,2020,14.5161290322581
11,2005,17.8277777777778
11,2006,7.51111111111111
11,2007,10.9208333333333
11,2008,7.32222222222222
11,2009,7.79444444444444
11,2010,9.11666666666667
11,2011,6.46805555555556
11,2012,8.16666666666667
11,2013,6.30277777777778
11,2014,5.49027777777778
11,2015,9.50694444444444
11,2016,6.175
11,2017,8.60833333333333
11,2018,3.40277777777778
11,2020,12.9194444444444
12,2005,18.3548387096774
12,2006,8.31182795698925
12,2007,7.26209677419355
12,2008,9.00537634408602
12,2009,6.1760752688172
12,2010,10.7137096774194
12,2011,8.88844086021505
12,2012,7.11424731182796
12,2013,8.50672043010753
12,2014,4.94220430107527
12,2015,8.90188172043011
12,2016,5.70698924731183
12,2017,7.5255376344086
12,2018,8.76344086021505
12,2020,14.6155913978495
NA,NA,NA
