"month","year","promedio"
1,2005,29.9193548387097
1,2006,26.4166666666667
1,2007,19.6317204301075
1,2008,22.8548387096774
1,2009,24.758064516129
1,2010,20.3387096774194
1,2011,21.1948924731183
1,2012,21.6451612903226
1,2013,21.005376344086
1,2014,21.2432795698925
1,2015,18.4489247311828
1,2016,19.0295698924731
1,2017,21.1935483870968
1,2018,18.9327956989247
1,2019,15.9879032258065
1,2020,13.6491935483871
2,2005,25.3556547619048
2,2006,25.6458333333333
2,2007,22.4449404761905
2,2008,22.3663793103448
2,2009,23.1681547619048
2,2010,18.6130952380952
2,2011,18.5342261904762
2,2012,17.5962643678161
2,2013,20.7797619047619
2,2014,22.3794642857143
2,2015,16.6309523809524
2,2016,20.0833333333333
2,2017,16.1755952380952
2,2018,15.625
2,2019,14.202380952381
2,2020,13.5818965517241
3,2005,21.7916666666667
3,2006,25.1491935483871
3,2007,23.0241935483871
3,2008,19.8185483870968
3,2009,19.247311827957
3,2010,19.7997311827957
3,2011,18.5766129032258
3,2012,20.9018817204301
3,2013,18.4932795698925
3,2014,16.3091397849462
3,2015,13.6586021505376
3,2016,15.0268817204301
3,2017,15.4462365591398
3,2018,14.6572580645161
3,2019,13.3790322580645
3,2020,12.7943548387097
4,2005,25.9888888888889
4,2006,22.3236111111111
4,2007,20.3430555555556
4,2008,20.0444444444444
4,2009,17.8027777777778
4,2010,20.2430555555556
4,2011,17.9194444444444
4,2012,19.6305555555556
4,2013,19.8652777777778
4,2014,18.6486111111111
4,2015,16.8236111111111
4,2016,16.6583333333333
4,2017,13.8097222222222
4,2018,14.7805555555556
4,2019,13.0680555555556
4,2020,8.99444444444444
5,2005,25.7338709677419
5,2006,21.6760752688172
5,2007,20.8104838709677
5,2008,18.635752688172
5,2009,17.4354838709677
5,2010,20.6465053763441
5,2011,17.0698924731183
5,2012,19.9475806451613
5,2013,19.6209677419355
5,2014,18.8077956989247
5,2015,17.0241935483871
5,2016,17.7997311827957
5,2017,15.0967741935484
5,2018,13.244623655914
5,2019,12.4206989247312
5,2020,8.28091397849462
6,2005,19.3041666666667
6,2006,15.7319444444444
6,2007,19.8055555555556
6,2008,15.7319444444444
6,2009,16.5041666666667
6,2010,15.5361111111111
6,2011,12.7986111111111
6,2012,17.0638888888889
6,2013,16.2569444444444
6,2014,14.4583333333333
6,2015,15.8902777777778
6,2016,14.6388888888889
6,2017,11.4555555555556
6,2018,12.0236111111111
6,2019,10.2194444444444
6,2020,6.84305555555556
7,2005,18.0094086021505
7,2006,16.2768817204301
7,2007,17.2540322580645
7,2008,15.9986559139785
7,2009,14.635752688172
7,2010,14.3333333333333
7,2011,14.4381720430108
7,2012,17.4879032258065
7,2013,15.8185483870968
7,2014,15.5604838709677
7,2015,15.5954301075269
7,2016,13.6370967741935
7,2017,13.4663978494624
7,2018,11.8561827956989
7,2019,12.0430107526882
7,2020,8.24327956989247
8,2005,18.5698924731183
8,2006,18.2594086021505
8,2007,14.75
8,2008,17.8978494623656
8,2009,14.1801075268817
8,2010,13.7284946236559
8,2011,13.3817204301075
8,2012,15.5470430107527
8,2013,14.7338709677419
8,2014,12.2137096774194
8,2015,13.114247311828
8,2016,13.5577956989247
8,2017,11.2016129032258
8,2018,10.4059139784946
8,2019,10.8172043010753
8,2020,8.02150537634409
9,2005,18.6069444444444
9,2006,16.0625
9,2007,15.4777777777778
9,2008,16.3236111111111
9,2009,16.2861111111111
9,2010,12.5597222222222
9,2011,15.2805555555556
9,2012,14.9180555555556
9,2013,14.7875
9,2014,10.3916666666667
9,2015,14.2555555555556
9,2016,11.8402777777778
9,2017,9.60833333333333
9,2018,12.3666666666667
9,2019,9.87361111111111
9,2020,8.5875
10,2005,18.3588709677419
10,2006,16.2459677419355
10,2007,18.5282258064516
10,2008,16.4744623655914
10,2009,16.1397849462366
10,2010,18.5295698924731
10,2011,17.3709677419355
10,2012,16.7379032258065
10,2013,15.3252688172043
10,2014,13.9650537634409
10,2015,13.1975806451613
10,2016,10.7647849462366
10,2017,11.880376344086
10,2018,12.122311827957
10,2019,10.3064516129032
10,2020,12.1491935483871
11,2005,23.1958333333333
11,2006,23.6347222222222
11,2007,21.7680555555556
11,2008,22.6555555555556
11,2009,19.7763888888889
11,2010,23.3402777777778
11,2011,20.9847222222222
11,2012,19.1888888888889
11,2013,18.9152777777778
11,2014,17.8
11,2015,15.5972222222222
11,2016,15.1375
11,2017,16.3930555555556
11,2018,16.0583333333333
11,2020,14.3736111111111
12,2005,29.1129032258065
12,2006,22.8508064516129
12,2007,26.494623655914
12,2008,27.8266129032258
12,2009,21.2956989247312
12,2010,26.6733870967742
12,2011,26.5309139784946
12,2012,24.6599462365591
12,2013,21.5739247311828
12,2014,20.3037634408602
12,2015,20.633064516129
12,2016,15.2258064516129
12,2017,20.9099462365591
12,2018,18.6518817204301
12,2020,15.6451612903226
NA,NA,NA
