"month","year","promedio"
1,2005,19.4569892473118
1,2006,23.1021505376344
1,2007,16.8400537634409
1,2008,14.3575268817204
1,2009,11.7809139784946
1,2010,13.385752688172
1,2011,14.5510752688172
1,2012,13.9448924731183
1,2013,12.9032258064516
1,2014,12.1962365591398
1,2015,11.75
1,2016,8.75268817204301
1,2017,10.0188172043011
1,2018,6.16263440860215
1,2019,3.30241935483871
1,2020,3.22983870967742
2,2005,17.3303571428571
2,2006,20.328869047619
2,2007,15.4092261904762
2,2008,14.4956896551724
2,2009,10.889880952381
2,2010,12.1309523809524
2,2011,12.7723214285714
2,2012,11.8965517241379
2,2013,12.8407738095238
2,2014,11.0758928571429
2,2015,11.672619047619
2,2016,7.14367816091954
2,2017,5.39285714285714
2,2018,4.40476190476191
2,2019,3.7202380952381
2,2020,2.65373563218391
3,2005,14.8346774193548
3,2006,16.9663978494624
3,2007,13.2204301075269
3,2008,11.880376344086
3,2009,9.16532258064516
3,2010,11.0497311827957
3,2011,12.8817204301075
3,2012,10.2379032258065
3,2013,9.72715053763441
3,2014,8.87768817204301
3,2015,9.07930107526882
3,2016,3.56451612903226
3,2017,4.86021505376344
3,2018,2.33333333333333
3,2019,3.31048387096774
3,2020,1.07661290322581
4,2005,15.3319444444444
4,2006,13.5291666666667
4,2007,11.0597222222222
4,2008,11.3277777777778
4,2009,8.58333333333333
4,2010,10.4694444444444
4,2011,10.1347222222222
4,2012,10.1
4,2013,10.8263888888889
4,2014,9.28472222222222
4,2015,9.99861111111111
4,2016,6.64444444444444
4,2017,4.3
4,2018,2.76388888888889
4,2019,0.734722222222222
4,2020,-0.245833333333333
5,2005,15.5564516129032
5,2006,15.6814516129032
5,2007,10.1693548387097
5,2008,7.16801075268817
5,2009,6.39247311827957
5,2010,10.4556451612903
5,2011,9.85618279569892
5,2012,8.65994623655914
5,2013,8.90188172043011
5,2014,8.58198924731183
5,2015,9.96774193548387
5,2016,5.28091397849462
5,2017,4.88709677419355
5,2018,1.5497311827957
5,2019,-0.254032258064516
5,2020,-1.03360215053763
6,2005,12.1166666666667
6,2006,7.92361111111111
6,2007,11.6819444444444
6,2008,6.95277777777778
6,2009,5.89444444444444
6,2010,7.88472222222222
6,2011,6.36388888888889
6,2012,8.7375
6,2013,6.71111111111111
6,2014,7.33888888888889
6,2015,9.14444444444444
6,2016,3.45694444444444
6,2017,2.31805555555556
6,2018,1.06805555555556
6,2019,0.334722222222222
6,2020,-1.60138888888889
7,2005,10.9247311827957
7,2006,11.9018817204301
7,2007,3.17069892473118
7,2008,8.8252688172043
7,2009,6.38844086021505
7,2010,8.33870967741935
7,2011,8.82258064516129
7,2012,8.42069892473118
7,2013,6.46505376344086
7,2014,8.96370967741935
7,2015,9.90860215053763
7,2016,3.85215053763441
7,2017,3.84811827956989
7,2018,1.06720430107527
7,2019,0.96505376344086
7,2020,-0.625
8,2005,12.5483870967742
8,2006,12.4448924731183
8,2007,7.97849462365591
8,2008,9.19086021505376
8,2009,6.50672043010753
8,2010,6.41532258064516
8,2011,7.95967741935484
8,2012,7.83064516129032
8,2013,6.36827956989247
8,2014,6.62096774193548
8,2015,5.96505376344086
8,2016,4.06586021505376
8,2017,1.64516129032258
8,2018,1.02016129032258
8,2019,0.415322580645161
8,2020,-0.237903225806452
9,2005,11.9861111111111
9,2006,11.5527777777778
9,2007,9.10972222222222
9,2008,6.49722222222222
9,2009,9.32222222222222
9,2010,7.48472222222222
9,2011,8.29444444444444
9,2012,7.75138888888889
9,2013,8.35555555555556
9,2014,8.82361111111111
9,2015,5.24027777777778
9,2016,2.89027777777778
9,2017,1.59861111111111
9,2018,1.54722222222222
9,2019,0.495833333333333
9,2020,-0.941666666666667
10,2005,14.1908602150538
10,2006,14.4825268817204
10,2007,7.67876344086022
10,2008,6.29704301075269
10,2009,8.0739247311828
10,2010,8.61559139784946
10,2011,9.70564516129032
10,2012,8.98387096774194
10,2013,7.70430107526882
10,2014,8.87365591397849
10,2015,4.03763440860215
10,2016,1.88306451612903
10,2017,1.90725806451613
10,2018,1.8252688172043
10,2019,1.42741935483871
10,2020,0.540322580645161
11,2005,16.8111111111111
11,2006,16.8625
11,2007,10.4847222222222
11,2008,10.5541666666667
11,2009,8.50138888888889
11,2010,11.4347222222222
11,2011,11.2430555555556
11,2012,10.2791666666667
11,2013,9.15555555555556
11,2014,11.4208333333333
11,2015,6.1375
11,2016,5.47083333333333
11,2017,3.99722222222222
11,2018,4.17916666666667
11,2020,2.16111111111111
12,2005,21.5362903225806
12,2006,21.4959677419355
12,2007,15.1505376344086
12,2008,12.8131720430108
12,2009,14.1061827956989
12,2010,17.0698924731183
12,2011,17.4986559139785
12,2012,15.7150537634409
12,2013,12.6975806451613
12,2014,12.2110215053763
12,2015,9.88037634408602
12,2016,5.97177419354839
12,2017,6.28897849462366
12,2018,5.74596774193548
12,2020,3.40860215053763
NA,NA,NA
