"month","year","promedio"
1,2005,36.6451612903226
1,2006,32.4986559139785
1,2007,26.2365591397849
1,2008,26.2715053763441
1,2009,26.505376344086
1,2010,21.494623655914
1,2011,24.1908602150538
1,2012,23.3575268817204
1,2013,24.9502688172043
1,2014,26.8844086021505
1,2015,21.6545698924731
1,2016,16.5094086021505
1,2017,25.6491935483871
1,2018,21.0846774193548
1,2019,21.5887096774194
1,2020,17.8387096774194
2,2005,34.2916666666667
2,2006,32.6711309523809
2,2007,31.9985119047619
2,2008,30.5948275862069
2,2009,32.8273809523809
2,2010,22.7872023809524
2,2011,24.9910714285714
2,2012,20.9640804597701
2,2013,28.9806547619048
2,2014,38.7217261904762
2,2015,20.9285714285714
2,2016,24.9439655172414
2,2017,27.6026785714286
2,2018,27.9151785714286
2,2019,23.65625
2,2020,23.6810344827586
3,2005,31.7258064516129
3,2006,33.1935483870968
3,2007,38.3333333333333
3,2008,35.6881720430108
3,2009,33.8870967741936
3,2010,32.2715053763441
3,2011,30.5551075268817
3,2012,32.5725806451613
3,2013,33.5712365591398
3,2014,32.9771505376344
3,2015,23.247311827957
3,2016,24.872311827957
3,2017,24.8239247311828
3,2018,29.1599462365591
3,2019,31.7889784946237
3,2020,26.8494623655914
4,2005,45.4916666666667
4,2006,42.5944444444444
4,2007,34.8791666666667
4,2008,42.6333333333333
4,2009,37.3041666666667
4,2010,36.7555555555556
4,2011,38.5527777777778
4,2012,34.8347222222222
4,2013,42.4319444444444
4,2014,38.1652777777778
4,2015,33.8583333333333
4,2016,32.725
4,2017,30.7291666666667
4,2018,31.6611111111111
4,2019,42.6972222222222
4,2020,36.225
5,2005,46.3212365591398
5,2006,40.997311827957
5,2007,36.0067204301075
5,2008,46.2311827956989
5,2009,38.8575268817204
5,2010,43.2836021505376
5,2011,39.8575268817204
5,2012,41.2163978494624
5,2013,45.4879032258064
5,2014,34.5510752688172
5,2015,28.3467741935484
5,2016,38.6774193548387
5,2017,40.4368279569892
5,2018,28.241935483871
5,2019,38.1854838709677
5,2020,36.0604838709677
6,2005,35.3902777777778
6,2006,33.2805555555556
6,2007,36.1722222222222
6,2008,29.4708333333333
6,2009,33.8791666666667
6,2010,37.2125
6,2011,31.0763888888889
6,2012,29.1069444444444
6,2013,30.6625
6,2014,28.0319444444444
6,2015,27.0527777777778
6,2016,26.8638888888889
6,2017,26.4583333333333
6,2018,23.8152777777778
6,2019,24.4916666666667
6,2020,24.0666666666667
7,2005,31.5336021505376
7,2006,26.0685483870968
7,2007,32.3400537634409
7,2008,27.0309139784946
7,2009,31.4879032258065
7,2010,19.9543010752688
7,2011,24.4650537634409
7,2012,25.5389784946237
7,2013,29.8413978494624
7,2014,27.1854838709677
7,2015,27.2701612903226
7,2016,24.489247311828
7,2017,19.9798387096774
7,2018,24.0376344086022
7,2019,22.9422043010753
7,2020,22.7916666666667
8,2005,28.6384408602151
8,2006,26.9556451612903
8,2007,24.9086021505376
8,2008,29.255376344086
8,2009,29.4717741935484
8,2010,24.0712365591398
8,2011,28.6841397849462
8,2012,24.3561827956989
8,2013,29.2741935483871
8,2014,28.2836021505376
8,2015,26.0577956989247
8,2016,24.2782258064516
8,2017,20.8360215053763
8,2018,21.9381720430108
8,2019,25.5833333333333
8,2020,16.8978494623656
9,2005,29.3527777777778
9,2006,27.6055555555556
9,2007,22.4277777777778
9,2008,24.0388888888889
9,2009,25.2819444444444
9,2010,21.4097222222222
9,2011,28.5527777777778
9,2012,27.5861111111111
9,2013,21.1319444444444
9,2014,22.3152777777778
9,2015,20.5111111111111
9,2016,17.8694444444444
9,2017,18.5694444444444
9,2018,23.3680555555556
9,2019,20.3444444444444
9,2020,18.1722222222222
10,2005,23.5766129032258
10,2006,24.9879032258065
10,2007,26.5698924731183
10,2008,26.6384408602151
10,2009,25.5510752688172
10,2010,31.3588709677419
10,2011,25.9395161290323
10,2012,23.4354838709677
10,2013,26.1102150537634
10,2014,22.8024193548387
10,2015,17.3521505376344
10,2016,16.6491935483871
10,2017,19.6733870967742
10,2018,18.4758064516129
10,2019,17.7311827956989
10,2020,22.1922043010753
11,2005,28.0972222222222
11,2006,27.6097222222222
11,2007,23.6138888888889
11,2008,25.025
11,2009,28.2763888888889
11,2010,28.5375
11,2011,26.9777777777778
11,2012,21.5222222222222
11,2013,23.2388888888889
11,2014,17.2277777777778
11,2015,15.7888888888889
11,2016,13.7875
11,2017,18.5069444444444
11,2018,23.3263888888889
11,2020,19.4125
12,2005,30.5698924731183
12,2006,26.255376344086
12,2007,27.7284946236559
12,2008,28.4637096774194
12,2009,22.0819892473118
12,2010,22.4932795698925
12,2011,26.4502688172043
12,2012,24.8185483870968
12,2013,23.4811827956989
12,2014,17.7029569892473
12,2015,16.0618279569892
12,2016,17.7137096774194
12,2017,22.0120967741935
12,2018,23.1236559139785
12,2020,20.252688172043
NA,NA,NA
