"month","year","promedio"
1,2005,28.1599462365591
1,2006,27.8481182795699
1,2007,18.1236559139785
1,2008,21.2755376344086
1,2009,23.8534946236559
1,2010,17.9663978494624
1,2011,18.5846774193548
1,2012,14.1411290322581
1,2013,17.6989247311828
1,2014,18.3306451612903
1,2015,15.0510752688172
1,2016,14.2002688172043
1,2017,15.8978494623656
1,2018,14.8413978494624
1,2019,11.25
1,2020,10.9005376344086
2,2005,23.4151785714286
2,2006,24.514880952381
2,2007,19.5431547619048
2,2008,19.6968390804598
2,2009,24.2098214285714
2,2010,16.3928571428571
2,2011,12.516369047619
2,2012,12.889367816092
2,2013,16.5982142857143
2,2014,18.5520833333333
2,2015,14.6547619047619
2,2016,15.9181034482759
2,2017,11.9732142857143
2,2018,11.5907738095238
2,2019,10.0654761904762
2,2020,9.85632183908046
3,2005,17.7258064516129
3,2006,22.8911290322581
3,2007,21.741935483871
3,2008,16.8897849462366
3,2009,20.3494623655914
3,2010,17.744623655914
3,2011,8.31854838709677
3,2012,16.2983870967742
3,2013,14.6424731182796
3,2014,12.7930107526882
3,2015,10.739247311828
3,2016,10.2647849462366
3,2017,9.26881720430108
3,2018,10.3333333333333
3,2019,10.3790322580645
3,2020,10.0147849462366
4,2005,23.3819444444444
4,2006,22.1944444444444
4,2007,17.7166666666667
4,2008,22.0791666666667
4,2009,18.3347222222222
4,2010,17.2013888888889
4,2011,-0.754166666666667
4,2012,15.6194444444444
4,2013,14.4569444444444
4,2014,14.8180555555556
4,2015,12.3736111111111
4,2016,11.4986111111111
4,2017,8.00555555555556
4,2018,10.5944444444444
4,2019,8.025
4,2020,6.84027777777778
5,2005,24.5349462365591
5,2006,22.0779569892473
5,2007,19.8991935483871
5,2008,20.1895161290323
5,2009,19.0887096774194
5,2010,18.7647849462366
5,2011,9.91801075268817
5,2012,15.5268817204301
5,2013,14.8561827956989
5,2014,15.5376344086022
5,2015,12.9556451612903
5,2016,13.4448924731183
5,2017,10.6451612903226
5,2018,9.83736559139785
5,2019,7.18817204301075
5,2020,5.70295698924731
6,2005,20.4125
6,2006,19.9069444444444
6,2007,20.4263888888889
6,2008,18.3013888888889
6,2009,18.6402777777778
6,2010,16.3069444444444
6,2011,9.66805555555556
6,2012,13.725
6,2013,13.6361111111111
6,2014,12.2583333333333
6,2015,11.8263888888889
6,2016,10.9583333333333
6,2017,8.46805555555556
6,2018,6.475
6,2019,7.66666666666667
6,2020,4.70555555555556
7,2005,19.2486559139785
7,2006,17.8400537634409
7,2007,18.1626344086022
7,2008,17.3991935483871
7,2009,17.377688172043
7,2010,14.7163978494624
7,2011,12.9153225806452
7,2012,14.3037634408602
7,2013,13.4354838709677
7,2014,13.2889784946237
7,2015,12.3978494623656
7,2016,9.67204301075269
7,2017,11.1626344086022
7,2018,9.2244623655914
7,2019,9.17338709677419
7,2020,6.10215053763441
8,2005,19.0201612903226
8,2006,17.3655913978495
8,2007,16.3454301075269
8,2008,17.8104838709677
8,2009,15.4758064516129
8,2010,14.7325268817204
8,2011,10.9717741935484
8,2012,12.991935483871
8,2013,13.0268817204301
8,2014,10.755376344086
8,2015,10.4489247311828
8,2016,9.94623655913978
8,2017,9.22715053763441
8,2018,9.51881720430108
8,2019,8.3010752688172
8,2020,6.78629032258065
9,2005,19.3472222222222
9,2006,15.2861111111111
9,2007,16.9319444444444
9,2008,15.7458333333333
9,2009,14.1638888888889
9,2010,13.5027777777778
9,2011,11.8402777777778
9,2012,13.1222222222222
9,2013,13.0583333333333
9,2014,10.1041666666667
9,2015,7.86388888888889
9,2016,9.41666666666667
9,2017,8.725
9,2018,9.9625
9,2019,7.66388888888889
9,2020,7.51805555555556
10,2005,18.4233870967742
10,2006,16.1801075268817
10,2007,18.7405913978495
10,2008,14.2379032258065
10,2009,14.0739247311828
10,2010,19.0954301075269
10,2011,12.8158602150538
10,2012,15.4045698924731
10,2013,13.8508064516129
10,2014,12.1034946236559
10,2015,9.90322580645161
10,2016,8.87231182795699
10,2017,9.13172043010753
10,2018,8.56317204301075
10,2019,7.66935483870968
10,2020,9.87903225806452
11,2005,23.2027777777778
11,2006,22.55
11,2007,22.5361111111111
11,2008,19.6611111111111
11,2009,16.4833333333333
11,2010,21.5347222222222
11,2011,15.0013888888889
11,2012,17.5722222222222
11,2013,16.1791666666667
11,2014,13.325
11,2015,11.7430555555556
11,2016,13.1291666666667
11,2017,13.1777777777778
11,2018,10.4208333333333
11,2020,13.0166666666667
12,2005,27.6061827956989
12,2006,21.3924731182796
12,2007,26.6129032258065
12,2008,23.7688172043011
12,2009,18.2634408602151
12,2010,26.2486559139785
12,2011,20.0712365591398
12,2012,19.5887096774194
12,2013,17.5712365591398
12,2014,15.627688172043
12,2015,15.4704301075269
12,2016,11.7782258064516
12,2017,15.4744623655914
12,2018,12.8225806451613
12,2020,11.6182795698925
NA,NA,NA
