"month","year","promedio"
1,2005,62.3266129032258
1,2006,66.4032258064516
1,2007,44.1599462365591
1,2008,59.0819892473118
1,2009,57.6491935483871
1,2010,36.8521505376344
1,2011,59.0040322580645
1,2012,48.9771505376344
1,2013,51.1854838709677
1,2014,61.1102150537634
1,2015,85.1868279569892
1,2016,75.0927419354839
1,2017,94.6129032258064
1,2018,35.9758064516129
1,2019,81.002688172043
1,2020,57.2620967741936
2,2005,57.8035714285714
2,2006,66.0520833333333
2,2007,38.5848214285714
2,2008,57.4008620689655
2,2009,60.75
2,2010,31.296130952381
2,2011,52.2872023809524
2,2012,34.6810344827586
2,2013,65.1964285714286
2,2014,68.0163690476191
2,2015,84.3779761904762
2,2016,102.576149425287
2,2017,87.6770833333333
2,2018,73.1383928571429
2,2019,82.8601190476191
2,2020,65.7974137931034
3,2005,53.8118279569892
3,2006,67.8790322580645
3,2007,47.739247311828
3,2008,58.4139784946237
3,2009,56.2701612903226
3,2010,44.1209677419355
3,2011,61.7137096774194
3,2012,50.3655913978495
3,2013,51.7123655913978
3,2014,52.6989247311828
3,2015,61.4435483870968
3,2016,60.2365591397849
3,2017,58.0497311827957
3,2018,37.6317204301075
3,2019,81.2661290322581
3,2020,78.2862903225806
4,2005,63.9541666666667
4,2006,55.8222222222222
4,2007,40.4458333333333
4,2008,59.8027777777778
4,2009,54.3652777777778
4,2010,42.6430555555556
4,2011,41.6930555555556
4,2012,48.1111111111111
4,2013,65.6625
4,2014,44.775
4,2015,83.5402777777778
4,2016,84.2680555555555
4,2017,65.5138888888889
4,2018,71.3263888888889
4,2019,80.8180555555556
4,2020,68.775
5,2005,61.2674731182796
5,2006,42.5430107526882
5,2007,42.0698924731183
5,2008,51.1209677419355
5,2009,47.6733870967742
5,2010,55.1411290322581
5,2011,7.18145161290323
5,2012,55.7096774193548
5,2013,61.7741935483871
5,2014,35.0201612903226
5,2015,54.7352150537634
5,2016,76.5819892473118
5,2017,66.9220430107527
5,2018,48.3225806451613
5,2019,76.8521505376344
5,2020,57.1881720430108
6,2005,47.8361111111111
6,2006,36.4513888888889
6,2007,38.0513888888889
6,2008,30.2694444444444
6,2009,38.575
6,2010,37.8916666666667
6,2011,-19.6097222222222
6,2012,28.6527777777778
6,2013,38.0402777777778
6,2014,26.3513888888889
6,2015,54.8291666666667
6,2016,45.025
6,2017,-14.8319444444444
6,2018,18.2430555555556
6,2019,27.8125
6,2020,34.3444444444444
7,2005,36.244623655914
7,2006,25.5873655913978
7,2007,30.5430107526882
7,2008,22.4838709677419
7,2009,30.7177419354839
7,2010,27.1908602150538
7,2011,26.8427419354839
7,2012,28.1424731182796
7,2013,34.7930107526882
7,2014,29.8561827956989
7,2015,56.4932795698925
7,2016,45.5900537634409
7,2017,38.1680107526882
7,2018,36.9784946236559
7,2019,34.8561827956989
7,2020,21.3279569892473
8,2005,32.8790322580645
8,2006,30.7997311827957
8,2007,28.3037634408602
8,2008,25.8266129032258
8,2009,27.3521505376344
8,2010,31.8266129032258
8,2011,23.1155913978495
8,2012,29.1760752688172
8,2013,32.0524193548387
8,2014,34.8077956989247
8,2015,46.2956989247312
8,2016,40.2634408602151
8,2017,20.8158602150538
8,2018,35.635752688172
8,2019,27.8413978494624
8,2020,15.8561827956989
9,2005,38.9166666666667
9,2006,25.0055555555556
9,2007,30.7583333333333
9,2008,25.9888888888889
9,2009,11.6805555555556
9,2010,30.7777777777778
9,2011,28.2388888888889
9,2012,30.9152777777778
9,2013,25.5625
9,2014,27.0305555555556
9,2015,47.3541666666667
9,2016,42.5444444444444
9,2017,4.12361111111111
9,2018,49.2180555555556
9,2019,28.2791666666667
9,2020,25.7777777777778
10,2005,39.4072580645161
10,2006,28.8911290322581
10,2007,37.3467741935484
10,2008,31.369623655914
10,2009,35.7137096774194
10,2010,48.258064516129
10,2011,32.9986559139785
10,2012,39.6465053763441
10,2013,40.7997311827957
10,2014,38.8494623655914
10,2015,58.7056451612903
10,2016,57.0658602150538
10,2017,52.4637096774194
10,2018,33.1801075268817
10,2019,36.494623655914
10,2020,50.1989247311828
11,2005,53.3680555555556
11,2006,35.9805555555556
11,2007,47.1986111111111
11,2008,48.275
11,2009,35.5347222222222
11,2010,57.5597222222222
11,2011,42.9944444444444
11,2012,44.7236111111111
11,2013,40.1138888888889
11,2014,70.0361111111111
11,2015,70.7055555555555
11,2016,55.7902777777778
11,2017,95.1722222222222
11,2018,57.5138888888889
11,2020,49.8722222222222
12,2005,64.0403225806452
12,2006,43.7056451612903
12,2007,60.5322580645161
12,2008,61.9341397849462
12,2009,43.4260752688172
12,2010,78.622311827957
12,2011,63.9462365591398
12,2012,59.0362903225806
12,2013,53.8346774193548
12,2014,80.7258064516129
12,2015,88.0860215053764
12,2016,70.8427419354839
12,2017,61.752688172043
12,2018,80.7956989247312
12,2020,66.6720430107527
NA,NA,NA
