"month","year","promedio"
1,2005,45.635752688172
1,2006,44.3319892473118
1,2007,35.2069892473118
1,2008,36.3172043010753
1,2009,32.5940860215054
1,2010,25.1075268817204
1,2011,35.2459677419355
1,2012,30.5685483870968
1,2013,32.5752688172043
1,2014,34.0645161290323
1,2015,28.9301075268817
1,2016,31.7110215053763
1,2017,35.5833333333333
1,2018,26.258064516129
1,2019,28.7432795698925
1,2020,23.8494623655914
2,2005,40.6949404761905
2,2006,47.8273809523809
2,2007,40.5148809523809
2,2008,40.5560344827586
2,2009,40.0788690476191
2,2010,30.1160714285714
2,2011,38.1622023809524
2,2012,26.25
2,2013,38.21875
2,2014,48.9464285714286
2,2015,29.6800595238095
2,2016,44.7112068965517
2,2017,38.1116071428571
2,2018,32.90625
2,2019,27.7559523809524
2,2020,25.2715517241379
3,2005,36.6438172043011
3,2006,45.0725806451613
3,2007,50.1317204301075
3,2008,44.9529569892473
3,2009,40.3400537634409
3,2010,39.5215053763441
3,2011,43.3951612903226
3,2012,42.7795698924731
3,2013,38.9018817204301
3,2014,38.7620967741936
3,2015,28.241935483871
3,2016,35.8266129032258
3,2017,36.7029569892473
3,2018,34.6102150537634
3,2019,36.1209677419355
3,2020,39.0591397849462
4,2005,53.5958333333333
4,2006,54.3958333333333
4,2007,45.9347222222222
4,2008,52.6263888888889
4,2009,46.5402777777778
4,2010,43.3236111111111
4,2011,54.1083333333333
4,2012,44.5736111111111
4,2013,49.9930555555556
4,2014,46.0805555555556
4,2015,42.8541666666667
4,2016,46.5347222222222
4,2017,42.1375
4,2018,41.0555555555556
4,2019,45.6194444444444
4,2020,46.0652777777778
5,2005,56.2513440860215
5,2006,50.8091397849462
5,2007,54.9865591397849
5,2008,52.9408602150538
5,2009,47.122311827957
5,2010,53.4059139784946
5,2011,56.5658602150538
5,2012,50.4032258064516
5,2013,54.8293010752688
5,2014,41.3521505376344
5,2015,36.4516129032258
5,2016,55.9623655913978
5,2017,53.5443548387097
5,2018,36.0215053763441
5,2019,46.8239247311828
5,2020,47.3293010752688
6,2005,40.3555555555556
6,2006,41.3680555555556
6,2007,50.3083333333333
6,2008,36.2861111111111
6,2009,40.4361111111111
6,2010,45.6513888888889
6,2011,39.3958333333333
6,2012,35.7111111111111
6,2013,34.8888888888889
6,2014,31.6347222222222
6,2015,29.7027777777778
6,2016,38.5958333333333
6,2017,33.7361111111111
6,2018,27.0472222222222
6,2019,29.6555555555556
6,2020,30.7916666666667
7,2005,36.864247311828
7,2006,34.2083333333333
7,2007,46.7190860215054
7,2008,31.9704301075269
7,2009,34.2298387096774
7,2010,24.4032258064516
7,2011,28.1774193548387
7,2012,29.4529569892473
7,2013,34.8212365591398
7,2014,31.1599462365591
7,2015,31.9448924731183
7,2016,35.1626344086022
7,2017,26.5981182795699
7,2018,29.8588709677419
7,2019,26.7701612903226
7,2020,29.7110215053763
8,2005,38.0631720430108
8,2006,34.4650537634409
8,2007,35.0967741935484
8,2008,36.1827956989247
8,2009,30.4193548387097
8,2010,27.744623655914
8,2011,33.3427419354839
8,2012,29.2782258064516
8,2013,32.1666666666667
8,2014,33.0403225806452
8,2015,30.5577956989247
8,2016,35.2862903225806
8,2017,25.1263440860215
8,2018,26.1021505376344
8,2019,30.6720430107527
8,2020,24.1760752688172
9,2005,38.4777777777778
9,2006,35.2666666666667
9,2007,30.0986111111111
9,2008,27.1222222222222
9,2009,25.3083333333333
9,2010,25.5597222222222
9,2011,34.1333333333333
9,2012,31.9444444444444
9,2013,23.4138888888889
9,2014,24.5791666666667
9,2015,27.4583333333333
9,2016,28.9236111111111
9,2017,21.4041666666667
9,2018,27.3527777777778
9,2019,26.725
9,2020,23.3513888888889
10,2005,34.002688172043
10,2006,30.7137096774194
10,2007,34.1518817204301
10,2008,29.0228494623656
10,2009,27.1088709677419
10,2010,41.8333333333333
10,2011,31.0819892473118
10,2012,29.6720430107527
10,2013,29.2822580645161
10,2014,28.4905913978495
10,2015,23.133064516129
10,2016,27.0510752688172
10,2017,25.1344086021505
10,2018,20.0349462365591
10,2019,21.6639784946237
10,2020,30.3413978494624
11,2005,38.0458333333333
11,2006,34.8847222222222
11,2007,33.6430555555556
11,2008,31.65
11,2009,30.7763888888889
11,2010,41.3208333333333
11,2011,34.6194444444444
11,2012,27.4486111111111
11,2013,24.5888888888889
11,2014,23.6777777777778
11,2015,25.375
11,2016,23.0361111111111
11,2017,27.6930555555556
11,2018,25.7875
11,2020,28.9763888888889
12,2005,42.7365591397849
12,2006,33.4690860215054
12,2007,42.3763440860215
12,2008,36.9314516129032
12,2009,24.3333333333333
12,2010,37.0645161290323
12,2011,38.7043010752688
12,2012,35.7379032258064
12,2013,27.0725806451613
12,2014,25.4650537634409
12,2015,31.4462365591398
12,2016,27.8373655913978
12,2017,30.9516129032258
12,2018,27.7983870967742
12,2020,24.9865591397849
NA,NA,NA
