"ï..Fecha","Noroeste.Ozono"
"01/01/2005","19"
"01/01/2005","19"
"01/01/2005","17"
"01/01/2005","16"
"01/01/2005","16"
"01/01/2005","16"
"01/01/2005","16"
"01/01/2005","14"
"01/01/2005","19"
"01/01/2005","46"
"01/01/2005","74"
"01/01/2005","103"
"01/01/2005","119"
"01/01/2005","122"
"01/01/2005","114"
"01/01/2005","102"
"01/01/2005","75"
"01/01/2005","53"
"01/01/2005","21"
"01/01/2005","25"
"01/01/2005","52"
"01/01/2005","57"
"01/01/2005","49"
"01/01/2005","36"
"02/01/2005","22"
"02/01/2005","34"
"02/01/2005","27"
"02/01/2005","26"
"02/01/2005","26"
"02/01/2005","20"
"02/01/2005","14"
"02/01/2005","6"
"02/01/2005","15"
"02/01/2005","28"
"02/01/2005","55"
"02/01/2005","75"
"02/01/2005","88"
"02/01/2005","74"
"02/01/2005","79"
"02/01/2005","95"
"02/01/2005","76"
"02/01/2005","42"
"02/01/2005","16"
"02/01/2005","4"
"02/01/2005","15"
"02/01/2005","33"
"02/01/2005","37"
"02/01/2005","35"
"03/01/2005","21"
"03/01/2005","9"
"03/01/2005","14"
"03/01/2005","17"
"03/01/2005","15"
"03/01/2005","8"
"03/01/2005","5"
"03/01/2005","5"
"03/01/2005","5"
"03/01/2005","12"
"03/01/2005","26"
"03/01/2005","54"
"03/01/2005","66"
"03/01/2005","71"
"03/01/2005","75"
"03/01/2005","88"
"03/01/2005","79"
"03/01/2005","63"
"03/01/2005","19"
"03/01/2005","10"
"03/01/2005","25"
"03/01/2005","6"
"03/01/2005","4"
"03/01/2005","4"
"04/01/2005","6"
"04/01/2005","5"
"04/01/2005","8"
"04/01/2005","10"
"04/01/2005","11"
"04/01/2005","5"
"04/01/2005","5"
"04/01/2005","5"
"04/01/2005","5"
"04/01/2005","13"
"04/01/2005","28"
"04/01/2005","57"
"04/01/2005","84"
"04/01/2005","85"
"04/01/2005","91"
"04/01/2005","87"
"04/01/2005","82"
"04/01/2005","79"
"04/01/2005","24"
"04/01/2005","13"
"04/01/2005","45"
"04/01/2005","35"
"04/01/2005","12"
"04/01/2005","10"
"05/01/2005","6"
"05/01/2005","8"
"05/01/2005","12"
"05/01/2005","21"
"05/01/2005","22"
"05/01/2005","9"
"05/01/2005","5"
"05/01/2005","5"
"05/01/2005","7"
"05/01/2005","14"
"05/01/2005","42"
"05/01/2005","65"
"05/01/2005","72"
"05/01/2005","83"
"05/01/2005","103"
"05/01/2005","116"
"05/01/2005","125"
"05/01/2005","85"
"05/01/2005","44"
"05/01/2005","55"
"05/01/2005","35"
"05/01/2005","15"
"05/01/2005","36"
"05/01/2005","28"
"06/01/2005","15"
"06/01/2005","14"
"06/01/2005","18"
"06/01/2005","17"
"06/01/2005","14"
"06/01/2005","12"
"06/01/2005","5"
"06/01/2005","5"
"06/01/2005","8"
"06/01/2005","24"
"06/01/2005","41"
"06/01/2005","70"
"06/01/2005","98"
"06/01/2005","120"
"06/01/2005","136"
"06/01/2005","129"
"06/01/2005","121"
"06/01/2005","112"
"06/01/2005","43"
"06/01/2005","24"
"06/01/2005","10"
"06/01/2005","25"
"06/01/2005","16"
"06/01/2005","7"
"07/01/2005","15"
"07/01/2005","26"
"07/01/2005","27"
"07/01/2005","19"
"07/01/2005","15"
"07/01/2005","13"
"07/01/2005","8"
"07/01/2005","5"
"07/01/2005","6"
"07/01/2005","13"
"07/01/2005","29"
"07/01/2005","48"
"07/01/2005","85"
"07/01/2005","111"
"07/01/2005","122"
"07/01/2005","131"
"07/01/2005","122"
"07/01/2005","88"
"07/01/2005","47"
"07/01/2005","29"
"07/01/2005","35"
"07/01/2005","20"
"07/01/2005","39"
"07/01/2005","45"
"08/01/2005","47"
"08/01/2005","50"
"08/01/2005","55"
"08/01/2005","54"
"08/01/2005","52"
"08/01/2005","47"
"08/01/2005","27"
"08/01/2005","16"
"08/01/2005","20"
"08/01/2005","29"
"08/01/2005","35"
"08/01/2005","45"
"08/01/2005","55"
"08/01/2005","60"
"08/01/2005","59"
"08/01/2005","58"
"08/01/2005","55"
"08/01/2005","39"
"08/01/2005","27"
"08/01/2005","23"
"08/01/2005","17"
"08/01/2005","18"
"08/01/2005","17"
"08/01/2005","14"
"09/01/2005","18"
"09/01/2005","19"
"09/01/2005","20"
"09/01/2005","18"
"09/01/2005","17"
"09/01/2005","18"
"09/01/2005","15"
"09/01/2005","13"
"09/01/2005","11"
"09/01/2005","22"
"09/01/2005","27"
"09/01/2005","35"
"09/01/2005","40"
"09/01/2005","56"
"09/01/2005","67"
"09/01/2005","68"
"09/01/2005","57"
"09/01/2005","35"
"09/01/2005","21"
"09/01/2005","15"
"09/01/2005","15"
"09/01/2005","15"
"09/01/2005","13"
"09/01/2005","13"
"10/01/2005","16"
"10/01/2005","17"
"10/01/2005","15"
"10/01/2005","14"
"10/01/2005","14"
"10/01/2005","7"
"10/01/2005","5"
"10/01/2005","5"
"10/01/2005","5"
"10/01/2005","11"
"10/01/2005","22"
"10/01/2005","41"
"10/01/2005","64"
"10/01/2005","73"
"10/01/2005","85"
"10/01/2005","95"
"10/01/2005","95"
"10/01/2005","85"
"10/01/2005","53"
"10/01/2005","38"
"10/01/2005","33"
"10/01/2005","15"
"10/01/2005","8"
"10/01/2005","19"
"11/01/2005","23"
"11/01/2005","24"
"11/01/2005","24"
"11/01/2005","25"
"11/01/2005","21"
"11/01/2005","14"
"11/01/2005","6"
"11/01/2005","7"
"11/01/2005","10"
"11/01/2005","18"
"11/01/2005","32"
"11/01/2005","54"
"11/01/2005","62"
"11/01/2005","72"
"11/01/2005","77"
"11/01/2005","79"
"11/01/2005","67"
"11/01/2005","53"
"11/01/2005","27"
"11/01/2005","9"
"11/01/2005","14"
"11/01/2005","11"
"11/01/2005","7"
"11/01/2005","7"
"12/01/2005","15"
"12/01/2005","24"
"12/01/2005","15"
"12/01/2005","12"
"12/01/2005","12"
"12/01/2005","9"
"12/01/2005","6"
"12/01/2005","7"
"12/01/2005","10"
"12/01/2005","15"
"12/01/2005","30"
"12/01/2005","56"
"12/01/2005","58"
"12/01/2005","61"
"12/01/2005","70"
"12/01/2005","83"
"12/01/2005","72"
"12/01/2005","46"
"12/01/2005","37"
"12/01/2005","34"
"12/01/2005","18"
"12/01/2005","13"
"12/01/2005","13"
"12/01/2005","18"
"13/01/2005","22"
"13/01/2005","15"
"13/01/2005","19"
"13/01/2005","15"
"13/01/2005","17"
"13/01/2005","8"
"13/01/2005","7"
"13/01/2005","8"
"13/01/2005","10"
"13/01/2005","14"
"13/01/2005","32"
"13/01/2005","59"
"13/01/2005","75"
"13/01/2005","99"
"13/01/2005","116"
"13/01/2005","127"
"13/01/2005","124"
"13/01/2005","67"
"13/01/2005","25"
"13/01/2005","15"
"13/01/2005","15"
