"Fecha","Noroeste.monoxido.de.carbono","Noreste.monoxido.de.carbono","Centro.monoxido.de.carbono","Suroeste.monoxido.de.carbono","Sureste.monoxido.de.carbono"
2005-01-01,42,40,52,27,29
2005-01-01,45,48,55,28,29
2005-01-01,48,59,57,29,31
2005-01-01,52,70,58,29,33
2005-01-01,53,70,54,29,35
2005-01-01,53,69,49,29,37
2005-01-01,50,66,48,29,37
2005-01-01,48,62,46,28,38
2005-01-01,46,59,43,28,41
2005-01-01,47,53,42,29,43
2005-01-01,45,43,41,30,43
2005-01-01,41,35,39,29,41
2005-01-01,38,29,36,27,37
2005-01-01,34,24,30,25,32
2005-01-01,30,20,24,22,27
2005-01-01,25,16,20,20,24
2005-01-01,19,12,16,18,21
2005-01-01,15,10,16,16,19
2005-01-01,13,8,16,15,17
2005-01-01,13,9,18,15,15
2005-01-01,13,11,19,14,16
2005-01-01,14,15,23,14,17
2005-01-01,14,18,24,18,21
2005-01-01,15,22,26,23,25
2005-01-02,16,27,28,25,28
2005-01-02,17,29,28,27,31
2005-01-02,18,30,27,27,31
2005-01-02,18,30,25,27,31
2005-01-02,18,29,24,25,29
2005-01-02,18,28,22,22,29
2005-01-02,18,25,23,18,25
2005-01-02,20,20,24,16,23
2005-01-02,21,18,24,15,21
2005-01-02,21,19,24,15,20
2005-01-02,21,19,22,15,23
2005-01-02,21,19,21,16,25
2005-01-02,21,18,20,17,25
2005-01-02,20,17,19,18,23
2005-01-02,19,15,18,18,23
2005-01-02,16,13,15,16,21
2005-01-02,14,9,13,13,20
2005-01-02,13,7,14,11,19
2005-01-02,13,8,16,10,16
2005-01-02,16,9,20,11,15
2005-01-02,16,13,24,13,15
2005-01-02,16,18,27,13,19
2005-01-02,16,25,28,14,21
2005-01-02,16,30,29,16,24
2005-01-03,17,32,29,18,30
2005-01-03,17,32,28,20,35
2005-01-03,17,32,25,22,36
2005-01-03,16,31,22,22,36
2005-01-03,14,26,19,22,35
2005-01-03,14,21,19,20,32
2005-01-03,15,18,19,19,31
2005-01-03,20,21,21,20,30
2005-01-03,24,22,23,24,28
2005-01-03,28,25,24,25,26
2005-01-03,31,25,25,27,27
2005-01-03,32,25,27,29,27
2005-01-03,32,24,28,31,26
2005-01-03,33,24,28,35,27
2005-01-03,34,23,26,34,26
2005-01-03,29,19,22,26,23
2005-01-03,22,12,19,18,20
2005-01-03,19,9,19,15,19
2005-01-03,19,8,19,14,20
2005-01-03,19,9,20,16,20
2005-01-03,18,11,20,17,21
2005-01-03,19,15,25,19,20
2005-01-03,20,19,31,20,23
2005-01-03,21,24,36,21,26
2005-01-04,23,29,39,22,26
2005-01-04,25,33,41,22,28
