"Fecha","Noroeste.PM10","Noreste.PM10","Centro.PM10","Suroeste.PM10","Sureste.PM10"
2005-01-01,80,116,85,80,87
2005-01-01,84,128,86,81,89
2005-01-01,88,139,87,84,90
2005-01-01,91,149,90,88,94
2005-01-01,94,158,93,92,98
2005-01-01,97,167,97,96,101
2005-01-01,99,174,100,100,105
2005-01-01,100,181,103,104,109
2005-01-01,100,187,104,108,113
2005-01-01,100,191,107,110,115
2005-01-01,101,193,110,111,118
2005-01-01,100,195,110,112,121
2005-01-01,101,193,109,112,121
2005-01-01,101,192,109,112,121
2005-01-01,101,197,108,112,120
2005-01-01,100,196,107,111,119
2005-01-01,99,194,106,110,118
2005-01-01,97,191,105,108,116
2005-01-01,96,190,104,107,115
2005-01-01,95,189,103,107,114
2005-01-01,93,186,102,106,113
2005-01-01,91,181,101,107,112
2005-01-01,89,176,100,106,112
2005-01-01,87,170,99,105,111
2005-01-02,84,161,97,103,110
2005-01-02,80,148,95,99,107
2005-01-02,77,136,93,95,104
2005-01-02,74,124,92,90,98
2005-01-02,71,115,89,86,93
2005-01-02,68,105,85,81,89
2005-01-02,66,97,80,76,84
2005-01-02,64,90,76,72,79
2005-01-02,62,83,73,67,75
2005-01-02,61,77,70,65,72
2005-01-02,60,74,66,63,69
2005-01-02,59,72,65,62,66
2005-01-02,58,72,64,62,63
2005-01-02,57,71,63,60,62
2005-01-02,57,70,64,59,62
2005-01-02,56,71,64,59,62
2005-01-02,57,71,64,59,62
2005-01-02,57,72,64,59,62
2005-01-02,57,71,64,59,62
2005-01-02,57,71,64,59,61
2005-01-02,56,72,63,58,61
2005-01-02,55,72,63,56,60
2005-01-02,54,71,63,55,59
2005-01-02,54,70,62,54,58
2005-01-03,53,69,61,53,57
2005-01-03,52,68,60,53,57
2005-01-03,51,66,59,52,56
2005-01-03,51,65,59,52,56
2005-01-03,51,63,58,51,55
2005-01-03,51,63,58,50,54
2005-01-03,50,63,58,50,54
2005-01-03,51,64,58,50,54
2005-01-03,52,65,58,51,54
2005-01-03,52,65,58,51,54
2005-01-03,53,65,58,51,53
2005-01-03,53,65,57,51,52
2005-01-03,52,65,56,49,51
2005-01-03,53,65,56,49,51
2005-01-03,53,65,56,49,51
2005-01-03,54,65,56,49,51
2005-01-03,53,64,57,50,53
2005-01-03,53,64,57,51,54
2005-01-03,54,66,58,52,55
2005-01-03,56,67,59,53,55
2005-01-03,57,69,59,54,56
2005-01-03,58,71,60,55,57
2005-01-03,59,73,60,56,58
2005-01-03,59,74,61,57,58
2005-01-04,61,74,62,58,59
2005-01-04,63,75,63,58,59
2005-01-04,63,76,64,58,59
2005-01-04,65,77,64,58,59
2005-01-04,65,79,65,58,59
2005-01-04,64,79,66,59,60
