"Fecha","Noroeste.PM10","Noreste.PM10","Centro.PM10","Suroeste.PM10","Sureste.PM10"
"01/01/2019",64,94,57,38,52
"01/01/2019",70,103,63,43,60
"01/01/2019",77,107,74,51,77
"01/01/2019",91,115,84,61,96
"01/01/2019",101,125,93,70,103
"01/01/2019",105,135,101,77,107
"01/01/2019",107,143,103,81,111
"01/01/2019",109,150,105,84,116
"01/01/2019",110,157,107,88,117
"01/01/2019",112,161,108,93,117
"01/01/2019",112,164,110,94,118
"01/01/2019",113,166,111,93,119
"01/01/2019",113,163,112,93,118
"01/01/2019",113,159,113,93,120
"01/01/2019",113,159,114,94,119
"01/01/2019",113,163,114,94,119
"01/01/2019",114,162,115,97,118
"01/01/2019",114,162,115,100,117
"01/01/2019",115,162,115,101,117
"01/01/2019",116,162,115,101,117
"01/01/2019",115,161,115,101,117
"01/01/2019",114,163,114,101,116
"01/01/2019",114,160,115,100,114
"01/01/2019",114,159,115,96,114
"02/01/2019",113,155,114,93,113
"02/01/2019",111,151,113,88,112
"02/01/2019",108,147,113,81,110
"02/01/2019",105,139,112,71,108
"02/01/2019",103,131,111,65,107
"02/01/2019",96,122,108,58,106
"02/01/2019",90,114,107,54,104
"02/01/2019",86,109,105,55,102
"02/01/2019",84,108,105,55,100
"02/01/2019",86,107,105,55,97
"02/01/2019",87,107,105,55,94
"02/01/2019",90,107,105,57,93
"02/01/2019",91,106,105,60,93
"02/01/2019",97,107,105,63,96
"02/01/2019",99,107,105,64,96
"02/01/2019",100,107,105,67,93
"02/01/2019",100,107,106,68,91
"02/01/2019",99,108,106,70,93
"02/01/2019",99,108,106,67,94
"02/01/2019",99,109,106,67,94
"02/01/2019",100,109,106,65,96
"02/01/2019",101,110,106,64,96
"02/01/2019",101,109,106,61,96
"02/01/2019",102,108,106,60,94
"03/01/2019",102,109,106,58,93
"03/01/2019",102,109,106,57,91
"03/01/2019",102,110,106,55,91
"03/01/2019",101,111,106,55,90
"03/01/2019",101,112,105,58,88
"03/01/2019",101,112,105,58,88
"03/01/2019",101,113,104,58,86
"03/01/2019",101,114,103,58,83
"03/01/2019",101,115,102,60,83
"03/01/2019",102,116,102,60,86
"03/01/2019",102,116,100,60,86
"03/01/2019",101,114,99,55,86
"03/01/2019",101,114,97,52,87
"03/01/2019",102,114,99,52,84
"03/01/2019",102,114,99,51,84
"03/01/2019",102,115,97,50,81
"03/01/2019",102,116,94,49,80
"03/01/2019",102,116,93,49,80
"03/01/2019",100,116,94,49,80
"03/01/2019",101,117,94,50,77
"03/01/2019",102,117,94,51,74
"03/01/2019",103,116,94,54,73
"03/01/2019",104,117,96,57,76
"03/01/2019",105,118,97,58,76
"04/01/2019",106,118,99,60,77
"04/01/2019",106,118,99,63,80
"04/01/2019",106,118,99,63,81
"04/01/2019",107,119,99,64,81
"04/01/2019",107,122,100,63,83
"04/01/2019",107,122,100,64,86
"04/01/2019",107,121,100,64,84
"04/01/2019",107,121,100,64,84
"04/01/2019",108,121,101,64,83
"04/01/2019",108,121,101,65,78
"04/01/2019",108,121,101,65,80
"04/01/2019",109,121,100,65,78
"04/01/2019",108,121,97,67,76
"04/01/2019",107,119,93,70,74
"04/01/2019",107,117,91,71,73
"04/01/2019",107,116,90,74,74
"04/01/2019",107,115,91,74,74
"04/01/2019",108,115,93,74,74
"04/01/2019",108,116,93,76,77
"04/01/2019",108,115,93,76,77
"04/01/2019",107,114,91,74,78
"04/01/2019",105,114,90,73,80
"04/01/2019",105,113,90,74,81
"04/01/2019",104,112,90,73,80
"05/01/2019",103,112,90,73,80
"05/01/2019",103,112,90,74,81
"05/01/2019",102,113,90,74,83
"05/01/2019",102,113,91,73,84
"05/01/2019",102,113,93,74,87
"05/01/2019",102,113,94,74,88
"05/01/2019",102,114,96,74,88
"05/01/2019",101,112,97,74,90
"05/01/2019",100,112,94,76,90
"05/01/2019",100,113,94,76,93
"05/01/2019",101,112,96,74,94
"05/01/2019",102,114,97,74,93
"05/01/2019",102,116,101,76,93
"05/01/2019",102,117,102,76,96
"05/01/2019",102,117,103,74,97
"05/01/2019",101,117,103,74,101
"05/01/2019",101,117,103,74,101
"05/01/2019",100,117,104,74,101
"05/01/2019",99,116,104,74,102
"05/01/2019",97,116,105,74,103
"05/01/2019",99,116,105,74,103
"05/01/2019",99,116,106,74,102
"05/01/2019",97,116,105,74,102
"05/01/2019",97,116,105,73,102
"06/01/2019",96,116,105,73,102
"06/01/2019",94,116,105,71,102
"06/01/2019",93,115,104,71,102
