"Fecha","NO","NE","CE","SO","SE"
"ene.",6.5409604519774,8.50423728813559,6.47316384180791,5.29237288135593,5.63865546218487
"feb.",6.99228395061728,7.52469135802469,5.92283950617284,3.93672839506173,5.53395061728395
"mar.",5.13725490196078,7.60924369747899,4.87675070028011,3.36834733893557,5.33893557422969
"abr.",4.70537010159652,5.22206095791001,4.21915820029028,3.322206095791,4.16835994194485
"may.",5.39124293785311,4.76694915254237,5.04237288135593,3.52966101694915,4.25423728813559
"jun.",4.02753623188406,4.6536231884058,4.21014492753623,2.86811594202899,3.73188405797101
"jul.",4.24509803921569,5.16526610644258,4.33193277310924,3.27871148459384,4.10924369747899
"ago.",4.24789915966387,4.59243697478992,4.30952380952381,3.11624649859944,3.92997198879552
"sep.",4.2848751835536,4.82173913043478,4.28260869565217,3.06811594202899,3.72028985507246
"oct.",4.92436974789916,5.64705882352941,4.59943977591036,3.47058823529412,3.89355742296919
"nov.",5.42960812772133,6.73478260869565,5.30434782608696,4.03913043478261,5.24242424242424
"dic.",6.90909090909091,9.24335664335664,7.12447552447552,4.77202797202797,7.47132867132867
