"Fecha","NO","NE","CE","SO","SE"
"ene.",18.319944598338,17.6398891966759,19.4916897506925,15.7590027700831,14.6094182825485
"feb.",16.8734756097561,16.3871951219512,16.9634146341463,13.1676829268293,12.7256097560976
"mar.",16.1701244813278,16.0802213001383,16.643153526971,12.417704011065,13.5560165975104
"abr.",16.7257142857143,15.0971428571429,16.27,11.7828571428571,11.0828571428571
"may.",16.1583333333333,14.8416666666667,16.1347222222222,11.0819444444444,10.7277777777778
"jun.",12.4657142857143,12.0628571428571,13.34,9.83428571428571,10.7142857142857
"jul.",12.9930939226519,14.1022099447514,15.1104972375691,11.3577348066298,12.1616022099448
"ago.",12.6339779005525,12.5138121546961,13.8508287292818,12.9254143646409,11.2651933701657
"sep.",11.8642857142857,11.8342857142857,12.9842857142857,9.45857142857143,10.7114285714286
"oct.",13.2182320441989,11.9779005524862,13.3259668508287,10.1477900552486,10.6160220994475
"nov.",15.1528571428571,15.1614285714286,16.2842857142857,12.8828571428571,12.8414285714286
"dic.",19.9433701657459,18.9433701657459,20.310773480663,16.6187845303867,17.3701657458564
