"Fecha","NO","NE","CE","SO","SE"
"ene.",25.2631578947368,25.8102493074792,22.2742382271468,32.6357340720222,27.1606648199446
"feb.",26.6478658536585,28.0762195121951,24.3018292682927,30.8475609756098,27.4100609756098
"mar.",35.5878284923928,36.2392807745505,31.3347164591978,40.045643153527,34.0788381742739
"abr.",46.7457142857143,46.7514285714286,42.0257142857143,49.7514285714286,44.6857142857143
"may.",42.7583333333333,47.2111111111111,42.3611111111111,51.6847222222222,50.9569444444444
"jun.",28.02,30.8685714285714,29.2471428571429,33.3314285714286,32.0614285714286
"jul.",26.310773480663,27.6339779005525,26.4267955801105,30.2444751381215,27.9419889502762
"ago.",29.024861878453,29.3687845303867,30.2306629834254,34.2541436464088,30.2154696132597
"sep.",23.7542857142857,25.6914285714286,25.6942857142857,30.3171428571429,26.6995708154506
"oct.",20.9558011049724,22.2417127071823,18.7417127071823,24.9972375690608,21.871546961326
"nov.",19.5714285714286,21.6371428571429,18.8957142857143,25.3271428571429,24.1242857142857
"dic.",21.1049723756906,23.0511049723757,20.1823204419889,30.0732044198895,25.6325966850829
