"Fecha","NO","NE","CE","SO","SE"
"ene.",7.75806451612903,8.30376344086022,6.24731182795699,4.61155913978495,3.50940860215054
"feb.",4.78869047619048,4.11458333333333,3.21875,3.01339285714286,2.36904761904762
"mar.",8.84677419354839,8.44086021505376,5.38172043010753,3.39516129032258,4.25134408602151
"abr.",5.44583333333333,4.55416666666667,3.64444444444444,2.29305555555556,2.32222222222222
"may.",10.1827956989247,8.22311827956989,7.87231182795699,3.93817204301075,4.28494623655914
"jun.",9.52222222222222,5.70833333333333,5.83055555555556,4.65277777777778,3.73888888888889
"jul.",10.9758064516129,8.89247311827957,4.95430107526882,3.63172043010753,3.49193548387097
"ago.",11.9059139784946,5.88709677419355,7.14784946236559,3.9247311827957,3.38978494623656
"sep.",12.6916666666667,6.59444444444444,7.975,5.24166666666667,4.65531914893617
"oct.",11.4059139784946,6.75,6.85752688172043,4.87096774193548,4.94623655913978
"nov.",23.3888888888889,18.2486111111111,14.9861111111111,9.59722222222222,7.84444444444444
"dic.",22.4650537634409,15.991935483871,14.1478494623656,10.1344086021505,7.39784946236559
