"Fecha","NO","NE","CE","SO","SE"
"ene.",20.752688172043,16.5618279569892,16.635752688172,9.20967741935484,9.30645161290323
"feb.",19.1867816091954,20.2112068965517,14.7126436781609,8.48275862068965,8.6264367816092
"mar.",18.005376344086,13.7809139784946,13.4462365591398,9.97311827956989,10.1801075268817
"abr.",9.33888888888889,7.96666666666667,6.7,3.49722222222222,5.79722222222222
"may.",8.11559139784946,5.13978494623656,4.02150537634409,3.1505376344086,2.88709677419355
"jun.",15.9430555555556,9.21805555555556,7.10277777777778,7.28611111111111,4.09722222222222
"jul.",6.3257065948856,4.17741935483871,3.13324360699865,2.80484522207268,2.09421265141319
"ago.",5.79569892473118,4.70698924731183,3.38172043010753,3.72849462365591,3.61290322580645
"sep.",10.8208333333333,5.51944444444444,5.54722222222222,6.225,3.97777777777778
"oct.",19.1720430107527,15.877688172043,14.5161290322581,10.3387096774194,11.0510752688172
"nov.",14.975,10.6388888888889,12.9194444444444,10.2027777777778,7.59166666666667
"dic.",17.2715053763441,16.4005376344086,14.6155913978495,9.0510752688172,8.02150537634409
