FECHA,HORA,TAC,FAC,SAG,TLA,XAL,MER,PED,CES,HAN,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,SUR
01/01/2005,1,32,69,65,90,72,95,38,70,78,89,58,61,81,89,75,70,70,69
01/01/2005,2,30,61,59,71,73,85,44,61,74,89,57,63,72,76,70,65,60,60
01/01/2005,3,28,57,59,61,71,77,43,59,65,89,60,69,70,61,69,64,56,58
01/01/2005,4,27,54,61,61,70,68,53,59,63,88,57,54,67,70,64,65,58,56
01/01/2005,5,27,50,61,60,71,67,54,57,54,82,53,45,66,69,61,61,58,58
01/01/2005,6,28,48,42,55,64,67,62,54,48,81,50,40,58,71,61,60,54,54
01/01/2005,7,26,39,36,53,55,67,55,48,45,78,45,45,52,64,56,59,54,52
01/01/2005,8,28,37,37,49,49,70,50,44,38,79,36,46,51,61,53,55,52,46
01/01/2005,9,29,37,43,53,59,83,65,58,31,93,37,49,53,65,55,69,51,60
01/01/2005,10,41,40,48,71,85,90,70,69,56,118,56,44,80,105,65,103,44,60
01/01/2005,11,40,58,58,68,81,104,59,105,59,92,44,43,80,83,63,88,87,35
01/01/2005,12,32,47,22,49,38,69,29,84,26,55,42,32,56,53,53,55,75,29
01/01/2005,13,27,40,16,40,22,32,20,53,26,45,36,17,59,38,45,30,67,33
01/01/2005,14,18,36,15,19,14,37,40,33,31,36,37,11,52,30,27,16,52,31
01/01/2005,15,14,27,11,22,12,22,41,11,23,28,22,7,39,26,29,8,31,24
01/01/2005,16,13,29,15,23,21,20,23,11,16,21,21,8,33,18,21,8,21,15
01/01/2005,17,17,26,19,22,14,21,13,22,30,20,22,10,23,27,20,9,19,11
01/01/2005,18,15,43,31,28,13,28,17,29,48,29,26,15,33,37,34,11,17,13
01/01/2005,19,20,40,42,44,24,49,31,42,53,31,45,25,52,47,50,26,38,24
01/01/2005,20,19,51,49,62,48,76,37,47,65,52,27,21,58,67,37,34,48,51
01/01/2005,21,27,22,62,58,67,77,52,52,56,61,25,37,51,74,59,56,72,66
01/01/2005,22,20,17,57,40,67,79,58,59,71,48,20,27,45,63,33,65,71,58
01/01/2005,23,24,23,25,47,67,67,44,63,67,43,19,29,60,62,55,69,74,60
01/01/2005,24,30,34,30,44,61,79,27,56,66,45,19,40,65,67,60,69,66,58
02/01/2005,1,24,49,40,40,53,80,20,48,53,39,17,40,46,70,59,64,52,56
02/01/2005,2,18,23,35,54,42,73,15,47,50,35,22,34,44,66,40,58,49,50
02/01/2005,3,15,19,33,49,42,67,13,36,43,46,22,32,31,51,26,46,46,45
02/01/2005,4,14,15,28,40,40,59,17,20,37,52,20,23,25,46,38,37,35,33
02/01/2005,5,16,12,32,33,39,53,14,23,39,63,21,19,29,49,30,38,38,40
02/01/2005,6,16,21,30,32,39,52,13,16,27,53,27,26,20,48,27,27,40,38
02/01/2005,7,18,26,29,40,34,50,25,30,28,49,32,23,29,50,34,36,35,36
02/01/2005,8,22,36,28,42,33,56,30,32,27,44,38,20,39,49,42,36,39,38
02/01/2005,9,24,31,41,44,49,83,38,47,29,49,37,22,49,51,44,50,38,39
02/01/2005,10,36,51,53,53,42,83,44,70,30,68,37,27,74,77,62,77,47,40
02/01/2005,11,41,49,43,73,44,77,42,74,26,52,35,27,64,62,53,56,111,40
02/01/2005,12,42,41,25,76,30,64,29,64,20,36,75,23,56,51,67,44,93,47
02/01/2005,13,26,50,14,41,16,40,42,49,23,27,40,13,52,32,40,32,48,45
02/01/2005,14,16,29,14,22,16,34,30,20,44,22,26,10,34,26,23,16,28,20
02/01/2005,15,13,20,12,18,18,26,17,17,19,19,16,10,19,22,19,7,27,9
02/01/2005,16,13,20,14,23,16,27,8,27,17,20,17,10,19,18,21,6,25,10
02/01/2005,17,11,23,22,21,13,20,8,29,22,24,22,13,13,24,22,6,18,9
02/01/2005,18,12,27,32,25,15,25,10,30,42,30,26,23,20,35,32,9,29,14
02/01/2005,19,16,44,36,38,25,43,33,33,51,38,43,32,45,37,48,15,29,30
02/01/2005,20,20,47,40,50,28,54,33,34,49,34,54,38,48,44,50,33,40,40
02/01/2005,21,21,33,41,49,42,56,36,38,47,50,34,32,48,49,51,38,45,46
02/01/2005,22,22,16,42,41,46,60,43,41,50,43,23,24,44,51,41,45,50,42
