FECHA,HORA,VAL,SUR,TAC,FAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,TAX
01/01/2005,1,23,20,20,-99,-99,20,16,15,42,53,34,20,10,22,51,34,41,43,23,17,-99,11,19,13
01/01/2005,2,42,20,21,-99,-99,36,16,17,43,60,43,20,13,23,56,37,51,40,43,18,-99,17,24,13
01/01/2005,3,44,21,21,-99,-99,29,18,19,49,52,46,18,16,23,56,43,50,34,45,20,-99,21,23,13
01/01/2005,4,36,21,20,-99,-99,26,26,20,37,41,45,17,13,22,55,45,46,28,27,17,-99,16,24,14
01/01/2005,5,36,22,18,-99,-99,28,21,22,29,34,45,17,12,23,50,40,45,24,19,16,-99,16,23,15
01/01/2005,6,26,22,16,-99,-99,29,16,20,21,28,44,20,19,22,46,38,46,20,17,15,-99,13,23,15
01/01/2005,7,25,21,16,-99,-99,29,14,18,16,23,42,19,17,21,41,35,43,18,16,18,-99,11,23,14
01/01/2005,8,23,20,16,-99,-99,27,11,16,12,21,40,20,16,20,37,33,41,16,15,15,-99,9,22,13
01/01/2005,9,25,21,17,-99,-99,32,10,23,15,21,43,25,21,22,33,32,42,22,17,17,-99,11,24,14
01/01/2005,10,26,19,18,-99,-99,37,15,23,17,27,44,25,21,24,35,36,42,27,15,22,-99,13,22,14
01/01/2005,11,25,21,16,-99,-99,34,14,28,17,26,41,27,22,29,36,33,42,25,23,22,-99,13,24,19
01/01/2005,12,18,19,13,-99,-99,23,12,18,13,17,33,25,20,24,28,25,38,18,25,16,-99,11,19,18
01/01/2005,13,14,12,12,-99,-99,19,9,13,12,13,24,20,11,22,20,-99,31,14,14,15,-99,9,16,16
01/01/2005,14,11,9,12,-99,-99,15,10,10,9,8,18,18,11,17,17,14,22,12,9,13,-99,8,13,13
01/01/2005,15,10,5,13,-99,-99,13,13,8,9,8,12,15,10,13,12,11,14,9,6,11,-99,6,10,11
01/01/2005,16,9,2,14,-99,-99,11,17,6,7,5,10,14,6,10,7,6,7,8,6,10,-99,3,9,8
01/01/2005,17,8,0,16,-99,-99,9,24,5,5,4,8,14,4,8,7,4,4,7,6,9,-99,0,8,7
01/01/2005,18,7,0,14,-99,-99,6,29,5,6,3,6,14,4,8,10,2,3,6,6,10,-99,0,9,5
01/01/2005,19,8,0,13,-99,-99,6,32,7,7,4,6,11,5,8,10,2,3,6,6,9,-99,0,11,5
01/01/2005,20,8,1,10,-99,-99,7,31,9,7,6,8,13,6,8,12,3,6,9,6,10,-99,1,11,5
01/01/2005,21,10,5,11,-99,-99,7,30,10,13,8,13,16,7,9,15,6,7,13,8,10,-99,3,13,7
01/01/2005,22,11,8,14,-99,-99,8,27,12,20,32,16,18,9,10,23,10,8,40,8,10,-99,6,15,7
01/01/2005,23,46,15,20,-99,-99,6,40,8,67,68,22,42,9,12,32,11,40,46,23,11,-99,5,19,9
01/01/2005,24,46,19,12,-99,-99,-99,64,10,68,66,26,69,8,13,52,12,49,54,42,12,-99,4,38,9
02/01/2005,1,40,19,8,-99,-99,-99,51,11,33,71,31,52,7,14,26,12,53,39,20,15,-99,3,31,8
02/01/2005,2,54,17,8,-99,-99,-99,22,11,10,40,31,31,6,15,25,11,39,22,22,13,-99,3,21,8
02/01/2005,3,20,15,8,-99,-99,-99,16,10,8,16,30,19,5,14,24,11,34,16,21,12,-99,3,16,8
02/01/2005,4,10,12,8,-99,-99,-99,18,8,8,12,29,19,4,13,24,12,23,15,22,11,-99,2,17,7
02/01/2005,5,11,10,7,-99,-99,-99,14,8,8,8,27,18,4,12,26,11,17,13,14,12,-99,2,14,7
02/01/2005,6,12,8,7,-99,-99,-99,8,7,8,9,23,14,4,11,20,8,14,12,13,11,-99,1,15,7
02/01/2005,7,10,7,7,-99,-99,-99,6,7,7,7,22,14,4,10,20,7,13,10,8,10,-99,2,14,7
02/01/2005,8,10,9,7,-99,-99,-99,8,8,7,7,21,19,4,10,19,9,13,10,6,10,-99,1,14,7
02/01/2005,9,14,11,9,-99,-99,-99,12,21,9,10,29,34,7,12,23,12,16,16,10,11,-99,4,16,8
02/01/2005,10,13,11,11,-99,-99,-99,13,24,11,11,37,31,10,14,28,21,21,17,13,12,-99,8,17,9
02/01/2005,11,19,12,11,-99,-99,-99,17,28,17,20,37,27,12,18,27,25,40,16,27,13,-99,9,17,14
02/01/2005,12,19,11,10,-99,-99,-99,14,17,13,17,26,24,10,16,18,17,27,21,26,13,-99,8,15,16
02/01/2005,13,11,10,9,-99,-99,-99,9,10,12,10,17,16,9,15,13,10,14,16,17,12,-99,7,11,12
02/01/2005,14,8,5,9,-99,-99,-99,10,9,7,6,13,13,7,10,10,8,6,9,9,9,-99,4,7,7
02/01/2005,15,6,1,10,-99,-99,-99,13,6,6,4,9,10,4,8,5,4,2,6,6,9,-99,1,5,6
02/01/2005,16,6,0,11,-99,-99,-99,16,5,6,4,7,10,3,7,3,2,1,6,6,9,-99,0,5,6
02/01/2005,17,5,0,11,-99,-99,-99,23,4,6,2,5,9,2,7,3,1,1,6,5,8,-99,0,5,5
02/01/2005,18,6,0,11,-99,-99,-99,28,5,5,2,5,9,2,7,6,1,0,6,6,8,-99,0,7,5
02/01/2005,19,7,0,11,-99,-99,-99,32,8,6,2,7,8,4,7,10,3,1,6,6,8,-99,0,8,4
02/01/2005,20,10,0,10,-99,-99,-99,36,9,7,3,8,9,4,7,20,2,2,8,6,8,-99,0,10,4
02/01/2005,21,10,1,10,-99,-99,-99,39,8,9,10,10,12,5,9,26,7,3,31,9,9,-99,2,12,5
02/01/2005,22,40,3,23,-99,-99,-99,51,8,57,67,12,32,9,9,32,10,34,39,55,9,-99,12,14,8
02/01/2005,23,51,7,13,-99,-99,-99,65,16,22,21,16,56,9,11,75,14,50,15,114,10,-99,13,43,20
02/01/2005,24,49,10,8,-99,-99,-99,59,30,22,35,19,37,8,11,33,15,61,12,125,21,-99,6,32,10
03/01/2005,1,45,12,6,-99,-99,-99,59,41,13,9,22,32,7,12,52,22,42,7,115,12,-99,5,26,12
03/01/2005,2,29,14,6,-99,-99,-99,37,56,9,6,24,24,6,15,66,39,12,7,46,15,-99,4,42,11
03/01/2005,3,24,15,6,-99,-99,-99,59,36,8,5,25,35,5,16,79,53,7,5,24,14,-99,4,44,11
03/01/2005,4,24,13,6,-99,-99,-99,52,18,7,3,25,47,4,13,54,32,5,4,18,12,-99,2,21,10
03/01/2005,5,35,11,5,-99,-99,-99,32,14,6,2,23,35,3,12,42,21,5,4,12,12,-99,2,23,9
03/01/2005,6,22,8,6,-99,-99,-99,22,10,6,2,18,27,3,10,28,15,8,4,8,13,-99,2,16,9
03/01/2005,7,12,8,7,-99,-99,-99,17,10,6,4,17,21,4,10,16,11,8,5,6,12,-99,2,27,9
03/01/2005,8,15,11,9,-99,-99,-99,18,11,8,8,18,26,6,12,16,15,13,7,5,12,-99,5,25,11
03/01/2005,9,15,19,13,-99,-99,-99,24,34,12,14,40,37,16,15,16,18,21,12,6,15,-99,10,23,13
03/01/2005,10,27,24,20,-99,-99,-99,39,35,25,31,58,56,35,20,49,38,38,26,10,19,-99,29,32,22
03/01/2005,11,36,27,21,-99,-99,-99,43,44,32,35,64,52,27,23,58,44,47,35,26,24,-99,26,28,22
03/01/2005,12,29,22,19,-99,-99,-99,27,36,25,27,51,34,14,20,45,36,37,21,28,-99,-99,15,17,19
03/01/2005,13,18,14,16,-99,-99,-99,15,18,17,19,34,21,10,13,24,17,25,20,16,-99,-99,-99,10,14
03/01/2005,14,12,11,15,-99,-99,-99,13,15,10,14,27,15,8,12,13,12,-99,18,11,-99,-99,-99,9,13
03/01/2005,15,10,6,15,-99,-99,-99,16,11,8,10,20,13,6,12,11,7,-99,14,8,-99,-99,7,9,10
03/01/2005,16,9,4,16,-99,-99,-99,23,8,8,8,17,13,5,10,8,6,-99,11,7,5,-99,5,9,9
03/01/2005,17,9,3,16,-99,-99,-99,30,7,7,8,12,12,5,9,9,3,-99,9,7,4,-99,4,8,10
03/01/2005,18,9,1,15,-99,-99,-99,35,7,8,6,14,12,4,8,9,2,-99,9,7,2,-99,3,8,7
03/01/2005,19,9,0,14,-99,-99,-99,37,7,8,7,11,10,4,7,9,1,-99,10,6,1,-99,2,9,7
03/01/2005,20,11,1,14,-99,-99,-99,36,8,7,7,13,9,6,7,12,5,-99,13,4,2,-99,3,10,6
03/01/2005,21,8,6,15,-99,-99,-99,40,7,9,20,19,13,9,9,16,6,-99,47,5,2,-99,4,12,7
03/01/2005,22,17,9,19,-99,-99,-99,38,8,31,43,20,17,11,9,24,9,-99,40,5,3,-99,8,12,7
03/01/2005,23,29,9,15,-99,-99,-99,36,9,31,33,24,18,9,10,30,9,-99,23,18,4,-99,6,12,7
03/01/2005,24,29,11,12,-99,-99,-99,30,9,17,30,24,19,8,13,34,12,-99,12,23,4,-99,6,14,8
04/01/2005,1,22,13,9,-99,-99,-99,25,9,10,16,26,15,6,12,36,14,-99,8,14,3,-99,5,14,8
04/01/2005,2,14,12,8,-99,-99,-99,20,9,8,8,28,14,4,11,39,16,-99,8,7,4,-99,5,12,8
04/01/2005,3,11,12,7,-99,-99,-99,18,9,7,7,29,13,4,11,39,16,-99,8,10,4,-99,4,13,8
04/01/2005,4,9,11,7,-99,-99,-99,15,8,7,8,29,12,4,10,33,16,-99,9,10,3,-99,4,17,8
04/01/2005,5,9,11,6,-99,-99,-99,12,8,6,7,28,14,3,10,30,15,-99,7,7,3,-99,3,15,8
04/01/2005,6,9,9,6,-99,-99,-99,8,9,5,8,26,13,3,9,26,14,-99,7,7,3,-99,3,16,8
04/01/2005,7,12,10,7,-99,-99,-99,7,9,6,9,25,15,3,4,23,14,-99,8,7,2,-99,3,18,8
04/01/2005,8,14,15,8,-99,-99,-99,11,12,9,13,26,17,8,10,19,19,-99,11,9,4,-99,5,22,9
04/01/2005,9,17,20,10,-99,-99,-99,15,22,12,16,40,23,10,15,21,20,-99,16,14,5,-99,7,25,12
