FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,PLA,SAG,TAX,IZT
01/01/2007,1,90,75,118,69,76,100,-99,126,142,109,92,139,76,71,-99
01/01/2007,2,99,117,87,104,191,88,-99,107,126,180,79,248,96,116,-99
01/01/2007,3,96,105,108,116,117,83,-99,93,104,89,66,90,53,116,-99
01/01/2007,4,93,85,102,93,67,83,-99,91,91,72,37,68,31,73,-99
01/01/2007,5,79,74,83,67,47,78,-99,77,97,58,39,53,30,73,-99
01/01/2007,6,88,60,58,49,-99,60,-99,69,102,54,43,53,31,60,-99
01/01/2007,7,59,59,80,55,-99,61,-99,61,94,54,40,48,29,61,-99
01/01/2007,8,50,54,62,61,-99,61,-99,50,79,55,40,45,41,64,-99
01/01/2007,9,49,48,68,51,47,65,-99,21,90,53,35,49,69,66,-99
01/01/2007,10,64,43,65,56,50,82,-99,6,81,63,42,43,53,69,-99
01/01/2007,11,90,58,60,86,59,97,-99,32,81,75,47,58,61,84,-99
01/01/2007,12,109,78,88,91,62,96,-99,74,83,82,61,68,74,94,-99
01/01/2007,13,106,89,87,92,67,99,-99,93,62,93,75,76,70,102,-99
01/01/2007,14,92,83,70,79,67,88,-99,68,62,91,79,72,71,95,-99
01/01/2007,15,82,75,52,71,64,78,-99,72,55,74,80,75,62,74,-99
01/01/2007,16,40,83,63,29,29,34,-99,74,17,25,70,42,81,12,-99
01/01/2007,17,62,71,94,48,12,31,-99,50,17,32,74,34,81,22,-99
01/01/2007,18,72,62,78,70,74,29,-99,43,52,50,55,76,58,35,-99
01/01/2007,19,65,61,71,61,63,52,-99,41,39,76,41,56,44,86,-99
01/01/2007,20,53,29,69,44,53,60,-99,25,55,69,48,59,33,75,-99
01/01/2007,21,34,31,52,29,54,38,-99,26,56,53,42,47,26,45,-99
01/01/2007,22,27,28,44,26,54,32,-99,20,28,50,40,48,27,40,-99
01/01/2007,23,21,37,30,22,42,29,-99,18,25,45,35,46,14,43,-99
01/01/2007,24,38,48,23,36,44,27,-99,33,30,43,44,44,19,48,-99
02/01/2007,1,44,52,20,20,44,37,-99,25,28,38,45,53,16,39,-99
02/01/2007,2,34,46,19,11,34,16,-99,20,27,31,44,48,24,15,-99
02/01/2007,3,48,50,30,15,35,10,-99,38,33,13,44,38,23,14,-99
02/01/2007,4,20,58,36,19,33,15,-99,40,31,13,47,39,33,19,-99
02/01/2007,5,24,59,51,20,30,23,-99,32,28,23,44,33,61,31,-99
02/01/2007,6,30,43,55,25,17,15,-99,31,29,27,41,26,35,34,-99
02/01/2007,7,40,69,100,51,25,23,-99,36,30,33,45,29,45,41,-99
02/01/2007,8,103,118,141,67,37,42,-99,50,44,43,58,55,63,58,-99
02/01/2007,9,96,93,140,62,43,66,-99,82,58,44,86,67,73,55,-99
02/01/2007,10,135,103,152,83,51,69,-99,80,69,59,58,58,69,84,-99
02/01/2007,11,147,146,140,89,28,89,-99,106,53,65,81,71,86,97,-99
02/01/2007,12,140,138,121,76,63,97,-99,97,41,100,83,-99,79,110,-99
02/01/2007,13,87,-99,46,51,61,67,-99,59,-99,-99,87,67,46,86,-99
02/01/2007,14,25,-99,18,24,-99,-99,-99,-99,1,-99,25,45,24,-99,-99
02/01/2007,15,-99,42,-99,-99,-99,-99,-99,-99,6,-99,-99,-99,-99,-99,-99
02/01/2007,16,-99,-99,-99,-99,-99,27,-99,-99,32,23,-99,-99,19,-99,-99
02/01/2007,17,11,36,40,-99,6,32,-99,-99,23,33,16,9,21,-99,-99
02/01/2007,18,20,39,39,7,10,23,-99,23,33,9,16,-99,17,-99,-99
02/01/2007,19,24,32,52,13,14,41,-99,113,26,44,30,7,34,-99,-99
02/01/2007,20,30,39,66,-99,12,36,-99,234,13,20,46,13,61,27,-99
02/01/2007,21,45,101,85,-99,17,33,-99,102,50,13,48,53,40,31,-99
02/01/2007,22,51,99,154,-99,15,44,-99,73,40,25,62,29,57,48,-99
02/01/2007,23,118,53,144,93,24,37,-99,72,42,46,42,34,74,42,-99
02/01/2007,24,90,41,83,68,21,32,-99,72,23,49,23,-99,62,57,-99
03/01/2007,1,74,28,93,42,23,51,-99,39,18,26,25,13,62,72,-99
03/01/2007,2,48,30,85,67,16,60,-99,54,14,36,20,20,42,48,-99
03/01/2007,3,66,20,71,53,15,52,-99,27,24,47,10,17,35,70,-99
03/01/2007,4,-99,20,79,51,13,48,-99,36,20,44,13,19,47,61,-99
03/01/2007,5,41,26,77,43,13,46,-99,-99,21,32,12,38,43,57,-99
03/01/2007,6,68,35,81,29,19,50,-99,32,22,61,16,10,42,61,-99
03/01/2007,7,80,80,113,65,24,49,-99,59,27,41,23,19,49,73,-99
03/01/2007,8,79,64,143,77,34,60,-99,80,41,80,47,40,71,82,-99
03/01/2007,9,107,82,139,78,50,73,-99,116,54,78,62,78,70,84,-99
03/01/2007,10,111,89,182,75,69,71,-99,119,63,70,68,77,98,65,-99
03/01/2007,11,-99,74,56,-99,75,67,-99,179,59,81,-99,86,89,85,-99
03/01/2007,12,-99,91,49,-99,75,77,-99,114,23,79,-99,72,57,84,-99
03/01/2007,13,-99,56,80,-99,69,63,-99,94,-99,70,-99,70,32,81,-99
03/01/2007,14,-99,50,17,-99,50,-99,-99,24,94,-99,-99,57,25,-99,-99
03/01/2007,15,-99,39,84,-99,-99,48,-99,-99,31,57,-99,-99,49,-99,-99
03/01/2007,16,-99,-99,-99,27,9,32,-99,58,40,24,-99,17,125,-99,-99
03/01/2007,17,30,56,66,28,18,38,-99,14,42,28,17,10,52,27,-99
03/01/2007,18,16,39,57,21,15,48,-99,60,36,44,30,14,49,21,-99
03/01/2007,19,38,36,55,28,21,23,-99,58,48,38,21,15,41,15,-99
03/01/2007,20,45,34,72,32,20,48,-99,65,43,25,30,27,48,27,-99
03/01/2007,21,53,41,74,30,33,52,-99,76,42,27,31,27,48,20,-99
03/01/2007,22,46,50,22,35,30,35,-99,59,3,19,43,34,29,12,-99
03/01/2007,23,69,42,21,36,30,27,-99,41,27,32,35,38,23,13,-99
03/01/2007,24,89,49,61,25,15,-99,-99,105,54,47,46,9,19,13,-99
04/01/2007,1,70,38,67,24,19,-99,-99,98,32,39,42,18,25,8,-99
04/01/2007,2,44,32,63,25,9,-99,-99,109,16,10,42,10,24,7,-99
