FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
01/01/2010,1,41,86,50,47,78,68,121,-99,62
01/01/2010,2,66,86,75,86,102,143,225,-99,75
01/01/2010,3,90,116,93,92,119,148,214,-99,54
01/01/2010,4,63,154,86,79,50,47,93,-99,17
01/01/2010,5,17,92,94,29,23,35,37,-99,16
01/01/2010,6,40,60,65,24,26,33,27,-99,20
01/01/2010,7,54,26,48,20,19,27,19,-99,13
01/01/2010,8,36,17,22,19,12,15,13,-99,12
01/01/2010,9,24,20,18,14,8,12,19,-99,-99
01/01/2010,10,17,16,16,10,12,9,21,-99,5
01/01/2010,11,19,13,11,3,5,11,32,-99,3
01/01/2010,12,13,16,11,12,6,11,30,-99,-99
01/01/2010,13,20,15,15,13,11,11,29,-99,4
01/01/2010,14,17,14,16,2,-99,1,23,-99,1
01/01/2010,15,14,13,16,9,11,8,20,-99,-99
01/01/2010,16,10,18,18,15,9,11,21,-99,6
01/01/2010,17,16,20,22,21,24,19,22,-99,8
01/01/2010,18,18,18,23,25,26,23,24,-99,12
01/01/2010,19,18,12,20,19,21,9,20,-99,21
01/01/2010,20,10,25,16,17,19,17,23,-99,21
01/01/2010,21,15,31,23,20,20,21,27,-99,16
01/01/2010,22,30,22,27,32,35,24,26,-99,13
01/01/2010,23,25,30,19,19,26,27,19,-99,-99
01/01/2010,24,17,35,17,17,16,31,19,-99,11
02/01/2010,1,18,29,18,12,15,21,18,-99,10
02/01/2010,2,20,24,17,20,11,26,14,-99,13
02/01/2010,3,27,26,18,15,18,29,13,-99,12
02/01/2010,4,20,29,19,21,24,31,18,-99,10
02/01/2010,5,23,25,21,21,20,22,14,-99,10
02/01/2010,6,19,22,24,17,19,15,10,-99,17
02/01/2010,7,19,25,23,21,18,17,20,-99,19
02/01/2010,8,17,27,22,20,20,18,24,-99,31
02/01/2010,9,20,27,23,24,17,20,32,-99,23
02/01/2010,10,26,31,28,20,27,22,29,-99,19
02/01/2010,11,32,34,31,25,33,23,37,-99,25
02/01/2010,12,36,41,33,30,41,32,43,-99,27
02/01/2010,13,53,47,32,20,22,32,37,-99,30
02/01/2010,14,40,41,26,17,20,24,48,-99,20
02/01/2010,15,24,22,14,6,10,18,18,-99,17
02/01/2010,16,15,23,16,9,11,13,16,-99,12
02/01/2010,17,14,22,12,19,19,26,9,-99,22
02/01/2010,18,14,27,7,15,17,26,1,-99,23
02/01/2010,19,10,34,9,12,11,11,-99,-99,19
02/01/2010,20,25,29,15,25,32,24,28,-99,-99
02/01/2010,21,22,13,28,42,30,20,33,-99,-99
02/01/2010,22,42,12,18,19,19,22,20,-99,-99
02/01/2010,23,29,20,15,13,19,21,23,-99,-99
02/01/2010,24,22,21,19,20,13,20,16,-99,-99
03/01/2010,1,26,16,20,18,17,13,16,-99,-99
03/01/2010,2,24,17,21,22,17,13,23,-99,-99
03/01/2010,3,23,13,20,23,15,11,20,-99,-99
03/01/2010,4,20,14,23,21,14,10,12,-99,-99
03/01/2010,5,24,16,24,17,26,14,24,-99,-99
03/01/2010,6,30,18,25,20,24,17,18,-99,23
03/01/2010,7,27,23,26,26,23,19,4,-99,23
03/01/2010,8,30,28,25,28,26,22,23,-99,25
03/01/2010,9,32,29,25,25,19,19,19,-99,20
03/01/2010,10,30,30,30,14,19,18,22,-99,17
03/01/2010,11,35,35,33,20,23,19,22,-99,17
03/01/2010,12,33,35,31,19,8,21,20,-99,19
03/01/2010,13,31,36,36,22,18,22,29,-99,21
03/01/2010,14,36,33,32,13,18,32,20,-99,35
03/01/2010,15,38,25,34,18,26,36,22,-99,26
03/01/2010,16,32,17,30,40,28,11,23,-99,19
03/01/2010,17,23,21,22,28,8,22,23,-99,23
03/01/2010,18,16,19,22,15,14,22,11,-99,15
03/01/2010,19,22,22,27,16,26,16,16,-99,10
03/01/2010,20,19,15,-99,15,13,18,25,-99,11
03/01/2010,21,13,13,-99,18,6,15,16,-99,7
03/01/2010,22,13,13,12,-99,9,15,17,-99,10
