FECHA,HORA,VAL,SUR,TAC,FAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,ARA,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,TAX,ACO,IZT,CHO
01/01/2010,1,6,30,14,8,-99,7,3,6,19,10,6,9,8,6,-99,15,9,14,13,6,11,8,8,4,18,-99
01/01/2010,2,8,26,12,7,-99,9,3,16,22,8,11,10,5,11,-99,12,9,13,10,6,8,11,8,4,16,-99
01/01/2010,3,10,14,9,7,-99,5,2,8,11,10,5,8,6,9,-99,11,7,9,10,6,8,11,8,3,11,-99
01/01/2010,4,6,6,9,10,-99,2,1,1,10,10,2,2,5,6,-99,9,17,7,7,3,8,8,4,2,7,-99
01/01/2010,5,5,5,12,20,-99,2,1,1,13,17,1,2,5,4,-99,10,33,5,3,3,9,5,3,1,5,-99
01/01/2010,6,1,6,9,12,-99,2,1,0,7,5,1,4,6,4,-99,3,8,1,2,3,10,5,3,1,6,-99
01/01/2010,7,0,2,3,3,-99,2,1,0,2,1,0,2,3,3,-99,4,4,0,1,1,4,4,2,0,5,-99
01/01/2010,8,0,1,2,2,-99,2,1,0,2,1,0,2,1,4,-99,2,4,0,1,1,3,4,1,0,4,-99
01/01/2010,9,0,0,3,3,-99,1,1,0,2,2,1,2,1,4,-99,2,3,0,1,2,2,4,1,0,4,-99
01/01/2010,10,0,0,2,3,-99,2,1,0,1,1,0,2,2,4,-99,2,3,0,1,2,2,5,0,0,4,-99
01/01/2010,11,0,0,2,2,-99,2,1,0,1,1,0,1,1,3,-99,1,3,0,1,1,2,4,0,0,4,-99
01/01/2010,12,0,0,2,2,-99,2,1,0,1,1,0,1,1,3,-99,1,3,0,1,1,2,4,1,0,4,-99
01/01/2010,13,0,0,2,2,-99,2,1,0,1,1,0,1,1,4,-99,1,3,0,1,1,2,4,1,0,4,-99
01/01/2010,14,0,0,2,2,-99,2,1,0,1,2,0,1,1,4,-99,1,3,0,1,1,2,4,1,0,4,-99
01/01/2010,15,0,0,2,2,-99,2,1,0,2,1,0,1,1,4,-99,1,3,0,1,1,2,5,1,0,4,-99
01/01/2010,16,0,0,2,3,-99,2,1,0,2,1,0,1,1,4,-99,1,3,0,1,1,3,5,1,0,5,-99
01/01/2010,17,0,0,3,2,-99,2,1,0,2,2,1,2,1,4,-99,1,4,0,1,1,3,4,1,0,5,-99
01/01/2010,18,0,0,2,3,-99,2,1,0,2,2,0,2,1,4,-99,1,3,0,1,2,3,4,1,0,5,-99
01/01/2010,19,0,0,6,19,-99,2,1,0,5,12,1,2,1,4,-99,1,54,0,1,2,3,4,1,1,5,-99
01/01/2010,20,15,3,46,34,-99,3,1,0,58,69,1,11,6,4,-99,69,63,0,1,6,17,5,5,0,14,-99
01/01/2010,21,91,35,37,30,-99,11,7,21,34,31,1,60,18,9,-99,93,14,1,1,25,29,25,44,0,49,-99
01/01/2010,22,64,35,12,10,-99,25,11,28,25,70,26,66,20,16,-99,79,15,141,3,29,24,36,23,0,25,-99
01/01/2010,23,65,14,11,7,-99,43,10,87,37,82,42,43,17,9,-99,123,9,71,5,25,13,13,12,0,25,-99
01/01/2010,24,77,7,12,6,-99,44,13,58,50,102,27,20,11,20,-99,75,6,58,3,22,9,20,12,2,27,-99
02/01/2010,1,54,14,16,4,-99,46,-99,41,47,44,35,21,7,9,-99,64,6,82,2,17,10,13,9,1,24,-99
02/01/2010,2,49,7,20,4,-99,51,-99,58,29,44,32,13,6,11,-99,118,8,140,1,11,15,13,9,2,18,-99
02/01/2010,3,56,7,23,5,-99,29,6,84,40,74,28,22,6,16,-99,119,6,124,1,9,11,18,13,0,31,-99
02/01/2010,4,55,13,28,5,-99,19,7,52,33,61,34,31,5,16,-99,98,4,70,1,11,9,40,30,0,66,-99
02/01/2010,5,54,30,30,6,-99,18,9,10,28,27,45,29,6,19,-99,88,4,5,1,18,8,33,40,0,52,-99
02/01/2010,6,45,21,19,5,-99,28,7,9,22,14,27,19,9,17,-99,88,3,3,1,17,16,15,28,0,20,-99
02/01/2010,7,24,22,30,4,-99,24,5,7,30,33,17,12,7,10,-99,75,4,7,1,12,25,11,19,1,12,-99
02/01/2010,8,23,5,23,8,-99,18,5,3,24,26,12,9,7,8,-99,70,6,12,1,10,16,9,5,1,11,-99
02/01/2010,9,23,3,22,18,-99,18,6,10,20,25,14,11,10,9,-99,48,18,21,1,16,17,13,4,1,12,-99
02/01/2010,10,17,3,20,23,-99,19,6,11,17,20,20,11,11,9,-99,33,20,24,2,18,16,13,4,3,11,-99
02/01/2010,11,13,2,18,20,-99,17,5,14,15,16,20,11,12,9,-99,30,18,24,3,16,14,13,5,9,12,-99
02/01/2010,12,12,2,16,17,-99,14,4,13,12,14,13,10,8,8,-99,24,14,17,3,13,8,10,4,8,11,-99
