FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
01/01/2015,1,-99,-99,-99,80,118,159,-99,85,-99,84,146,66,123,98,81,76,-99,132,81,-99,,,,,,,
01/01/2015,2,-99,-99,-99,118,107,177,-99,104,-99,79,267,95,140,132,82,95,-99,138,104,-99,,,,,,,
01/01/2015,3,-99,-99,-99,148,121,171,-99,112,-99,87,242,141,133,122,84,108,-99,123,135,-99,,,,,,,
01/01/2015,4,-99,-99,-99,151,124,133,-99,139,-99,-99,161,126,133,135,80,86,-99,129,118,-99,,,,,,,
01/01/2015,5,-99,-99,-99,128,123,121,-99,125,-99,-99,132,117,129,135,80,102,-99,132,141,-99,,,,,,,
01/01/2015,6,-99,-99,-99,124,101,125,-99,123,-99,123,147,120,118,151,82,104,-99,163,159,-99,,,,,,,
01/01/2015,7,-99,-99,-99,123,94,130,-99,133,-99,120,155,161,116,158,-99,118,-99,155,155,-99,,,,,,,
01/01/2015,8,-99,-99,-99,129,92,132,-99,129,-99,146,149,139,85,185,-99,122,-99,170,140,-99,,,,,,,
01/01/2015,9,-99,-99,-99,149,74,175,-99,136,-99,154,150,190,130,146,-99,124,-99,167,166,-99,,,,,,,
01/01/2015,10,-99,-99,-99,190,110,196,-99,180,-99,177,156,154,149,136,-99,131,-99,171,193,-99,,,,,,,
01/01/2015,11,-99,-99,-99,177,129,168,-99,184,-99,165,153,159,146,152,-99,135,-99,171,166,-99,,,,,,,
01/01/2015,12,-99,-99,-99,133,92,143,-99,157,-99,127,114,43,123,100,-99,113,-99,51,64,-99,,,,,,,
01/01/2015,13,-99,-99,-99,86,64,56,-99,66,-99,33,86,-99,83,45,-99,45,-99,19,22,-99,,,,,,,
01/01/2015,14,-99,-99,-99,55,12,28,-99,22,-99,22,55,-99,34,18,-99,-99,-99,12,10,-99,,,,,,,
01/01/2015,15,-99,-99,-99,41,-99,13,-99,29,-99,19,26,-99,10,-99,-99,5,-99,7,-99,-99,,,,,,,
01/01/2015,16,-99,-99,-99,34,-99,1,-99,8,-99,14,17,-99,8,3,-99,9,-99,-99,-99,-99,,,,,,,
01/01/2015,17,-99,-99,-99,15,-99,3,-99,2,-99,10,9,9,13,15,-99,8,-99,10,16,-99,,,,,,,
01/01/2015,18,-99,-99,-99,6,4,9,-99,13,-99,10,10,12,13,21,-99,13,-99,11,12,-99,,,,,,,
01/01/2015,19,-99,-99,-99,11,5,7,-99,-99,-99,12,6,6,19,2,-99,15,-99,14,6,-99,,,,,,,
01/01/2015,20,-99,-99,-99,16,8,18,-99,16,-99,25,21,12,10,14,-99,16,-99,17,20,-99,,,,,,,
01/01/2015,21,-99,-99,-99,21,14,18,-99,19,-99,27,37,16,20,23,-99,19,-99,25,16,-99,,,,,,,
01/01/2015,22,-99,-99,-99,17,11,16,-99,15,-99,23,29,14,15,18,-99,24,-99,24,19,-99,,,,,,,
01/01/2015,23,-99,-99,-99,30,11,17,-99,21,-99,34,25,9,2,18,-99,26,-99,17,26,-99,,,,,,,
01/01/2015,24,-99,-99,-99,32,11,19,-99,19,-99,27,25,15,5,22,-99,24,-99,19,18,-99,,,,,,,
02/01/2015,1,-99,-99,-99,32,7,27,-99,12,-99,30,21,12,12,20,-99,39,-99,20,20,-99,,,,,,,
02/01/2015,2,-99,-99,-99,23,13,22,-99,17,-99,24,18,13,3,22,-99,31,-99,18,20,-99,,,,,,,
02/01/2015,3,-99,-99,-99,16,14,16,-99,11,-99,33,14,9,9,21,-99,52,-99,11,11,-99,,,,,,,
02/01/2015,4,-99,-99,-99,19,11,14,-99,7,-99,38,12,11,7,25,-99,30,-99,13,9,-99,,,,,,,
02/01/2015,5,-99,-99,-99,20,11,16,-99,7,-99,31,13,9,11,20,-99,19,-99,12,18,-99,,,,,,,
02/01/2015,6,-99,-99,-99,17,11,10,-99,14,-99,16,16,12,2,13,-99,20,-99,12,18,-99,,,,,,,
02/01/2015,7,-99,-99,-99,26,11,10,-99,16,-99,19,16,20,3,33,-99,23,-99,10,15,-99,,,,,,,
02/01/2015,8,-99,-99,-99,34,8,17,-99,22,-99,27,25,25,2,46,-99,29,-99,7,22,-99,,,,,,,
02/01/2015,9,-99,-99,-99,27,10,16,-99,29,-99,28,24,22,11,47,-99,23,-99,4,25,-99,,,,,,,
02/01/2015,10,-99,-99,-99,32,11,19,-99,26,-99,38,28,26,18,26,-99,32,-99,16,31,-99,,,,,,,
02/01/2015,11,-99,-99,-99,38,13,24,-99,14,-99,40,23,31,20,10,-99,18,-99,22,23,-99,,,,,,,
02/01/2015,12,-99,-99,-99,29,12,15,-99,35,-99,19,24,9,18,17,-99,11,-99,10,-99,-99,,,,,,,
02/01/2015,13,-99,-99,-99,14,4,8,-99,11,-99,15,9,4,16,16,-99,-99,-99,-99,-99,-99,,,,,,,
02/01/2015,14,-99,-99,-99,12,7,7,-99,1,-99,-99,3,6,-99,14,-99,-99,-99,-99,-99,-99,,,,,,,
02/01/2015,15,-99,-99,-99,13,3,12,-99,4,-99,4,5,5,-99,16,-99,4,-99,-99,-99,-99,,,,,,,
02/01/2015,16,-99,-99,-99,13,5,6,-99,17,-99,2,2,8,-99,12,-99,5,-99,8,-99,-99,,,,,,,
02/01/2015,17,-99,-99,-99,11,7,8,-99,-99,-99,3,5,10,-99,21,-99,11,-99,7,-99,-99,,,,,,,
02/01/2015,18,-99,-99,-99,11,7,6,-99,19,-99,10,8,9,-99,-99,-99,6,-99,14,11,-99,,,,,,,
02/01/2015,19,-99,-99,-99,15,6,5,-99,6,-99,12,7,8,25,-99,-99,15,-99,10,12,-99,,,,,,,
