"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
"01/2005",46.0330578512397,58.1126373626374,43.5448369565217,40.5859375,31.0380434782609,42.7316076294278,744
"01/2006",46.9377593360996,40.1261829652997,53.16459197787,44.5634517766497,30.5189873417722,46.0150068212824,744
"01/2007",36.0555555555556,37.5512820512821,26.7070844686648,28.1167582417582,26.8033472803347,29.2485119047619,744
"01/2008",36.1468189233279,43.4903047091413,35.4138888888889,29.72,30.3081155433287,31.5338028169014,744
"01/2009",41.3052781740371,48.8844936708861,41.8820301783265,34.8715846994535,32.6,41.1840659340659,744
"01/2010",37.358407079646,40.7885154061625,30.6205479452055,29.8987688098495,28.1723163841808,36.921568627451,744
"01/2011",36.908077994429,43.3296398891967,32.0666666666667,26.3722826086957,28.2203389830508,42.6936813186813,744
"01/2012",45.3357041251778,43.2339832869081,29.6094946401225,27.0234604105572,32.1593323216995,37.9766483516484,744
"01/2013",37.5775862068966,42.0056899004267,35.4065484311051,31.2360515021459,NA,37.8681948424069,744
"01/2014",40.6971830985916,45.9276018099548,36.8442280945758,31.4943820224719,31.4264305177112,38.8666666666667,744
"01/2015",37.3088857545839,40.1977777777778,33.4951724137931,28.2237569060773,27.2660300136426,33.5008605851979,744
"01/2016",40.4763271162123,39.8395573997234,33.5290055248619,29.1903409090909,30.8640776699029,38.6842105263158,744
"01/2017",42.6077170418006,47.6491228070175,37.1689944134078,29.9634831460674,32.434439178515,42.9563994374121,744
"01/2018",40.4303621169916,42.769578313253,35.149377593361,31.1571627260083,29.1434599156118,36.3553846153846,744
"01/2019",35.2016925246826,37.3469675599436,29.0159420289855,25.1490250696379,27.5071225071225,34.4751773049645,744
"01/2020",32.9943899018233,32.4435146443515,27.7503949447077,22.509219858156,26.0197461212976,35.1957446808511,744
"02/2005",38.0633484162896,48.531914893617,36.9954614220877,31.9280701754386,29.6251896813354,41.084375,672
"02/2006",40.1348837209302,43.1752738654147,37.1748878923767,35.0342679127726,26.4662162162162,40.3689759036145,672
"02/2007",38.7224736048265,43.3990963855422,30.2060606060606,28.4603658536585,31.1018237082067,39.3651050080775,672
"02/2008",38.4010507880911,42.8627737226277,37.4859813084112,27.0471281296024,24.3191176470588,35.3248882265276,696
"02/2009",38.6283891547049,45.0827067669173,35.6013513513514,33.8940998487141,29.1345132743363,36.2992125984252,672
"02/2010",34.1763803680982,37.715625,26.1631419939577,24.7304747320061,25.445632798574,35.5785381026439,672
"02/2011",37.2086553323029,38.0622009569378,28.7876506024096,23.4839694656489,23.9179566563467,40.989263803681,672
"02/2012",35.7684964200477,36.9421613394216,25.4037626628075,25.2887218045113,27.6241299303944,33.4841772151899,696
"02/2013",38.1207482993197,41.7468553459119,34.3237082066869,24.8742236024845,31.475,41.6239460370995,672
"02/2014",41.5741029641186,44.3142414860681,37.3963691376702,29.7671875,31.9655688622755,40.6283783783784,672
"02/2015",34.4714285714286,NA,33.0127795527157,27.9210925644917,27.3897280966767,35.4864048338369,672
"02/2016",42.5294985250737,43.322869955157,37.2218934911243,31.3661764705882,30.6636771300448,39.5532544378698,696
"02/2017",34.36328125,37.4390625,31.3769716088328,23.7026604068858,30.8907103825137,35.334375,672
"02/2018",33.1933962264151,35.4352,28.6430976430976,24.9753466872111,24.3961352657005,31.4233226837061,672
"02/2019",31.4960998439938,32.2331838565022,25.1551401869159,20.417348608838,25.4689440993789,32.8925619834711,672
"02/2020",29.7795031055901,34.1428571428571,24.8812030075188,20.6636225266362,24.4788519637462,33.7738461538462,696
"03/2005",33.4476744186046,37.6075949367089,27.2330097087379,21.4394557823129,29.7255434782609,35.6156202143951,744
"03/2006",37.1470588235294,33.8977900552486,37.2473763118441,30.4790823211876,25.8371467025572,36.65899864682,744
"03/2007",39.1737346101231,45.3983628922237,32.6474719101124,29.5898491083676,31.029810298103,35.9317871759891,744
"03/2008",30.7208976157083,40.391959798995,NA,21.5834482758621,23.1347517730496,33.3537604456825,744
"03/2009",30.3496503496504,37.7443181818182,29.0773480662983,25.5043227665706,28.76,32.0429958391123,744
"03/2010",37.9787535410765,40.031117397454,27.0159420289855,26.7887323943662,27.3458856345886,38.9374130737135,744
"03/2011",34.3048433048433,38.0341394025605,30.9201141226819,25.438494934877,26.5905743740795,41.1755395683453,744
"03/2012",38.9133034379671,42.703056768559,32.5287009063444,27.3732394366197,27.9778188539741,37.3935389133627,744
"03/2013",34.5905292479109,36.6962750716332,29.2868965517241,23.2220630372493,27.9930843706777,36.3714285714286,744
"03/2014",31.4143484626647,32.3468468468468,26.3406896551724,22.1004184100418,24.5964673913043,28.3236889692586,744
"03/2015",31.5849315068493,33.4804270462633,25.0881542699725,20.4339360222531,22.8821796759941,30.7203994293866,744
"03/2016",33.7291361639824,33.809022556391,26.0887323943662,22.9191419141914,24.4698085419735,31.4058577405858,744
"03/2017",31.1869488536155,34.6108033240997,NA,21.4152923538231,25.2492917847025,31.4616457461646,744
"03/2018",32.2915407854985,34.9596273291925,27.4607250755287,20.840490797546,24.8599605522682,31.5220030349014,744
"03/2019",30.6350974930362,32.5682451253482,25.7801120448179,17.8938848920863,22.4891461649783,32.3262108262108,744
