"ï..Fecha","Centro.Ozono"
"01/01/2005",4
"01/01/2005",4
"01/01/2005",4
"01/01/2005",4
"01/01/2005",5
"01/01/2005",5
"01/01/2005",5
"01/01/2005",6
"01/01/2005",14
"01/01/2005",31
"01/01/2005",75
"01/01/2005",95
"01/01/2005",120
"01/01/2005",138
"01/01/2005",113
"01/01/2005",80
"01/01/2005",63
"01/01/2005",38
"01/01/2005",19
"01/01/2005",10
"01/01/2005",12
"01/01/2005",15
"01/01/2005",10
"01/01/2005",4
"02/01/2005",3
"02/01/2005",3
"02/01/2005",3
"02/01/2005",5
"02/01/2005",5
"02/01/2005",7
"02/01/2005",6
"02/01/2005",7
"02/01/2005",14
"02/01/2005",29
"02/01/2005",47
"02/01/2005",70
"02/01/2005",75
"02/01/2005",94
"02/01/2005",86
"02/01/2005",78
"02/01/2005",45
"02/01/2005",30
"02/01/2005",15
"02/01/2005",5
"02/01/2005",3
"02/01/2005",3
"02/01/2005",5
"02/01/2005",2
"03/01/2005",7
"03/01/2005",3
"03/01/2005",3
"03/01/2005",3
"03/01/2005",4
"03/01/2005",3
"03/01/2005",3
"03/01/2005",3
"03/01/2005",5
"03/01/2005",14
"03/01/2005",26
"03/01/2005",45
"03/01/2005",71
"03/01/2005",87
"03/01/2005",85
"03/01/2005",75
"03/01/2005",73
"03/01/2005",55
"03/01/2005",21
"03/01/2005",5
"03/01/2005",5
"03/01/2005",4
"03/01/2005",4
"03/01/2005",3
"04/01/2005",3
"04/01/2005",3
"04/01/2005",3
"04/01/2005",3
"04/01/2005",4
"04/01/2005",4
"04/01/2005",4
"04/01/2005",4
"04/01/2005",5
"04/01/2005",8
"04/01/2005",31
"04/01/2005",65
"04/01/2005",80
"04/01/2005",90
"04/01/2005",88
"04/01/2005",86
"04/01/2005",81
"04/01/2005",74
"04/01/2005",15
"04/01/2005",4
"04/01/2005",4
"04/01/2005",4
"04/01/2005",4
"04/01/2005",3
"05/01/2005",3
"05/01/2005",3
"05/01/2005",4
"05/01/2005",4
"05/01/2005",5
"05/01/2005",4
"05/01/2005",4
"05/01/2005",4
"05/01/2005",6
"05/01/2005",15
"05/01/2005",45
"05/01/2005",68
"05/01/2005",87
"05/01/2005",122
"05/01/2005",144
"05/01/2005",166
"05/01/2005",163
"05/01/2005",152
"05/01/2005",82
"05/01/2005",20
"05/01/2005",6
"05/01/2005",6
"05/01/2005",5
"05/01/2005",5
"06/01/2005",3
"06/01/2005",3
"06/01/2005",5
"06/01/2005",8
"06/01/2005",4
"06/01/2005",4
"06/01/2005",4
"06/01/2005",4
"06/01/2005",6
"06/01/2005",20
"06/01/2005",42
"06/01/2005",56
"06/01/2005",73
"06/01/2005",93
"06/01/2005",107
"06/01/2005",122
"06/01/2005",107
"06/01/2005",60
"06/01/2005",23
"06/01/2005",24
"06/01/2005",11
"06/01/2005",4
"06/01/2005",3
"06/01/2005",3
"07/01/2005",3
"07/01/2005",3
"07/01/2005",18
"07/01/2005",15
"07/01/2005",12
"07/01/2005",5
"07/01/2005",5
"07/01/2005",4
"07/01/2005",6
"07/01/2005",15
"07/01/2005",40
"07/01/2005",68
"07/01/2005",81
"07/01/2005",81
"07/01/2005",102
"07/01/2005",113
"07/01/2005",99
"07/01/2005",95
"07/01/2005",59
"07/01/2005",33
"07/01/2005",42
"07/01/2005",35
"07/01/2005",25
"07/01/2005",28
"08/01/2005",25
"08/01/2005",27
"08/01/2005",39
"08/01/2005",40
"08/01/2005",42
"08/01/2005",34
"08/01/2005",15
"08/01/2005",4
"08/01/2005",13
"08/01/2005",24
"08/01/2005",42
"08/01/2005",55
"08/01/2005",60
"08/01/2005",65
"08/01/2005",66
"08/01/2005",66
"08/01/2005",61
"08/01/2005",47
"08/01/2005",15
"08/01/2005",11
"08/01/2005",9
"08/01/2005",11
"08/01/2005",6
"08/01/2005",7
"09/01/2005",11
"09/01/2005",8
"09/01/2005",7
"09/01/2005",5
"09/01/2005",10
"09/01/2005",9
"09/01/2005",8
"09/01/2005",4
"09/01/2005",12
"09/01/2005",20
"09/01/2005",31
"09/01/2005",46
"09/01/2005",65
"09/01/2005",75
"09/01/2005",83
"09/01/2005",81
"09/01/2005",72
"09/01/2005",54
"09/01/2005",24
"09/01/2005",11
"09/01/2005",7
"09/01/2005",7
"09/01/2005",5
"09/01/2005",5
"10/01/2005",7
"10/01/2005",9
"10/01/2005",8
"10/01/2005",5
"10/01/2005",6
"10/01/2005",5
"10/01/2005",5
"10/01/2005",4
"10/01/2005",5
"10/01/2005",13
"10/01/2005",20
"10/01/2005",37
"10/01/2005",54
"10/01/2005",68
"10/01/2005",85
"10/01/2005",95
"10/01/2005",98
"10/01/2005",87
"10/01/2005",67
"10/01/2005",6
"10/01/2005",12
"10/01/2005",5
"10/01/2005",4
"10/01/2005",4
"11/01/2005",3
"11/01/2005",4
"11/01/2005",5
"11/01/2005",3
"11/01/2005",3
"11/01/2005",5
"11/01/2005",4
"11/01/2005",4
"11/01/2005",5
"11/01/2005",10
"11/01/2005",26
"11/01/2005",56
"11/01/2005",68
"11/01/2005",86
"11/01/2005",110
"11/01/2005",103
"11/01/2005",95
"11/01/2005",84
"11/01/2005",58
"11/01/2005",12
"11/01/2005",6
"11/01/2005",4
"11/01/2005",4
"11/01/2005",3
"12/01/2005",3
"12/01/2005",7
"12/01/2005",6
"12/01/2005",6
"12/01/2005",11
"12/01/2005",9
"12/01/2005",5
"12/01/2005",6
"12/01/2005",5
"12/01/2005",10
"12/01/2005",29
"12/01/2005",50
"12/01/2005",65
"12/01/2005",88
"12/01/2005",95
"12/01/2005",84
"12/01/2005",54
"12/01/2005",35
"12/01/2005",20
"12/01/2005",20
"12/01/2005",19
"12/01/2005",12
"12/01/2005",14
"12/01/2005",22
"13/01/2005",24
"13/01/2005",14
"13/01/2005",14
"13/01/2005",16
"13/01/2005",8
"13/01/2005",3
"13/01/2005",4
"13/01/2005",5
"13/01/2005",5
"13/01/2005",12
"13/01/2005",35
"13/01/2005",50
"13/01/2005",64
"13/01/2005",78
"13/01/2005",102
"13/01/2005",111
"13/01/2005",77
"13/01/2005",45
"13/01/2005",25
"13/01/2005",23
"13/01/2005",15
"13/01/2005",3
"13/01/2005",3
"13/01/2005",9
"14/01/2005",9
"14/01/2005",10
"14/01/2005",5
"14/01/2005",5
"14/01/2005",5
"14/01/2005",5
"14/01/2005",4
"14/01/2005",3
"14/01/2005",4
"14/01/2005",5
"14/01/2005",12
"14/01/2005",23
"14/01/2005",45
"14/01/2005",71
"14/01/2005",90
"14/01/2005",90
"14/01/2005",75
"14/01/2005",35
"14/01/2005",15
"14/01/2005",7
"14/01/2005",5
"14/01/2005",6
"14/01/2005",4
"14/01/2005",4
"15/01/2005",4
"15/01/2005",4
"15/01/2005",3
"15/01/2005",5
"15/01/2005",5
"15/01/2005",5
"15/01/2005",5
"15/01/2005",5
"15/01/2005",10
"15/01/2005",21
"15/01/2005",31
"15/01/2005",56
"15/01/2005",82
"15/01/2005",91
"15/01/2005",107
"15/01/2005",113
"15/01/2005",115
"15/01/2005",101
"15/01/2005",57
"15/01/2005",34
"15/01/2005",28
"15/01/2005",15
"15/01/2005",10
"15/01/2005",16
"16/01/2005",10
"16/01/2005",14
"16/01/2005",11
"16/01/2005",5
"16/01/2005",7
"16/01/2005",7
"16/01/2005",4
"16/01/2005",4
"16/01/2005",13
"16/01/2005",22
"16/01/2005",32
"16/01/2005",43
"16/01/2005",46
"16/01/2005",52
"16/01/2005",49
"16/01/2005",48
"16/01/2005",46
"16/01/2005",38
"16/01/2005",25
"16/01/2005",15
"16/01/2005",18
"16/01/2005",17
"16/01/2005",13
"16/01/2005",20
"17/01/2005",22
"17/01/2005",22
"17/01/2005",23
"17/01/2005",19
"17/01/2005",21
"17/01/2005",14
"17/01/2005",5
"17/01/2005",4
"17/01/2005",6
"17/01/2005",12
"17/01/2005",20
"17/01/2005",34
"17/01/2005",57
"17/01/2005",76
"17/01/2005",95
"17/01/2005",118
"17/01/2005",102
"17/01/2005",90
"17/01/2005",51
"17/01/2005",6
"17/01/2005",17
"17/01/2005",5
"17/01/2005",4
"17/01/2005",9
"18/01/2005",9
"18/01/2005",15
"18/01/2005",14
"18/01/2005",16
"18/01/2005",19
"18/01/2005",15
"18/01/2005",10
"18/01/2005",9
"18/01/2005",9
"18/01/2005",14
"18/01/2005",16
"18/01/2005",23
"18/01/2005",42
"18/01/2005",78
"18/01/2005",98
"18/01/2005",105
"18/01/2005",96
"18/01/2005",86
"18/01/2005",80
"18/01/2005",25
"18/01/2005",17
"18/01/2005",12
"18/01/2005",8
"18/01/2005",9
"19/01/2005",14
"19/01/2005",15
"19/01/2005",15
"19/01/2005",15
"19/01/2005",10
"19/01/2005",5
"19/01/2005",4
"19/01/2005",4
"19/01/2005",6
"19/01/2005",14
"19/01/2005",23
"19/01/2005",43
"19/01/2005",53
"19/01/2005",66
"19/01/2005",81
"19/01/2005",86
"19/01/2005",90
"19/01/2005",79
"19/01/2005",40
"19/01/2005",6
"19/01/2005",5
"19/01/2005",4
"19/01/2005",4
"19/01/2005",6
"20/01/2005",5
"20/01/2005",5
"20/01/2005",7
"20/01/2005",18
"20/01/2005",17
"20/01/2005",13
"20/01/2005",5
"20/01/2005",4
"20/01/2005",10
"20/01/2005",15
"20/01/2005",17
"20/01/2005",34
"20/01/2005",58
"20/01/2005",82
"20/01/2005",100
"20/01/2005",102
"20/01/2005",102
"20/01/2005",96
"20/01/2005",51
"20/01/2005",6
"20/01/2005",16
"20/01/2005",33
"20/01/2005",15
"20/01/2005",3
"21/01/2005",3
"21/01/2005",4
"21/01/2005",5
"21/01/2005",3
"21/01/2005",4
"21/01/2005",4
"21/01/2005",4
"21/01/2005",4
"21/01/2005",5
"21/01/2005",9
"21/01/2005",30
"21/01/2005",67
"21/01/2005",71
"21/01/2005",96
"21/01/2005",86
"21/01/2005",107
"21/01/2005",75
"21/01/2005",38
"21/01/2005",18
"21/01/2005",12
"21/01/2005",15
"21/01/2005",14
"21/01/2005",16
"21/01/2005",19
"22/01/2005",11
"22/01/2005",3
"22/01/2005",10
"22/01/2005",10
"22/01/2005",5
"22/01/2005",3
"22/01/2005",4
"22/01/2005",4
"22/01/2005",6
"22/01/2005",12
"22/01/2005",21
"22/01/2005",41
"22/01/2005",65
"22/01/2005",72
"22/01/2005",71
"22/01/2005",61
"22/01/2005",36
"22/01/2005",19
"22/01/2005",18
"22/01/2005",18
"22/01/2005",13
"22/01/2005",5
"22/01/2005",6
"22/01/2005",10
"23/01/2005",19
"23/01/2005",16
"23/01/2005",25
"23/01/2005",22
"23/01/2005",21
"23/01/2005",19
"23/01/2005",17
"23/01/2005",13
"23/01/2005",13
"23/01/2005",15
"23/01/2005",15
"23/01/2005",22
"23/01/2005",25
"23/01/2005",29
"23/01/2005",32
"23/01/2005",33
"23/01/2005",18
"23/01/2005",15
"23/01/2005",8
"23/01/2005",5
"23/01/2005",3
"23/01/2005",3
"23/01/2005",3
"23/01/2005",3
"24/01/2005",3
"24/01/2005",5
"24/01/2005",6
"24/01/2005",5
"24/01/2005",5
"24/01/2005",3
"24/01/2005",4
"24/01/2005",4
