"ï..Fecha","Sureste.dioxido.de.nitrogeno"
"01/01/2005",33
"01/01/2005",31
"01/01/2005",30
"01/01/2005",31
"01/01/2005",29
"01/01/2005",29
"01/01/2005",28
"01/01/2005",26
"01/01/2005",33
"01/01/2005",49
"01/01/2005",50
"01/01/2005",40
"01/01/2005",32
"01/01/2005",25
"01/01/2005",15
"01/01/2005",10
"01/01/2005",10
"01/01/2005",14
"01/01/2005",20
"01/01/2005",23
"01/01/2005",34
"01/01/2005",34
"01/01/2005",35
"01/01/2005",33
"02/01/2005",30
"02/01/2005",28
"02/01/2005",22
"02/01/2005",18
"02/01/2005",18
"02/01/2005",19
"02/01/2005",17
"02/01/2005",19
"02/01/2005",24
"02/01/2005",37
"02/01/2005",53
"02/01/2005",44
"02/01/2005",23
"02/01/2005",13
"02/01/2005",13
"02/01/2005",13
"02/01/2005",14
"02/01/2005",14
"02/01/2005",16
"02/01/2005",19
"02/01/2005",21
"02/01/2005",24
"02/01/2005",25
"02/01/2005",25
"03/01/2005",27
"03/01/2005",24
"03/01/2005",19
"03/01/2005",17
"03/01/2005",16
"03/01/2005",15
"03/01/2005",18
"03/01/2005",17
"03/01/2005",22
"03/01/2005",30
"03/01/2005",30
"03/01/2005",27
"03/01/2005",21
"03/01/2005",32
"03/01/2005",16
"03/01/2005",16
"03/01/2005",30
"03/01/2005",26
"03/01/2005",30
"03/01/2005",29
"03/01/2005",27
"03/01/2005",28
"03/01/2005",28
"03/01/2005",29
"04/01/2005",24
"04/01/2005",22
"04/01/2005",22
"04/01/2005",22
"04/01/2005",19
"04/01/2005",19
"04/01/2005",17
"04/01/2005",20
"04/01/2005",27
"04/01/2005",46
"04/01/2005",50
"04/01/2005",51
"04/01/2005",43
"04/01/2005",30
"04/01/2005",25
"04/01/2005",39
"04/01/2005",37
"04/01/2005",58
"04/01/2005",29
"04/01/2005",30
"04/01/2005",30
"04/01/2005",29
"04/01/2005",29
"04/01/2005",30
"05/01/2005",29
"05/01/2005",27
"05/01/2005",25
"05/01/2005",21
"05/01/2005",21
"05/01/2005",23
"05/01/2005",19
"05/01/2005",21
"05/01/2005",33
"05/01/2005",51
"05/01/2005",75
"05/01/2005",63
"05/01/2005",52
"05/01/2005",42
"05/01/2005",45
"05/01/2005",37
"05/01/2005",43
"05/01/2005",95
"05/01/2005",106
"05/01/2005",73
"05/01/2005",59
"05/01/2005",53
"05/01/2005",47
"05/01/2005",36
"06/01/2005",35
"06/01/2005",34
"06/01/2005",33
"06/01/2005",32
"06/01/2005",29
"06/01/2005",28
"06/01/2005",29
"06/01/2005",26
"06/01/2005",32
"06/01/2005",47
"06/01/2005",59
"06/01/2005",54
"06/01/2005",29
"06/01/2005",41
"06/01/2005",25
"06/01/2005",24
"06/01/2005",25
"06/01/2005",19
"06/01/2005",31
"06/01/2005",33
"06/01/2005",34
"06/01/2005",31
"06/01/2005",31
"06/01/2005",31
"07/01/2005",30
"07/01/2005",19
"07/01/2005",13
"07/01/2005",12
"07/01/2005",13
"07/01/2005",22
"07/01/2005",25
"07/01/2005",30
"07/01/2005",35
"07/01/2005",54
"07/01/2005",53
"07/01/2005",42
"07/01/2005",22
"07/01/2005",18
"07/01/2005",28
"07/01/2005",34
"07/01/2005",42
"07/01/2005",66
"07/01/2005",68
"07/01/2005",53
"07/01/2005",36
"07/01/2005",33
"07/01/2005",34
"07/01/2005",34
"08/01/2005",31
"08/01/2005",31
"08/01/2005",30
"08/01/2005",30
"08/01/2005",28
"08/01/2005",31
"08/01/2005",29
"08/01/2005",28
"08/01/2005",33
"08/01/2005",47
"08/01/2005",44
"08/01/2005",26
"08/01/2005",31
"08/01/2005",22
"08/01/2005",23
"08/01/2005",25
"08/01/2005",23
"08/01/2005",22
"08/01/2005",27
"08/01/2005",20
"08/01/2005",20
"08/01/2005",17
"08/01/2005",19
"08/01/2005",17
"09/01/2005",17
"09/01/2005",17
"09/01/2005",17
"09/01/2005",17
"09/01/2005",16
"09/01/2005",16
"09/01/2005",16
"09/01/2005",16
"09/01/2005",17
"09/01/2005",23
"09/01/2005",25
"09/01/2005",27
"09/01/2005",32
"09/01/2005",28
"09/01/2005",27
"09/01/2005",27
"09/01/2005",18
"09/01/2005",17
"09/01/2005",30
"09/01/2005",20
"09/01/2005",18
"09/01/2005",16
"09/01/2005",16
"09/01/2005",16
"10/01/2005",15
"10/01/2005",13
"10/01/2005",12
"10/01/2005",13
"10/01/2005",13
"10/01/2005",13
"10/01/2005",15
"10/01/2005",18
"10/01/2005",17
"10/01/2005",26
"10/01/2005",25
"10/01/2005",23
"10/01/2005",17
"10/01/2005",32
"10/01/2005",42
"10/01/2005",29
"10/01/2005",25
"10/01/2005",21
"10/01/2005",35
"10/01/2005",27
"10/01/2005",23
"10/01/2005",32
"10/01/2005",30
"10/01/2005",30
"11/01/2005",30
"11/01/2005",28
"11/01/2005",24
"11/01/2005",20
"11/01/2005",21
"11/01/2005",22
"11/01/2005",21
"11/01/2005",21
"11/01/2005",29
"11/01/2005",39
"11/01/2005",36
"11/01/2005",18
"11/01/2005",23
"11/01/2005",32
"11/01/2005",25
"11/01/2005",30
"11/01/2005",39
"11/01/2005",28
"11/01/2005",40
"11/01/2005",32
"11/01/2005",41
"11/01/2005",36
"11/01/2005",37
"11/01/2005",30
"12/01/2005",23
"12/01/2005",18
"12/01/2005",14
"12/01/2005",14
"12/01/2005",13
"12/01/2005",19
"12/01/2005",25
"12/01/2005",28
"12/01/2005",31
"12/01/2005",27
"12/01/2005",26
"12/01/2005",20
"12/01/2005",18
"12/01/2005",12
"12/01/2005",18
"12/01/2005",19
"12/01/2005",11
"12/01/2005",10
"12/01/2005",13
"12/01/2005",22
"12/01/2005",27
"12/01/2005",24
"12/01/2005",28
"12/01/2005",24
"13/01/2005",21
"13/01/2005",16
"13/01/2005",9
"13/01/2005",9
"13/01/2005",12
"13/01/2005",16
"13/01/2005",19
"13/01/2005",20
"13/01/2005",23
"13/01/2005",26
"13/01/2005",19
"13/01/2005",16
"13/01/2005",20
"13/01/2005",26
"13/01/2005",19
"13/01/2005",32
"13/01/2005",29
"13/01/2005",21
"13/01/2005",28
"13/01/2005",28
"13/01/2005",27
"13/01/2005",24
"13/01/2005",26
"13/01/2005",26
"14/01/2005",23
"14/01/2005",20
"14/01/2005",20
"14/01/2005",14
"14/01/2005",13
"14/01/2005",13
"14/01/2005",16
"14/01/2005",20
"14/01/2005",20
"14/01/2005",19
"14/01/2005",23
"14/01/2005",29
"14/01/2005",42
"14/01/2005",37
"14/01/2005",20
"14/01/2005",17
"14/01/2005",19
"14/01/2005",11
"14/01/2005",21
"14/01/2005",28
"14/01/2005",27
"14/01/2005",26
"14/01/2005",29
"14/01/2005",26
"15/01/2005",24
"15/01/2005",22
"15/01/2005",20
"15/01/2005",19
"15/01/2005",20
"15/01/2005",20
"15/01/2005",19
"15/01/2005",19
"15/01/2005",20
"15/01/2005",29
"15/01/2005",48
"15/01/2005",48
"15/01/2005",30
"15/01/2005",35
"15/01/2005",46
"15/01/2005",55
"15/01/2005",44
"15/01/2005",53
"15/01/2005",67
"15/01/2005",36
"15/01/2005",22
"15/01/2005",28
"15/01/2005",28
"15/01/2005",24
"16/01/2005",25
"16/01/2005",23
"16/01/2005",21
"16/01/2005",19
"16/01/2005",18
"16/01/2005",14
"16/01/2005",14
"16/01/2005",16
"16/01/2005",18
"16/01/2005",18
"16/01/2005",13
"16/01/2005",18
"16/01/2005",14
"16/01/2005",13
"16/01/2005",14
"16/01/2005",20
"16/01/2005",22
"16/01/2005",22
