"ï..Fecha","Sureste.PM10"
"01/01/2005",87
"01/01/2005",89
"01/01/2005",90
"01/01/2005",94
"01/01/2005",98
"01/01/2005",101
"01/01/2005",105
"01/01/2005",109
"01/01/2005",113
"01/01/2005",115
"01/01/2005",118
"01/01/2005",121
"01/01/2005",121
"01/01/2005",121
"01/01/2005",120
"01/01/2005",119
"01/01/2005",118
"01/01/2005",116
"01/01/2005",115
"01/01/2005",114
"01/01/2005",113
"01/01/2005",112
"01/01/2005",112
"01/01/2005",111
"02/01/2005",110
"02/01/2005",107
"02/01/2005",104
"02/01/2005",98
"02/01/2005",93
"02/01/2005",89
"02/01/2005",84
"02/01/2005",79
"02/01/2005",75
"02/01/2005",72
"02/01/2005",69
"02/01/2005",66
"02/01/2005",63
"02/01/2005",62
"02/01/2005",62
"02/01/2005",62
"02/01/2005",62
"02/01/2005",62
"02/01/2005",62
"02/01/2005",61
"02/01/2005",61
"02/01/2005",60
"02/01/2005",59
"02/01/2005",58
"03/01/2005",57
"03/01/2005",57
"03/01/2005",56
"03/01/2005",56
"03/01/2005",55
"03/01/2005",54
"03/01/2005",54
"03/01/2005",54
"03/01/2005",54
"03/01/2005",54
"03/01/2005",53
"03/01/2005",52
"03/01/2005",51
"03/01/2005",51
"03/01/2005",51
"03/01/2005",51
"03/01/2005",53
"03/01/2005",54
"03/01/2005",55
"03/01/2005",55
"03/01/2005",56
"03/01/2005",57
"03/01/2005",58
"03/01/2005",58
"04/01/2005",59
"04/01/2005",59
"04/01/2005",59
"04/01/2005",59
"04/01/2005",59
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",61
"04/01/2005",61
"04/01/2005",60
"04/01/2005",61
"04/01/2005",60
"04/01/2005",61
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",60
"04/01/2005",59
"04/01/2005",58
"05/01/2005",59
"05/01/2005",59
"05/01/2005",59
"05/01/2005",59
"05/01/2005",59
"05/01/2005",59
"05/01/2005",60
"05/01/2005",60
"05/01/2005",61
"05/01/2005",62
"05/01/2005",63
"05/01/2005",64
"05/01/2005",64
"05/01/2005",64
"05/01/2005",65
"05/01/2005",66
"05/01/2005",67
