FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM
01/01/2006,1,60,72,59,68,44,88,67,53
01/01/2006,2,68,72,91,80,82,82,97,80
01/01/2006,3,107,122,128,154,141,98,262,218
01/01/2006,4,131,148,133,138,187,142,369,184
01/01/2006,5,131,65,132,149,195,155,428,166
01/01/2006,6,145,57,143,177,194,149,401,175
01/01/2006,7,159,43,148,186,179,144,326,163
01/01/2006,8,201,34,141,171,169,171,612,125
01/01/2006,9,216,35,112,253,160,199,681,108
01/01/2006,10,254,42,123,302,185,189,379,94
01/01/2006,11,185,104,122,282,237,155,253,91
01/01/2006,12,125,120,98,265,257,125,216,107
01/01/2006,13,101,115,89,190,217,108,208,90
01/01/2006,14,57,55,57,120,133,79,99,48
01/01/2006,15,41,48,37,-99,30,52,77,36
01/01/2006,16,41,45,39,-99,17,-99,65,42
01/01/2006,17,42,33,39,-99,16,-99,44,50
01/01/2006,18,42,31,38,-99,15,-99,43,44
01/01/2006,19,34,30,39,-99,16,-99,35,32
01/01/2006,20,50,41,32,-99,-99,-99,37,34
01/01/2006,21,58,44,36,35,-99,-99,33,31
01/01/2006,22,42,51,33,41,-99,-99,30,47
01/01/2006,23,48,38,37,38,16,-99,36,43
01/01/2006,24,51,29,43,37,15,-99,31,54
02/01/2006,1,52,32,36,51,24,32,33,69
02/01/2006,2,46,26,35,44,30,28,49,52
02/01/2006,3,44,22,31,48,31,13,61,37
02/01/2006,4,46,18,28,43,-99,22,51,31
02/01/2006,5,52,18,39,43,-99,40,51,27
02/01/2006,6,52,20,34,51,-99,49,42,27
02/01/2006,7,54,22,29,56,32,51,41,33
02/01/2006,8,60,36,33,51,30,50,50,33
02/01/2006,9,65,38,36,56,31,48,50,45
02/01/2006,10,66,53,41,43,47,45,51,36
02/01/2006,11,59,59,44,34,77,48,60,34
02/01/2006,12,56,53,41,-99,101,51,66,42
02/01/2006,13,61,36,32,-99,87,54,63,36
02/01/2006,14,66,35,35,-99,58,56,63,31
02/01/2006,15,47,48,43,58,30,51,51,31
02/01/2006,16,27,40,36,44,18,38,38,50
02/01/2006,17,27,28,29,32,4,28,23,45
02/01/2006,18,30,29,26,27,2,24,15,31
02/01/2006,19,26,33,23,29,9,24,12,27
02/01/2006,20,19,26,12,34,20,25,29,33
02/01/2006,21,21,31,11,27,20,-99,30,22
02/01/2006,22,21,29,18,21,18,-99,23,20
02/01/2006,23,23,26,18,19,17,-99,24,29
02/01/2006,24,23,23,12,26,17,-99,20,20
03/01/2006,1,25,22,-99,21,9,-99,30,21
03/01/2006,2,23,23,-99,24,15,-99,36,28
03/01/2006,3,24,25,-99,30,21,-99,34,32
03/01/2006,4,25,27,12,29,26,-99,28,54
03/01/2006,5,33,19,12,29,29,-99,26,37
03/01/2006,6,36,16,11,28,28,28,33,21
03/01/2006,7,-99,19,13,25,22,20,37,19
03/01/2006,8,41,25,15,35,18,-99,42,26
03/01/2006,9,52,32,25,44,20,12,53,35
03/01/2006,10,50,43,43,31,38,-99,55,37
03/01/2006,11,52,52,47,35,67,29,68,55
03/01/2006,12,53,50,38,39,90,39,51,57
03/01/2006,13,46,45,35,41,74,36,39,36
03/01/2006,14,30,39,35,34,40,29,23,30
03/01/2006,15,13,32,21,32,8,26,21,29
03/01/2006,16,7,19,3,23,5,-99,17,30
03/01/2006,17,30,16,10,13,1,-99,11,41
03/01/2006,18,27,18,23,14,2,-99,12,21
03/01/2006,19,26,28,26,20,9,-99,10,22
03/01/2006,20,35,34,32,33,22,-99,27,33
03/01/2006,21,24,31,31,33,30,-99,37,35
03/01/2006,22,31,33,37,22,25,-99,29,32
03/01/2006,23,-99,32,34,22,18,-99,32,31
03/01/2006,24,32,29,32,29,14,-99,46,27
04/01/2006,1,33,26,27,32,16,-99,49,27
04/01/2006,2,32,22,20,50,19,-99,68,45
04/01/2006,3,34,18,9,41,-99,-99,55,84
04/01/2006,4,32,18,28,42,-99,-99,48,36
04/01/2006,5,38,11,34,51,-99,-99,86,36
04/01/2006,6,42,18,35,53,-99,-99,87,37
04/01/2006,7,50,25,35,43,19,-99,59,31
04/01/2006,8,50,28,31,42,25,-99,79,42
04/01/2006,9,65,36,33,58,34,-99,84,60
04/01/2006,10,67,47,30,61,50,-99,80,51
04/01/2006,11,65,59,34,55,75,-99,70,53
04/01/2006,12,63,66,40,69,102,-99,58,55
04/01/2006,13,53,65,41,71,87,-99,59,52
04/01/2006,14,47,57,46,56,53,-99,45,49
04/01/2006,15,45,38,36,35,18,-99,29,31
04/01/2006,16,39,29,32,24,14,-99,16,32
04/01/2006,17,42,17,31,17,12,-99,21,13
04/01/2006,18,25,25,39,22,13,-99,25,35
04/01/2006,19,26,29,23,26,19,-99,25,33
04/01/2006,20,28,26,22,34,29,-99,32,35
04/01/2006,21,29,38,24,34,33,-99,39,36
04/01/2006,22,28,38,29,36,28,-99,47,35
04/01/2006,23,33,34,27,28,18,-99,60,30
04/01/2006,24,34,34,29,36,13,-99,63,31
05/01/2006,1,32,31,24,42,16,-99,114,29
05/01/2006,2,27,32,21,44,23,-99,67,38
05/01/2006,3,26,26,11,32,31,-99,44,33
05/01/2006,4,31,19,7,46,37,-99,47,34
05/01/2006,5,68,18,26,63,42,-99,41,38
05/01/2006,6,44,19,26,49,41,-99,42,21
05/01/2006,7,41,22,20,37,29,-99,55,19
05/01/2006,8,44,29,26,45,19,-99,58,28
05/01/2006,9,51,37,31,47,18,-99,84,32
05/01/2006,10,52,39,51,45,38,-99,71,27
05/01/2006,11,63,56,50,52,70,-99,45,44
05/01/2006,12,73,57,52,53,107,-99,53,50
05/01/2006,13,58,43,49,54,107,-99,35,38
05/01/2006,14,55,27,34,55,78,-99,40,23
05/01/2006,15,23,16,33,58,-99,-99,18,33
05/01/2006,16,21,18,28,18,7,-99,8,33
05/01/2006,17,14,20,13,8,-99,-99,9,20
05/01/2006,18,28,39,14,12,-99,-99,17,32
05/01/2006,19,46,54,33,31,8,-99,54,39
05/01/2006,20,32,35,25,43,25,-99,69,44
05/01/2006,21,22,30,16,29,-99,-99,40,32
05/01/2006,22,22,28,18,20,-99,-99,33,31
05/01/2006,23,20,28,19,14,-99,-99,30,26
05/01/2006,24,19,26,22,17,-99,-99,31,39
06/01/2006,1,27,27,22,18,29,-99,29,30
06/01/2006,2,26,29,21,19,45,-99,28,47
06/01/2006,3,26,34,24,30,69,-99,23,30
06/01/2006,4,21,28,28,26,55,-99,12,33
06/01/2006,5,6,12,10,16,30,-99,8,24
06/01/2006,6,6,10,7,7,4,-99,6,13
06/01/2006,7,7,10,7,4,-99,-99,3,9
06/01/2006,8,8,16,5,9,-99,-99,7,12
06/01/2006,9,9,9,9,10,-99,-99,8,16
06/01/2006,10,9,9,11,8,1,-99,4,10
06/01/2006,11,12,16,7,5,7,-99,6,11
06/01/2006,12,15,13,9,7,18,-99,9,18
06/01/2006,13,16,10,11,12,24,-99,7,12
06/01/2006,14,19,22,14,13,22,-99,4,9
06/01/2006,15,26,27,22,25,17,-99,10,24
06/01/2006,16,28,22,27,16,14,-99,9,25
06/01/2006,17,25,-99,21,17,16,-99,10,26
06/01/2006,18,24,-99,19,15,17,-99,15,23
06/01/2006,19,21,-99,17,23,21,-99,21,18
06/01/2006,20,19,22,19,26,23,-99,22,24
06/01/2006,21,20,28,18,17,19,-99,23,27
06/01/2006,22,23,26,21,17,3,-99,19,25
06/01/2006,23,27,24,20,18,-99,-99,25,31
06/01/2006,24,27,27,21,26,-99,-99,27,29
07/01/2006,1,31,33,17,24,1,-99,21,34
07/01/2006,2,34,32,21,20,-99,-99,19,36
07/01/2006,3,33,26,21,19,7,-99,21,39
07/01/2006,4,32,22,19,33,14,-99,19,39
07/01/2006,5,25,33,17,25,16,-99,18,30
07/01/2006,6,21,37,20,22,10,-99,18,29
07/01/2006,7,26,32,20,18,3,-99,22,42
07/01/2006,8,31,27,21,25,4,-99,22,31
07/01/2006,9,36,27,22,30,13,-99,25,-99
07/01/2006,10,42,41,28,17,41,-99,25,2
07/01/2006,11,55,47,29,21,70,-99,28,39
07/01/2006,12,63,42,22,43,103,-99,50,46
07/01/2006,13,70,49,39,56,105,-99,47,33
07/01/2006,14,35,40,24,49,90,-99,32,24
07/01/2006,15,39,24,28,46,65,-99,17,33
07/01/2006,16,44,22,26,44,52,-99,19,23
07/01/2006,17,43,17,16,48,44,-99,16,26
07/01/2006,18,40,14,19,33,35,-99,17,34
07/01/2006,19,21,38,19,31,-99,-99,19,28
07/01/2006,20,40,34,34,19,-99,-99,24,35
07/01/2006,21,31,40,46,31,-99,-99,44,42
07/01/2006,22,35,42,45,31,14,-99,38,46
07/01/2006,23,43,38,55,32,2,-99,44,47
07/01/2006,24,-99,40,44,45,-99,-99,59,57
08/01/2006,1,-99,38,42,51,3,-99,69,76
08/01/2006,2,-99,42,54,70,9,-99,63,75
08/01/2006,3,-99,38,51,69,14,-99,90,77
08/01/2006,4,-99,33,-99,68,16,-99,97,68
08/01/2006,5,-99,33,-99,57,17,-99,91,54
