FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
01/01/2016,1,45,20,78,86,66,89,-99,68,-99,61,135,-99,68,-99,153,-99,-99,76,80,-99,120,,,,,,,
01/01/2016,2,87,15,82,135,85,102,-99,98,-99,95,132,-99,109,-99,179,-99,-99,123,110,-99,214,,,,,,,
01/01/2016,3,80,12,107,163,90,108,-99,119,-99,125,109,-99,142,-99,144,-99,-99,212,148,-99,232,,,,,,,
01/01/2016,4,74,16,111,181,101,119,-99,149,-99,162,128,-99,139,-99,159,-99,-99,184,159,-99,187,,,,,,,
01/01/2016,5,77,13,146,186,111,141,-99,150,-99,111,148,-99,152,-99,124,-99,-99,175,183,-99,177,,,,,,,
01/01/2016,6,67,17,139,166,121,137,-99,128,-99,125,152,-99,104,-99,143,-99,-99,149,163,-99,159,,,,,,,
01/01/2016,7,77,18,128,124,105,130,-99,139,-99,117,128,-99,97,-99,143,-99,-99,153,147,-99,162,,,,,,,
01/01/2016,8,83,24,121,149,102,118,-99,125,-99,124,109,-99,96,-99,123,-99,-99,181,123,-99,161,,,,,,,
01/01/2016,9,96,32,126,160,100,130,-99,126,-99,140,128,-99,111,-99,132,-99,-99,195,107,-99,159,,,,,,,
01/01/2016,10,107,34,149,168,99,145,-99,159,-99,150,139,-99,112,-99,171,-99,-99,206,115,-99,181,,,,,,,
01/01/2016,11,111,14,165,173,112,161,-99,172,-99,176,153,-99,124,-99,135,-99,-99,176,131,-99,180,,,,,,,
01/01/2016,12,112,47,170,166,112,162,-99,172,-99,186,153,-99,118,-99,113,-99,-99,188,143,-99,165,,,,,,,
01/01/2016,13,105,61,154,92,102,154,-99,113,-99,170,91,-99,124,-99,128,-99,-99,121,147,-99,161,,,,,,,
01/01/2016,14,98,73,112,66,90,109,-99,120,-99,105,64,-99,90,-99,54,-99,-99,60,59,-99,73,,,,,,,
01/01/2016,15,84,22,83,79,58,76,-99,105,-99,53,88,-99,62,-99,45,-99,-99,77,43,-99,45,,,,,,,
01/01/2016,16,74,15,56,72,40,52,-99,42,-99,36,63,-99,59,-99,34,-99,-99,67,30,-99,42,,,,,,,
01/01/2016,17,34,14,41,43,42,40,-99,55,-99,52,45,-99,58,-99,38,-99,-99,73,44,-99,48,,,,,,,
01/01/2016,18,7,18,40,50,37,35,-99,52,-99,69,48,-99,38,-99,52,-99,-99,64,39,-99,45,,,,,,,
01/01/2016,19,13,17,18,45,24,13,-99,17,-99,2,36,-99,13,-99,23,-99,-99,41,20,-99,40,,,,,,,
01/01/2016,20,30,19,24,33,20,27,-99,33,-99,5,30,-99,22,-99,40,-99,-99,26,20,-99,21,,,,,,,
01/01/2016,21,43,12,26,17,36,28,-99,28,-99,44,32,-99,30,-99,30,-99,-99,18,40,-99,31,,,,,,,
01/01/2016,22,34,7,26,18,27,26,-99,31,-99,32,37,-99,20,-99,27,-99,-99,35,40,-99,12,,,,,,,
01/01/2016,23,25,4,-99,38,25,30,-99,33,-99,41,45,-99,23,-99,32,-99,-99,31,38,-99,35,,,,,,,
01/01/2016,24,-99,9,-99,27,25,33,-99,30,-99,32,35,-99,25,-99,39,-99,-99,34,29,-99,36,,,,,,,
02/01/2016,1,-99,10,-99,36,20,31,-99,35,-99,43,33,-99,25,-99,38,-99,-99,36,29,-99,28,,,,,,,
02/01/2016,2,-99,25,-99,41,30,32,-99,34,-99,40,33,-99,19,-99,29,-99,-99,32,35,-99,21,,,,,,,
02/01/2016,3,-99,18,-99,38,31,32,-99,30,-99,21,33,-99,18,-99,30,-99,-99,29,27,-99,16,,,,,,,
02/01/2016,4,-99,9,-99,33,26,25,-99,24,-99,23,35,-99,13,-99,27,-99,-99,23,21,-99,12,,,,,,,
02/01/2016,5,-99,1,-99,33,24,20,-99,17,-99,17,29,-99,12,-99,26,-99,-99,22,22,-99,27,,,,,,,
02/01/2016,6,-99,4,-99,26,18,20,-99,20,-99,12,22,-99,16,-99,29,-99,-99,30,25,-99,15,,,,,,,
02/01/2016,7,-99,6,-99,14,22,19,-99,18,-99,32,21,-99,18,-99,27,-99,-99,28,25,-99,19,,,,,,,
02/01/2016,8,-99,9,-99,17,14,21,-99,22,-99,6,20,-99,21,-99,31,-99,-99,21,25,-99,26,,,,,,,
