FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
01/01/2010,1,1.6,1.9,1.8,1.1,2.0,1.7,0.9,1.9,1.9,3.1,1.8,1.2,1.4,1.9,2.0,1.6,-99
01/01/2010,2,1.1,1.6,1.4,1.1,2.1,1.4,0.8,1.7,1.5,2.6,2.5,1.3,1.7,1.6,2.0,1.4,-99
01/01/2010,3,1.1,1.2,1.2,1.1,0.8,1.4,0.8,1.4,0.8,2.2,2.5,1.2,1.2,1.1,1.5,1.1,-99
01/01/2010,4,0.3,1.0,0.8,1.0,0.6,0.6,0.5,0.8,0.4,0.8,1.9,1.3,0.9,1.2,0.9,0.6,-99
01/01/2010,5,0.4,0.6,0.6,0.7,0.6,0.6,0.4,0.5,0.9,0.8,1.9,0.9,0.9,1.2,0.8,0.5,-99
01/01/2010,6,0.5,0.4,0.7,0.3,0.4,0.8,0.4,0.3,0.5,0.5,0.8,0.6,0.6,0.5,0.6,0.5,-99
01/01/2010,7,0.2,0.2,0.5,0.2,0.5,0.7,0.3,0.3,0.3,0.5,0.7,0.6,0.6,0.5,0.3,0.4,-99
01/01/2010,8,0.2,0.3,0.5,0.2,0.5,0.8,0.2,0.4,0.4,0.4,0.7,0.6,0.6,0.5,0.3,0.4,-99
01/01/2010,9,0.2,0.2,0.6,0.2,0.4,0.7,0.1,0.4,0.3,0.3,0.7,0.6,0.6,0.5,0.2,0.3,-99
01/01/2010,10,0.0,1.2,0.4,0.1,0.4,0.6,0.1,0.4,0.2,0.2,0.5,0.5,0.5,0.4,0.1,0.2,-99
01/01/2010,11,0.0,0.5,0.4,0.1,0.4,0.5,0.1,0.3,0.2,0.3,0.5,0.4,0.5,0.3,0.1,0.2,-99
01/01/2010,12,0.1,0.2,0.5,0.2,0.4,0.6,0.2,0.3,0.2,0.3,0.5,0.4,0.6,0.3,0.2,0.2,-99
01/01/2010,13,0.2,0.2,0.5,0.2,0.5,0.6,0.2,0.4,0.2,0.4,0.5,0.4,0.5,0.3,0.3,0.3,-99
01/01/2010,14,0.2,0.2,0.5,0.2,0.4,0.7,0.2,0.5,0.3,0.4,0.5,0.4,0.6,0.4,0.3,0.3,-99
01/01/2010,15,0.3,0.3,0.6,0.2,0.5,0.6,0.2,0.5,0.3,0.5,0.6,0.4,0.5,0.5,0.3,0.4,-99
