FECHA,HORA,ACO,CAM,CHO,CUA,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2012,1,1.2,1.4,1.3,-99,1,-99,-99,1.3,1.3,1.7,0.9,2.2,0.4,1.4,-99,2.1,1.6,1.9,1.4,1.3,0.2,-99,1.7,1.7,1.5
01/01/2012,2,1.1,1.7,1.6,-99,1.1,-99,-99,1.2,2.1,1.9,1.3,2.5,0.9,1.6,-99,2,2.5,2,1.6,2,0.3,-99,2.5,1.5,1.5
01/01/2012,3,1.2,1.6,1.8,-99,1.4,-99,-99,1.5,1.9,1.9,1.7,1.5,1.2,1.8,-99,1.9,1.8,1.6,1.5,2.1,0.5,-99,1.7,3.2,2.1
01/01/2012,4,1.2,1.9,2.6,-99,1.9,-99,-99,2.2,1.8,2.3,2,1.9,1.2,1.7,-99,2.5,2.7,2.3,1.9,2.2,0.5,-99,1.8,2.7,2.2
01/01/2012,5,1,1.5,2.2,-99,1.2,-99,-99,2.3,1.9,2.3,2.5,2.1,1.3,1.9,-99,3.4,3.5,3,1.4,1.8,0.3,-99,2.5,3.1,2
01/01/2012,6,1.1,1.9,1.8,-99,1,-99,-99,2.3,1.6,2.4,2.3,2.6,1.2,2.2,-99,3.3,3.3,1.9,0.8,1.8,0.3,-99,3.4,3.6,2.7
01/01/2012,7,1.3,1.6,2.1,-99,1,-99,-99,2.4,1.6,2.6,1.7,2.7,1,1.6,-99,2.3,2.8,2.2,0.7,1.9,0.3,-99,2.9,3.3,2.3
01/01/2012,8,1,1.8,2.4,-99,1,-99,-99,2.1,1.9,2.3,1.6,2.4,1.3,1.8,-99,2.8,3.1,2.8,0.9,2.3,0.2,-99,3,3.6,2.6
01/01/2012,9,0.8,1.3,2.3,-99,0.9,-99,-99,2.2,2.5,1.7,1.2,2,1.1,1.7,-99,2.1,2.2,2.6,1.5,2.1,0.3,-99,2.8,3.2,2.4
01/01/2012,10,0.5,1.4,2.7,-99,1,-99,-99,2,2.1,2.1,1.1,1.8,1.2,1.5,-99,1.7,2.3,2.4,1.1,1.4,1.2,-99,2,2.3,1.9
