FECHA;HORA;ACO;ATI;CAM;CHO;COY;CUA;FAC;IZT;LLA;LPR;MER;MON;NEZ;PED;SAG;SJA;SUR;TAH;TLA;TLI;TPN;UIZ;VIF;XAL
01/01/2011;1;-99;26;-99;-99;-99;-99;32;31;-99;-99;33;-99;-99;22;35;-99;30;-99;30;30;-99;31;28;38
01/01/2011;2;-99;25;-99;-99;-99;-99;34;32;-99;-99;32;-99;-99;29;34;-99;29;-99;31;31;-99;31;37;38
01/01/2011;3;-99;30;-99;-99;-99;-99;34;34;-99;-99;32;-99;-99;28;34;-99;31;-99;32;31;-99;33;35;36
01/01/2011;4;-99;29;-99;-99;-99;-99;30;32;-99;-99;33;-99;-99;31;34;-99;32;-99;33;30;-99;32;31;36
01/01/2011;5;-99;28;-99;-99;-99;-99;30;33;-99;-99;34;-99;-99;22;32;-99;30;-99;32;32;-99;31;32;36
01/01/2011;6;-99;29;-99;-99;-99;-99;26;32;-99;-99;34;-99;-99;16;28;-99;30;-99;30;32;-99;32;31;36
01/01/2011;7;-99;28;-99;-99;-99;-99;26;30;-99;-99;34;-99;-99;21;25;-99;27;-99;28;31;-99;31;29;31
01/01/2011;8;-99;25;-99;-99;-99;-99;23;29;-99;-99;34;-99;-99;24;22;-99;27;-99;27;33;-99;32;25;31
01/01/2011;9;-99;39;-99;-99;-99;-99;23;37;-99;-99;43;-99;-99;23;24;-99;31;-99;30;40;-99;38;27;45
01/01/2011;10;-99;42;-99;-99;-99;-99;25;45;-99;-99;54;-99;-99;18;46;-99;26;-99;59;45;-99;43;31;44
01/01/2011;11;-99;33;-99;-99;-99;-99;32;34;-99;-99;55;-99;-99;11;23;-99;17;-99;72;46;-99;52;22;30
01/01/2011;12;-99;16;-99;-99;-99;-99;37;48;-99;-99;36;-99;-99;16;9;-99;14;-99;53;24;-99;34;10;16
01/01/2011;13;-99;8;-99;-99;-99;-99;34;16;-99;-99;12;-99;-99;12;8;-99;16;-99;33;10;-99;12;7;11
01/01/2011;14;-99;10;-99;-99;-99;-99;24;15;-99;-99;19;-99;-99;12;8;-99;19;-99;18;12;-99;10;7;14
01/01/2011;15;-99;19;-99;-99;-99;-99;21;10;-99;-99;21;-99;-99;9;8;-99;16;-99;13;14;-99;10;9;12
01/01/2011;16;-99;11;-99;-99;-99;-99;16;12;-99;-99;22;-99;-99;21;11;-99;10;-99;8;9;-99;17;9;18
01/01/2011;17;-99;12;-99;-99;-99;-99;25;20;-99;-99;25;-99;-99;26;16;-99;20;-99;14;13;-99;18;10;29
01/01/2011;18;-99;15;-99;-99;-99;-99;25;32;-99;-99;45;-99;-99;30;24;-99;31;-99;11;8;-99;37;12;32
