FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2017,1,-99,11,-99,-99,27,25,-99,37,10,26,33,-99,-99,30,-99,-99,47,22,-99,-99,39,17,47,13,41,35,38,37,34,46,-99,39
01/01/2017,2,-99,12,-99,-99,32,20,-99,35,11,25,27,23,-99,38,-99,-99,45,12,-99,-99,44,19,39,7,37,33,33,35,38,36,-99,45
01/01/2017,3,-99,11,-99,-99,29,27,-99,34,15,23,30,31,-99,40,-99,-99,41,32,-99,-99,44,32,37,8,37,33,30,33,32,43,-99,45
01/01/2017,4,29,10,-99,-99,36,29,-99,36,11,25,29,36,-99,39,-99,-99,40,35,26,-99,44,33,39,12,34,27,30,35,33,36,-99,42
01/01/2017,5,22,9,-99,-99,34,29,-99,36,8,20,27,36,-99,34,-99,-99,38,36,22,-99,40,22,32,11,35,24,27,34,34,36,-99,42
01/01/2017,6,20,8,-99,-99,32,27,-99,33,7,19,25,36,-99,34,-99,-99,37,33,22,-99,39,13,32,10,35,23,30,28,31,35,-99,39
01/01/2017,7,17,8,-99,-99,29,21,-99,30,20,18,27,33,-99,31,-99,-99,37,31,15,-99,34,12,32,13,34,21,31,27,25,30,-99,36
01/01/2017,8,14,7,-99,-99,28,18,-99,28,18,12,21,32,-99,30,-99,-99,34,28,15,-99,28,13,28,19,32,16,25,27,24,33,-99,35
01/01/2017,9,14,11,-99,-99,24,18,-99,27,23,18,20,37,-99,33,-99,-99,43,28,14,-99,29,13,29,16,39,23,29,34,20,26,-99,45
01/01/2017,10,11,15,-99,-99,24,23,-99,32,13,17,22,45,-99,32,-99,-99,58,44,14,-99,32,21,25,12,40,20,30,48,16,20,-99,54
01/01/2017,11,13,11,-99,-99,32,21,-99,18,8,12,13,23,-99,21,-99,-99,42,34,16,-99,34,18,24,8,37,17,21,38,13,14,-99,39
01/01/2017,12,11,10,-99,-99,14,12,-99,13,9,7,10,17,-99,14,-99,-99,23,18,15,-99,21,11,21,9,16,12,21,14,13,11,-99,22
01/01/2017,13,11,10,-99,-99,11,10,-99,11,9,4,11,16,-99,18,-99,-99,16,11,6,-99,13,8,16,11,10,6,17,9,11,12,-99,16
01/01/2017,14,8,9,-99,-99,12,9,-99,9,12,6,11,13,-99,12,-99,-99,12,10,6,-99,10,9,11,9,11,6,11,11,8,11,-99,10
01/01/2017,15,8,9,-99,-99,10,9,-99,9,9,8,9,10,-99,9,-99,-99,14,11,5,-99,8,9,-99,10,12,6,12,12,8,12,-99,13
01/01/2017,16,9,10,-99,-99,11,11,-99,10,9,10,10,10,-99,9,-99,-99,14,12,5,-99,9,10,-99,10,14,6,12,14,10,8,-99,17
01/01/2017,17,14,7,-99,-99,14,10,-99,11,8,10,15,14,-99,12,-99,-99,15,14,7,-99,9,9,-99,11,16,-99,15,18,9,8,-99,15
01/01/2017,18,10,6,-99,-99,16,9,-99,10,8,17,20,16,-99,13,-99,-99,20,22,9,-99,12,10,19,12,26,6,17,23,9,10,-99,16
01/01/2017,19,12,7,-99,-99,17,10,-99,14,13,17,20,21,-99,16,-99,-99,22,25,13,-99,18,9,25,14,33,6,19,18,12,15,-99,26
01/01/2017,20,14,6,-99,-99,16,14,-99,25,12,22,32,25,-99,23,-99,-99,39,36,18,-99,37,15,31,22,41,13,35,24,15,19,-99,32
01/01/2017,21,18,8,-99,-99,19,17,-99,45,12,21,40,42,-99,36,-99,-99,59,33,15,-99,42,21,35,18,50,20,37,28,22,26,-99,37
01/01/2017,22,28,8,-99,-99,21,31,-99,39,13,25,46,33,-99,39,-99,-99,59,39,14,-99,46,33,33,20,57,27,32,42,24,27,-99,43
01/01/2017,23,32,9,-99,-99,25,32,-99,45,14,34,39,41,-99,42,-99,-99,64,32,17,-99,47,20,39,17,59,26,55,30,33,41,-99,52
01/01/2017,24,41,12,-99,-99,40,23,-99,49,11,31,37,45,-99,46,-99,-99,65,49,19,-99,47,16,46,20,55,20,53,31,26,40,-99,53
02/01/2017,1,35,14,-99,-99,41,30,-99,46,16,26,28,49,-99,40,-99,-99,61,50,22,-99,47,14,41,23,54,11,40,38,25,34,-99,46
02/01/2017,2,29,13,-99,-99,35,33,-99,36,14,21,29,40,-99,31,-99,-99,44,41,32,-99,44,11,39,18,50,23,40,27,27,25,-99,43
02/01/2017,3,27,8,-99,-99,26,21,-99,20,21,19,23,35,-99,35,-99,-99,43,37,31,-99,27,8,25,13,44,7,36,28,24,29,-99,46
02/01/2017,4,24,5,-99,-99,24,17,-99,25,18,20,18,36,-99,36,-99,-99,41,32,27,-99,22,8,27,12,45,10,34,40,22,22,-99,38
02/01/2017,5,22,9,-99,-99,23,25,-99,31,10,19,16,37,-99,34,-99,-99,41,34,26,-99,29,20,31,11,42,10,33,35,22,32,-99,40
02/01/2017,6,18,11,-99,-99,32,24,-99,24,22,20,22,31,-99,30,-99,-99,41,29,23,-99,37,18,31,21,40,18,32,34,22,31,-99,39
02/01/2017,7,19,13,-99,-99,43,28,-99,33,40,21,28,35,-99,33,-99,-99,38,38,24,-99,37,23,33,29,34,22,34,34,25,-99,-99,40
02/01/2017,8,23,12,-99,-99,45,26,-99,35,47,16,29,36,-99,36,-99,-99,45,43,21,-99,35,25,32,38,33,25,32,32,29,-99,-99,41
