FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,PLA,SAG,TAX,IZT
01/01/2008,1,83,96,67,90,61,54,-99,376,75,86,58,93,110,67,97
01/01/2008,2,118,115,131,117,64,75,-99,363,138,179,53,116,215,97,189
01/01/2008,3,140,178,219,127,70,131,-99,457,87,141,61,121,209,128,287
01/01/2008,4,159,136,271,153,58,127,-99,419,225,117,46,104,236,189,308
01/01/2008,5,161,98,269,98,66,130,-99,462,208,127,36,73,248,97,229
01/01/2008,6,187,94,293,103,57,164,-99,409,160,82,40,67,249,97,123
01/01/2008,7,149,65,303,133,47,107,-99,322,87,87,31,49,203,92,127
01/01/2008,8,133,91,257,84,37,85,-99,287,157,76,37,35,219,93,172
01/01/2008,9,170,122,90,168,59,175,-99,135,126,78,80,82,71,77,213
01/01/2008,10,36,61,41,55,51,66,-99,101,137,84,45,55,47,81,144
01/01/2008,11,28,34,36,39,27,31,-99,112,61,44,35,41,55,43,49
01/01/2008,12,44,25,127,69,26,57,-99,75,66,31,43,28,343,40,35
01/01/2008,13,153,77,183,266,57,96,-99,215,121,76,44,54,529,122,121
01/01/2008,14,161,136,370,205,140,186,-99,150,274,229,173,132,264,219,312
01/01/2008,15,103,45,125,137,113,227,-99,54,172,173,73,87,356,155,238
01/01/2008,16,121,71,247,262,63,284,-99,114,221,103,76,47,1319,115,147
01/01/2008,17,82,55,116,189,102,305,-99,23,472,251,86,83,243,286,399
01/01/2008,18,58,29,97,65,30,108,-99,18,-99,74,34,26,124,112,171
01/01/2008,19,64,29,81,42,23,77,-99,7,73,26,36,19,39,45,102
01/01/2008,20,38,25,55,43,22,59,-99,2,63,17,33,21,24,32,65
01/01/2008,21,14,22,23,19,13,37,-99,21,67,7,22,20,14,19,47
01/01/2008,22,7,10,14,16,13,22,-99,4,66,6,27,13,11,11,28
01/01/2008,23,4,10,9,-99,16,10,-99,1,23,5,19,10,10,9,23
01/01/2008,24,7,8,1,-99,7,7,-99,-99,26,2,6,8,1,5,16
02/01/2008,1,6,9,10,-99,6,9,-99,6,19,4,7,6,4,5,33
02/01/2008,2,6,8,17,-99,4,7,-99,18,12,1,-99,8,13,-99,19
02/01/2008,3,1,7,12,5,1,6,-99,11,9,6,-99,5,16,6,17
02/01/2008,4,5,9,6,7,6,5,-99,11,7,3,-99,5,-99,4,12
02/01/2008,5,-99,9,5,-99,5,3,-99,10,-99,-99,-99,8,-99,5,12
02/01/2008,6,-99,8,11,1,7,1,-99,8,-99,-99,-99,6,1,5,9
02/01/2008,7,2,11,18,5,11,6,-99,-99,4,-99,-99,12,7,8,14
02/01/2008,8,10,16,23,23,13,10,-99,4,15,11,-99,14,12,20,25
02/01/2008,9,8,24,44,14,23,14,-99,16,16,13,-99,19,17,24,24
02/01/2008,10,12,30,79,22,35,18,-99,51,19,14,-99,22,-99,21,22
02/01/2008,11,15,38,56,30,22,23,-99,68,34,19,-99,21,-99,35,29
02/01/2008,12,50,56,71,58,35,37,-99,62,67,29,-99,36,-99,36,52
02/01/2008,13,54,83,99,58,55,48,-99,92,84,53,-99,56,-99,53,59
02/01/2008,14,65,113,107,67,68,52,-99,84,99,65,-99,68,-99,63,73
02/01/2008,15,75,125,127,82,92,72,-99,103,109,90,-99,89,111,89,95
02/01/2008,16,90,135,152,87,109,83,-99,141,133,99,117,98,184,94,105
02/01/2008,17,103,129,139,104,115,96,-99,99,133,103,134,112,176,98,114
02/01/2008,18,95,99,118,99,128,89,-99,70,118,121,111,110,181,103,149
02/01/2008,19,84,84,92,86,99,64,-99,48,89,96,96,89,222,80,130
02/01/2008,20,57,61,73,63,82,53,-99,27,78,75,72,77,154,55,98
02/01/2008,21,29,40,42,32,55,28,-99,15,44,49,40,47,38,35,65
02/01/2008,22,26,47,31,29,32,22,-99,17,34,30,23,27,25,34,39
02/01/2008,23,21,-99,17,-99,-99,24,-99,14,31,-99,-99,14,-99,-99,34
02/01/2008,24,17,9,8,-99,4,14,-99,10,11,-99,5,7,-99,12,29
03/01/2008,1,13,9,4,17,4,11,-99,15,11,8,5,6,10,8,30
03/01/2008,2,10,6,4,12,3,6,-99,6,10,1,4,5,8,8,21
03/01/2008,3,6,2,13,5,1,6,-99,4,-99,1,-99,1,1,1,12
03/01/2008,4,4,2,11,10,2,-99,-99,12,2,-99,-99,1,9,3,11
03/01/2008,5,6,17,18,16,3,4,-99,13,2,1,1,4,11,3,23
03/01/2008,6,13,24,35,27,5,8,-99,11,8,4,8,4,22,9,26
03/01/2008,7,27,20,42,32,6,16,-99,24,3,6,14,13,33,12,24
03/01/2008,8,35,24,80,36,15,44,-99,40,13,15,26,17,42,20,-99
03/01/2008,9,38,30,76,46,17,38,-99,54,46,17,17,19,63,22,21
03/01/2008,10,49,38,105,-99,25,33,-99,41,31,26,16,30,52,38,-99
03/01/2008,11,81,64,74,-99,33,73,-99,29,65,46,30,46,44,58,71
03/01/2008,12,101,73,84,-99,-99,84,-99,37,79,55,37,51,49,71,93
03/01/2008,13,91,-99,83,-99,60,82,-99,50,94,71,64,63,65,95,102
03/01/2008,14,94,-99,63,74,67,80,-99,50,123,79,85,79,49,103,122
03/01/2008,15,75,-99,88,54,73,84,-99,75,131,88,82,83,49,102,102
03/01/2008,16,74,80,100,56,76,74,-99,95,143,81,88,69,56,86,72
03/01/2008,17,78,93,110,53,70,69,-99,115,132,75,80,74,88,69,74
03/01/2008,18,96,129,-99,57,68,65,-99,137,148,60,94,75,129,69,104
03/01/2008,19,113,142,-99,121,105,112,-99,102,160,105,108,98,123,93,109
03/01/2008,20,-99,116,-99,107,100,138,-99,69,149,125,76,95,111,125,153
03/01/2008,21,-99,84,-99,91,85,93,-99,47,107,86,75,73,71,88,128
03/01/2008,22,55,63,102,72,76,64,-99,41,80,75,45,60,41,71,102
03/01/2008,23,46,40,73,63,54,49,-99,28,79,50,38,45,33,55,84
03/01/2008,24,52,40,57,49,42,26,-99,22,46,44,34,43,30,46,67
04/01/2008,1,47,44,57,45,39,23,-99,25,35,34,33,43,37,31,68
04/01/2008,2,44,36,55,31,37,19,-99,30,30,23,33,37,30,25,57
04/01/2008,3,54,32,44,25,34,22,-99,40,21,21,43,34,40,23,45
04/01/2008,4,47,38,39,35,31,18,-99,38,26,22,46,42,43,25,52
