FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,SAG,TAX,IZT
01/01/2010,1,115,98,195,104,83,62,182,275,73,225,81,129,71,107
01/01/2010,2,122,114,248,122,73,102,231,248,97,273,87,218,97,160
01/01/2010,3,73,167,105,114,71,94,283,210,115,154,72,100,84,146
01/01/2010,4,19,120,54,31,77,40,193,196,101,113,67,59,25,113
01/01/2010,5,16,57,74,33,52,24,169,132,52,90,37,83,54,68
01/01/2010,6,87,59,104,97,70,95,66,59,98,93,63,83,100,81
01/01/2010,7,44,18,23,49,55,39,35,38,58,58,29,32,74,71
01/01/2010,8,27,17,26,29,23,37,27,33,48,29,16,25,35,41
01/01/2010,9,25,23,23,20,14,27,29,30,35,23,22,15,42,23
01/01/2010,10,12,9,-99,13,-99,13,7,-99,17,6,-99,20,-99,17
01/01/2010,11,13,15,31,14,8,22,18,-99,10,13,14,24,21,9
01/01/2010,12,22,15,21,15,17,11,9,-99,21,21,20,17,17,14
01/01/2010,13,23,17,21,17,16,33,9,-99,17,16,16,16,21,23
01/01/2010,14,18,21,24,19,11,11,13,-99,16,19,18,17,11,24
01/01/2010,15,29,23,28,13,16,23,23,7,22,17,22,21,19,22
01/01/2010,16,33,20,19,19,21,33,14,55,32,32,23,25,32,27
01/01/2010,17,35,37,43,31,36,42,36,88,32,32,28,29,34,41
01/01/2010,18,86,48,78,51,45,34,31,59,45,45,55,67,48,46
01/01/2010,19,58,51,81,52,35,52,35,50,52,49,46,59,39,51
01/01/2010,20,45,58,74,56,60,51,56,47,65,63,43,65,68,50
01/01/2010,21,52,38,67,67,50,60,46,41,90,55,32,77,55,57
01/01/2010,22,47,53,63,53,44,70,40,52,60,46,27,51,37,53
01/01/2010,23,45,49,61,45,35,30,44,35,54,39,33,51,40,47
01/01/2010,24,43,47,52,32,28,25,28,37,51,39,23,35,35,43
02/01/2010,1,-99,37,44,29,31,26,30,40,37,35,20,35,27,44
02/01/2010,2,-99,31,44,26,27,24,30,45,43,34,22,31,28,32
02/01/2010,3,-99,34,50,22,24,18,32,47,26,31,20,37,23,43
02/01/2010,4,22,33,47,25,25,22,37,39,27,29,23,29,24,33
