FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
01/01/2009,1,37,39,-99,42,36,49,57,50,40
01/01/2009,2,46,58,-99,49,58,53,100,52,59
01/01/2009,3,52,91,32,51,74,37,101,72,70
01/01/2009,4,56,118,-99,67,82,88,105,91,87
01/01/2009,5,77,114,-99,102,97,96,116,99,92
01/01/2009,6,87,66,73,105,83,96,81,89,89
01/01/2009,7,74,58,119,83,111,87,88,95,90
01/01/2009,8,84,50,110,82,127,100,131,102,78
01/01/2009,9,86,74,86,83,111,81,178,101,44
01/01/2009,10,88,148,-99,96,98,72,188,107,25
01/01/2009,11,99,135,-99,92,95,83,106,120,19
01/01/2009,12,95,94,100,62,77,78,-99,111,33
01/01/2009,13,79,70,79,43,60,59,-99,66,29
01/01/2009,14,49,48,56,27,45,58,-99,21,21
01/01/2009,15,39,31,29,36,35,27,-99,23,14
01/01/2009,16,16,39,29,22,17,25,-99,11,15
01/01/2009,17,19,30,24,20,24,29,-99,28,14
01/01/2009,18,21,28,25,28,26,31,28,19,20
01/01/2009,19,25,27,26,32,40,33,40,31,16
01/01/2009,20,24,27,31,28,28,25,44,31,12
01/01/2009,21,18,21,26,22,27,26,48,28,11
01/01/2009,22,13,20,14,25,34,18,39,21,7
01/01/2009,23,12,26,19,23,17,12,29,27,13
01/01/2009,24,-99,-99,31,-99,28,-99,-99,41,21
02/01/2009,1,-99,-99,26,36,33,23,11,15,18
02/01/2009,2,16,10,16,32,30,36,24,32,23
02/01/2009,3,17,6,9,32,34,28,21,20,21
02/01/2009,4,19,5,9,25,41,19,37,13,16
02/01/2009,5,18,4,22,28,30,23,34,12,18
02/01/2009,6,21,7,30,29,27,18,31,16,18
02/01/2009,7,26,11,21,27,37,22,26,35,24
02/01/2009,8,26,14,24,29,33,20,48,25,27
02/01/2009,9,29,17,25,22,15,28,64,19,7
02/01/2009,10,32,24,20,36,18,29,67,34,4
02/01/2009,11,38,24,22,24,28,35,60,46,-99
02/01/2009,12,46,24,19,16,19,39,47,39,13
02/01/2009,13,32,29,16,18,10,23,10,18,12
02/01/2009,14,10,21,14,6,5,10,-99,3,10
02/01/2009,15,6,30,16,12,7,7,-99,19,12
02/01/2009,16,11,32,21,14,18,13,13,29,13
02/01/2009,17,23,27,24,20,21,21,-99,36,20
02/01/2009,18,25,30,33,27,25,27,30,28,24
02/01/2009,19,25,36,39,32,36,31,40,37,45
02/01/2009,20,27,46,33,34,39,41,44,52,51
02/01/2009,21,26,42,29,32,39,49,54,41,33
02/01/2009,22,29,52,33,38,46,36,46,47,38
02/01/2009,23,38,57,42,44,50,42,36,51,57
02/01/2009,24,38,54,43,33,44,45,42,40,60
03/01/2009,1,35,44,42,44,46,43,36,42,64
03/01/2009,2,-99,36,42,44,52,50,39,33,51
03/01/2009,3,-99,33,40,39,65,54,25,39,40
03/01/2009,4,-99,29,41,40,71,53,42,39,33
03/01/2009,5,-99,28,39,38,61,53,50,37,33
03/01/2009,6,-99,29,40,41,52,39,56,32,28
03/01/2009,7,-99,31,41,41,43,47,52,45,34
03/01/2009,8,-99,37,-99,48,44,51,54,64,33
03/01/2009,9,-99,45,-99,47,43,57,58,50,33
03/01/2009,10,-99,79,46,63,49,58,79,49,34
03/01/2009,11,55,88,52,55,45,57,77,66,-99
03/01/2009,12,50,62,66,48,44,62,56,59,30
03/01/2009,13,41,58,53,31,23,47,10,41,25
03/01/2009,14,35,63,44,37,34,36,18,45,28
03/01/2009,15,40,67,45,31,33,43,-99,46,28
03/01/2009,16,41,66,48,36,37,42,-99,47,29
03/01/2009,17,37,61,40,34,42,39,-99,45,33
03/01/2009,18,31,60,32,28,30,42,27,45,26
03/01/2009,19,26,45,36,37,30,44,44,35,-99
03/01/2009,20,-99,32,41,32,39,41,52,45,-99
03/01/2009,21,-99,39,41,32,41,44,53,41,-99
03/01/2009,22,-99,47,39,28,45,38,51,52,31
03/01/2009,23,-99,45,37,35,43,36,41,48,35
03/01/2009,24,-99,44,38,30,40,31,38,41,37
04/01/2009,1,-99,45,39,31,40,44,34,56,49
04/01/2009,2,-99,39,40,39,41,41,31,54,53
04/01/2009,3,-99,34,41,39,42,43,34,38,46
04/01/2009,4,-99,36,43,34,57,47,26,33,44
04/01/2009,5,-99,35,44,34,57,47,39,24,44
04/01/2009,6,-99,32,44,39,56,48,38,35,38
04/01/2009,7,-99,32,42,40,29,49,38,43,39
04/01/2009,8,-99,34,39,38,20,42,46,38,43
04/01/2009,9,-99,39,41,34,41,35,54,39,38
04/01/2009,10,-99,46,45,42,42,38,58,49,33
04/01/2009,11,-99,76,-99,69,43,61,71,76,22
04/01/2009,12,-99,77,-99,67,52,53,68,79,16
04/01/2009,13,-99,69,71,41,35,28,36,58,14
04/01/2009,14,-99,61,54,34,31,22,24,47,20
04/01/2009,15,-99,53,51,43,29,17,-99,31,23
04/01/2009,16,-99,-99,52,26,15,14,-99,22,23
04/01/2009,17,-99,-99,42,26,22,16,-99,18,24
04/01/2009,18,-99,-99,37,28,30,33,27,24,33
04/01/2009,19,-99,-99,25,26,38,47,36,36,34
04/01/2009,20,-99,-99,21,29,27,38,46,39,28
04/01/2009,21,-99,33,19,28,31,37,50,35,32
04/01/2009,22,-99,40,21,33,33,39,46,32,28
04/01/2009,23,-99,35,31,-99,40,41,44,40,34
04/01/2009,24,-99,27,37,50,37,36,38,33,36
05/01/2009,1,-99,25,35,40,37,50,26,38,32
05/01/2009,2,-99,24,31,38,33,40,28,30,47
05/01/2009,3,-99,25,29,33,35,38,30,19,41
05/01/2009,4,-99,24,28,51,36,38,25,21,43
05/01/2009,5,-99,25,27,41,39,43,29,19,36
05/01/2009,6,-99,24,27,44,40,44,33,13,36
05/01/2009,7,-99,27,28,56,32,48,39,22,40
05/01/2009,8,-99,35,38,60,45,44,51,41,39
05/01/2009,9,-99,42,48,68,34,48,48,45,38
05/01/2009,10,-99,55,59,67,38,62,64,35,20
05/01/2009,11,-99,59,72,58,42,38,66,60,18
05/01/2009,12,-99,58,80,24,15,20,-99,44,-99
05/01/2009,13,-99,45,39,9,11,23,-99,15,9
05/01/2009,14,-99,32,16,9,11,12,-99,25,19
05/01/2009,15,-99,25,7,9,17,16,18,9,20
05/01/2009,16,-99,16,9,13,14,24,17,5,26
05/01/2009,17,-99,13,13,15,15,29,-99,11,26
05/01/2009,18,-99,12,15,18,18,26,32,14,25
05/01/2009,19,24,16,17,30,30,30,28,25,29
05/01/2009,20,24,22,19,20,22,29,36,24,27
05/01/2009,21,24,22,20,22,25,37,42,14,27
05/01/2009,22,22,18,22,21,28,38,49,17,31
05/01/2009,23,23,25,23,15,31,32,36,29,36
05/01/2009,24,23,30,25,21,36,29,28,25,41
06/01/2009,1,24,30,24,22,37,25,25,36,56
06/01/2009,2,27,40,17,26,34,35,10,41,-99
06/01/2009,3,28,32,11,17,29,33,18,70,-99
06/01/2009,4,23,15,10,22,34,32,16,41,40
06/01/2009,5,23,13,12,21,30,30,21,34,74
06/01/2009,6,24,18,15,19,31,44,19,42,75
06/01/2009,7,24,22,13,22,45,66,19,38,43
06/01/2009,8,33,36,17,24,50,67,19,77,50
06/01/2009,9,36,55,16,10,43,48,21,62,35
06/01/2009,10,24,62,18,7,24,30,40,23,17
06/01/2009,11,18,27,14,8,7,22,-99,6,7
06/01/2009,12,9,16,9,8,-99,14,-99,-99,-99
06/01/2009,13,8,13,9,4,-99,5,-99,-99,20
06/01/2009,14,8,13,8,14,13,14,-99,11,13
06/01/2009,15,14,12,10,24,16,15,-99,10,11
06/01/2009,16,14,18,13,28,21,24,-99,10,17
06/01/2009,17,20,22,20,29,31,29,-99,22,22
06/01/2009,18,20,19,20,29,31,38,34,27,30
06/01/2009,19,24,22,26,33,27,45,34,25,29
06/01/2009,20,26,25,28,36,32,41,45,-99,38
06/01/2009,21,29,25,23,36,35,44,46,11,47
06/01/2009,22,22,29,33,35,37,45,50,24,50
06/01/2009,23,17,26,36,42,43,43,56,32,70
06/01/2009,24,40,20,39,37,46,45,52,34,49
07/01/2009,1,46,13,32,39,55,47,62,15,85
07/01/2009,2,31,12,19,39,49,47,52,22,89
07/01/2009,3,28,19,18,35,53,42,43,19,40
07/01/2009,4,26,19,18,33,47,40,38,17,37
07/01/2009,5,27,24,15,24,36,30,52,24,34
07/01/2009,6,33,39,14,32,40,38,43,24,37
07/01/2009,7,34,36,19,42,36,41,47,35,27
07/01/2009,8,41,27,29,44,46,55,47,35,41
07/01/2009,9,43,34,34,35,56,66,58,37,49
07/01/2009,10,26,40,25,35,43,58,62,32,43
07/01/2009,11,29,58,27,39,32,53,54,32,23
07/01/2009,12,34,63,34,40,29,45,59,35,20
07/01/2009,13,27,54,27,28,25,26,30,34,25
07/01/2009,14,36,57,33,39,21,29,27,31,24
07/01/2009,15,36,47,32,35,36,25,36,35,27
07/01/2009,16,27,26,23,19,21,15,-99,9,14
07/01/2009,17,17,33,26,5,12,18,-99,23,15
07/01/2009,18,13,39,22,12,22,25,14,26,19
07/01/2009,19,16,57,19,22,27,31,29,49,64
07/01/2009,20,28,56,32,35,22,48,59,59,93
07/01/2009,21,35,60,40,32,42,60,57,57,102
07/01/2009,22,37,58,39,38,52,50,71,56,87
07/01/2009,23,37,56,42,41,58,49,54,46,85
07/01/2009,24,41,57,45,39,69,49,50,50,94
08/01/2009,1,40,60,36,47,72,56,45,51,75
08/01/2009,2,39,56,38,51,72,62,69,45,84
08/01/2009,3,46,57,42,47,63,88,52,41,110
08/01/2009,4,52,50,43,45,45,75,60,39,66
08/01/2009,5,47,36,43,44,46,74,55,49,72
08/01/2009,6,47,34,44,45,57,64,64,52,62
