FECHA,HORA,CAM,COY,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
01/01/2012,1,80,66,-99,62,110,39,99,-99,64,94,-99,91,74,,,,,,,,,,,,,,
01/01/2012,2,100,74,-99,102,233,100,133,-99,157,131,-99,169,112,,,,,,,,,,,,,,
01/01/2012,3,106,94,-99,111,169,95,128,-99,125,121,-99,155,160,,,,,,,,,,,,,,
01/01/2012,4,99,118,-99,113,138,113,142,-99,129,151,-99,135,154,,,,,,,,,,,,,,
01/01/2012,5,97,130,-99,103,133,106,131,-99,131,75,-99,157,150,,,,,,,,,,,,,,
01/01/2012,6,118,126,-99,107,162,90,178,-99,148,43,-99,193,194,,,,,,,,,,,,,,
01/01/2012,7,98,136,-99,137,249,65,161,-99,143,45,-99,169,168,,,,,,,,,,,,,,
01/01/2012,8,84,128,-99,118,238,74,183,-99,134,40,-99,173,177,,,,,,,,,,,,,,
01/01/2012,9,60,126,-99,106,190,75,153,-99,152,85,-99,202,197,,,,,,,,,,,,,,
01/01/2012,10,110,166,-99,172,195,87,175,-99,179,104,-99,204,194,,,,,,,,,,,,,,
01/01/2012,11,99,166,-99,162,172,95,200,-99,190,45,-99,170,205,,,,,,,,,,,,,,
01/01/2012,12,45,84,-99,84,143,28,59,-99,143,28,-99,120,125,,,,,,,,,,,,,,
01/01/2012,13,40,52,-99,43,53,27,40,-99,45,38,-99,52,34,,,,,,,,,,,,,,
01/01/2012,14,20,10,-99,27,4,14,13,-99,7,19,-99,24,12,,,,,,,,,,,,,,
01/01/2012,15,10,24,-99,10,-99,3,6,-99,-99,21,-99,12,9,,,,,,,,,,,,,,
01/01/2012,16,11,-99,-99,5,-99,6,8,-99,-99,5,-99,16,3,,,,,,,,,,,,,,
01/01/2012,17,5,1,-99,5,-99,10,8,-99,14,12,-99,19,14,,,,,,,,,,,,,,
01/01/2012,18,16,-99,-99,10,-99,5,7,-99,21,5,-99,9,14,,,,,,,,,,,,,,
01/01/2012,19,18,1,-99,8,-99,2,9,-99,17,-99,-99,13,12,,,,,,,,,,,,,,
01/01/2012,20,16,4,-99,15,-99,5,14,-99,15,14,-99,16,17,,,,,,,,,,,,,,
01/01/2012,21,9,11,-99,12,-99,9,18,-99,9,18,-99,16,8,,,,,,,,,,,,,,
01/01/2012,22,15,13,-99,12,23,12,16,-99,18,14,-99,16,6,,,,,,,,,,,,,,
01/01/2012,23,17,11,-99,10,19,13,6,-99,7,17,-99,8,10,,,,,,,,,,,,,,
01/01/2012,24,10,12,-99,9,8,13,8,-99,-99,9,-99,7,10,,,,,,,,,,,,,,
02/01/2012,1,11,14,-99,5,5,15,4,-99,4,13,-99,7,-99,,,,,,,,,,,,,,
02/01/2012,2,7,10,-99,9,6,11,7,-99,7,8,-99,-99,12,,,,,,,,,,,,,,
