FECHA,HORA,VAL,SUR,TAC,FAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,ARA,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,TAX,ACO,IZT,CHO
01/01/2008,1,10,13,6,13,3,6,7,5,23,26,4,10,5,8,2,-99,19,13,4,8,7,10,7,3,10,6
01/01/2008,2,16,23,7,11,9,15,12,11,28,20,9,15,4,9,13,-99,10,16,5,14,8,11,7,7,16,7
01/01/2008,3,13,15,3,9,10,16,17,8,13,21,13,17,5,10,11,-99,5,20,3,15,6,11,8,10,15,8
01/01/2008,4,12,10,0,7,9,15,13,9,10,11,13,12,3,8,11,-99,3,13,4,11,4,10,9,7,14,9
01/01/2008,5,10,7,0,6,7,15,12,8,5,7,11,10,4,8,7,11,1,11,4,6,3,8,6,7,8,6
01/01/2008,6,7,6,0,5,5,10,11,7,3,6,12,9,2,8,5,9,0,7,3,6,2,8,4,5,5,5
01/01/2008,7,6,5,0,4,4,9,8,6,2,4,9,8,2,6,4,7,0,5,1,5,1,7,4,4,5,5
01/01/2008,8,6,4,0,4,3,8,8,5,3,7,8,7,2,5,4,6,0,5,0,3,1,6,5,4,6,5
01/01/2008,9,4,8,7,15,1,4,8,3,12,13,5,9,18,7,4,7,6,3,0,5,15,7,6,2,6,5
01/01/2008,10,3,8,0,6,1,2,5,2,3,6,4,5,7,4,3,6,5,5,0,3,5,3,5,1,2,6
01/01/2008,11,2,4,0,5,1,1,4,1,1,3,4,5,2,3,2,3,0,1,0,1,2,2,2,1,1,5
01/01/2008,12,1,3,0,4,0,0,3,0,0,2,2,3,2,3,0,1,0,0,0,0,1,1,1,0,0,3
01/01/2008,13,0,3,0,3,0,0,3,0,0,2,2,2,1,3,0,1,0,0,0,0,1,0,1,0,0,3
01/01/2008,14,2,2,0,3,0,0,3,0,0,2,4,3,1,3,0,1,0,0,0,0,1,-99,1,1,0,3
01/01/2008,15,2,2,0,4,0,0,3,0,0,3,3,3,1,3,0,1,0,1,0,0,1,-99,1,0,0,2
01/01/2008,16,3,2,0,4,0,0,4,0,0,3,3,3,1,3,0,1,0,0,0,1,1,1,1,0,0,2
01/01/2008,17,4,2,0,4,0,0,4,0,0,4,5,3,1,3,1,1,1,0,0,-99,1,1,1,0,0,3
01/01/2008,18,4,2,0,3,0,0,4,0,0,3,4,3,1,3,0,1,1,0,-99,1,1,1,1,0,0,3
01/01/2008,19,3,2,0,4,0,0,3,0,0,2,3,3,1,3,0,1,0,0,0,1,1,1,1,0,0,3
01/01/2008,20,3,2,0,3,0,0,3,0,0,2,3,3,1,3,0,1,0,0,0,0,1,0,1,0,0,4
01/01/2008,21,2,2,0,3,0,0,3,0,0,2,2,3,1,2,-99,1,0,0,0,0,1,0,1,0,0,4
01/01/2008,22,2,2,0,3,0,0,3,0,0,1,2,2,1,2,-99,0,0,0,0,0,1,0,1,0,0,3
01/01/2008,23,1,2,0,3,0,0,3,0,0,2,2,2,1,3,-99,1,0,0,0,0,1,0,1,0,0,3
01/01/2008,24,1,2,0,2,0,0,3,0,0,3,2,2,1,2,-99,1,0,0,0,0,1,0,0,0,0,2
02/01/2008,1,0,2,0,3,0,0,3,0,0,3,2,2,1,2,-99,1,0,0,0,0,0,0,0,0,0,3
02/01/2008,2,1,2,0,3,0,0,3,0,0,2,1,2,1,2,-99,1,0,0,0,0,1,0,1,0,0,4
02/01/2008,3,0,2,0,-99,0,0,2,0,0,2,1,2,1,2,-99,1,2,0,0,0,0,-99,0,0,0,4
02/01/2008,4,0,2,0,-99,0,0,2,0,0,6,1,2,1,2,-99,2,10,0,0,0,0,0,0,0,0,3
02/01/2008,5,0,2,0,-99,0,0,2,0,0,6,1,2,1,2,-99,2,13,0,0,0,1,0,0,0,0,3
02/01/2008,6,0,2,0,-99,0,0,2,0,0,3,2,2,2,2,-99,1,9,0,0,0,1,0,0,0,0,2
02/01/2008,7,0,2,0,-99,0,0,2,0,0,2,2,2,1,2,-99,1,6,0,0,0,1,0,1,0,0,3
02/01/2008,8,0,2,0,-99,0,0,3,0,0,2,2,3,1,2,-99,1,2,0,0,0,1,0,1,0,0,3
02/01/2008,9,0,2,0,-99,0,0,3,0,0,2,2,3,1,2,-99,1,0,0,0,0,1,0,2,0,0,2
02/01/2008,10,0,2,0,-99,0,0,3,0,0,2,3,4,1,3,0,1,0,0,0,0,1,0,2,0,0,2
02/01/2008,11,0,2,0,-99,0,0,3,-99,0,2,3,4,1,3,0,1,0,0,0,0,1,1,1,0,0,2
02/01/2008,12,0,2,0,-99,0,0,3,-99,0,2,3,4,1,3,0,-99,0,0,0,0,1,1,1,0,0,2
02/01/2008,13,0,2,0,-99,0,0,3,-99,0,4,3,3,1,3,0,-99,0,0,0,0,1,1,1,0,0,3
02/01/2008,14,0,3,0,-99,0,0,3,-99,0,6,3,3,1,3,0,1,0,0,0,0,1,1,1,0,0,3
02/01/2008,15,0,3,0,-99,0,0,3,-99,0,5,3,4,1,3,0,0,0,0,0,0,1,1,1,0,0,2
02/01/2008,16,0,3,0,-99,0,0,3,0,0,4,3,4,1,3,0,0,0,0,0,0,1,-99,2,0,0,2
02/01/2008,17,0,3,0,3,0,0,3,0,0,6,3,4,1,3,0,0,0,0,0,0,1,1,2,-99,0,2
02/01/2008,18,0,3,0,3,0,0,3,0,0,4,3,3,1,3,-99,0,0,0,0,0,1,1,2,0,0,2
02/01/2008,19,0,3,0,3,0,0,3,0,0,5,3,4,1,3,0,0,0,0,0,0,1,1,2,0,0,3
02/01/2008,20,0,3,0,3,0,0,3,0,0,7,2,4,1,3,-99,0,0,0,0,0,1,1,2,0,0,2
02/01/2008,21,0,3,0,3,0,-99,3,0,1,6,2,4,1,3,0,0,0,0,0,0,1,1,2,0,0,2
02/01/2008,22,0,2,0,3,0,0,3,0,0,2,2,3,1,3,0,1,0,0,0,0,1,1,1,0,1,3
02/01/2008,23,0,2,0,3,0,0,3,0,0,2,2,4,1,3,0,1,0,0,0,0,0,1,2,0,0,2
02/01/2008,24,0,-99,0,3,0,0,3,-99,0,1,1,3,1,3,-99,1,0,0,0,0,0,1,-99,0,0,3
03/01/2008,1,0,2,0,3,0,0,3,0,0,1,1,4,1,3,-99,1,0,0,0,0,0,1,0,0,0,3
03/01/2008,2,0,3,0,3,0,0,3,0,0,1,1,4,1,2,-99,0,0,0,0,0,0,1,0,0,0,3
03/01/2008,3,0,2,0,3,0,0,2,0,0,1,1,3,1,3,-99,0,0,0,0,0,0,0,0,0,0,3
03/01/2008,4,0,2,0,3,0,0,2,0,0,1,2,3,1,3,-99,0,0,0,0,0,0,0,0,0,0,3
03/01/2008,5,0,3,0,3,0,0,2,0,0,2,1,3,1,3,-99,0,0,0,0,0,1,1,0,0,1,3
03/01/2008,6,0,2,0,3,0,0,2,0,0,2,3,4,1,2,-99,0,0,0,0,0,0,1,1,0,1,4
03/01/2008,7,0,3,0,3,0,0,3,2,0,2,3,5,1,3,-99,0,0,0,0,0,1,2,2,0,1,4
03/01/2008,8,0,3,0,4,1,0,4,3,0,3,3,6,1,5,2,1,0,0,0,0,1,2,2,1,1,5
03/01/2008,9,0,3,0,4,1,1,4,3,0,3,8,6,2,5,1,2,0,0,0,2,1,4,2,1,-99,4
03/01/2008,10,0,3,0,4,0,2,4,3,0,6,9,6,2,5,2,1,0,0,0,3,2,5,3,1,4,8
03/01/2008,11,0,4,0,5,0,7,5,2,3,10,5,-99,2,7,2,1,0,0,0,3,2,5,4,1,-99,11
03/01/2008,12,0,5,0,4,0,6,5,1,3,8,5,-99,2,7,1,1,0,0,0,3,3,4,3,1,3,8
03/01/2008,13,1,5,0,5,0,5,5,1,4,8,4,-99,-99,6,1,1,0,0,0,3,-99,4,4,1,3,8
03/01/2008,14,0,5,0,6,0,4,5,1,2,7,4,-99,3,5,1,1,0,0,0,3,-99,3,4,1,2,6
03/01/2008,15,1,5,0,5,0,4,5,1,2,5,6,3,4,5,2,1,0,0,0,2,-99,3,4,1,2,7
03/01/2008,16,2,5,0,6,0,4,4,1,1,7,6,3,4,5,2,1,0,6,0,2,3,2,3,1,2,6
03/01/2008,17,3,4,0,6,5,3,4,2,1,7,6,3,3,4,2,17,1,18,0,2,3,2,3,-99,2,5
03/01/2008,18,35,4,6,14,14,21,6,9,20,44,15,2,3,4,2,55,38,9,0,2,3,2,3,5,1,7
03/01/2008,19,18,5,37,58,9,17,27,5,34,37,-99,23,3,9,15,12,83,6,0,25,18,9,5,1,15,5
03/01/2008,20,18,42,48,71,14,12,15,9,32,32,10,20,39,11,8,9,100,4,0,14,67,6,24,1,24,4
03/01/2008,21,22,71,87,84,8,-99,20,6,22,27,17,33,82,10,13,6,151,0,0,17,76,7,46,1,39,5
03/01/2008,22,15,100,124,90,3,15,13,3,91,29,19,33,64,7,17,22,155,6,0,12,90,29,69,1,40,3
03/01/2008,23,41,107,74,53,8,17,24,4,81,71,14,42,57,12,13,60,64,11,0,14,70,33,96,1,105,3
03/01/2008,24,59,94,48,26,29,17,44,15,57,72,17,61,51,6,23,50,45,11,0,24,62,6,69,0,73,3
04/01/2008,1,41,48,37,19,44,27,47,25,41,53,25,58,46,8,12,38,26,23,0,29,47,6,10,1,43,4
04/01/2008,2,35,15,25,17,31,38,32,25,34,38,28,23,28,12,6,34,10,23,0,25,41,9,11,0,12,4
