FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2015,1,4,20,16,-99,67,4,3,16,2,13,50,-99,11,-99,-99,63,13,-99,15,10,27,11,6,11,8,44,31,2,4,5,86,21
01/01/2015,2,5,9,12,-99,41,5,3,15,2,6,44,-99,18,87,-99,31,15,-99,34,10,73,10,9,11,7,24,38,2,6,12,80,22
01/01/2015,3,9,6,9,-99,30,4,2,15,1,5,33,-99,32,101,-99,19,13,-99,67,9,82,10,27,10,8,29,71,2,19,33,133,24
01/01/2015,4,9,9,8,-99,41,4,1,3,1,4,24,-99,56,152,-99,-99,11,-99,58,7,120,7,27,30,8,41,113,1,48,52,116,32
01/01/2015,5,5,16,6,-99,34,3,2,6,1,3,42,-99,55,88,-99,47,16,-99,67,6,60,5,37,47,8,17,61,1,34,42,79,34
01/01/2015,6,3,13,4,-99,39,5,2,5,2,3,39,-99,57,19,-99,59,13,-99,35,5,21,3,36,27,7,11,29,1,7,27,19,40
01/01/2015,7,2,10,3,-99,36,7,1,2,2,2,33,-99,52,19,-99,46,9,-99,27,6,13,3,23,12,6,8,32,1,6,24,11,27
01/01/2015,8,2,10,3,-99,28,3,1,3,2,3,39,-99,43,9,-99,41,7,-99,11,4,19,4,14,9,6,7,15,1,4,20,10,18
01/01/2015,9,2,13,6,-99,18,8,2,8,2,4,50,-99,40,10,-99,28,18,-99,13,18,26,11,18,13,6,11,17,4,5,34,8,29
01/01/2015,10,5,17,18,-99,31,14,2,9,2,19,36,-99,28,18,-99,28,22,-99,23,22,21,9,32,17,9,19,13,15,11,32,9,31
01/01/2015,11,11,15,18,-99,29,11,2,8,12,21,24,-99,20,20,-99,30,21,-99,14,13,23,10,26,15,8,27,24,15,9,18,18,21
01/01/2015,12,6,11,16,-99,21,10,1,8,20,18,17,-99,10,12,-99,17,14,-99,3,11,13,9,13,10,5,21,28,11,3,6,19,12
01/01/2015,13,2,7,10,-99,10,5,1,9,14,12,6,-99,3,-99,-99,4,9,-99,1,8,6,10,4,4,4,8,18,-99,2,3,11,6
01/01/2015,14,2,1,4,-99,3,1,1,8,6,9,3,-99,2,4,-99,2,4,-99,1,3,2,7,2,2,4,6,10,0,2,2,6,3
01/01/2015,15,1,1,5,-99,2,0,0,4,7,5,2,-99,2,2,-99,2,2,-99,1,2,2,2,2,2,3,3,6,0,1,1,4,2
01/01/2015,16,1,1,3,-99,2,0,0,2,6,3,2,-99,1,2,-99,1,1,-99,1,1,2,1,2,1,4,3,3,0,0,1,2,2
01/01/2015,17,1,1,1,-99,2,0,1,1,3,2,2,-99,1,2,-99,1,0,-99,1,1,1,1,2,1,3,3,2,0,0,1,2,2
01/01/2015,18,1,1,1,-99,1,0,1,1,2,2,2,-99,1,2,-99,1,1,-99,1,1,2,1,2,1,3,2,2,0,1,1,2,2
01/01/2015,19,1,1,1,-99,2,0,1,1,3,3,2,-99,2,2,-99,2,1,-99,1,2,2,1,3,2,-99,2,2,1,1,2,2,2
01/01/2015,20,1,1,1,-99,3,1,1,1,2,3,3,-99,3,2,-99,3,3,-99,1,2,2,1,3,2,2,3,2,1,1,3,2,2
01/01/2015,21,2,1,2,-99,2,1,1,2,2,4,2,-99,4,2,-99,3,4,-99,2,2,2,1,4,2,2,4,3,1,1,3,3,3
01/01/2015,22,3,1,1,-99,3,1,3,1,3,3,2,-99,3,3,-99,3,2,-99,1,2,3,1,6,2,1,4,3,0,1,3,3,5
01/01/2015,23,5,1,2,-99,4,1,1,1,2,3,3,-99,5,3,-99,4,2,-99,2,2,4,2,7,2,1,4,4,0,1,3,6,7
01/01/2015,24,2,1,2,-99,4,1,1,1,1,3,2,-99,3,3,-99,3,3,-99,1,2,3,1,9,2,1,4,5,0,1,2,4,7
02/01/2015,1,2,1,1,-99,5,1,1,1,1,2,2,-99,3,3,-99,4,3,-99,1,2,4,1,7,2,1,3,5,0,1,2,3,9
02/01/2015,2,2,1,1,-99,4,1,1,1,1,2,2,-99,3,3,-99,4,2,-99,1,2,4,1,6,2,1,2,3,0,1,2,3,5
02/01/2015,3,1,1,1,-99,3,1,1,0,0,2,2,-99,3,3,-99,5,1,-99,1,2,4,1,5,2,1,2,3,0,1,2,3,3
02/01/2015,4,1,1,1,-99,3,1,1,1,1,2,2,-99,3,3,-99,5,1,-99,1,2,4,1,5,2,1,2,3,0,1,2,3,2
02/01/2015,5,1,1,1,-99,4,1,1,1,1,1,2,-99,2,2,-99,5,1,-99,1,2,3,1,4,2,1,2,2,0,0,2,2,2
02/01/2015,6,1,1,1,-99,4,1,1,1,1,2,2,-99,3,3,-99,4,2,-99,1,1,3,1,4,2,1,2,3,0,1,2,2,6
02/01/2015,7,1,1,1,-99,5,1,2,1,1,2,2,-99,4,3,-99,5,2,-99,2,2,5,1,5,2,1,3,3,0,1,3,3,11
02/01/2015,8,2,1,2,-99,7,2,2,1,2,3,4,-99,5,4,-99,6,3,-99,2,2,7,1,8,3,1,6,4,-99,1,5,3,12
02/01/2015,9,2,1,2,-99,6,3,2,1,2,5,3,-99,5,5,-99,6,3,-99,3,2,10,1,9,4,1,5,4,1,1,6,4,10
02/01/2015,10,2,1,6,-99,5,2,2,1,3,20,2,-99,4,4,-99,5,3,-99,3,2,7,1,5,2,1,7,4,2,2,5,4,7
02/01/2015,11,1,2,5,-99,5,1,1,1,2,3,3,-99,4,3,-99,5,1,-99,2,2,5,-99,4,2,1,5,4,1,1,4,3,4
02/01/2015,12,1,1,2,-99,3,0,1,1,1,4,3,-99,2,2,-99,2,1,-99,1,2,3,1,2,1,1,3,2,1,0,1,3,3
02/01/2015,13,1,1,1,-99,1,0,1,1,1,2,1,-99,1,1,-99,1,0,-99,0,1,2,1,1,1,1,2,2,1,0,-99,2,2
02/01/2015,14,1,1,1,-99,1,0,1,1,1,2,1,-99,1,1,-99,1,0,-99,0,1,1,1,1,1,1,1,1,1,0,-99,1,1
02/01/2015,15,2,1,1,-99,1,0,1,1,1,1,1,-99,1,1,-99,1,0,-99,0,2,1,0,1,1,1,2,1,0,0,-99,1,1
02/01/2015,16,3,1,0,-99,1,0,0,1,1,2,1,-99,1,1,-99,1,0,-99,0,1,1,1,1,1,1,1,1,1,0,1,1,1
02/01/2015,17,1,1,0,-99,1,0,0,1,4,2,1,-99,1,1,-99,1,0,-99,0,1,1,0,2,1,1,1,0,1,0,1,1,1
02/01/2015,18,1,1,1,-99,1,0,1,1,2,1,1,-99,1,1,-99,1,0,-99,0,1,1,0,2,1,1,2,0,1,0,1,1,1
02/01/2015,19,1,1,1,-99,1,0,2,1,1,2,1,-99,1,1,-99,1,0,-99,1,1,1,1,2,1,1,2,1,0,0,1,1,2
02/01/2015,20,1,1,1,-99,2,0,4,1,1,2,2,-99,2,1,-99,2,1,-99,1,1,1,1,2,1,1,2,1,0,0,1,1,2
02/01/2015,21,1,1,1,-99,2,0,1,0,1,3,2,-99,2,2,-99,2,1,-99,1,1,2,1,3,1,1,3,2,0,0,2,2,2
02/01/2015,22,1,1,1,-99,2,0,1,0,2,3,2,-99,2,2,-99,2,1,-99,1,1,2,1,3,1,1,4,2,0,0,2,2,3
02/01/2015,23,2,1,1,-99,3,0,4,1,1,2,2,-99,2,2,-99,2,2,-99,1,1,2,1,4,1,1,4,2,0,0,2,2,4
02/01/2015,24,2,1,1,-99,4,0,5,1,2,2,2,-99,1,3,-99,2,2,-99,1,2,3,1,4,1,1,4,1,0,0,2,2,5
03/01/2015,1,2,1,1,-99,3,1,4,1,2,3,1,-99,1,2,-99,2,2,-99,1,2,2,1,4,1,1,4,2,0,0,2,2,4
03/01/2015,2,1,1,1,-99,5,1,2,1,1,3,2,-99,1,2,-99,2,2,-99,1,2,1,1,3,1,1,4,1,0,0,2,1,4
03/01/2015,3,1,1,1,-99,5,1,3,1,1,3,2,-99,1,2,-99,2,1,-99,1,2,1,1,3,1,1,3,2,0,0,2,2,3
03/01/2015,4,1,1,1,-99,4,0,1,0,1,3,2,-99,1,2,-99,2,1,-99,1,2,1,1,2,1,1,3,1,0,0,1,2,2
03/01/2015,5,1,1,1,-99,3,0,1,1,1,3,2,-99,1,1,-99,1,1,-99,1,2,1,1,2,1,1,3,1,0,0,1,2,2
03/01/2015,6,1,1,2,-99,4,0,1,1,2,3,2,-99,1,1,-99,2,1,-99,1,2,1,1,3,1,1,3,1,0,0,1,2,3
03/01/2015,7,1,1,1,-99,6,0,1,1,2,3,3,-99,2,2,-99,4,1,-99,1,2,0,1,3,2,1,5,1,0,0,1,2,3
03/01/2015,8,1,1,3,-99,8,1,1,1,3,4,3,-99,2,2,-99,6,1,-99,1,2,1,1,3,2,1,6,2,0,0,1,2,3
03/01/2015,9,2,1,3,-99,6,2,2,2,3,4,3,-99,3,2,-99,4,2,-99,1,2,3,1,5,2,1,7,3,1,1,2,3,6
03/01/2015,10,1,1,3,-99,3,1,1,1,3,3,2,-99,1,2,-99,2,1,-99,1,3,2,1,3,2,1,5,3,1,1,1,3,3
03/01/2015,11,1,2,2,-99,1,0,1,1,1,2,1,-99,1,2,-99,1,1,-99,0,2,1,1,2,1,1,2,2,1,1,1,2,2
03/01/2015,12,1,1,1,-99,1,0,1,1,1,2,1,-99,1,1,-99,1,0,-99,0,1,1,1,2,1,1,2,1,1,0,1,2,2
03/01/2015,13,1,1,1,-99,1,0,1,1,1,1,1,-99,1,1,-99,1,0,-99,0,1,0,1,1,1,1,1,1,1,0,1,1,1
03/01/2015,14,1,1,0,-99,1,1,1,1,0,1,1,-99,1,1,-99,1,0,-99,0,1,0,1,1,1,1,1,1,1,0,1,1,1
03/01/2015,15,1,1,0,-99,1,1,0,1,-99,2,1,-99,1,1,-99,-99,0,-99,0,1,0,1,1,1,1,1,1,1,0,1,1,1
03/01/2015,16,1,1,0,-99,1,0,1,1,0,2,1,-99,1,1,-99,1,0,-99,0,1,0,1,1,1,1,1,1,3,0,1,1,1
03/01/2015,17,1,1,0,-99,1,0,1,1,0,2,1,-99,1,1,-99,1,0,-99,0,1,0,0,2,1,1,1,0,2,0,1,1,2
03/01/2015,18,1,1,0,-99,1,0,1,1,0,2,1,-99,1,1,-99,1,0,-99,0,1,0,1,2,1,1,2,1,1,0,1,1,2
03/01/2015,19,1,1,0,-99,1,0,2,1,1,2,1,-99,2,1,-99,2,1,-99,1,2,1,1,2,1,2,2,1,1,0,1,1,1
03/01/2015,20,1,1,0,-99,2,1,1,1,1,2,1,-99,2,1,-99,2,1,-99,1,2,1,1,2,1,2,2,2,1,0,1,1,2
03/01/2015,21,1,1,1,-99,1,1,1,1,1,1,2,-99,1,1,-99,2,1,-99,1,2,1,1,3,1,1,2,2,0,0,2,2,2
03/01/2015,22,1,1,1,-99,1,1,1,1,-99,2,1,-99,2,2,-99,2,1,-99,1,2,1,1,4,2,2,3,2,0,0,2,2,2
03/01/2015,23,2,1,1,-99,2,1,1,1,-99,3,2,-99,3,2,-99,2,1,-99,1,1,2,1,5,2,2,4,1,0,1,2,2,4
03/01/2015,24,2,1,1,-99,3,0,1,3,-99,3,2,-99,3,-99,-99,3,2,-99,1,1,2,1,4,2,2,4,2,0,1,2,2,4
04/01/2015,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99
04/01/2015,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99
04/01/2015,3,1,0,1,-99,2,0,1,1,1,1,2,-99,1,2,-99,2,1,-99,1,1,3,1,3,2,1,2,3,0,1,1,2,3
04/01/2015,4,1,0,1,-99,1,0,1,1,1,1,2,-99,2,2,-99,2,1,-99,1,1,3,1,3,2,1,2,2,0,1,1,2,4
04/01/2015,5,1,0,1,-99,2,0,1,1,1,1,2,-99,3,2,-99,3,1,-99,1,1,3,1,4,2,1,2,2,0,1,1,2,3
04/01/2015,6,1,0,1,-99,2,1,1,1,1,1,2,-99,3,2,-99,2,1,-99,1,1,3,1,2,1,1,3,2,0,1,1,2,4
04/01/2015,7,1,0,1,-99,2,1,1,1,1,1,2,-99,2,2,-99,3,1,-99,1,1,4,1,2,1,1,4,2,0,1,2,2,4
04/01/2015,8,1,0,1,-99,3,1,2,1,1,2,2,-99,3,2,-99,3,1,-99,2,1,5,1,3,2,1,4,3,0,2,2,2,5
04/01/2015,9,1,0,2,-99,4,1,2,2,2,2,2,-99,5,2,-99,5,1,-99,2,2,5,1,5,3,2,5,3,0,2,3,2,5
