FECHA;HORA;ACO;ATI;CAM;CHO;COY;CUA;CUT;FAC;HGM;IZT;LLA;LPR;MER;MON;NEZ;PED;SAG;SFE;SJA;SUR;TAH;TLA;TLI;TPN;UAX;UIZ;VIF;XAL
01/01/2012;1;31;37;42;-99;37;34;-99;33;-99;44;-99;43;45;25;41;12;44;-99;47;-99;36;58;40;7;-99;42;45;46
01/01/2012;2;25;34;41;-99;40;36;-99;33;-99;46;-99;46;46;28;39;31;44;-99;47;-99;33;48;43;8;-99;40;40;50
01/01/2012;3;27;28;38;-99;39;43;-99;37;-99;42;-99;45;46;30;30;33;47;-99;41;-99;23;45;42;14;-99;33;48;47
01/01/2012;4;21;27;37;-99;40;36;-99;36;-99;38;-99;41;44;26;31;33;42;-99;40;-99;40;45;38;15;-99;31;41;45
01/01/2012;5;19;27;33;-99;36;23;-99;31;-99;38;-99;41;40;24;31;30;38;-99;40;-99;33;35;35;7;-99;30;38;41
01/01/2012;6;19;27;32;-99;35;21;-99;26;-99;38;-99;36;40;22;32;28;35;-99;38;-99;31;34;32;6;-99;31;38;42
01/01/2012;7;16;23;31;-99;32;34;-99;27;-99;36;-99;38;41;19;30;27;31;-99;35;-99;31;33;30;5;-99;31;34;39
01/01/2012;8;14;21;31;-99;33;25;-99;24;-99;35;-99;36;38;14;28;26;33;-99;32;-99;29;31;31;8;-99;32;31;34
01/01/2012;9;13;16;33;-99;51;10;-99;24;-99;50;-99;54;43;18;33;33;33;-99;41;-99;32;46;37;10;-99;38;43;44
01/01/2012;10;12;11;56;-99;93;7;-99;39;-99;59;-99;71;69;17;36;40;40;-99;46;-99;45;53;38;41;-99;52;42;50
01/01/2012;11;10;9;54;-99;70;5;-99;25;-99;60;-99;70;72;12;43;46;50;-99;59;-99;43;36;21;46;-99;51;27;59
01/01/2012;12;8;9;29;-99;25;10;-99;10;-99;40;-99;39;45;3;36;12;20;-99;42;-99;29;30;10;28;-99;42;14;38
01/01/2012;13;3;11;13;-99;15;10;-99;13;-99;16;-99;8;16;0;13;11;15;-99;-99;-99;22;22;7;15;-99;-99;10;13
01/01/2012;14;3;11;9;-99;9;10;-99;10;-99;10;-99;7;12;0;8;3;10;-99;4;-99;6;17;6;10;-99;-99;9;12
01/01/2012;15;3;9;10;-99;7;9;-99;10;-99;10;-99;6;10;0;9;3;9;-99;5;-99;4;18;3;7;-99;-99;7;12
01/01/2012;16;3;9;9;-99;7;8;-99;9;-99;11;-99;7;12;0;9;4;10;-99;6;-99;5;16;4;7;-99;3;8;14
01/01/2012;17;4;10;13;-99;9;8;-99;11;-99;13;-99;8;13;1;10;5;12;-99;8;-99;6;18;5;10;-99;5;9;15
01/01/2012;18;5;11;11;-99;12;11;-99;14;-99;14;-99;7;19;0;12;9;14;-99;12;-99;8;21;7;11;-99;8;7;15
