FECHA,HORA,ACO,ATI,CAM,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2013,1,30,31,30,25,29,-99,-99,32,37,32,35,35,-99,25,34,26,-99,17,41,35,32,31,35,8,35,37,33,36
01/01/2013,2,30,28,30,17,30,-99,-99,32,34,34,36,36,-99,26,30,24,-99,12,37,37,30,31,34,8,34,33,33,34
01/01/2013,3,27,30,26,24,29,-99,-99,32,32,31,34,39,-99,26,32,24,-99,17,35,34,30,27,34,5,30,34,34,36
01/01/2013,4,23,30,24,22,27,-99,-99,28,31,31,31,37,-99,27,35,25,-99,24,34,35,32,28,32,10,34,34,28,33
01/01/2013,5,22,31,22,15,27,-99,-99,28,31,29,30,35,-99,25,31,22,-99,23,35,35,29,26,33,6,32,32,27,32
01/01/2013,6,19,30,21,20,25,-99,-99,25,30,27,31,33,30,24,32,17,-99,12,29,33,24,24,33,7,28,31,28,30
01/01/2013,7,14,28,21,21,23,12,-99,22,29,25,29,31,28,21,29,20,-99,13,28,31,21,24,28,4,30,28,24,26
01/01/2013,8,12,23,21,18,24,18,-99,21,31,26,29,32,33,20,28,16,-99,14,26,32,14,25,27,4,27,28,14,24
01/01/2013,9,10,28,39,22,32,13,-99,25,46,44,42,53,49,17,24,22,-99,9,39,37,14,37,46,11,32,34,33,44
01/01/2013,10,10,42,68,15,43,8,-99,37,62,48,32,69,64,15,23,33,-99,14,46,40,8,59,71,22,46,-99,39,56
01/01/2013,11,5,39,54,5,37,15,-99,37,43,19,11,33,37,5,20,30,-99,22,17,48,7,37,60,19,21,34,41,23
01/01/2013,12,3,18,20,0,15,15,-99,31,19,15,8,12,18,3,8,28,-99,18,11,14,6,25,17,14,4,11,24,9
01/01/2013,13,4,14,12,0,3,10,-99,21,11,4,8,13,15,3,5,14,-99,14,8,3,6,19,7,9,2,4,8,11
01/01/2013,14,4,14,9,0,0,8,-99,16,8,5,7,11,8,4,6,6,-99,11,8,4,4,13,6,6,3,5,8,10
01/01/2013,15,3,11,8,0,1,6,-99,19,6,5,9,11,9,5,6,6,-99,10,8,6,4,14,9,7,5,6,8,11
01/01/2013,16,4,10,15,0,3,4,-99,19,8,8,8,11,13,5,9,6,-99,9,11,7,5,9,10,-99,7,8,9,10
01/01/2013,17,6,13,13,1,3,5,-99,14,13,9,8,12,16,6,12,5,-99,10,17,7,4,13,11,2,6,9,12,12
01/01/2013,18,7,11,13,4,3,7,-99,13,14,12,11,19,21,10,17,6,-99,10,24,10,4,14,15,2,8,11,14,18
01/01/2013,19,9,19,22,13,8,18,-99,19,21,15,18,21,26,11,21,7,-99,17,34,15,5,22,20,3,10,15,21,24
01/01/2013,20,11,29,35,15,22,17,-99,24,29,22,26,31,32,14,33,9,-99,22,36,17,10,30,29,3,15,19,22,28
01/01/2013,21,13,27,37,23,26,19,-99,37,31,23,27,41,31,13,41,26,-99,35,46,22,17,40,35,3,14,27,31,39
01/01/2013,22,20,28,36,26,32,25,-99,35,34,27,26,44,41,12,38,33,-99,34,45,30,13,39,35,1,20,34,33,41
01/01/2013,23,18,20,34,16,35,28,-99,16,38,37,25,36,42,15,38,32,-99,36,42,39,15,26,33,8,36,35,28,38
01/01/2013,24,19,15,26,15,35,27,-99,16,-99,37,26,27,42,21,33,-99,-99,24,40,40,17,22,27,9,34,36,26,37
02/01/2013,1,25,13,21,2,31,23,-99,12,-99,29,32,35,35,15,29,-99,-99,18,39,36,17,23,30,7,33,36,14,33
02/01/2013,2,28,7,15,13,28,17,-99,17,-99,22,28,19,24,11,35,-99,-99,17,35,31,22,17,30,2,28,36,10,30
02/01/2013,3,24,6,15,10,17,6,-99,11,-99,16,22,24,21,17,33,-99,-99,16,32,32,14,15,24,7,28,28,20,29
02/01/2013,4,23,9,24,3,14,15,-99,12,-99,16,19,33,23,24,34,-99,-99,17,32,21,10,25,16,16,25,26,16,29
02/01/2013,5,19,16,29,7,15,17,-99,13,-99,19,27,35,32,24,27,-99,-99,18,32,19,8,28,19,18,21,31,16,29
02/01/2013,6,18,21,29,10,20,24,-99,19,32,27,28,35,32,22,26,25,-99,25,31,21,16,30,23,18,28,34,18,29
02/01/2013,7,20,20,26,11,28,14,-99,27,33,29,31,35,35,22,25,26,-99,28,29,31,19,32,30,19,29,33,21,30
02/01/2013,8,21,25,29,17,28,21,-99,28,35,28,31,35,37,17,27,27,-99,27,29,32,15,34,29,18,27,29,22,31
02/01/2013,9,24,30,31,10,30,22,-99,30,34,27,31,30,35,12,23,30,-99,33,28,26,12,37,29,20,17,25,22,29
