FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2016,1,-99,21,-99,-99,48,48,-99,54,38,46,44,52,-99,55,-99,-99,46,53,46,-99,44,30,46,-99,-99,-99,48,-99,42,59,-99,58
01/01/2016,2,-99,36,-99,-99,46,38,-99,54,38,41,43,62,-99,58,-99,-99,56,51,45,-99,42,27,44,-99,-99,-99,44,-99,48,54,-99,53
01/01/2016,3,-99,30,-99,-99,49,32,-99,49,33,34,39,51,-99,54,-99,-99,50,39,42,-99,44,33,43,-99,-99,-99,50,-99,47,49,-99,49
01/01/2016,4,-99,32,-99,-99,47,39,-99,47,35,24,40,51,-99,45,-99,-99,46,40,34,-99,43,34,40,-99,-99,-99,45,-99,46,44,-99,47
01/01/2016,5,-99,32,-99,-99,43,40,-99,44,41,25,37,46,-99,40,-99,-99,41,43,27,-99,42,39,33,-99,-99,-99,42,-99,46,44,-99,42
01/01/2016,6,-99,25,-99,-99,40,35,-99,42,40,28,32,46,-99,38,-99,-99,40,41,24,-99,34,40,31,-99,-99,-99,38,-99,43,40,-99,39
01/01/2016,7,-99,30,-99,-99,37,29,-99,39,22,30,26,44,-99,35,-99,-99,40,35,19,-99,32,34,25,-99,-99,-99,33,-99,39,35,-99,32
01/01/2016,8,-99,29,-99,-99,35,31,-99,36,39,29,27,41,-99,32,-99,-99,36,32,20,-99,29,30,23,-99,-99,-99,30,-99,35,32,-99,27
01/01/2016,9,-99,29,-99,-99,41,34,-99,39,25,28,29,39,-99,34,-99,-99,36,39,20,-99,23,36,24,-99,-99,-99,38,-99,35,35,-99,31
01/01/2016,10,-99,28,-99,-99,52,38,-99,40,32,29,40,49,-99,36,-99,-99,39,43,20,-99,20,32,27,-99,-99,-99,40,-99,38,33,-99,41
01/01/2016,11,-99,28,-99,-99,51,42,-99,43,31,25,41,63,-99,48,-99,-99,51,49,21,-99,25,34,26,-99,-99,-99,36,-99,39,33,-99,47
01/01/2016,12,-99,27,-99,-99,43,40,-99,46,14,17,41,61,-99,52,-99,-99,60,39,27,-99,35,36,28,-99,-99,-99,45,-99,40,41,-99,47
01/01/2016,13,-99,23,-99,-99,25,37,-99,44,14,18,28,37,-99,39,-99,-99,47,19,19,-99,27,33,26,-99,-99,-99,29,-99,24,29,-99,44
01/01/2016,14,-99,24,-99,-99,18,31,-99,29,15,11,16,32,-99,24,-99,-99,34,17,9,-99,16,32,14,-99,-99,-99,17,-99,16,16,-99,19
01/01/2016,15,-99,19,-99,-99,20,19,-99,17,18,7,16,24,-99,16,-99,-99,20,24,7,-99,15,22,11,-99,-99,-99,19,-99,12,14,-99,16
01/01/2016,16,-99,14,-99,-99,21,14,-99,13,23,14,22,19,-99,15,-99,-99,15,16,9,-99,15,14,11,-99,-99,-99,29,-99,11,13,-99,15
01/01/2016,17,-99,8,-99,-99,17,12,-99,11,18,13,24,19,-99,15,-99,-99,16,14,9,-99,17,11,16,-99,-99,-99,28,-99,11,13,-99,21
01/01/2016,18,-99,6,-99,-99,24,13,-99,12,26,9,36,24,-99,18,-99,-99,23,18,11,-99,15,8,28,-99,-99,-99,29,-99,15,10,-99,31
01/01/2016,19,-99,6,-99,-99,25,12,-99,15,35,11,31,22,-99,21,-99,-99,22,24,14,-99,19,12,25,-99,-99,-99,26,-99,16,12,-99,27
01/01/2016,20,-99,20,-99,-99,23,20,-99,29,34,11,35,26,-99,28,-99,-99,30,25,11,-99,27,24,19,-99,-99,-99,29,-99,25,26,-99,23
01/01/2016,21,-99,31,-99,-99,32,27,-99,29,28,12,21,27,-99,28,-99,-99,29,23,14,-99,25,26,16,-99,-99,-99,28,-99,29,33,-99,25
01/01/2016,22,-99,26,-99,-99,29,17,-99,25,19,9,19,28,-99,29,-99,-99,30,18,14,-99,21,17,14,-99,-99,-99,29,-99,27,32,-99,24
01/01/2016,23,-99,20,-99,-99,29,19,-99,24,20,10,16,27,-99,28,-99,-99,32,21,14,-99,23,17,12,-99,-99,-99,22,-99,26,34,-99,28
01/01/2016,24,-99,18,-99,-99,23,19,-99,19,20,10,14,24,-99,25,-99,-99,22,15,14,-99,27,19,13,-99,-99,-99,24,-99,23,33,-99,25
02/01/2016,1,-99,18,-99,-99,26,15,-99,18,15,12,11,29,-99,23,-99,-99,24,13,17,-99,18,15,11,-99,-99,-99,24,-99,18,28,-99,26
02/01/2016,2,-99,16,-99,-99,26,16,-99,17,15,11,11,27,-99,22,-99,-99,27,13,15,-99,15,13,13,-99,-99,-99,22,-99,21,19,-99,19
02/01/2016,3,-99,12,-99,-99,23,17,-99,18,15,14,13,26,-99,20,-99,-99,25,15,10,-99,13,15,13,-99,-99,-99,15,-99,18,17,-99,15
02/01/2016,4,-99,11,-99,-99,18,21,-99,23,16,14,16,25,-99,15,-99,-99,18,18,8,-99,10,16,14,-99,-99,-99,15,-99,16,14,-99,14
02/01/2016,5,-99,9,-99,-99,18,19,-99,21,13,12,15,20,-99,15,-99,-99,16,20,9,-99,11,20,11,-99,-99,-99,20,-99,15,15,-99,19
02/01/2016,6,-99,11,-99,-99,18,17,-99,21,13,14,21,23,-99,16,-99,-99,19,20,13,-99,16,17,13,-99,-99,-99,22,-99,16,20,-99,18
02/01/2016,7,-99,-99,-99,-99,20,21,-99,22,21,19,22,21,-99,21,-99,-99,19,22,10,-99,18,18,16,-99,-99,-99,24,-99,18,21,-99,20
02/01/2016,8,-99,-99,-99,-99,21,22,-99,25,22,22,23,24,-99,22,-99,-99,21,22,11,-99,18,20,18,-99,-99,-99,23,-99,18,21,-99,24
02/01/2016,9,-99,19,-99,-99,22,21,-99,26,23,19,23,26,-99,19,-99,-99,22,21,15,-99,20,19,18,-99,-99,-99,25,-99,18,20,-99,20
02/01/2016,10,-99,15,-99,-99,25,19,-99,21,23,14,23,26,-99,18,-99,-99,22,25,16,-99,20,18,17,-99,-99,-99,22,-99,19,20,-99,20
02/01/2016,11,-99,16,-99,-99,27,18,-99,19,23,10,27,24,-99,20,-99,-99,26,22,10,-99,20,17,12,-99,-99,-99,24,-99,14,21,-99,22
02/01/2016,12,-99,16,-99,-99,29,19,-99,20,21,20,30,25,-99,25,-99,-99,29,24,13,-99,24,16,14,-99,-99,-99,29,-99,13,25,-99,23
02/01/2016,13,-99,16,-99,-99,24,19,-99,20,21,26,30,25,-99,27,-99,-99,26,18,13,-99,19,14,17,-99,-99,-99,26,-99,11,19,-99,22
02/01/2016,14,-99,16,-99,-99,19,16,-99,17,21,20,21,25,-99,19,-99,-99,17,17,9,-99,14,12,16,-99,-99,-99,22,-99,7,10,-99,21
