FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,PLA,SAG,TAX,IZT
01/01/2009,1,-99,82,60,74,47,55,-99,-99,83,-99,47,56,65,-99,76
01/01/2009,2,-99,91,108,74,48,67,-99,-99,89,-99,63,58,52,-99,105
01/01/2009,3,-99,142,108,71,48,54,-99,-99,78,-99,57,59,47,-99,103
01/01/2009,4,-99,147,146,85,58,76,-99,-99,103,-99,56,58,122,-99,156
01/01/2009,5,-99,93,157,124,96,109,-99,-99,70,-99,78,65,108,-99,118
01/01/2009,6,-99,69,146,93,72,123,-99,-99,66,-99,84,94,107,-99,144
01/01/2009,7,-99,57,116,111,63,95,-99,-99,100,-99,87,107,117,-99,123
01/01/2009,8,-99,57,121,124,73,118,-99,-99,73,-99,90,112,111,-99,110
01/01/2009,9,-99,149,145,120,101,132,-99,-99,118,-99,101,124,101,-99,103
01/01/2009,10,-99,176,155,136,109,140,-99,-99,105,-99,128,122,100,-99,93
01/01/2009,11,-99,116,131,131,91,146,-99,-99,65,-99,126,113,105,-99,99
01/01/2009,12,-99,87,112,115,72,99,-99,-99,67,-99,96,99,89,-99,107
01/01/2009,13,-99,73,91,57,53,31,-99,-99,56,-99,16,62,61,-99,73
01/01/2009,14,-99,48,48,53,39,41,-99,-99,29,-99,18,28,46,-99,58
01/01/2009,15,-99,64,83,12,30,41,-99,-99,50,-99,35,28,41,-99,65
01/01/2009,16,-99,81,67,40,36,42,-99,-99,57,-99,42,39,44,-99,45
01/01/2009,17,-99,72,66,43,43,42,-99,-99,51,-99,55,48,46,-99,73
01/01/2009,18,-99,60,73,47,46,43,-99,-99,68,-99,58,50,54,-99,61
01/01/2009,19,-99,72,62,49,46,54,-99,-99,61,-99,53,50,45,-99,67
01/01/2009,20,-99,72,59,44,58,40,-99,-99,67,-99,52,63,49,-99,68
01/01/2009,21,-99,54,62,39,55,37,-99,-99,54,-99,50,56,62,-99,65
01/01/2009,22,-99,72,50,32,48,33,-99,-99,61,-99,56,46,32,-99,49
01/01/2009,23,-99,70,42,40,30,24,-99,-99,47,-99,36,56,32,-99,51
01/01/2009,24,-99,-99,64,-99,-99,41,-99,-99,44,-99,-99,30,-99,-99,-99
02/01/2009,1,-99,34,47,34,10,38,-99,-99,48,-99,13,18,47,-99,41
