FECHA,HORA,ACO,CAM,FAC,IZT,MER,PED,SAG,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
01/01/2011,1,-99,-99,94,103,46,49,113,155,82,74,97,-99,126,67,,,,,,,,
01/01/2011,2,-99,-99,115,163,76,68,186,124,146,107,89,-99,425,104,,,,,,,,
01/01/2011,3,-99,-99,124,169,90,74,228,188,-99,122,78,-99,374,70,,,,,,,,
01/01/2011,4,-99,-99,90,167,108,68,228,183,-99,133,57,-99,299,101,,,,,,,,
01/01/2011,5,-99,-99,57,138,135,52,179,136,73,124,96,-99,340,100,,,,,,,,
01/01/2011,6,-99,-99,39,145,138,31,215,142,60,125,144,-99,283,165,,,,,,,,
01/01/2011,7,-99,-99,50,142,136,36,196,96,67,71,141,-99,339,194,,,,,,,,
01/01/2011,8,-99,-99,48,136,146,43,164,121,83,52,309,-99,237,224,,,,,,,,
01/01/2011,9,-99,-99,46,140,126,32,129,130,84,43,212,-99,230,177,,,,,,,,
01/01/2011,10,-99,-99,56,156,119,38,218,112,52,121,221,-99,252,177,,,,,,,,
01/01/2011,11,-99,-99,61,107,104,36,119,79,73,182,226,-99,132,75,,,,,,,,
01/01/2011,12,-99,-99,73,104,94,51,41,-99,106,140,67,-99,-99,-99,,,,,,,,
01/01/2011,13,-99,-99,78,48,32,32,25,33,67,90,55,-99,20,17,,,,,,,,
01/01/2011,14,-99,-99,31,31,35,31,39,31,35,37,75,-99,16,12,,,,,,,,
01/01/2011,15,-99,-99,24,24,30,25,24,28,39,29,70,-99,27,22,,,,,,,,
01/01/2011,16,-99,-99,17,23,34,49,31,56,51,37,47,-99,47,62,,,,,,,,
01/01/2011,17,-99,-99,35,32,30,43,48,56,42,20,49,-99,41,25,,,,,,,,
01/01/2011,18,-99,-99,45,30,41,46,52,52,59,24,92,-99,67,98,,,,,,,,
01/01/2011,19,-99,-99,39,50,38,45,48,71,91,16,26,-99,29,63,,,,,,,,
01/01/2011,20,-99,-99,59,62,40,35,46,114,83,39,30,-99,88,72,,,,,,,,
01/01/2011,21,-99,-99,59,51,72,26,80,68,99,38,35,-99,80,49,,,,,,,,
01/01/2011,22,-99,-99,52,56,57,46,64,47,72,44,19,-99,41,79,,,,,,,,
01/01/2011,23,-99,-99,39,49,59,43,54,58,49,34,34,-99,33,40,,,,,,,,
01/01/2011,24,-99,-99,31,37,49,40,41,67,57,32,44,-99,36,39,,,,,,,,
02/01/2011,1,-99,-99,19,29,39,37,33,36,71,24,9,-99,48,48,,,,,,,,
02/01/2011,2,-99,-99,17,32,43,40,42,33,56,22,8,-99,32,32,,,,,,,,
02/01/2011,3,-99,-99,19,39,37,31,48,41,49,24,5,-99,38,49,,,,,,,,
02/01/2011,4,-99,-99,22,43,34,31,58,52,44,22,6,-99,31,45,,,,,,,,
02/01/2011,5,-99,-99,22,56,48,24,66,50,45,23,15,-99,36,40,,,,,,,,
02/01/2011,6,-99,-99,27,52,46,25,60,49,50,18,34,-99,35,62,,,,,,,,
02/01/2011,7,-99,-99,28,54,51,21,56,36,45,31,67,-99,46,72,,,,,,,,
02/01/2011,8,-99,-99,32,45,67,28,56,41,72,23,74,-99,58,125,,,,,,,,
02/01/2011,9,-99,-99,42,50,67,32,66,48,88,29,110,-99,63,80,,,,,,,,
02/01/2011,10,-99,-99,40,48,65,44,64,54,73,46,58,-99,101,88,,,,,,,,
