FECHA,HORA,ACO,ATI,CAM,CHO,CUA,CUT,FAC,HGM,IZT,MER,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
01/01/2014,1,57,69,69,84,83,79,47,57,79,66,61,96,52,51,82,95,76,-99,187,93,,,,,,,,
01/01/2014,2,51,88,75,83,94,80,76,72,-99,78,58,147,-99,118,74,75,105,-99,169,117,,,,,,,,
01/01/2014,3,59,122,87,97,116,106,107,81,152,100,72,111,-99,97,112,82,109,122,129,147,,,,,,,,
01/01/2014,4,42,128,108,97,101,125,151,127,140,125,109,100,97,130,123,124,105,151,76,145,,,,,,,,
01/01/2014,5,51,92,120,96,113,172,153,140,164,143,119,112,99,142,96,102,139,172,109,145,,,,,,,,
01/01/2014,6,55,100,120,153,124,142,121,127,169,159,123,118,81,146,121,146,135,158,90,163,,,,,,,,
01/01/2014,7,56,99,147,148,122,149,96,147,148,140,138,99,59,144,171,194,120,138,105,150,,,,,,,,
01/01/2014,8,66,96,138,151,104,110,88,127,122,120,166,93,71,141,147,175,120,143,86,107,,,,,,,,
01/01/2014,9,59,87,110,135,98,97,96,124,111,131,157,95,118,134,152,132,103,167,83,115,,,,,,,,
01/01/2014,10,40,109,115,141,91,110,118,132,119,131,158,84,141,147,185,144,94,144,48,120,,,,,,,,
01/01/2014,11,-99,129,121,150,108,124,106,127,95,120,155,74,139,150,135,134,105,125,71,100,,,,,,,,
01/01/2014,12,-99,111,117,155,101,108,101,131,98,121,163,71,146,141,127,126,73,131,56,86,,,,,,,,
01/01/2014,13,38,88,78,5,80,76,77,105,98,113,155,80,145,103,85,88,36,136,21,77,,,,,,,,
01/01/2014,14,33,30,65,34,76,57,28,90,67,85,127,35,116,74,-99,58,-99,96,21,56,,,,,,,,
01/01/2014,15,32,23,66,22,63,52,39,72,47,65,84,-99,92,34,14,57,9,49,27,47,,,,,,,,
01/01/2014,16,30,32,60,35,59,51,40,39,45,46,46,57,78,21,29,64,14,32,44,48,,,,,,,,
01/01/2014,17,37,63,48,38,55,51,34,26,43,32,45,46,64,16,14,68,24,32,58,47,,,,,,,,
01/01/2014,18,37,63,34,28,28,86,46,36,40,42,41,35,32,16,26,50,39,30,63,41,,,,,,,,
01/01/2014,19,36,26,30,33,30,106,38,36,39,47,28,46,34,22,21,49,86,35,75,36,,,,,,,,
01/01/2014,20,35,47,30,37,33,99,10,32,36,47,33,29,27,28,39,58,109,39,171,41,,,,,,,,
01/01/2014,21,42,118,81,31,20,77,60,36,45,47,30,57,23,25,44,112,95,49,22,40,,,,,,,,
01/01/2014,22,44,72,91,30,19,70,48,44,60,52,29,44,17,39,48,98,78,49,83,42,,,,,,,,
01/01/2014,23,47,82,100,27,21,53,54,76,69,59,37,33,29,38,51,88,78,47,159,58,,,,,,,,
01/01/2014,24,-99,37,75,18,34,-99,38,62,69,96,55,22,35,42,34,80,61,56,95,46,,,,,,,,
02/01/2014,1,-99,20,59,34,28,-99,21,41,55,68,36,26,36,36,32,76,41,60,84,40,,,,,,,,
02/01/2014,2,-99,6,49,27,38,58,19,53,42,55,34,57,37,38,48,68,36,41,92,48,,,,,,,,
02/01/2014,3,-99,8,29,34,35,55,9,38,51,50,32,41,41,36,37,49,28,38,55,50,,,,,,,,
02/01/2014,4,-99,16,27,36,27,42,11,44,33,42,34,65,27,35,36,29,27,42,45,51,,,,,,,,
02/01/2014,5,-99,21,39,33,25,50,19,47,38,38,41,62,34,32,44,31,26,50,45,70,,,,,,,,
02/01/2014,6,-99,35,31,59,27,57,25,41,45,54,35,54,33,35,41,38,37,42,57,65,,,,,,,,
02/01/2014,7,-99,43,37,55,41,57,33,51,46,71,38,52,39,41,49,43,38,48,55,74,,,,,,,,
02/01/2014,8,-99,95,61,83,40,61,48,58,54,75,43,53,51,43,56,65,63,69,107,66,,,,,,,,
02/01/2014,9,-99,73,90,129,58,125,60,69,54,77,50,49,47,52,84,58,102,83,82,105,,,,,,,,
