FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,MPA,PED,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL,,,,
01/01/2017,1,-99,33,-99,51,80,90,46,128,159,-99,16,87,73,43,-99,-99,-99,44,170,138,138,-99,149,107,,,,
01/01/2017,2,-99,37,-99,71,100,87,56,154,104,-99,16,140,105,35,-99,-99,-99,30,190,100,165,-99,199,221,,,,
01/01/2017,3,190,38,-99,83,89,76,49,147,97,-99,14,197,103,57,18,-99,-99,24,175,66,121,-99,230,401,,,,
01/01/2017,4,230,38,-99,111,103,69,57,147,92,-99,14,214,114,87,24,-99,-99,34,126,68,181,-99,364,252,,,,
01/01/2017,5,192,30,-99,124,148,176,40,154,91,-99,14,154,136,98,18,-99,-99,35,150,68,214,-99,445,247,,,,
01/01/2017,6,168,28,-99,102,127,156,28,211,74,-99,12,110,149,95,16,-99,-99,29,120,113,198,-99,307,207,,,,
01/01/2017,7,130,28,-99,104,83,69,40,201,89,-99,14,125,141,89,20,-99,-99,35,116,181,185,-99,276,220,,,,
01/01/2017,8,97,25,-99,84,66,78,60,157,63,-99,13,113,134,70,21,-99,-99,31,94,86,152,-99,247,218,,,,
01/01/2017,9,84,31,-99,93,65,65,34,134,60,-99,13,109,152,61,24,-99,-99,31,158,85,177,-99,198,267,,,,
01/01/2017,10,85,47,-99,104,91,48,26,108,56,-99,24,89,209,87,40,-99,-99,37,132,121,176,-99,125,264,,,,
01/01/2017,11,76,48,-99,75,97,42,19,84,34,-99,23,74,165,86,46,-99,-99,44,88,91,137,-99,124,186,,,,
01/01/2017,12,66,43,-99,53,73,33,29,44,25,-99,35,37,90,69,46,-99,-99,43,35,63,37,-99,86,117,,,,
01/01/2017,13,58,46,-99,61,65,12,32,16,19,-99,44,44,69,45,38,-99,-99,44,-99,60,33,-99,19,84,,,,
01/01/2017,14,57,37,-99,42,63,44,47,27,32,-99,26,52,60,45,29,-99,-99,40,-99,38,46,-99,23,55,,,,
01/01/2017,15,35,41,-99,36,46,26,36,40,25,-99,22,40,63,40,28,-99,-99,34,-99,75,40,-99,38,50,,,,
