FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
01/01/2008,1,39,47,38,49,67,77,91,62,39
01/01/2008,2,65,91,46,113,104,120,137,98,87
01/01/2008,3,82,123,64,136,-99,164,185,102,118
01/01/2008,4,97,160,72,135,-99,197,273,132,111
01/01/2008,5,97,112,75,133,113,193,290,74,139
01/01/2008,6,70,91,86,180,130,206,229,71,110
01/01/2008,7,90,79,86,176,160,185,230,80,95
01/01/2008,8,86,50,78,186,185,207,-99,51,134
01/01/2008,9,69,88,57,166,159,68,165,51,68
01/01/2008,10,76,54,50,39,15,27,79,50,-99
01/01/2008,11,28,27,33,25,4,18,22,19,2
01/01/2008,12,15,13,18,19,3,11,2,4,6
01/01/2008,13,11,4,12,38,7,44,24,-99,-99
01/01/2008,14,20,11,17,-99,13,22,-99,-99,8
01/01/2008,15,14,9,10,-99,8,24,-99,13,2
01/01/2008,16,11,8,-99,-99,8,76,57,5,15
01/01/2008,17,23,9,-99,-99,28,53,82,22,11
01/01/2008,18,7,6,9,-99,9,16,28,19,13
01/01/2008,19,4,5,6,-99,4,8,12,15,1
01/01/2008,20,3,6,6,6,5,6,51,16,13
01/01/2008,21,4,4,-99,6,7,7,23,14,10
01/01/2008,22,9,3,-99,9,-99,7,51,16,13
01/01/2008,23,4,2,-99,6,1,5,35,5,3
01/01/2008,24,-99,3,2,3,-99,2,5,1,-99
02/01/2008,1,-99,1,3,5,9,1,28,-99,6
02/01/2008,2,-99,-99,2,-99,3,1,13,7,3
02/01/2008,3,-99,2,2,-99,3,-99,6,3,2
02/01/2008,4,1,4,5,1,5,6,20,5,1
02/01/2008,5,3,5,-99,3,-99,3,33,-99,2
02/01/2008,6,1,5,-99,4,2,5,22,-99,2
02/01/2008,7,2,7,-99,3,2,2,1,11,4
02/01/2008,8,4,6,7,6,-99,1,8,8,5
02/01/2008,9,5,8,11,5,3,4,4,10,-99
02/01/2008,10,3,10,9,5,-99,-99,5,6,-99
02/01/2008,11,7,8,21,12,4,-99,62,4,9
02/01/2008,12,8,6,18,28,2,13,47,4,8
02/01/2008,13,9,10,25,14,4,-99,7,5,-99
02/01/2008,14,8,12,16,16,7,8,3,4,6
02/01/2008,15,7,13,12,-99,7,8,5,11,3
02/01/2008,16,9,15,14,-99,12,14,29,14,-99
02/01/2008,17,9,13,15,5,12,16,31,15,9
02/01/2008,18,10,15,-99,14,15,20,23,14,17
02/01/2008,19,12,14,-99,12,7,20,29,17,14
02/01/2008,20,11,13,-99,9,10,16,23,13,4
02/01/2008,21,8,10,11,7,4,6,9,12,4
02/01/2008,22,7,8,9,7,6,6,6,11,7
02/01/2008,23,9,2,7,-99,1,5,-99,-99,7
02/01/2008,24,8,-99,3,-99,12,9,4,7,8
03/01/2008,1,4,-99,2,9,15,6,10,7,8
03/01/2008,2,5,1,3,8,15,5,18,3,-99
03/01/2008,3,6,1,2,7,5,3,6,5,12
03/01/2008,4,3,-99,-99,9,4,6,8,4,2
03/01/2008,5,8,3,2,9,6,1,12,9,10
03/01/2008,6,11,11,3,11,5,12,11,8,12
03/01/2008,7,14,9,5,20,19,13,13,9,18
03/01/2008,8,17,-99,6,25,29,18,14,8,7
03/01/2008,9,16,9,9,28,20,7,28,24,17
03/01/2008,10,20,12,13,34,17,17,29,22,9
03/01/2008,11,-99,22,19,49,-99,17,30,19,-99
03/01/2008,12,-99,29,29,59,-99,15,32,16,2
03/01/2008,13,-99,40,39,65,-99,20,20,22,-99
03/01/2008,14,-99,47,50,76,-99,13,-99,49,2
03/01/2008,15,-99,47,58,60,25,7,-99,54,-99
03/01/2008,16,32,43,57,48,16,16,-99,53,-99
03/01/2008,17,34,51,47,36,25,26,-99,48,27
03/01/2008,18,28,49,38,45,33,40,50,54,37
03/01/2008,19,32,40,43,48,42,37,66,43,37
