FECHA,HORA,CAM,COY,MER,NEZ,PED,PER,SAG,SJA,TLA,UIZ,XAL,,,,,,,,,,,,,
01/01/2011,1,29,29,28,-99,-99,100,69,35,56,61,-99,,,,,,,,,,,,,
01/01/2011,2,55,58,52,-99,-99,120,128,74,81,90,-99,,,,,,,,,,,,,
01/01/2011,3,59,79,62,-99,-99,72,164,125,94,113,-99,,,,,,,,,,,,,
01/01/2011,4,76,85,76,-99,-99,64,167,143,103,143,-99,,,,,,,,,,,,,
01/01/2011,5,79,100,96,-99,-99,67,132,117,97,101,-99,,,,,,,,,,,,,
01/01/2011,6,64,85,100,-99,-99,53,158,85,98,108,-99,,,,,,,,,,,,,
01/01/2011,7,40,78,98,-99,-99,71,139,96,53,106,-99,,,,,,,,,,,,,
01/01/2011,8,36,78,105,-99,-99,134,114,97,38,112,-99,,,,,,,,,,,,,
01/01/2011,9,37,81,87,-99,-99,140,88,121,29,96,-99,,,,,,,,,,,,,
01/01/2011,10,58,93,88,-99,-99,151,151,122,91,79,-99,,,,,,,,,,,,,
01/01/2011,11,54,89,77,-99,-99,113,85,109,141,97,-99,,,,,,,,,,,,,
01/01/2011,12,35,59,69,-99,-99,74,22,58,106,87,-99,,,,,,,,,,,,,
01/01/2011,13,21,59,21,-99,-99,88,11,29,68,44,-99,,,,,,,,,,,,,
01/01/2011,14,19,43,23,-99,-99,7,22,12,27,3,-99,,,,,,,,,,,,,
01/01/2011,15,13,22,19,-99,-99,18,12,17,16,18,-99,,,,,,,,,,,,,
01/01/2011,16,8,20,22,-99,-99,16,18,26,22,14,-99,,,,,,,,,,,,,
01/01/2011,17,15,21,18,-99,-99,14,22,-99,6,25,-99,,,,,,,,,,,,,
01/01/2011,18,12,28,21,-99,-99,21,17,-99,9,20,-99,,,,,,,,,,,,,
01/01/2011,19,10,37,16,-99,-99,77,12,-99,5,9,-99,,,,,,,,,,,,,
01/01/2011,20,10,43,18,-99,-99,86,17,-99,19,44,-99,,,,,,,,,,,,,
01/01/2011,21,28,35,33,-99,-99,240,21,-99,14,53,-99,,,,,,,,,,,,,
01/01/2011,22,32,29,25,-99,-99,92,17,26,20,35,-99,,,,,,,,,,,,,
01/01/2011,23,28,28,23,-99,-99,26,23,21,14,26,-99,,,,,,,,,,,,,
01/01/2011,24,22,24,21,-99,-99,23,16,23,18,15,-99,,,,,,,,,,,,,
02/01/2011,1,14,25,18,-99,-99,22,17,18,15,19,-99,,,,,,,,,,,,,
02/01/2011,2,21,27,20,-99,-99,23,21,22,14,26,-99,,,,,,,,,,,,,
02/01/2011,3,21,27,20,-99,-99,27,22,19,16,20,-99,,,,,,,,,,,,,
02/01/2011,4,18,26,20,-99,-99,33,24,21,15,34,-99,,,,,,,,,,,,,
02/01/2011,5,23,28,22,-99,-99,33,28,24,15,34,-99,,,,,,,,,,,,,
02/01/2011,6,21,26,22,-99,-99,65,30,26,13,38,-99,,,,,,,,,,,,,
02/01/2011,7,19,23,25,-99,-99,52,29,23,24,42,-99,,,,,,,,,,,,,
02/01/2011,8,17,22,25,-99,-99,47,27,24,16,54,-99,,,,,,,,,,,,,
02/01/2011,9,25,23,31,-99,-99,89,31,24,18,31,-99,,,,,,,,,,,,,
02/01/2011,10,22,28,38,-99,-99,121,32,44,30,31,-99,,,,,,,,,,,,,
02/01/2011,11,20,34,35,-99,-99,103,37,33,28,36,-99,,,,,,,,,,,,,
02/01/2011,12,-99,40,35,-99,-99,50,25,24,28,35,-99,,,,,,,,,,,,,
02/01/2011,13,15,43,36,-99,-99,46,22,17,32,22,-99,,,,,,,,,,,,,
02/01/2011,14,27,49,31,-99,-99,16,23,16,35,9,-99,,,,,,,,,,,,,
02/01/2011,15,32,49,32,-99,-99,20,29,21,24,15,-99,,,,,,,,,,,,,
02/01/2011,16,27,35,23,-99,-99,20,27,21,26,18,-99,,,,,,,,,,,,,
02/01/2011,17,16,19,7,-99,-99,20,12,12,17,3,-99,,,,,,,,,,,,,
02/01/2011,18,8,14,11,-99,-99,16,3,7,16,8,-99,,,,,,,,,,,,,
02/01/2011,19,21,23,16,-99,-99,45,15,19,17,19,-99,,,,,,,,,,,,,
02/01/2011,20,25,23,20,-99,-99,49,21,17,19,33,-99,,,,,,,,,,,,,
02/01/2011,21,26,19,21,-99,-99,39,16,25,17,46,-99,,,,,,,,,,,,,
02/01/2011,22,18,17,17,-99,-99,35,17,-99,11,26,-99,,,,,,,,,,,,,
02/01/2011,23,13,16,19,-99,-99,35,25,-99,16,16,-99,,,,,,,,,,,,,
02/01/2011,24,23,17,19,-99,-99,43,26,32,25,14,-99,,,,,,,,,,,,,
