FECHA,HORA,CAM,COY,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
01/01/2013,1,55,75,46,38,94,48,95,16,57,48,69,83,116,,,,,,,,,,,,,,
01/01/2013,2,96,107,75,67,80,87,146,26,105,98,131,111,124,,,,,,,,,,,,,,
01/01/2013,3,133,116,78,75,90,72,171,19,133,109,107,115,289,,,,,,,,,,,,,,
01/01/2013,4,135,113,68,100,115,55,129,35,151,101,125,150,275,,,,,,,,,,,,,,
01/01/2013,5,142,118,72,84,75,37,146,36,144,90,163,101,230,,,,,,,,,,,,,,
01/01/2013,6,122,117,84,76,87,11,174,14,128,72,127,100,208,,,,,,,,,,,,,,
01/01/2013,7,93,118,83,89,121,34,188,5,136,54,143,111,173,,,,,,,,,,,,,,
01/01/2013,8,108,113,112,116,148,6,217,13,141,128,144,124,258,,,,,,,,,,,,,,
01/01/2013,9,131,106,142,141,141,44,215,8,144,161,113,12,261,,,,,,,,,,,,,,
01/01/2013,10,167,126,149,156,87,66,111,29,172,175,124,-99,202,,,,,,,,,,,,,,
01/01/2013,11,137,112,122,85,71,92,43,56,81,126,99,-99,90,,,,,,,,,,,,,,
01/01/2013,12,63,65,60,37,29,92,27,54,16,71,4,27,32,,,,,,,,,,,,,,
01/01/2013,13,36,21,40,22,-99,45,15,33,7,43,-99,17,13,,,,,,,,,,,,,,
01/01/2013,14,23,6,22,7,4,-99,13,22,6,51,-99,9,5,,,,,,,,,,,,,,
01/01/2013,15,12,6,1,6,6,4,15,37,-99,4,-99,23,8,,,,,,,,,,,,,,
01/01/2013,16,15,9,-99,12,12,1,14,10,12,-99,9,12,22,,,,,,,,,,,,,,
01/01/2013,17,14,12,-99,4,15,10,21,-99,13,-99,12,12,20,,,,,,,,,,,,,,
01/01/2013,18,13,4,-99,5,13,8,14,6,15,-99,9,13,11,,,,,,,,,,,,,,
01/01/2013,19,16,9,18,9,11,15,16,10,16,6,11,9,10,,,,,,,,,,,,,,
01/01/2013,20,26,15,11,11,17,14,13,11,14,20,16,14,14,,,,,,,,,,,,,,
01/01/2013,21,16,9,12,13,22,15,15,21,16,17,13,15,17,,,,,,,,,,,,,,
01/01/2013,22,17,17,19,21,20,30,24,23,19,-99,7,16,23,,,,,,,,,,,,,,
01/01/2013,23,26,25,19,24,21,22,14,11,29,1,13,16,23,,,,,,,,,,,,,,
01/01/2013,24,20,25,20,27,22,29,16,6,25,24,19,21,27,,,,,,,,,,,,,,
02/01/2013,1,23,22,10,28,17,8,21,10,19,35,21,20,32,,,,,,,,,,,,,,
02/01/2013,2,26,23,2,25,23,3,22,72,25,22,16,22,29,,,,,,,,,,,,,,
02/01/2013,3,26,25,66,25,22,3,26,26,35,18,13,27,32,,,,,,,,,,,,,,
02/01/2013,4,35,31,21,28,29,31,27,44,26,24,23,29,29,,,,,,,,,,,,,,
02/01/2013,5,31,35,7,23,23,34,27,-99,32,42,19,35,24,,,,,,,,,,,,,,
02/01/2013,6,34,40,20,26,22,39,26,-99,29,40,17,30,42,,,,,,,,,,,,,,
02/01/2013,7,37,42,33,34,31,21,31,-99,28,40,23,34,28,,,,,,,,,,,,,,
02/01/2013,8,39,46,79,34,27,22,36,-99,35,47,28,31,38,,,,,,,,,,,,,,
02/01/2013,9,33,42,-99,26,14,24,33,-99,25,44,13,15,29,,,,,,,,,,,,,,
02/01/2013,10,24,33,53,23,6,30,19,1,12,35,8,9,18,,,,,,,,,,,,,,
02/01/2013,11,28,15,37,23,9,28,15,77,4,15,6,-99,30,,,,,,,,,,,,,,
02/01/2013,12,29,-99,2,10,7,21,18,28,11,33,3,-99,34,,,,,,,,,,,,,,
02/01/2013,13,12,-99,-99,3,3,-99,17,20,-99,32,3,-99,5,,,,,,,,,,,,,,
02/01/2013,14,7,3,48,5,8,23,10,7,-99,-99,5,-99,19,,,,,,,,,,,,,,
02/01/2013,15,1,8,1,5,6,14,19,4,3,-99,4,13,11,,,,,,,,,,,,,,
02/01/2013,16,15,8,29,3,9,22,19,3,6,30,5,11,15,,,,,,,,,,,,,,
02/01/2013,17,13,10,27,9,15,20,10,-99,13,21,12,16,12,,,,,,,,,,,,,,
02/01/2013,18,-99,14,-99,14,14,23,17,-99,10,-99,13,12,13,,,,,,,,,,,,,,
02/01/2013,19,1,8,-99,25,13,-99,17,1,14,29,14,13,26,,,,,,,,,,,,,,
02/01/2013,20,6,7,6,10,14,12,7,8,18,9,11,17,13,,,,,,,,,,,,,,
02/01/2013,21,3,6,13,6,11,11,11,5,8,-99,9,8,16,,,,,,,,,,,,,,
02/01/2013,22,6,10,-99,-99,12,-99,7,8,8,9,9,1,14,,,,,,,,,,,,,,
02/01/2013,23,11,8,-99,-99,11,11,16,7,5,17,5,8,9,,,,,,,,,,,,,,
02/01/2013,24,11,6,-99,10,13,13,13,8,8,12,4,7,17,,,,,,,,,,,,,,
03/01/2013,1,14,3,23,14,18,-99,17,2,8,7,7,12,16,,,,,,,,,,,,,,
03/01/2013,2,9,6,41,7,15,12,22,2,15,16,4,4,20,,,,,,,,,,,,,,
03/01/2013,3,18,8,-99,-99,7,4,12,7,13,19,2,8,31,,,,,,,,,,,,,,
03/01/2013,4,14,9,7,-99,10,19,27,-99,12,18,11,6,26,,,,,,,,,,,,,,
03/01/2013,5,12,11,29,-99,8,15,26,-99,13,31,12,8,17,,,,,,,,,,,,,,
03/01/2013,6,20,9,58,25,11,14,34,8,13,31,11,17,46,,,,,,,,,,,,,,
03/01/2013,7,40,13,48,29,19,27,62,4,22,64,18,24,55,,,,,,,,,,,,,,
03/01/2013,8,54,25,8,44,57,29,68,16,30,47,19,29,68,,,,,,,,,,,,,,
03/01/2013,9,47,35,24,45,64,42,76,14,47,48,17,55,89,,,,,,,,,,,,,,
03/01/2013,10,46,42,29,-99,39,34,76,20,57,58,27,53,98,,,,,,,,,,,,,,
03/01/2013,11,53,55,29,-99,35,40,47,15,39,51,30,36,72,,,,,,,,,,,,,,
03/01/2013,12,51,60,-99,30,28,35,28,12,26,75,40,40,37,,,,,,,,,,,,,,
03/01/2013,13,40,53,85,28,9,55,25,50,18,72,31,21,33,,,,,,,,,,,,,,
03/01/2013,14,27,18,14,12,10,29,20,45,12,61,5,8,27,,,,,,,,,,,,,,
03/01/2013,15,15,12,28,8,3,18,15,19,-99,30,4,12,15,,,,,,,,,,,,,,
03/01/2013,16,10,12,63,12,11,20,13,16,5,-99,6,11,11,,,,,,,,,,,,,,
03/01/2013,17,12,17,11,8,13,8,12,5,14,35,14,8,17,,,,,,,,,,,,,,
03/01/2013,18,11,15,4,10,14,11,12,6,14,1,8,16,14,,,,,,,,,,,,,,
03/01/2013,19,15,13,28,10,22,15,18,6,19,-99,20,12,34,,,,,,,,,,,,,,
03/01/2013,20,37,18,18,17,19,10,19,12,17,-99,16,12,20,,,,,,,,,,,,,,
03/01/2013,21,20,28,72,21,20,20,22,11,21,-99,16,13,29,,,,,,,,,,,,,,
03/01/2013,22,32,34,24,17,25,29,22,12,24,-99,15,20,44,,,,,,,,,,,,,,
03/01/2013,23,30,31,49,18,20,19,21,17,19,26,27,23,30,,,,,,,,,,,,,,
03/01/2013,24,19,33,-99,22,19,14,14,16,18,46,20,21,36,,,,,,,,,,,,,,
04/01/2013,1,23,42,36,25,19,28,18,15,21,27,26,19,22,,,,,,,,,,,,,,
04/01/2013,2,38,48,42,31,14,42,32,13,18,40,21,16,32,,,,,,,,,,,,,,
04/01/2013,3,34,49,52,28,23,29,38,9,19,35,25,40,33,,,,,,,,,,,,,,
04/01/2013,4,21,41,59,35,25,9,34,18,49,24,21,32,28,,,,,,,,,,,,,,
04/01/2013,5,27,40,23,24,26,-99,44,9,25,34,21,27,53,,,,,,,,,,,,,,
04/01/2013,6,30,43,39,32,26,-99,46,17,26,44,25,30,63,,,,,,,,,,,,,,
04/01/2013,7,47,45,31,30,35,16,53,21,32,56,29,44,69,,,,,,,,,,,,,,
04/01/2013,8,46,58,22,50,65,19,46,20,44,57,31,64,59,,,,,,,,,,,,,,
04/01/2013,9,59,81,61,-99,67,43,75,28,54,61,73,81,68,,,,,,,,,,,,,,
04/01/2013,10,75,85,86,-99,67,54,82,37,76,67,71,83,92,,,,,,,,,,,,,,
04/01/2013,11,94,88,94,-99,80,75,103,31,74,-99,56,76,103,,,,,,,,,,,,,,
04/01/2013,12,88,85,77,-99,73,74,91,65,75,89,63,85,104,,,,,,,,,,,,,,
04/01/2013,13,82,93,99,-99,55,63,58,59,63,95,75,80,53,,,,,,,,,,,,,,
04/01/2013,14,88,84,83,-99,46,58,45,51,39,110,64,63,46,,,,,,,,,,,,,,
04/01/2013,15,63,66,85,-99,45,68,28,43,13,81,52,58,36,,,,,,,,,,,,,,
04/01/2013,16,52,40,44,-99,28,71,31,75,13,46,46,54,39,,,,,,,,,,,,,,
04/01/2013,17,51,29,58,-99,17,63,64,62,30,91,49,47,41,,,,,,,,,,,,,,
04/01/2013,18,56,29,133,-99,10,43,68,50,23,40,39,31,49,,,,,,,,,,,,,,
04/01/2013,19,54,16,-99,-99,16,50,-99,60,19,70,10,15,60,,,,,,,,,,,,,,
04/01/2013,20,66,54,45,-99,22,61,-99,40,32,53,25,24,23,,,,,,,,,,,,,,
04/01/2013,21,51,56,57,-99,25,48,-99,29,25,21,46,26,31,,,,,,,,,,,,,,
04/01/2013,22,39,45,9,-99,20,27,-99,32,15,30,39,19,19,,,,,,,,,,,,,,
04/01/2013,23,32,39,38,-99,18,36,-99,32,23,44,32,24,47,,,,,,,,,,,,,,
04/01/2013,24,27,43,68,26,23,43,-99,33,25,28,24,29,52,,,,,,,,,,,,,,
05/01/2013,1,61,51,33,37,28,18,-99,22,41,39,46,31,43,,,,,,,,,,,,,,
05/01/2013,2,50,55,29,34,31,24,-99,24,37,43,43,31,30,,,,,,,,,,,,,,
05/01/2013,3,33,52,29,27,24,49,-99,63,28,51,37,42,41,,,,,,,,,,,,,,
05/01/2013,4,25,51,-99,21,25,43,-99,22,24,31,33,54,31,,,,,,,,,,,,,,
05/01/2013,5,26,48,13,25,27,14,-99,13,26,47,29,27,40,,,,,,,,,,,,,,
05/01/2013,6,35,48,26,26,25,10,-99,27,37,39,31,33,56,,,,,,,,,,,,,,
05/01/2013,7,50,42,3,27,30,36,-99,23,35,33,40,30,68,,,,,,,,,,,,,,
05/01/2013,8,42,47,17,31,27,41,-99,19,31,39,43,28,71,,,,,,,,,,,,,,
05/01/2013,9,53,54,42,49,26,52,-99,18,32,62,36,33,80,,,,,,,,,,,,,,
05/01/2013,10,62,67,92,52,36,48,-99,34,27,76,35,45,83,,,,,,,,,,,,,,
05/01/2013,11,71,82,101,67,45,57,-99,44,52,106,44,55,93,,,,,,,,,,,,,,
05/01/2013,12,63,78,68,67,54,56,-99,21,52,96,56,65,90,,,,,,,,,,,,,,
05/01/2013,13,73,71,67,63,47,65,-99,65,40,69,56,51,85,,,,,,,,,,,,,,
05/01/2013,14,76,67,65,51,23,57,61,93,30,71,33,48,87,,,,,,,,,,,,,,
05/01/2013,15,73,43,68,49,22,70,62,55,19,49,39,50,71,,,,,,,,,,,,,,
05/01/2013,16,76,19,61,57,18,35,62,65,27,32,34,52,76,,,,,,,,,,,,,,
05/01/2013,17,73,12,110,56,23,24,74,54,38,60,28,-99,76,,,,,,,,,,,,,,
05/01/2013,18,42,-99,20,25,5,18,-99,36,22,-99,12,-99,57,,,,,,,,,,,,,,
05/01/2013,19,46,21,22,22,11,15,-99,13,17,26,19,12,12,,,,,,,,,,,,,,
05/01/2013,20,24,31,26,30,23,10,21,24,17,5,20,26,16,,,,,,,,,,,,,,
05/01/2013,21,15,37,39,23,25,36,18,23,20,34,27,26,35,,,,,,,,,,,,,,
05/01/2013,22,17,25,11,16,22,36,16,25,11,28,31,14,30,,,,,,,,,,,,,,
05/01/2013,23,8,25,24,21,19,18,13,26,11,32,25,16,28,,,,,,,,,,,,,,
05/01/2013,24,21,34,44,14,19,17,15,28,10,34,32,25,47,,,,,,,,,,,,,,
06/01/2013,1,50,50,34,25,21,33,16,24,20,34,35,30,39,,,,,,,,,,,,,,
06/01/2013,2,49,54,36,30,26,21,27,19,20,43,35,38,44,,,,,,,,,,,,,,
06/01/2013,3,32,49,32,26,17,18,25,14,19,27,32,23,34,,,,,,,,,,,,,,
06/01/2013,4,35,48,3,24,18,27,23,12,18,44,27,19,30,,,,,,,,,,,,,,
06/01/2013,5,28,41,37,23,25,24,21,18,26,41,26,24,33,,,,,,,,,,,,,,
06/01/2013,6,27,33,97,26,18,34,21,12,30,32,27,33,32,,,,,,,,,,,,,,
06/01/2013,7,34,33,17,31,31,20,-99,12,31,30,36,42,41,,,,,,,,,,,,,,
06/01/2013,8,28,36,35,33,36,12,-99,20,34,29,47,44,37,,,,,,,,,,,,,,
06/01/2013,9,32,31,15,38,30,18,38,19,25,37,43,40,48,,,,,,,,,,,,,,
06/01/2013,10,43,37,42,48,31,24,46,21,29,44,33,52,60,,,,,,,,,,,,,,
06/01/2013,11,51,38,58,64,43,27,63,28,43,58,43,59,75,,,,,,,,,,,,,,
06/01/2013,12,71,44,51,60,51,41,69,56,43,55,36,56,95,,,,,,,,,,,,,,
06/01/2013,13,70,48,84,48,44,46,37,19,31,53,28,53,69,,,,,,,,,,,,,,
06/01/2013,14,43,43,27,30,32,49,25,25,14,49,34,32,51,,,,,,,,,,,,,,
06/01/2013,15,39,33,26,30,23,19,26,31,14,65,27,30,43,,,,,,,,,,,,,,
06/01/2013,16,37,25,-99,23,26,4,22,24,25,36,13,21,32,,,,,,,,,,,,,,
06/01/2013,17,30,28,12,16,7,26,27,26,17,22,24,17,28,,,,,,,,,,,,,,
06/01/2013,18,30,23,15,21,10,31,25,20,29,58,12,17,34,,,,,,,,,,,,,,
06/01/2013,19,28,19,28,19,20,73,27,10,14,-99,3,16,12,,,,,,,,,,,,,,
06/01/2013,20,10,12,24,14,25,19,34,8,16,-99,21,18,29,,,,,,,,,,,,,,
06/01/2013,21,23,15,32,20,21,62,24,11,24,64,20,13,34,,,,,,,,,,,,,,
06/01/2013,22,54,34,49,41,26,53,25,22,26,30,32,31,29,,,,,,,,,,,,,,
06/01/2013,23,49,34,104,27,30,24,21,29,30,21,26,39,48,,,,,,,,,,,,,,
06/01/2013,24,27,36,50,25,38,-99,16,26,27,34,21,33,28,,,,,,,,,,,,,,
07/01/2013,1,36,33,-99,27,27,-99,31,27,33,46,25,31,25,,,,,,,,,,,,,,
07/01/2013,2,40,29,46,41,28,-99,54,22,34,45,17,29,47,,,,,,,,,,,,,,
07/01/2013,3,54,28,10,33,48,-99,55,23,36,51,27,47,67,,,,,,,,,,,,,,
07/01/2013,4,62,54,46,53,64,-99,50,18,54,49,35,58,68,,,,,,,,,,,,,,
07/01/2013,5,60,85,67,61,47,37,55,16,54,58,61,61,75,,,,,,,,,,,,,,
