FECHA,HORA,CAM,COY,CCA,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
01/01/2014,1,54,33,-99,44,49,60,44,70,40,48,47,47,-99,67,,,,,,,,,,,,,,
01/01/2014,2,59,57,-99,59,57,64,41,119,-99,70,57,66,-99,90,,,,,,,,,,,,,,
01/01/2014,3,69,85,-99,64,75,93,55,87,-99,64,63,66,100,118,,,,,,,,,,,,,,
01/01/2014,4,85,101,-99,102,95,121,83,76,78,80,93,111,121,115,,,,,,,,,,,,,,
01/01/2014,5,95,113,-99,112,101,125,95,84,79,86,79,113,136,112,,,,,,,,,,,,,,
01/01/2014,6,95,133,-99,102,115,85,93,86,62,95,110,110,105,127,,,,,,,,,,,,,,
01/01/2014,7,114,131,-99,116,98,62,108,75,47,89,141,119,93,114,,,,,,,,,,,,,,
01/01/2014,8,106,121,-99,97,85,98,129,64,57,63,130,95,107,77,,,,,,,,,,,,,,
01/01/2014,9,83,121,-99,93,92,97,123,68,94,69,99,99,128,79,,,,,,,,,,,,,,
01/01/2014,10,83,132,-99,100,92,84,119,64,113,71,111,123,114,88,,,,,,,,,,,,,,
01/01/2014,11,94,138,-99,101,91,81,121,57,111,54,102,109,99,78,,,,,,,,,,,,,,
01/01/2014,12,92,149,-99,104,93,78,131,56,112,49,95,88,106,69,,,,,,,,,,,,,,
01/01/2014,13,61,127,-99,83,88,68,121,64,109,41,65,89,105,59,,,,,,,,,,,,,,
01/01/2014,14,49,87,-99,75,65,51,98,17,87,35,43,57,72,41,,,,,,,,,,,,,,
01/01/2014,15,50,60,-99,56,45,13,63,-99,70,32,40,8,36,34,,,,,,,,,,,,,,
01/01/2014,16,38,27,-99,27,30,1,33,38,58,17,49,-99,21,31,,,,,,,,,,,,,,
01/01/2014,17,32,24,-99,16,15,2,32,16,43,13,52,1,18,19,,,,,,,,,,,,,,
01/01/2014,18,17,24,-99,22,20,10,30,6,16,16,29,4,15,15,,,,,,,,,,,,,,
01/01/2014,19,17,21,-99,22,25,10,16,19,18,12,22,6,18,13,,,,,,,,,,,,,,
