FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2016,1,-99,26,-99,-99,21,-99,2,-99,17,14,28,-99,11,18,-99,27,23,-99,-99,8,15,10,-99,-99,-99,52,-99,8,9,-99,22
01/01/2016,2,-99,24,-99,-99,18,-99,4,-99,29,13,11,-99,17,84,-99,11,19,-99,-99,10,13,35,-99,-99,-99,36,-99,5,12,-99,19
01/01/2016,3,-99,17,-99,-99,56,-99,7,-99,15,9,24,-99,17,98,-99,38,15,-99,-99,38,11,83,-99,-99,-99,55,-99,5,11,-99,39
01/01/2016,4,-99,14,-99,-99,49,-99,3,-99,6,7,38,-99,32,117,-99,59,15,-99,-99,54,9,82,-99,-99,-99,56,-99,10,43,-99,73
01/01/2016,5,-99,11,-99,-99,37,-99,2,-99,3,6,52,-99,71,81,-99,80,14,-99,-99,51,8,62,-99,-99,-99,80,-99,28,48,-99,66
01/01/2016,6,-99,9,-99,-99,41,-99,3,-99,6,4,60,-99,52,47,-99,38,18,-99,-99,21,23,52,-99,-99,-99,78,-99,29,41,-99,73
01/01/2016,7,-99,7,-99,-99,66,-99,2,-99,9,3,43,-99,41,13,-99,25,18,-99,-99,20,17,21,-99,-99,-99,53,-99,27,26,-99,47
01/01/2016,8,-99,9,-99,-99,52,-99,3,-99,10,2,45,-99,31,16,-99,24,13,-99,-99,16,12,13,-99,-99,-99,32,-99,24,19,-99,20
01/01/2016,9,-99,19,-99,-99,50,-99,2,-99,11,8,32,-99,24,23,-99,19,32,-99,-99,10,29,21,-99,-99,-99,22,-99,26,28,-99,19
01/01/2016,10,-99,33,-99,-99,37,-99,6,-99,20,16,27,-99,24,40,-99,21,39,-99,-99,7,37,40,-99,-99,-99,29,-99,20,28,-99,23
01/01/2016,11,-99,30,-99,-99,35,-99,15,-99,45,14,30,-99,29,47,-99,31,32,-99,-99,18,34,44,-99,-99,-99,35,-99,24,21,-99,33
01/01/2016,12,-99,25,-99,-99,34,-99,17,-99,56,18,31,-99,30,37,-99,32,25,-99,-99,35,29,35,-99,-99,-99,39,-99,29,36,-99,37
01/01/2016,13,-99,19,-99,-99,21,-99,15,-99,65,18,21,-99,25,31,-99,29,15,-99,-99,24,20,29,-99,-99,-99,28,-99,20,27,-99,34
01/01/2016,14,-99,17,-99,-99,13,-99,8,-99,28,11,19,-99,16,15,-99,20,13,-99,-99,14,18,12,-99,-99,-99,15,-99,13,15,-99,14
01/01/2016,15,-99,14,-99,-99,14,-99,8,-99,22,10,15,-99,11,11,-99,13,15,-99,-99,12,15,8,-99,-99,-99,14,-99,10,11,-99,9
01/01/2016,16,-99,11,-99,-99,12,-99,3,-99,49,11,10,-99,11,9,-99,10,10,-99,-99,10,10,7,-99,-99,-99,14,-99,8,10,-99,9
01/01/2016,17,-99,5,-99,-99,8,-99,1,-99,37,10,9,-99,10,8,-99,8,8,-99,-99,7,8,7,-99,-99,-99,14,-99,6,8,-99,8
01/01/2016,18,-99,3,-99,-99,8,-99,1,-99,13,21,7,-99,7,10,-99,7,7,-99,-99,2,4,7,-99,-99,-99,33,-99,3,4,-99,8
01/01/2016,19,-99,3,-99,-99,12,-99,2,-99,5,27,3,-99,3,6,-99,3,6,-99,-99,1,3,6,-99,-99,-99,15,-99,2,2,-99,7
01/01/2016,20,-99,18,-99,-99,7,-99,2,-99,6,69,7,-99,4,4,-99,5,19,-99,-99,2,25,4,-99,-99,-99,7,-99,2,3,-99,5
01/01/2016,21,-99,38,-99,-99,8,-99,2,-99,22,33,12,-99,7,3,-99,6,32,-99,-99,2,39,3,-99,-99,-99,19,-99,9,5,-99,5
01/01/2016,22,-99,22,-99,-99,28,-99,2,-99,14,18,26,-99,23,6,-99,20,18,-99,-99,2,18,3,-99,-99,-99,29,-99,21,9,-99,4
01/01/2016,23,-99,12,-99,-99,31,-99,2,-99,11,13,25,-99,26,7,-99,31,13,-99,-99,5,15,3,-99,-99,-99,35,-99,22,20,-99,8
