FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,CES,PLA,HAN,UIZ,ARA,IMP,TAX,MIN,TLI,ATI,VIF,SAG,VAL,AZC,SUR
01/01/2006,1,2.2,1.6,3.4,3.6,5.4,2.2,3.1,2.8,2.4,-99,2.0,7.0,5.0,1.6,2.4,4.7,1.7,3.1,1.9,5.4,2.7,2.4
01/01/2006,2,2.2,1.9,3.2,2.9,4.8,2.5,3.0,2.6,2.9,-99,2.2,7.5,4.1,1.4,2.7,4.4,1.8,4.2,2.5,5.7,4.0,2.2
01/01/2006,3,2.3,3.5,3.7,4.5,8.1,3.3,3.2,2.4,2.9,-99,1.4,7.2,5.0,1.4,3.1,5.6,2.0,5.2,3.8,6.1,3.8,3.5
01/01/2006,4,2.1,3.2,3.5,3.9,8.4,2.8,1.9,2.7,2.9,-99,1.7,8.9,6.9,2.5,3.7,5.3,2.4,5.1,3.8,6.2,5.3,4.0
01/01/2006,5,4.0,2.9,2.9,3.1,6.3,2.8,1.4,2.7,2.1,-99,1.9,6.8,6.5,1.7,4.1,5.7,2.4,4.4,3.2,7.4,4.9,3.7
01/01/2006,6,5.0,1.4,2.1,1.9,5.9,3.5,2.5,2.2,2.1,-99,2.0,4.9,6.3,2.1,5.2,4.9,1.5,4.4,4.1,5.4,3.5,2.5
01/01/2006,7,2.7,1.1,1.8,1.6,6.9,4.0,2.7,3.3,2.0,-99,2.8,5.3,4.1,2.7,2.9,4.7,1.2,3.8,5.0,4.4,2.5,3.7
01/01/2006,8,3.8,1.0,1.9,1.6,8.5,3.4,1.9,2.7,2.3,-99,3.4,5.6,3.2,2.8,3.8,5.6,1.2,4.4,3.4,2.9,2.2,3.7
01/01/2006,9,3.3,2.2,2.0,2.0,5.1,3.7,1.9,3.4,2.3,-99,3.4,5.0,4.1,2.7,4.0,4.1,2.2,5.2,2.3,2.4,2.4,3.5
01/01/2006,10,2.9,2.8,2.3,1.9,4.9,2.6,2.0,3.2,2.0,-99,3.2,3.9,2.5,2.7,3.4,3.8,1.9,2.3,2.0,2.4,1.9,2.3
01/01/2006,11,2.3,2.0,2.2,2.3,3.5,1.8,2.0,2.2,2.3,-99,2.2,2.5,2.1,2.3,2.6,2.9,1.4,1.6,2.0,2.2,1.6,2.0
01/01/2006,12,1.3,1.0,1.2,2.2,1.9,1.5,1.6,2.3,1.8,-99,1.2,1.5,1.9,2.4,2.0,1.5,1.3,1.0,1.6,1.9,1.1,1.6
01/01/2006,13,0.7,0.6,1.1,1.6,1.1,1.2,1.2,1.6,1.1,-99,1.2,1.2,1.7,1.8,1.4,1.1,0.9,0.5,1.4,1.6,1.1,1.1
01/01/2006,14,0.5,0.6,1.1,0.9,1.1,0.8,1.2,1.3,1.1,-99,1.1,0.9,1.4,1.4,1.1,0.8,0.5,0.4,1.6,1.0,1.0,0.8
01/01/2006,15,0.6,0.7,1.0,1.3,1.4,0.8,1.2,0.9,1.0,-99,1.4,1.0,1.3,1.5,1.0,0.6,0.5,0.3,1.9,0.9,0.8,0.6
01/01/2006,16,0.7,0.5,1.0,1.0,1.8,0.9,1.1,1.1,0.9,-99,1.7,1.1,1.2,1.9,1.2,0.6,0.4,0.3,2.0,0.5,0.7,0.6
01/01/2006,17,0.6,0.5,0.8,1.0,1.5,0.9,1.2,1.0,1.0,-99,2.1,1.4,1.1,2.4,1.2,0.6,0.4,0.2,2.0,0.4,0.6,0.7
01/01/2006,18,0.6,0.8,1.2,1.1,1.8,0.9,1.7,1.6,0.9,-99,2.2,1.6,1.3,2.9,1.1,0.6,0.6,0.4,2.1,0.6,0.8,1.1
01/01/2006,19,1.3,1.3,2.5,1.6,1.9,0.9,2.1,1.9,1.8,-99,2.2,1.5,2.1,1.9,1.6,1.5,1.0,1.1,2.5,1.5,1.8,0.9
01/01/2006,20,1.8,2.5,3.5,2.1,1.8,1.7,2.5,2.5,2.5,-99,2.3,1.8,2.3,1.9,2.1,1.4,1.7,1.6,2.2,1.7,2.4,1.4
01/01/2006,21,2.7,3.6,3.7,3.6,1.9,2.0,1.8,2.0,3.0,-99,2.5,3.5,3.3,2.2,2.7,2.3,2.3,1.8,2.4,2.5,3.0,1.4
01/01/2006,22,3.4,3.9,3.7,3.5,4.1,3.4,2.0,1.7,2.5,-99,2.4,4.1,3.7,2.8,3.4,2.6,1.5,2.1,2.4,4.0,4.5,1.3
01/01/2006,23,4.3,2.1,2.6,2.0,6.0,4.6,2.2,2.2,1.9,-99,3.7,4.0,5.0,2.6,2.9,3.1,0.4,3.2,2.9,4.6,3.6,1.7
01/01/2006,24,3.4,1.1,2.6,2.2,5.4,5.4,1.8,2.1,2.3,-99,4.2,5.5,4.5,2.8,3.0,2.4,0.7,3.0,2.5,4.3,2.4,2.5
02/01/2006,1,2.5,0.9,1.5,1.9,3.2,3.4,1.1,2.0,1.7,-99,2.2,4.7,3.7,2.8,3.0,2.2,0.8,2.6,2.0,3.1,1.8,3.7
02/01/2006,2,1.9,0.5,1.1,1.5,2.8,2.3,0.8,1.6,1.0,-99,1.6,4.0,3.2,2.6,3.2,2.2,0.6,2.0,1.7,2.8,1.3,1.9
02/01/2006,3,1.5,0.3,0.6,1.0,2.5,2.4,0.6,1.3,0.6,-99,1.7,3.0,2.8,1.9,2.6,1.9,0.5,1.7,2.0,2.0,1.0,2.2
02/01/2006,4,1.5,0.2,0.6,0.9,3.4,2.2,0.8,1.0,0.3,-99,1.2,2.0,2.3,1.8,2.7,2.4,0.3,1.1,1.7,1.9,0.8,1.0
02/01/2006,5,2.0,0.4,0.6,0.9,2.9,2.0,1.1,0.9,0.6,-99,1.4,1.8,2.4,1.8,1.7,2.0,0.3,1.0,1.6,1.6,0.6,0.8
02/01/2006,6,2.0,1.0,1.0,1.2,3.3,2.2,1.3,1.0,1.4,-99,2.4,1.7,2.1,1.9,2.3,1.7,0.6,1.4,2.2,1.9,0.9,0.8
02/01/2006,7,2.4,2.7,1.4,2.6,4.2,3.7,1.5,1.7,1.8,-99,2.3,2.5,3.3,2.7,3.0,1.8,1.5,1.4,2.8,3.6,1.5,2.0
02/01/2006,8,3.0,4.2,2.5,3.8,6.7,5.1,2.8,4.0,3.5,-99,3.2,4.4,5.0,3.9,4.1,1.6,1.8,2.3,3.3,5.1,3.4,2.8
02/01/2006,9,2.7,3.4,4.0,4.3,7.3,5.6,2.8,3.6,3.8,-99,2.5,5.1,4.9,5.0,4.6,2.3,1.8,2.2,5.6,5.8,4.5,3.2
02/01/2006,10,2.3,2.8,2.2,4.5,5.4,4.2,2.7,3.8,3.9,-99,2.2,3.8,4.0,4.0,3.6,1.8,1.7,2.3,5.4,4.7,2.3,2.6
02/01/2006,11,2.1,2.4,1.7,3.1,3.7,2.7,3.1,3.4,3.2,-99,2.3,3.0,2.9,-99,3.0,-99,0.8,2.1,4.2,4.0,1.5,2.1
02/01/2006,12,1.5,1.2,1.2,1.8,3.3,1.9,2.4,2.4,1.4,-99,2.7,2.6,2.4,-99,-99,-99,0.8,1.0,2.8,1.5,1.2,1.5
02/01/2006,13,1.7,0.6,0.9,1.4,2.5,2.1,1.4,2.2,1.0,-99,-99,2.1,2.1,-99,1.9,-99,0.5,0.3,1.6,0.8,0.7,1.2
02/01/2006,14,1.4,-99,-99,1.2,1.3,1.2,1.3,1.9,1.2,-99,-99,1.1,1.9,-99,1.7,0.4,0.3,0.2,1.5,1.3,0.9,1.1
02/01/2006,15,0.9,-99,1.1,1.2,1.5,0.9,1.4,1.1,1.1,-99,-99,0.9,1.3,-99,1.4,0.3,0.3,0.2,1.6,1.0,0.8,1.0
02/01/2006,16,0.8,0.6,1.0,1.0,1.4,1.2,1.2,0.7,1.0,-99,-99,1.0,1.2,1.8,1.3,0.3,0.3,0.1,1.8,0.5,0.6,0.7
02/01/2006,17,0.7,0.4,0.8,1.1,1.6,1.4,1.2,0.7,0.7,0.7,0.5,1.0,1.1,1.5,1.3,0.3,0.2,0.2,2.0,0.7,0.5,0.8
02/01/2006,18,0.8,0.6,0.9,1.2,1.9,1.7,1.2,0.6,-99,0.4,0.7,1.2,1.2,2.0,1.4,0.5,0.4,0.2,2.0,0.5,0.8,1.2
02/01/2006,19,1.5,0.7,1.3,1.6,1.9,0.9,1.7,1.2,1.5,0.4,0.5,1.2,1.3,2.1,1.8,0.7,0.5,0.4,2.2,0.8,0.8,1.1
02/01/2006,20,1.8,1.3,1.2,1.2,2.1,1.0,1.6,1.7,1.4,0.6,0.7,1.6,1.3,2.1,1.8,0.8,0.8,0.4,1.9,0.7,1.0,1.1
02/01/2006,21,1.5,1.2,0.9,1.7,1.9,1.4,2.0,1.5,1.5,0.7,0.8,2.1,1.4,2.4,1.7,1.0,0.9,0.6,1.7,1.4,1.3,1.4
02/01/2006,22,1.2,1.0,0.7,1.5,1.7,1.8,1.6,1.4,1.0,0.8,1.1,2.8,1.8,-99,2.0,1.3,0.7,0.8,1.5,1.8,1.1,1.6
02/01/2006,23,1.1,1.0,0.7,1.4,1.7,1.5,1.4,1.1,1.1,1.7,1.2,3.1,1.8,-99,1.5,1.2,0.7,0.7,1.4,1.1,1.0,1.4
02/01/2006,24,1.0,0.5,0.7,1.3,2.3,1.2,1.2,0.9,0.6,1.3,0.9,2.6,1.9,1.0,1.3,1.0,0.4,0.4,1.1,0.8,0.9,1.1
03/01/2006,1,0.7,0.3,0.5,0.8,1.9,0.9,0.9,1.1,0.4,1.4,0.9,2.5,1.4,0.5,1.0,0.9,0.1,0.4,0.9,0.8,0.6,0.7
03/01/2006,2,0.4,0.3,0.5,-99,3.0,0.6,0.9,1.2,0.4,1.1,0.8,2.2,1.7,0.9,0.8,0.7,0.1,0.9,0.8,0.4,0.6,0.6
03/01/2006,3,0.4,0.3,0.6,0.7,2.5,0.6,1.4,0.7,0.5,1.4,1.0,1.7,1.3,0.9,0.8,0.4,0.0,0.7,0.8,0.5,0.6,0.5
03/01/2006,4,0.5,0.1,0.6,0.9,2.1,0.8,1.4,1.1,0.3,0.7,0.7,1.0,1.4,1.0,1.1,0.5,0.1,0.9,0.9,0.7,0.6,0.5
03/01/2006,5,0.7,0.1,0.5,0.6,1.3,1.1,1.0,1.0,0.3,0.8,0.7,0.9,1.7,1.5,1.3,0.7,0.1,0.9,1.1,0.9,0.6,0.6
03/01/2006,6,1.1,0.1,0.9,1.0,2.3,1.2,0.9,1.1,0.9,0.7,1.0,1.4,2.4,1.8,1.9,0.8,0.2,0.8,1.9,1.4,0.7,1.0
03/01/2006,7,1.8,1.1,1.5,2.9,5.3,1.8,1.4,1.6,1.2,1.2,2.5,2.1,3.4,4.4,2.3,1.5,1.3,1.1,3.4,3.2,1.8,1.3
03/01/2006,8,3.1,2.7,3.6,3.5,4.9,4.0,2.7,4.1,3.3,1.4,2.3,4.4,5.5,3.9,4.6,2.0,2.0,1.6,3.1,5.4,3.8,3.2
03/01/2006,9,3.8,4.0,3.0,4.4,4.3,3.4,2.1,4.8,3.6,1.8,2.7,4.5,5.1,2.8,4.9,3.4,2.6,2.1,3.6,4.8,4.5,4.2
03/01/2006,10,2.1,5.2,4.1,3.6,3.5,1.9,2.6,3.2,2.8,1.1,1.9,2.5,4.9,3.2,3.7,2.8,2.4,1.5,-99,4.2,4.4,1.9
03/01/2006,11,-99,3.2,2.8,3.0,2.8,2.4,2.9,2.3,3.6,1.6,1.6,1.9,3.8,-99,3.6,2.3,1.0,1.0,2.1,2.6,2.4,2.1
03/01/2006,12,-99,1.6,1.5,2.6,2.2,2.1,2.3,1.8,2.6,1.4,1.0,1.7,2.2,-99,2.3,1.4,0.6,0.6,1.0,2.0,1.4,1.6
03/01/2006,13,1.8,1.4,1.4,1.7,1.8,1.7,2.1,-99,2.2,0.9,1.1,1.6,1.8,2.0,1.9,0.6,0.5,0.2,1.3,1.5,1.6,1.4
03/01/2006,14,1.0,1.2,1.2,1.6,1.4,0.9,1.7,-99,1.5,0.7,0.8,1.2,1.3,1.9,1.6,0.4,0.4,0.2,1.5,1.4,1.2,1.2
03/01/2006,15,0.8,0.9,1.0,1.3,1.3,0.9,1.5,1.0,1.4,0.5,0.5,1.1,1.3,1.3,1.3,0.4,0.3,0.2,1.4,0.8,0.9,0.8
03/01/2006,16,1.4,0.7,0.8,1.0,1.3,1.0,1.1,1.1,1.0,-99,0.5,1.0,1.2,1.3,1.3,0.4,0.2,0.1,1.4,0.7,0.6,0.6
03/01/2006,17,0.8,0.5,0.7,1.0,1.6,1.8,1.2,1.2,1.2,0.7,0.5,1.1,1.2,1.0,1.4,0.4,0.2,0.1,1.5,0.7,0.5,0.6
03/01/2006,18,0.9,0.6,0.5,1.4,1.7,2.1,1.5,0.8,1.3,1.9,1.0,1.5,1.4,1.8,1.6,0.6,0.3,0.2,1.8,0.7,0.7,1.2
03/01/2006,19,1.8,1.5,1.3,2.0,2.0,2.6,2.6,1.6,2.1,0.9,1.7,2.5,1.7,3.4,2.5,1.0,0.5,0.5,2.0,1.0,1.4,1.7
03/01/2006,20,2.4,4.4,1.3,2.0,2.5,2.1,2.5,2.0,1.8,0.8,1.3,2.4,1.6,3.6,2.4,1.2,0.7,0.7,2.2,0.9,1.7,2.2
03/01/2006,21,2.2,2.0,1.8,2.1,2.4,2.1,2.0,2.0,1.2,1.0,1.5,2.5,2.4,2.9,3.4,1.2,0.4,0.8,2.2,2.2,1.8,1.9
03/01/2006,22,1.8,2.1,1.4,2.1,2.4,2.6,2.1,1.9,1.4,1.8,2.1,3.3,2.2,3.8,2.6,2.0,0.3,1.2,2.6,1.9,1.2,1.7
03/01/2006,23,1.4,2.1,1.8,1.7,2.5,1.7,1.8,1.7,1.5,2.0,2.2,2.6,2.3,3.6,2.0,2.0,0.2,2.0,2.9,2.7,1.2,1.5
03/01/2006,24,1.5,1.3,1.7,1.6,4.8,1.8,1.3,3.1,1.2,1.9,2.2,2.5,2.3,2.5,1.7,2.2,0.2,1.9,1.4,2.2,1.7,2.1
04/01/2006,1,1.6,0.6,1.1,1.2,4.4,1.4,0.9,2.8,0.9,1.6,2.4,2.5,2.0,2.7,1.5,0.9,0.1,2.2,1.6,1.5,1.2,2.2
04/01/2006,2,1.1,0.3,0.9,1.3,2.7,1.4,0.9,2.5,0.6,1.3,2.6,1.7,1.9,2.6,1.7,0.6,0.1,1.7,1.4,1.0,0.8,2.0
04/01/2006,3,1.2,0.5,0.8,1.3,2.4,0.9,0.8,1.9,0.4,0.7,1.7,1.9,2.5,1.9,2.1,0.6,0.2,0.8,1.0,2.1,0.7,1.4
04/01/2006,4,1.0,0.6,0.6,1.0,2.5,1.1,1.1,2.0,0.7,1.1,1.6,1.6,2.3,1.9,1.8,1.0,0.2,0.7,0.9,1.5,0.7,1.1
04/01/2006,5,1.2,0.5,0.5,0.9,2.7,1.3,0.8,1.6,0.8,1.2,1.1,1.7,3.0,1.4,2.1,1.1,0.2,0.7,1.0,1.3,0.7,1.2
04/01/2006,6,1.8,0.4,0.9,1.1,2.0,2.0,0.9,1.4,1.1,1.3,1.0,2.8,2.5,1.7,2.9,1.3,0.6,1.2,1.8,2.2,0.8,1.5
04/01/2006,7,2.3,1.3,1.8,2.9,3.1,2.9,1.5,3.5,2.3,1.3,2.1,4.9,4.0,1.7,2.8,2.4,1.8,1.0,2.5,3.8,1.7,2.1
04/01/2006,8,3.0,3.4,2.9,3.5,6.5,2.9,2.3,3.9,4.6,1.4,4.8,6.0,5.1,2.3,4.2,3.2,2.9,1.9,3.6,6.2,3.1,2.0
04/01/2006,9,2.6,4.2,3.3,4.8,6.3,3.7,4.1,5.5,4.5,1.8,5.7,5.3,6.1,2.8,4.6,4.3,2.8,1.7,-99,5.4,3.6,2.7
04/01/2006,10,3.4,5.5,4.5,4.3,5.2,2.9,2.9,6.2,4.0,1.2,3.6,3.5,4.7,2.6,4.6,4.0,2.3,2.2,-99,4.5,4.3,1.5
04/01/2006,11,3.4,5.2,5.2,3.0,3.8,-99,1.9,5.1,2.7,1.1,3.0,2.7,3.7,2.3,3.8,3.3,1.6,1.7,-99,2.6,3.6,1.3
04/01/2006,12,2.6,3.2,3.1,3.0,2.0,-99,-99,3.6,1.8,1.1,2.2,2.1,3.0,3.4,3.1,2.4,1.2,1.2,-99,2.6,-99,1.4
04/01/2006,13,2.0,1.5,1.8,2.7,2.1,-99,-99,2.4,2.6,0.8,1.3,1.7,2.1,3.1,2.4,1.0,0.9,0.8,-99,1.8,-99,1.6
