FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
01/01/2008,1,1.5,0.9,-99,0.9,0.4,0.8,0.4,0.9,1.5,0.7,1.1,-99,2.4,1.3,2.1,0.2,0.5,1.7
01/01/2008,2,1.5,1.5,-99,1.1,1.0,0.8,0.3,1.2,2.2,0.8,1.0,-99,2.5,2.0,2.4,0.6,0.8,1.9
01/01/2008,3,1.7,1.6,-99,1.7,2.2,0.9,0.4,1.1,2.5,1.0,1.8,-99,3.3,2.2,2.5,1.2,1.5,2.4
01/01/2008,4,1.7,1.6,-99,1.6,3.4,1.2,0.4,1.4,2.5,1.0,2.4,-99,3.4,2.4,2.0,1.6,3.1,2.8
01/01/2008,5,1.7,1.7,-99,1.2,4.0,1.0,0.5,1.1,3.0,1.1,1.9,2.5,4.4,2.9,2.1,1.2,0.9,2.6
01/01/2008,6,1.5,1.4,-99,1.4,5.4,0.8,0.3,0.8,3.3,0.8,1.7,2.7,4.0,2.9,1.3,1.2,0.8,2.6
01/01/2008,7,1.5,1.2,-99,1.0,5.1,1.4,0.3,0.8,2.5,0.8,2.1,2.3,3.5,2.4,1.1,1.0,1.0,2.7
01/01/2008,8,1.3,1.3,-99,1.0,3.2,1.0,0.3,0.8,2.9,0.8,2.9,2.6,2.9,2.0,1.1,1.1,2.3,2.3
01/01/2008,9,1.1,1.0,-99,0.8,0.1,1.3,0.1,0.4,2.3,0.2,1.6,1.4,1.3,0.6,0.9,0.2,1.7,2.3
01/01/2008,10,0.6,0.6,-99,0.4,0.0,0.2,0.0,0.3,0.7,0.1,0.3,0.8,0.9,0.5,0.7,0.0,0.1,1.7
01/01/2008,11,0.5,0.6,-99,0.3,0.1,0.1,0.0,0.3,0.6,0.0,0.1,0.7,0.5,0.4,0.5,0.0,0.0,1.0
01/01/2008,12,0.4,0.5,-99,0.2,0.0,0.0,0.0,0.4,0.5,0.0,0.2,0.6,0.5,0.4,0.5,0.0,0.0,0.8
01/01/2008,13,0.4,0.5,-99,0.2,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.7,0.5,0.4,0.5,0.0,0.0,0.8
01/01/2008,14,0.4,0.5,-99,0.2,0.2,0.0,0.0,0.4,-99,0.0,0.3,0.6,0.5,0.4,0.6,0.0,0.0,0.7
01/01/2008,15,0.6,0.5,-99,0.3,0.2,0.1,0.0,0.4,-99,0.0,0.3,0.7,0.5,0.4,0.7,0.0,0.0,0.6
01/01/2008,16,0.6,0.5,-99,0.3,0.1,0.0,0.0,0.4,0.5,0.0,0.4,0.7,0.6,0.5,0.8,0.0,0.0,0.5
01/01/2008,17,-99,0.5,-99,0.3,0.2,0.1,0.0,0.4,1.0,0.0,0.4,0.7,0.6,0.6,1.0,0.0,0.0,0.6
01/01/2008,18,0.6,0.6,-99,0.3,0.2,0.1,0.1,0.5,1.0,0.0,0.4,0.7,0.5,0.6,1.0,0.0,0.0,0.8
01/01/2008,19,0.7,0.6,-99,0.3,0.3,0.2,0.0,0.4,0.7,0.0,0.4,0.8,0.6,0.6,0.9,0.0,0.0,0.9
01/01/2008,20,0.6,0.6,-99,0.3,0.3,0.2,0.1,0.4,0.7,0.0,0.6,0.8,0.5,0.7,0.9,0.0,0.0,0.9
01/01/2008,21,0.6,1.0,-99,0.2,0.3,0.2,0.0,0.4,0.7,0.0,0.4,0.7,0.5,0.6,0.9,0.0,0.0,1.0
01/01/2008,22,0.6,0.7,-99,0.3,0.3,0.1,0.0,0.3,0.8,0.0,0.3,0.7,0.5,0.6,1.2,0.0,0.0,0.7
01/01/2008,23,0.5,0.6,-99,0.2,0.2,0.2,0.0,0.3,0.6,0.0,0.2,0.6,0.5,0.6,0.8,0.0,0.0,0.7
01/01/2008,24,0.4,0.5,-99,0.2,0.1,0.0,0.0,0.2,0.6,0.0,0.2,0.6,0.5,0.4,0.6,0.0,0.0,0.6
