FECHA,HORA,VAL,SUR,TAC,FAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,ARA,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,TAX,ACO,IZT,CHO
01/01/2009,1,2,-99,25,39,-99,2,-99,1,21,9,5,6,11,4,-99,4,27,-99,5,5,19,5,-99,1,7,-99
01/01/2009,2,2,-99,14,38,-99,2,-99,1,12,9,5,12,15,5,-99,5,29,-99,7,5,24,11,-99,1,16,-99
01/01/2009,3,4,-99,36,46,-99,2,-99,1,10,10,5,8,19,6,-99,7,30,-99,9,5,30,11,-99,1,9,-99
01/01/2009,4,8,-99,35,28,-99,2,-99,2,15,12,5,10,12,4,-99,12,24,-99,5,4,35,7,-99,1,12,-99
01/01/2009,5,5,-99,31,13,-99,2,-99,1,23,15,4,6,5,4,-99,11,18,-99,4,4,20,6,-99,1,8,-99
01/01/2009,6,1,-99,12,8,-99,2,-99,1,19,14,4,4,4,3,-99,8,12,-99,4,4,12,5,-99,1,6,-99
01/01/2009,7,0,-99,8,5,-99,2,-99,0,9,12,3,4,2,2,-99,9,9,-99,3,4,9,4,-99,0,4,-99
01/01/2009,8,0,-99,6,4,-99,2,-99,1,6,10,3,5,2,3,-99,5,6,-99,3,3,7,5,-99,0,5,-99
01/01/2009,9,4,-99,6,10,-99,3,-99,1,9,9,4,5,5,5,-99,6,11,-99,3,6,8,8,-99,1,6,-99
01/01/2009,10,10,-99,8,22,-99,7,-99,5,15,9,8,7,10,6,-99,13,21,-99,5,10,10,8,-99,1,7,-99
01/01/2009,11,15,-99,14,22,-99,13,-99,13,24,14,14,10,10,7,-99,22,26,-99,9,11,10,10,-99,5,9,-99
01/01/2009,12,13,-99,13,18,-99,13,-99,15,18,12,15,10,8,8,-99,18,15,-99,7,10,10,9,-99,6,9,-99
01/01/2009,13,7,-99,9,11,-99,10,-99,11,9,-99,14,10,5,7,-99,11,10,-99,5,9,10,9,-99,5,8,-99
01/01/2009,14,3,-99,4,6,-99,3,-99,5,5,6,8,9,5,6,-99,8,6,-99,2,7,8,8,-99,3,7,-99
01/01/2009,15,2,-99,3,6,-99,2,-99,5,4,5,6,6,4,6,-99,12,6,-99,3,4,7,7,-99,4,6,-99
01/01/2009,16,24,-99,16,21,-99,22,-99,11,23,13,17,7,4,5,-99,30,26,-99,2,8,8,6,-99,6,5,-99
01/01/2009,17,16,-99,21,23,-99,14,-99,12,19,13,17,26,15,14,-99,20,35,-99,5,25,25,17,-99,8,20,-99
01/01/2009,18,18,-99,22,29,-99,15,-99,17,22,13,21,20,18,14,-99,18,25,-99,8,18,22,17,-99,8,17,-99
01/01/2009,19,7,-99,16,17,-99,6,-99,9,14,11,12,19,22,18,-99,8,10,-99,10,17,24,21,-99,3,17,-99
01/01/2009,20,4,-99,9,10,-99,1,-99,4,7,9,6,10,16,10,-99,5,7,-99,9,8,16,10,-99,1,10,-99
01/01/2009,21,0,-99,1,7,-99,0,-99,3,1,7,4,3,10,3,-99,2,6,-99,2,2,11,4,-99,1,4,-99
01/01/2009,22,1,-99,3,7,-99,0,-99,2,3,6,4,4,6,2,-99,3,6,-99,2,2,8,4,-99,0,4,-99
01/01/2009,23,2,-99,2,5,-99,0,-99,2,2,7,4,5,3,2,-99,4,4,-99,2,5,7,5,-99,0,4,-99
01/01/2009,24,2,-99,1,-99,-99,1,-99,-99,1,-99,6,-99,-99,4,-99,4,2,-99,1,5,5,-99,-99,1,-99,-99
02/01/2009,1,1,-99,0,3,-99,0,-99,2,1,6,5,5,1,4,-99,3,2,-99,2,5,5,6,-99,0,4,-99
02/01/2009,2,0,-99,0,3,-99,1,-99,2,1,6,5,5,1,4,-99,3,1,-99,1,5,5,6,-99,1,4,-99
02/01/2009,3,0,-99,0,3,-99,1,-99,1,1,5,5,5,1,3,-99,3,1,-99,1,4,4,5,-99,0,3,-99
02/01/2009,4,0,-99,0,3,-99,1,-99,1,0,5,6,5,0,3,-99,3,1,-99,0,4,4,5,-99,0,3,-99
02/01/2009,5,0,-99,0,3,-99,1,-99,1,0,5,4,6,0,3,-99,3,1,-99,0,5,4,5,-99,0,4,-99
02/01/2009,6,1,-99,0,3,-99,1,-99,2,0,5,6,6,0,4,-99,3,1,-99,0,5,4,5,-99,0,4,-99
02/01/2009,7,1,-99,2,3,-99,1,-99,2,0,6,9,6,1,4,-99,4,1,-99,0,6,6,6,-99,0,4,-99
02/01/2009,8,3,-99,2,5,-99,3,-99,3,2,7,8,9,3,6,-99,4,2,-99,0,8,7,7,-99,0,7,-99
02/01/2009,9,6,-99,3,7,-99,8,-99,5,2,8,8,8,2,9,-99,5,2,-99,1,7,7,8,-99,0,9,-99
02/01/2009,10,2,-99,3,8,-99,7,-99,6,2,7,9,9,2,6,-99,7,2,-99,2,6,8,8,-99,0,7,-99
02/01/2009,11,2,-99,3,6,-99,7,-99,6,2,6,9,8,1,5,-99,5,5,-99,2,6,6,5,-99,1,6,-99
02/01/2009,12,1,-99,2,4,-99,5,-99,5,2,5,9,9,1,3,-99,4,5,-99,1,6,5,4,-99,1,5,-99
02/01/2009,13,0,-99,1,3,-99,3,-99,3,1,4,5,5,1,3,-99,2,3,-99,1,-99,4,4,-99,1,3,-99
02/01/2009,14,0,-99,0,3,-99,2,-99,2,0,4,4,3,1,2,-99,3,2,-99,1,-99,4,3,-99,1,3,-99
02/01/2009,15,1,-99,1,3,-99,1,-99,2,1,4,4,3,1,2,-99,2,1,-99,1,2,5,3,-99,1,3,-99
02/01/2009,16,1,-99,1,4,-99,0,-99,2,2,4,4,4,1,2,-99,3,2,-99,1,3,5,3,-99,1,3,-99
02/01/2009,17,0,-99,2,4,-99,0,-99,2,1,4,7,4,1,2,-99,3,1,-99,1,3,5,4,-99,1,3,-99
02/01/2009,18,0,-99,2,4,-99,0,-99,2,1,4,6,4,2,3,-99,2,2,-99,1,3,6,4,-99,2,4,-99
02/01/2009,19,1,-99,3,4,-99,1,-99,3,3,5,7,5,2,4,-99,2,3,-99,2,5,6,4,-99,2,4,-99
02/01/2009,20,2,-99,0,5,-99,3,-99,3,2,5,6,5,2,5,-99,3,3,-99,1,5,6,5,-99,2,4,-99
02/01/2009,21,3,-99,0,7,-99,4,-99,2,2,5,6,6,2,6,-99,3,3,-99,2,6,6,6,-99,2,5,-99
02/01/2009,22,2,-99,1,7,-99,5,-99,2,2,6,6,7,1,6,-99,5,5,-99,1,6,5,6,-99,2,6,-99
02/01/2009,23,3,-99,0,6,-99,4,-99,2,3,7,8,9,2,4,-99,9,10,-99,1,7,6,6,-99,3,5,-99
02/01/2009,24,4,-99,1,6,-99,4,-99,2,4,7,9,6,1,4,-99,10,8,-99,1,7,5,5,-99,2,4,-99
03/01/2009,1,6,-99,4,10,-99,7,-99,2,6,8,6,6,4,4,-99,6,7,-99,1,6,5,6,-99,2,5,-99
03/01/2009,2,6,-99,3,7,-99,4,-99,1,5,7,6,7,3,5,-99,6,5,-99,1,8,6,6,-99,1,6,-99
03/01/2009,3,5,-99,1,5,-99,4,-99,1,4,7,7,6,2,3,-99,5,4,-99,1,7,6,5,-99,1,4,-99
03/01/2009,4,3,-99,1,3,-99,3,-99,1,2,7,7,5,2,3,-99,5,4,-99,1,6,6,4,-99,1,4,-99
03/01/2009,5,4,-99,0,3,-99,3,-99,1,1,7,5,5,3,4,-99,4,3,-99,1,6,5,6,-99,0,4,-99
03/01/2009,6,3,-99,0,3,-99,4,-99,2,1,6,6,6,2,3,-99,4,2,-99,1,6,5,5,-99,1,4,-99
03/01/2009,7,4,-99,1,3,-99,5,-99,2,1,7,8,8,1,3,-99,6,2,-99,1,5,5,5,-99,1,4,-99
03/01/2009,8,5,-99,3,4,-99,6,-99,3,1,8,12,7,1,4,-99,5,3,-99,2,7,6,9,-99,1,5,-99
03/01/2009,9,12,-99,4,8,-99,10,-99,5,3,9,10,10,4,9,-99,6,4,-99,3,10,8,13,-99,2,7,-99
03/01/2009,10,8,-99,3,7,-99,12,-99,8,4,13,10,9,5,11,-99,8,5,-99,3,11,8,10,-99,3,12,-99
03/01/2009,11,4,-99,4,6,-99,12,-99,9,4,11,11,9,5,8,-99,7,6,-99,4,8,8,8,-99,4,10,-99
03/01/2009,12,3,-99,5,5,-99,8,-99,10,4,6,12,10,7,8,-99,6,7,-99,6,8,10,9,-99,-99,10,-99
03/01/2009,13,4,-99,4,7,-99,7,-99,7,4,5,10,9,6,8,-99,6,7,-99,6,7,10,9,-99,4,7,-99
03/01/2009,14,3,-99,4,7,-99,5,-99,5,4,4,8,7,4,7,-99,6,6,-99,4,7,8,8,-99,3,7,-99
03/01/2009,15,3,-99,3,7,-99,4,-99,5,4,4,8,7,4,6,-99,6,6,-99,2,6,7,7,-99,3,6,-99
03/01/2009,16,1,-99,3,7,-99,3,-99,5,4,4,7,6,4,4,-99,5,5,-99,1,5,7,6,-99,3,6,-99
03/01/2009,17,2,-99,2,6,-99,3,-99,4,3,4,6,6,3,4,-99,5,5,-99,1,5,7,5,-99,3,5,-99
03/01/2009,18,1,-99,2,7,-99,2,-99,4,2,4,7,5,3,4,-99,5,5,-99,1,6,6,4,-99,2,4,-99
03/01/2009,19,1,-99,0,8,-99,2,-99,3,2,4,7,5,3,3,-99,3,4,-99,1,8,6,5,-99,2,4,-99
03/01/2009,20,1,-99,1,5,-99,1,-99,2,1,5,6,5,2,3,-99,2,3,-99,1,7,6,4,-99,-99,4,-99
03/01/2009,21,1,-99,0,7,-99,2,-99,2,2,5,5,4,2,3,-99,3,4,-99,1,6,6,4,-99,-99,4,-99
03/01/2009,22,1,-99,0,6,-99,2,-99,1,7,6,5,5,1,3,-99,3,3,-99,1,6,5,4,-99,-99,4,-99
03/01/2009,23,1,-99,1,6,-99,2,-99,2,2,6,6,5,1,3,-99,5,2,-99,1,6,5,4,-99,2,4,-99
03/01/2009,24,1,-99,1,6,-99,2,-99,1,2,5,5,5,1,3,-99,4,3,-99,1,5,5,4,-99,2,5,-99
04/01/2009,1,1,-99,1,5,-99,1,-99,1,1,6,5,4,1,2,-99,3,2,-99,1,4,5,4,-99,2,3,-99
04/01/2009,2,0,-99,0,4,-99,1,-99,1,2,5,5,4,1,2,-99,3,2,-99,0,4,5,4,-99,1,3,-99
04/01/2009,3,1,-99,0,3,-99,1,-99,1,1,5,4,4,1,2,-99,3,2,-99,0,4,5,4,-99,1,3,-99
04/01/2009,4,0,-99,0,3,-99,1,-99,1,1,5,4,4,1,2,-99,4,2,-99,1,4,5,3,-99,0,3,-99
04/01/2009,5,0,-99,0,3,-99,1,-99,1,0,5,4,4,1,2,-99,3,2,-99,0,4,5,4,-99,1,3,-99
04/01/2009,6,0,-99,0,3,-99,1,-99,1,0,5,4,4,2,2,-99,2,2,-99,0,4,4,4,-99,0,3,-99
04/01/2009,7,1,-99,0,3,-99,2,-99,1,1,6,4,6,1,2,-99,3,2,-99,0,4,5,4,-99,0,3,-99
04/01/2009,8,1,-99,1,3,-99,3,-99,1,2,6,5,7,2,3,-99,3,2,-99,0,5,5,4,-99,1,4,-99
04/01/2009,9,5,-99,2,9,-99,5,-99,2,5,7,5,8,3,4,-99,4,10,-99,1,6,6,6,-99,1,5,-99
04/01/2009,10,5,-99,3,10,-99,5,-99,5,4,8,7,7,3,5,-99,7,-99,-99,2,6,8,6,-99,1,7,-99
04/01/2009,11,5,-99,4,8,-99,6,-99,8,4,9,9,7,3,5,-99,5,7,-99,3,6,8,7,-99,2,7,-99
04/01/2009,12,5,-99,5,9,-99,6,-99,8,5,7,8,7,5,6,-99,6,9,-99,4,6,11,6,-99,2,6,-99
04/01/2009,13,4,-99,6,10,-99,5,-99,6,6,5,7,7,4,4,-99,6,7,-99,3,6,11,5,-99,2,5,-99
04/01/2009,14,2,-99,3,8,-99,4,-99,4,3,4,6,5,4,4,-99,6,6,-99,2,4,7,6,-99,2,5,-99
04/01/2009,15,0,-99,2,6,-99,2,-99,4,1,4,4,5,3,4,-99,4,4,-99,2,4,7,5,-99,1,4,-99
04/01/2009,16,0,-99,1,5,-99,0,-99,2,1,-99,3,4,3,3,-99,3,-99,-99,1,3,6,5,-99,1,4,-99
04/01/2009,17,0,-99,0,4,-99,1,-99,2,1,4,4,4,2,3,-99,2,0,-99,1,3,6,4,-99,1,3,-99
04/01/2009,18,0,-99,0,5,-99,1,-99,4,0,-99,6,4,2,3,-99,2,0,-99,1,3,6,4,-99,2,4,-99
04/01/2009,19,0,-99,0,6,-99,1,-99,3,1,4,5,4,1,3,-99,2,1,-99,1,4,5,4,-99,2,3,-99
04/01/2009,20,1,-99,0,6,-99,0,-99,3,1,4,5,4,1,3,-99,2,0,-99,1,3,6,4,-99,1,3,-99
04/01/2009,21,1,-99,0,6,-99,1,-99,2,1,4,5,4,1,3,-99,3,0,-99,1,3,6,4,-99,1,3,-99
04/01/2009,22,2,-99,0,4,-99,2,-99,2,1,4,5,6,1,2,-99,3,0,-99,1,5,6,4,-99,2,4,-99
04/01/2009,23,1,-99,0,4,-99,1,-99,2,1,4,5,6,1,4,-99,3,0,-99,1,5,6,-99,-99,2,8,-99
04/01/2009,24,2,-99,0,4,-99,2,-99,2,1,5,5,5,0,3,-99,3,3,-99,1,5,5,6,-99,2,6,-99
05/01/2009,1,3,-99,0,4,-99,1,-99,3,3,5,6,7,1,2,-99,2,6,-99,1,5,4,6,-99,1,6,-99
05/01/2009,2,5,-99,0,3,-99,1,-99,2,2,6,6,6,1,2,-99,6,5,-99,1,4,4,6,-99,1,6,-99
05/01/2009,3,4,-99,0,3,-99,1,-99,1,0,-99,4,5,0,2,-99,5,1,-99,1,4,4,4,-99,1,5,-99
05/01/2009,4,2,-99,0,3,-99,2,-99,1,0,-99,4,5,0,2,-99,4,0,-99,1,3,4,4,-99,0,5,-99
05/01/2009,5,2,-99,0,2,-99,1,-99,1,0,6,4,5,0,2,-99,3,0,-99,0,3,5,4,-99,0,5,-99
05/01/2009,6,4,-99,0,2,-99,2,-99,2,0,6,6,5,0,3,-99,3,0,-99,1,4,5,6,-99,0,6,-99
05/01/2009,7,7,-99,1,3,-99,3,-99,3,0,6,10,6,1,3,-99,4,0,-99,1,4,6,7,-99,1,7,-99
05/01/2009,8,7,-99,1,5,-99,6,-99,3,2,7,9,8,1,5,-99,5,-99,-99,2,5,7,8,-99,1,10,-99
05/01/2009,9,2,-99,2,7,-99,11,-99,6,5,8,16,11,3,9,-99,6,0,-99,3,7,7,10,-99,2,10,-99
05/01/2009,10,-99,-99,4,9,-99,11,-99,8,4,8,16,10,5,10,-99,8,2,-99,3,9,9,11,-99,2,11,-99
05/01/2009,11,-99,-99,3,6,-99,9,-99,8,3,6,15,8,4,6,-99,7,1,-99,2,6,8,7,-99,2,10,-99
05/01/2009,12,-99,-99,2,5,-99,6,-99,2,2,5,11,5,4,4,-99,6,0,-99,1,4,8,5,-99,1,5,-99
05/01/2009,13,-99,-99,1,6,-99,3,-99,1,2,4,7,4,2,2,-99,3,0,-99,-99,3,6,3,-99,2,5,-99
05/01/2009,14,0,-99,0,4,-99,2,-99,1,1,3,5,3,0,4,-99,2,0,-99,0,2,4,3,-99,1,3,-99
05/01/2009,15,0,-99,0,3,-99,1,-99,2,0,3,8,3,1,3,-99,2,0,-99,1,-99,4,3,-99,1,3,-99
05/01/2009,16,0,-99,0,3,-99,0,-99,2,0,3,8,-99,1,3,-99,1,-99,-99,1,-99,4,3,-99,1,3,-99
05/01/2009,17,0,-99,0,3,-99,0,-99,2,0,3,6,-99,0,4,-99,1,-99,-99,0,-99,5,3,-99,1,3,-99
05/01/2009,18,0,-99,0,3,-99,0,-99,2,0,3,5,3,1,3,-99,1,-99,-99,1,-99,4,4,-99,1,3,-99
05/01/2009,19,0,-99,0,3,-99,0,-99,2,0,3,7,3,1,2,-99,1,-99,-99,1,-99,4,4,-99,1,3,-99
05/01/2009,20,1,-99,0,3,-99,1,-99,3,0,3,7,4,1,3,-99,2,-99,-99,1,-99,5,4,-99,1,3,-99
05/01/2009,21,0,-99,0,3,-99,1,-99,3,0,4,7,4,2,5,-99,2,-99,-99,1,-99,5,4,-99,1,4,-99
05/01/2009,22,2,-99,0,4,-99,4,-99,3,0,3,6,4,2,4,-99,1,-99,-99,1,-99,6,4,-99,2,3,-99
05/01/2009,23,3,-99,1,6,-99,3,-99,2,1,5,6,6,1,3,-99,3,-99,-99,1,-99,5,3,-99,2,6,-99
05/01/2009,24,2,-99,1,5,-99,3,-99,2,2,5,10,7,1,6,-99,3,-99,-99,0,-99,6,5,-99,2,5,-99
06/01/2009,1,1,-99,2,5,-99,4,-99,2,2,6,10,8,1,5,-99,2,-99,-99,-99,-99,5,4,-99,2,7,-99
06/01/2009,2,3,-99,1,4,-99,4,-99,2,3,8,10,9,0,4,-99,4,-99,-99,1,-99,5,5,-99,1,5,-99
06/01/2009,3,0,-99,1,3,-99,3,-99,2,3,6,7,6,0,3,-99,4,-99,-99,1,6,4,4,-99,-99,6,-99
06/01/2009,4,1,-99,1,4,-99,3,-99,2,2,4,6,7,0,3,-99,3,-99,-99,1,5,4,5,-99,-99,6,-99
06/01/2009,5,1,-99,1,4,-99,2,-99,2,1,5,7,8,0,3,-99,4,-99,-99,1,6,4,6,-99,0,8,-99
06/01/2009,6,1,-99,1,6,-99,1,-99,3,1,5,8,8,0,4,-99,5,-99,-99,0,8,4,5,-99,1,8,-99
06/01/2009,7,4,-99,2,12,-99,2,-99,4,2,6,10,11,0,5,-99,4,-99,-99,0,10,5,7,-99,0,8,-99
06/01/2009,8,6,-99,3,13,-99,2,-99,4,5,9,13,14,0,7,-99,7,-99,-99,0,14,7,7,-99,1,11,-99
