FECHA,HORA,ACO,ATI,CAM,CHO,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2014,1,2,4,14,5,-99,11,18,2,-99,20,-99,-99,16,-99,35,-99,43,6,22,15,13,10,57,4,19,-99,56,28
01/01/2014,2,3,3,9,5,-99,10,20,2,-99,-99,-99,-99,16,-99,40,-99,38,-99,19,23,10,8,53,4,25,-99,59,31
01/01/2014,3,4,3,5,4,-99,8,21,2,-99,33,-99,-99,20,-99,25,-99,19,4,13,32,8,9,37,4,26,33,31,33
01/01/2014,4,2,3,11,3,-99,6,18,2,-99,24,-99,-99,21,-99,21,-99,15,4,12,28,6,18,30,5,25,20,25,34
01/01/2014,5,2,6,17,3,-99,4,14,3,-99,19,-99,-99,18,-99,12,-99,11,3,12,22,5,7,28,4,14,17,22,21
01/01/2014,6,2,6,13,3,-99,4,12,3,14,15,-99,-99,16,-99,5,14,11,2,8,16,4,16,25,3,9,10,20,14
01/01/2014,7,2,3,13,3,-99,3,11,3,11,10,-99,-99,8,-99,5,13,10,2,6,13,5,20,22,3,5,6,18,12
01/01/2014,8,2,4,10,2,-99,3,9,3,6,8,-99,-99,6,-99,4,10,5,3,7,10,4,16,17,4,6,8,12,11
01/01/2014,9,2,3,6,3,-99,3,8,3,6,7,-99,-99,6,-99,4,8,5,4,10,9,4,10,13,5,7,10,11,9
01/01/2014,10,4,3,6,3,-99,4,12,4,7,7,-99,-99,6,-99,4,7,8,4,13,7,4,6,10,6,6,11,11,10
01/01/2014,11,-99,3,6,4,-99,4,12,5,6,8,-99,-99,6,-99,4,6,8,4,13,6,4,6,8,6,5,7,10,12
01/01/2014,12,-99,4,4,4,-99,4,10,6,4,6,-99,-99,5,-99,4,6,5,5,8,5,4,7,7,5,4,6,7,8
01/01/2014,13,3,4,3,3,-99,4,7,5,3,5,-99,-99,4,-99,3,5,3,5,5,5,4,5,5,5,4,5,5,5
01/01/2014,14,2,3,2,2,-99,4,5,3,2,4,-99,-99,3,-99,2,4,2,4,4,4,3,3,3,5,3,4,4,3
01/01/2014,15,2,2,1,3,-99,4,5,3,1,3,-99,-99,2,-99,1,4,1,3,3,3,3,3,3,5,2,3,4,2
01/01/2014,16,2,3,1,2,-99,3,4,2,1,3,-99,-99,2,-99,1,3,1,3,2,2,2,4,3,4,2,2,4,2
01/01/2014,17,2,2,1,2,-99,2,4,2,1,2,-99,-99,1,-99,1,3,0,3,2,2,2,4,3,3,2,3,4,2
01/01/2014,18,2,2,1,2,-99,2,52,2,1,3,-99,-99,2,-99,1,2,1,2,3,2,2,4,3,3,1,3,4,2
01/01/2014,19,2,2,1,2,-99,2,131,2,1,3,-99,-99,2,-99,1,2,1,2,3,2,2,5,52,3,1,3,4,2
01/01/2014,20,2,13,2,2,-99,2,67,3,1,3,-99,-99,2,-99,1,2,1,2,4,3,2,29,106,3,2,3,31,2
01/01/2014,21,2,57,49,2,-99,2,35,17,1,4,-99,-99,2,-99,2,2,2,2,4,3,3,111,96,3,2,3,7,2
