FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
01/01/2015,1,21,58,30,-99,-99,52,-99,-99,51,22,49,48,-99,33,-99,-99,49,60,33,29,41,28,37,31,62,48,38,29,21,55,32,29,38
01/01/2015,2,21,58,35,-99,-99,44,-99,-99,56,20,47,44,-99,31,27,-99,42,56,28,28,46,29,33,28,52,32,32,28,23,41,28,28,34
01/01/2015,3,21,52,33,-99,-99,44,-99,-99,45,18,42,40,-99,29,25,-99,33,52,26,29,48,27,35,27,38,36,34,27,15,28,29,27,29
01/01/2015,4,18,40,32,-99,-99,41,-99,-99,21,16,37,35,-99,28,25,-99,-99,41,19,28,46,27,32,25,26,33,33,28,16,27,28,26,26
01/01/2015,5,16,41,27,-99,-99,34,-99,-99,44,18,35,27,-99,27,23,-99,29,36,18,26,41,23,31,23,28,30,32,27,11,26,28,26,24
01/01/2015,6,12,36,21,-99,-99,29,-99,-99,23,16,29,25,-99,27,18,-99,30,33,15,26,36,22,33,22,30,25,30,26,13,29,28,17,22
01/01/2015,7,12,16,19,-99,-99,28,-99,-99,10,16,26,25,-99,25,16,-99,29,31,12,24,33,21,24,20,30,24,29,23,12,26,25,16,20
01/01/2015,8,10,21,24,-99,-99,26,-99,-99,15,16,24,25,-99,28,13,-99,29,31,13,21,28,19,21,21,26,19,27,23,9,24,25,16,21
01/01/2015,9,9,29,29,-99,-99,31,-99,-99,25,17,28,38,-99,33,20,-99,41,39,14,28,37,25,23,29,33,18,35,30,15,29,32,20,32
01/01/2015,10,10,28,42,-99,-99,48,-99,-99,18,22,52,51,-99,47,32,-99,49,50,24,35,42,28,18,37,41,25,48,40,28,40,43,27,43
01/01/2015,11,13,29,38,-99,-99,33,-99,-99,19,35,55,43,-99,37,25,-99,51,48,15,29,36,30,24,32,29,15,55,42,37,28,37,34,34
01/01/2015,12,8,25,37,-99,-99,34,-99,-99,19,31,43,33,-99,26,16,-99,39,30,4,9,28,20,20,25,25,7,35,49,31,6,16,33,21
01/01/2015,13,4,16,20,-99,-99,18,-99,-99,25,24,24,17,-99,13,-99,-99,17,20,3,6,22,13,25,10,10,5,20,33,-99,5,7,19,15
01/01/2015,14,4,4,11,-99,-99,10,-99,-99,24,10,23,9,-99,9,7,-99,10,14,3,6,10,8,20,7,7,4,21,18,7,5,6,10,9
01/01/2015,15,4,4,16,-99,-99,8,-99,-99,17,14,19,9,-99,10,5,-99,12,9,3,6,7,10,10,8,6,3,17,15,9,4,5,11,10
01/01/2015,16,4,5,14,-99,-99,8,-99,-99,11,15,14,9,-99,9,6,-99,10,9,3,7,7,12,6,8,6,4,20,11,8,3,5,10,10
01/01/2015,17,4,5,14,-99,-99,13,-99,-99,11,13,16,10,-99,10,6,-99,12,10,4,7,7,14,6,9,6,4,18,11,9,4,6,11,10
01/01/2015,18,7,5,16,-99,-99,11,-99,-99,11,24,20,12,-99,13,9,-99,20,14,6,11,8,19,8,15,10,4,13,13,9,6,9,16,14
01/01/2015,19,11,6,31,-99,-99,13,-99,-99,21,35,36,21,-99,21,14,-99,27,26,12,23,16,25,25,28,15,4,20,16,8,12,17,22,20
01/01/2015,20,19,6,40,-99,-99,22,-99,-99,24,30,41,29,-99,34,23,-99,43,38,12,26,18,30,24,39,27,15,32,24,10,21,29,24,34
01/01/2015,21,29,6,39,-99,-99,26,-99,-99,30,33,42,36,-99,38,28,-99,43,38,9,33,20,34,20,43,35,20,43,28,10,26,35,29,38
01/01/2015,22,29,5,27,-99,-99,31,-99,-99,22,42,36,37,-99,33,34,-99,41,34,16,24,23,37,19,43,28,19,43,33,7,16,31,33,39
01/01/2015,23,29,5,32,-99,-99,29,-99,-99,24,33,33,36,-99,37,34,-99,44,33,21,30,22,38,15,40,29,19,40,42,7,23,33,32,36
01/01/2015,24,22,5,28,-99,-99,28,-99,-99,16,28,27,34,-99,36,28,-99,41,32,23,24,32,34,12,43,25,22,36,39,7,23,29,31,34
02/01/2015,1,20,-99,22,-99,-99,27,-99,-99,9,24,25,32,-99,34,25,-99,38,30,14,18,29,30,7,37,25,17,29,37,5,16,26,29,33
02/01/2015,2,17,-99,19,-99,-99,25,-99,-99,9,21,20,30,-99,33,25,-99,37,30,16,15,29,27,6,34,22,11,26,35,9,14,25,29,29
02/01/2015,3,15,-99,17,-99,-99,23,-99,-99,6,18,22,30,-99,29,25,-99,37,29,16,18,30,24,5,30,24,10,24,34,10,14,22,26,29
02/01/2015,4,13,5,18,-99,-99,23,-99,-99,6,15,20,29,-99,28,23,-99,35,26,15,17,28,20,6,25,23,6,22,30,6,13,19,20,28
02/01/2015,5,12,8,19,-99,-99,25,-99,-99,7,14,21,27,-99,26,18,-99,32,28,14,21,26,20,13,26,23,10,24,27,5,12,23,18,24
02/01/2015,6,13,7,21,-99,-99,23,-99,-99,9,12,19,26,-99,26,21,-99,32,32,15,24,21,19,22,23,22,17,25,26,5,18,26,20,30
02/01/2015,7,12,10,23,-99,-99,22,-99,-99,17,16,20,26,-99,32,23,-99,33,30,17,23,21,21,27,23,22,18,26,25,6,20,27,18,32
02/01/2015,8,12,11,25,-99,-99,23,-99,-99,23,15,23,27,-99,29,24,-99,35,30,14,21,24,25,31,29,22,20,29,27,-99,19,31,18,40
