FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,MPA,PED,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL,,,,
01/01/2016,1,124,71,96,100,127,81,99,212,116,88,-99,113,96,160,-99,-99,216,-99,195,104,192,-99,511,187,,,,
01/01/2016,2,167,116,159,107,184,141,157,107,161,125,-99,184,143,157,-99,-99,238,-99,179,168,279,-99,257,308,,,,
01/01/2016,3,147,106,74,136,220,218,147,106,164,140,-99,235,174,126,-99,-99,184,-99,236,291,178,-99,180,329,,,,
01/01/2016,4,139,101,117,137,238,96,127,102,168,171,-99,231,212,148,-99,-99,201,-99,144,242,186,-99,153,258,,,,
01/01/2016,5,116,103,215,171,239,97,91,145,155,176,-99,342,149,170,-99,-99,154,-99,103,229,148,-99,175,230,,,,
01/01/2016,6,123,89,144,161,212,142,128,94,127,147,-99,171,166,177,-99,-99,177,-99,151,192,142,-99,172,211,,,,
01/01/2016,7,-99,99,137,149,163,139,105,61,87,157,-99,120,156,145,-99,-99,182,-99,127,194,185,-99,117,210,,,,
01/01/2016,8,108,106,111,140,188,159,70,66,104,144,-99,120,168,123,-99,-99,179,-99,150,229,178,-99,116,210,,,,
01/01/2016,9,74,123,159,146,203,159,55,103,113,145,-99,145,184,145,-99,-99,187,-99,194,244,177,-99,128,211,,,,
01/01/2016,10,70,132,194,170,213,162,75,101,156,179,-99,150,195,156,-99,-99,216,-99,198,267,166,-99,131,243,,,,
01/01/2016,11,64,139,184,188,223,152,114,88,181,193,-99,154,231,172,-99,-99,170,-99,174,224,178,-99,128,244,,,,
01/01/2016,12,65,140,169,194,216,142,77,108,172,196,-99,173,240,172,-99,-99,147,-99,153,243,152,-99,128,218,,,,
01/01/2016,13,63,132,135,178,122,96,51,102,122,132,-99,153,224,107,-99,-99,159,-99,61,164,141,-99,108,221,,,,
01/01/2016,14,56,123,35,132,96,36,62,46,26,137,-99,102,141,79,-99,-99,84,-99,69,90,56,-99,32,110,,,,
01/01/2016,15,57,106,49,100,114,86,62,49,68,120,-99,65,78,105,-99,-99,68,-99,77,111,64,-99,72,63,,,,
01/01/2016,16,55,96,59,70,103,40,80,93,68,54,-99,57,54,76,-99,-99,47,-99,32,96,57,-99,92,64,,,,
01/01/2016,17,61,51,78,55,67,37,89,69,85,68,-99,62,79,59,-99,-99,65,-99,11,109,87,-99,110,76,,,,
01/01/2016,18,62,16,125,58,77,28,79,104,151,67,-99,66,104,62,-99,-99,77,-99,26,105,95,-99,139,80,,,,
01/01/2016,19,65,24,115,33,110,48,96,57,142,32,-99,33,27,70,-99,-99,66,-99,37,124,71,-99,89,148,,,,
01/01/2016,20,41,57,64,63,81,46,105,41,60,67,-99,38,48,65,-99,-99,82,-99,45,73,43,-99,70,72,,,,
01/01/2016,21,35,72,44,52,53,45,78,40,33,53,-99,70,101,53,-99,-99,71,-99,126,43,32,-99,46,65,,,,
01/01/2016,22,34,55,34,52,41,115,49,32,32,46,-99,58,66,52,-99,-99,50,-99,71,57,32,-99,33,32,,,,
01/01/2016,23,33,40,35,-99,56,68,51,29,27,42,-99,32,65,56,-99,-99,47,-99,43,47,24,-99,22,69,,,,
01/01/2016,24,31,-99,26,-99,44,34,40,22,28,39,-99,36,48,43,-99,-99,52,-99,26,52,19,-99,15,62,,,,
02/01/2016,1,26,-99,25,-99,52,21,48,26,23,44,-99,46,62,41,-99,-99,55,-99,32,55,21,-99,14,38,,,,
02/01/2016,2,29,-99,33,-99,58,6,53,22,25,43,-99,44,59,41,-99,-99,41,-99,11,50,15,-99,-99,31,,,,
02/01/2016,3,25,-99,37,-99,52,7,48,24,33,39,-99,32,36,41,-99,-99,42,-99,20,41,5,-99,-99,28,,,,
02/01/2016,4,25,-99,13,-99,45,-99,50,19,24,31,-99,32,37,43,-99,-99,38,-99,15,34,6,-99,-99,19,,,,
02/01/2016,5,28,-99,18,-99,46,18,44,15,18,24,-99,15,27,37,-99,-99,36,-99,1,36,2,-99,-99,39,,,,
02/01/2016,6,26,-99,25,-99,35,23,54,18,17,26,-99,23,20,29,-99,-99,42,-99,20,46,7,-99,15,30,,,,
02/01/2016,7,27,-99,16,-99,24,39,46,38,28,25,-99,19,48,29,-99,-99,39,-99,31,44,17,-99,29,42,,,,
02/01/2016,8,35,-99,30,-99,35,102,44,64,23,33,-99,20,19,32,-99,-99,45,-99,57,41,24,-99,29,61,,,,
02/01/2016,9,41,-99,37,-99,55,83,39,49,32,40,-99,31,53,35,-99,-99,72,-99,69,55,38,-99,38,66,,,,
02/01/2016,10,30,-99,48,-99,73,104,44,51,36,50,-99,37,39,48,-99,-99,68,-99,69,70,41,-99,49,71,,,,
02/01/2016,11,19,-99,50,-99,57,77,44,50,49,58,-99,41,65,58,-99,-99,54,-99,47,72,57,-99,67,69,,,,
02/01/2016,12,33,-99,55,-99,69,71,19,67,43,65,-99,48,78,56,-99,-99,76,-99,57,76,57,-99,61,66,,,,
02/01/2016,13,35,-99,53,-99,55,34,42,74,29,72,-99,49,56,42,-99,-99,63,-99,40,60,22,-99,69,64,,,,
02/01/2016,14,26,-99,13,-99,46,16,43,30,10,51,-99,39,30,40,-99,-99,46,-99,2,54,19,-99,64,52,,,,
02/01/2016,15,18,-99,8,-99,46,30,18,38,21,21,-99,18,67,38,-99,-99,28,-99,31,41,-99,-99,38,52,,,,
02/01/2016,16,32,-99,37,-99,44,42,9,47,21,43,-99,30,16,32,-99,-99,33,-99,25,51,37,-99,41,54,,,,
02/01/2016,17,31,-99,40,-99,41,40,14,79,31,28,-99,27,-99,25,-99,-99,38,-99,39,64,36,-99,27,47,,,,
02/01/2016,18,55,-99,57,-99,37,40,23,96,40,34,-99,34,28,41,-99,-99,52,-99,40,53,70,-99,48,57,,,,
02/01/2016,19,59,-99,81,-99,41,39,36,81,62,29,-99,37,71,30,-99,-99,64,-99,29,64,74,-99,110,60,,,,
02/01/2016,20,57,-99,77,-99,35,50,41,128,37,37,-99,31,56,36,-99,-99,77,-99,27,46,69,-99,72,61,,,,
02/01/2016,21,59,-99,68,-99,43,47,44,53,42,37,-99,30,49,27,-99,-99,69,-99,34,38,85,-99,126,59,,,,
02/01/2016,22,49,-99,47,-99,54,31,17,32,45,20,-99,28,34,17,-99,-99,48,-99,52,68,46,-99,58,72,,,,
02/01/2016,23,52,-99,37,-99,45,26,5,33,39,44,-99,23,81,22,-99,-99,71,-99,53,52,48,-99,44,66,,,,
02/01/2016,24,55,-99,28,43,53,21,17,37,33,45,-99,40,50,42,-99,-99,56,-99,49,37,42,-99,55,72,,,,
03/01/2016,1,52,26,24,43,62,22,18,46,34,41,-99,45,70,35,-99,-99,64,-99,39,60,48,-99,46,78,,,,
03/01/2016,2,44,26,24,37,40,17,29,51,35,40,-99,44,57,35,-99,-99,55,-99,46,53,47,-99,38,65,,,,
03/01/2016,3,40,34,17,40,45,20,12,43,23,38,-99,40,53,32,-99,-99,66,-99,30,56,52,-99,48,60,,,,
03/01/2016,4,37,39,22,34,46,30,20,53,20,34,-99,33,44,31,-99,-99,57,-99,26,48,52,-99,63,60,,,,
03/01/2016,5,33,38,20,26,26,29,8,53,21,36,-99,37,52,34,-99,-99,80,-99,21,54,48,-99,77,64,,,,
03/01/2016,6,37,31,23,36,22,38,6,54,26,48,-99,43,60,34,-99,-99,80,-99,27,62,59,-99,73,72,,,,
03/01/2016,7,40,32,23,51,40,52,10,64,25,47,-99,37,60,33,-99,-99,63,-99,22,85,55,-99,35,76,,,,
03/01/2016,8,43,32,30,48,65,65,20,120,29,45,-99,35,50,54,-99,-99,67,-99,30,102,84,-99,63,100,,,,
03/01/2016,9,51,44,42,51,69,136,25,74,44,52,-99,38,60,36,-99,-99,98,-99,81,58,82,-99,67,105,,,,
03/01/2016,10,49,52,39,62,59,92,21,57,39,64,-99,40,77,44,-99,-99,81,-99,60,64,54,-99,78,102,,,,
03/01/2016,11,35,55,35,65,55,84,53,52,26,54,-99,49,97,53,-99,-99,57,-99,62,61,28,-99,73,98,,,,
03/01/2016,12,21,64,18,67,56,49,52,10,21,50,-99,70,83,51,-99,-99,80,-99,50,40,18,-99,25,85,,,,
03/01/2016,13,24,61,10,76,51,20,56,6,3,42,-99,43,73,48,-99,-99,59,-99,28,25,13,-99,21,59,,,,
03/01/2016,14,21,74,6,67,62,31,54,40,15,39,-99,39,80,55,-99,-99,60,-99,25,42,3,-99,22,78,,,,
03/01/2016,15,34,62,4,58,66,35,40,40,23,46,-99,34,46,52,-99,-99,52,-99,52,39,29,-99,48,60,,,,
03/01/2016,16,34,69,69,56,43,77,24,48,18,45,-99,34,90,53,-99,-99,50,-99,51,56,43,-99,65,57,,,,
03/01/2016,17,43,70,80,58,62,55,40,31,74,58,-99,38,33,48,-99,-99,75,-99,42,55,30,-99,28,59,,,,
03/01/2016,18,48,54,38,45,51,46,41,15,38,40,-99,44,42,45,-99,-99,59,-99,61,55,22,-99,56,62,,,,
03/01/2016,19,37,42,27,37,42,45,48,63,27,31,-99,39,82,32,-99,-99,69,-99,11,28,25,-99,41,47,,,,
03/01/2016,20,35,36,30,30,42,42,36,53,28,30,-99,30,21,27,-99,-99,81,-99,48,48,43,-99,42,54,,,,
03/01/2016,21,34,40,47,35,36,41,25,72,29,36,-99,28,54,30,-99,-99,53,-99,49,59,42,-99,56,56,,,,
03/01/2016,22,31,33,38,35,39,66,33,64,28,33,-99,24,-99,30,-99,-99,66,-99,40,57,39,-99,79,52,,,,
03/01/2016,23,26,40,29,32,40,37,27,33,21,29,-99,29,-99,29,-99,-99,50,-99,23,36,31,-99,55,48,,,,
03/01/2016,24,23,32,20,32,18,31,28,27,21,30,-99,30,-99,29,-99,-99,51,-99,16,39,48,-99,43,48,,,,
04/01/2016,1,35,35,22,25,29,35,32,48,20,31,-99,34,-99,25,-99,-99,35,-99,33,39,20,-99,40,52,,,,
04/01/2016,2,28,28,18,22,30,18,18,46,13,25,-99,25,-99,28,-99,-99,44,-99,23,29,16,-99,37,42,,,,
04/01/2016,3,33,31,20,26,30,21,32,33,9,26,-99,33,-99,24,-99,-99,60,-99,20,29,39,-99,35,48,,,,
04/01/2016,4,45,28,26,23,42,27,28,15,9,26,-99,27,-99,31,-99,-99,60,-99,28,40,36,-99,52,58,,,,
04/01/2016,5,44,28,9,34,34,45,23,60,13,36,-99,33,-99,27,-99,-99,74,-99,22,55,78,-99,54,47,,,,
04/01/2016,6,38,28,34,40,52,61,30,47,21,59,-99,136,-99,33,-99,-99,86,-99,33,74,70,-99,54,79,,,,
04/01/2016,7,30,34,64,81,68,59,27,44,27,94,-99,161,-99,80,-99,-99,84,-99,23,91,85,-99,56,98,,,,
04/01/2016,8,38,38,56,116,102,108,30,44,54,104,-99,130,-99,52,-99,-99,84,-99,71,119,74,-99,72,107,,,,
04/01/2016,9,53,52,63,119,115,122,37,70,83,96,-99,111,-99,57,-99,-99,101,-99,95,125,76,-99,60,117,,,,
04/01/2016,10,62,97,91,125,129,142,44,77,69,115,-99,112,-99,88,-99,-99,85,-99,111,110,90,-99,77,123,,,,
04/01/2016,11,34,128,99,145,139,143,63,117,67,134,-99,111,-99,106,-99,-99,141,-99,109,144,117,-99,74,145,,,,
04/01/2016,12,42,98,108,128,112,144,62,127,79,117,-99,90,-99,96,-99,-99,98,-99,98,148,123,-99,88,117,,,,
04/01/2016,13,45,75,123,108,100,69,68,129,108,93,-99,88,-99,103,-99,-99,69,-99,91,145,109,-99,109,86,,,,
04/01/2016,14,59,60,115,52,96,101,48,28,157,66,-99,61,-99,83,-99,-99,94,-99,85,179,102,-99,117,72,,,,
04/01/2016,15,63,25,111,111,94,-99,81,31,112,107,-99,81,-99,110,-99,-99,109,-99,1,158,72,-99,35,88,,,,
04/01/2016,16,47,72,82,88,78,-99,75,75,83,75,-99,60,-99,83,-99,-99,111,-99,13,126,95,-99,98,115,,,,
04/01/2016,17,38,94,79,81,64,-99,24,34,68,62,-99,56,-99,71,-99,-99,95,-99,47,76,80,-99,109,86,,,,
04/01/2016,18,33,79,1,52,47,82,12,1,1,37,-99,40,-99,38,-99,-99,67,-99,52,34,1,-99,12,39,,,,
04/01/2016,19,24,45,1,21,24,48,13,1,1,23,-99,20,-99,27,-99,-99,56,-99,78,22,1,-99,1,29,,,,
04/01/2016,20,11,26,26,16,33,24,-99,15,45,20,-99,4,-99,16,-99,-99,10,-99,34,26,22,-99,1,19,,,,
04/01/2016,21,15,33,34,25,21,32,27,15,27,26,-99,15,-99,25,-99,-99,34,-99,1,46,17,-99,40,41,,,,
04/01/2016,22,16,49,55,29,45,15,41,10,23,34,-99,25,-99,28,-99,-99,35,-99,1,51,34,-99,24,53,,,,
04/01/2016,23,22,49,23,32,50,30,55,20,23,35,-99,17,-99,34,-99,-99,48,-99,37,45,44,-99,57,39,,,,
04/01/2016,24,23,28,31,29,76,1,33,27,23,44,-99,52,-99,39,-99,-99,48,-99,1,49,34,27,50,55,,,,
05/01/2016,1,24,24,2,30,50,14,6,49,29,44,-99,35,65,42,-99,-99,53,-99,27,39,44,41,41,79,,,,
05/01/2016,2,19,22,3,36,62,-99,3,16,1,46,-99,35,73,39,-99,-99,64,-99,1,36,40,30,11,74,,,,
05/01/2016,3,15,10,1,38,242,1,5,2,7,44,-99,43,58,41,-99,-99,53,-99,29,37,40,41,33,107,,,,
05/01/2016,4,17,18,8,37,62,18,2,15,5,38,5,49,40,29,-99,-99,59,-99,1,35,21,58,20,85,,,,
05/01/2016,5,18,20,1,36,50,11,14,14,8,42,5,64,46,32,-99,-99,56,-99,1,38,31,69,33,66,,,,
05/01/2016,6,20,13,1,37,46,21,21,19,11,32,3,43,71,31,-99,-99,53,-99,31,36,37,29,40,91,,,,
05/01/2016,7,23,14,19,47,53,24,10,32,16,35,2,43,88,59,-99,-99,61,-99,24,36,40,39,56,121,,,,
05/01/2016,8,23,12,41,48,59,71,24,39,72,46,2,47,74,36,-99,-99,64,-99,11,54,59,33,92,151,,,,
05/01/2016,9,34,24,82,68,64,84,11,59,86,51,2,46,95,45,-99,-99,72,-99,56,52,110,57,103,117,,,,
05/01/2016,10,32,24,55,70,115,40,13,112,28,73,4,53,92,63,-99,-99,116,-99,42,111,85,51,60,134,,,,
05/01/2016,11,24,23,2,76,95,1,38,19,6,88,7,55,83,71,-99,-99,89,-99,11,78,32,49,47,112,,,,
05/01/2016,12,18,24,24,47,50,1,16,15,11,39,12,39,47,57,-99,-99,55,-99,1,53,26,75,1,62,,,,
05/01/2016,13,10,30,1,54,33,5,18,1,1,53,21,16,42,43,-99,-99,55,-99,1,26,1,64,7,59,,,,
05/01/2016,14,21,26,1,49,28,67,42,1,1,30,32,31,46,36,-99,-99,45,-99,1,9,1,60,1,58,,,,
05/01/2016,15,41,25,1,46,27,55,20,1,1,46,15,14,40,18,-99,-99,57,-99,34,18,1,54,1,33,,,,
05/01/2016,16,24,21,15,38,27,42,29,12,2,30,18,19,30,27,-99,-99,68,-99,44,38,5,36,31,45,,,,
05/01/2016,17,44,21,8,37,26,13,16,22,5,23,16,16,20,17,-99,-99,-99,-99,36,16,16,38,8,30,,,,
05/01/2016,18,39,16,23,28,26,25,20,35,37,15,15,21,24,18,-99,-99,75,-99,8,24,27,20,26,26,,,,
05/01/2016,19,45,22,27,29,31,35,24,44,26,20,14,21,27,14,-99,-99,70,-99,26,16,41,17,56,41,,,,
05/01/2016,20,36,19,33,23,16,26,21,79,48,16,13,26,43,15,-99,-99,34,-99,21,28,46,24,56,41,,,,
05/01/2016,21,35,14,38,19,20,34,19,57,46,28,10,25,36,21,-99,-99,60,-99,11,23,80,21,78,57,,,,
05/01/2016,22,52,9,29,31,17,31,36,36,28,28,10,16,46,30,-99,-99,40,-99,9,36,51,20,70,65,,,,
05/01/2016,23,52,9,20,27,15,15,31,47,19,33,7,23,52,53,-99,-99,60,-99,63,50,33,35,108,70,,,,
05/01/2016,24,52,10,15,12,36,12,9,69,30,21,5,24,53,22,-99,-99,61,-99,44,35,30,22,106,51,,,,
06/01/2016,1,54,7,19,16,85,6,-99,67,42,17,6,10,38,17,-99,-99,55,-99,1,19,28,37,93,50,,,,
06/01/2016,2,43,9,18,17,93,6,9,21,21,18,6,26,45,44,-99,-99,55,-99,77,36,21,36,89,69,,,,
06/01/2016,3,43,7,12,13,71,1,17,40,1,22,6,35,48,22,-99,-99,46,-99,19,29,33,33,63,64,,,,
06/01/2016,4,45,8,6,8,17,1,4,43,12,12,6,29,41,15,-99,-99,41,-99,7,17,12,26,52,50,,,,
06/01/2016,5,42,4,25,19,38,-99,13,50,14,14,3,21,33,13,-99,-99,59,-99,1,26,14,13,47,64,,,,
06/01/2016,6,37,6,11,18,31,10,12,50,13,15,3,17,31,23,-99,-99,55,-99,1,24,27,26,57,76,,,,
06/01/2016,7,24,7,18,20,82,14,12,85,25,21,4,20,29,16,-99,-99,58,-99,32,39,98,32,70,82,,,,
06/01/2016,8,32,10,44,35,82,69,13,144,46,26,5,24,37,35,-99,-99,60,-99,25,61,105,40,107,-99,,,,
06/01/2016,9,27,15,39,45,40,138,14,141,69,41,7,17,51,40,-99,-99,79,-99,26,65,130,51,93,103,,,,
06/01/2016,10,28,15,42,35,45,49,12,84,27,35,6,12,33,27,-99,-99,66,-99,1,52,100,31,68,52,,,,
06/01/2016,11,39,14,1,14,25,-99,-99,70,1,20,10,11,14,18,-99,-99,41,-99,1,17,1,6,31,36,,,,
