FECHA;HORA;ACO;AJM;AJU;ATI;BJU;CAM;CCA;CHO;COY;CUA;CUT;FAC;GAM;HGM;INN;IZT;LLA;LPR;MER;MGH;MON;MPA;NEZ;PED;SAG;SFE;SJA;TAH;TLA;TLI;UAX;UIZ;VIF;XAL
01/01/2018;1;8;31;17;17;22;-99;-99;-99;-99;16;26;33;21;12;34;-99;22;27;3;24;10;53;7;19;25;26;-99;7;16;11;-99;3;15;34
01/01/2018;2;13;28;13;-99;27;-99;-99;-99;-99;21;7;32;29;16;36;-99;20;41;7;29;8;27;10;23;25;37;-99;11;14;12;-99;3;16;35
01/01/2018;3;15;29;10;8;23;-99;-99;-99;-99;21;9;25;4;16;41;-99;22;6;12;27;8;31;7;27;25;40;-99;4;7;6;-99;6;14;32
01/01/2018;4;20;33;9;11;21;-99;-99;-99;-99;19;8;17;5;10;44;-99;18;7;13;24;6;35;7;30;25;35;-99;9;4;5;-99;7;8;14
01/01/2018;5;16;33;8;6;17;-99;-99;-99;-99;17;4;15;8;5;38;-99;12;24;3;20;5;30;7;22;16;28;-99;6;3;2;-99;4;8;7
01/01/2018;6;10;31;7;7;5;-99;-99;-99;-99;11;3;11;2;2;37;-99;13;14;3;10;9;30;7;18;14;30;-99;6;2;3;-99;4;8;7
01/01/2018;7;10;17;6;13;3;-99;-99;-99;-99;14;3;10;1;7;38;-99;11;2;2;14;5;26;6;13;14;27;-99;9;2;2;-99;6;8;5
01/01/2018;8;12;11;6;16;5;-99;-99;-99;-99;11;2;8;2;6;36;-99;7;3;3;10;4;24;5;6;11;20;-99;11;5;4;-99;5;7;3
01/01/2018;9;13;18;12;15;17;-99;-99;-99;-99;9;4;-99;5;13;34;-99;9;6;8;15;12;24;13;12;12;18;-99;15;11;8;-99;12;10;7
01/01/2018;10;11;28;37;21;22;-99;-99;-99;-99;18;18;26;15;19;43;-99;16;14;18;21;23;32;15;22;20;31;-99;25;15;16;-99;23;16;17
01/01/2018;11;25;40;51;33;36;-99;-99;-99;-99;22;30;37;30;30;49;-99;27;28;32;31;39;46;22;33;31;44;-99;36;25;27;-99;32;23;29
01/01/2018;12;32;51;62;44;47;-99;-99;-99;-99;26;33;51;48;41;56;-99;39;45;50;47;50;56;34;48;43;54;-99;49;36;29;-99;47;34;43
01/01/2018;13;30;56;69;52;66;-99;-99;-99;-99;31;46;58;65;54;64;-99;51;66;69;59;58;68;41;61;56;66;-99;64;48;41;-99;59;36;51
01/01/2018;14;27;65;67;63;83;-99;-99;-99;-99;35;54;74;64;66;71;-99;52;65;77;65;59;84;43;71;54;73;-99;73;56;43;-99;65;40;47
01/01/2018;15;22;73;70;64;91;-99;-99;-99;-99;37;56;73;66;66;78;-99;53;60;76;76;60;83;41;82;56;82;-99;76;60;44;-99;64;44;49
01/01/2018;16;17;80;86;66;88;-99;-99;-99;-99;38;53;70;64;62;81;-99;52;59;73;75;56;83;41;85;53;89;-99;77;55;45;-99;63;41;48
01/01/2018;17;14;77;90;56;77;-99;-99;-99;-99;37;40;67;55;54;85;-99;41;50;66;66;47;80;36;84;46;90;-99;76;48;37;-99;59;37;38
01/01/2018;18;10;69;79;34;55;-99;-99;-99;-99;30;31;42;39;41;81;-99;37;38;48;44;41;78;26;63;32;68;-99;62;32;27;-99;46;28;28
01/01/2018;19;7;48;38;21;33;-99;-99;-99;-99;17;24;24;25;28;68;-99;13;31;27;25;33;61;15;32;21;35;-99;41;21;19;-99;28;21;21
