"Fecha","Noroeste.dioxido.de.nitrogeno","Noreste.dioxido.de.nitrogeno","Centro.dioxido.de.nitrogeno","Suroeste.dioxido.de.nitrogeno","Sureste.dioxido.de.nitrogeno"
2005-01-01,43,34,45,39,33
2005-01-01,42,35,40,34,31
2005-01-01,42,34,37,33,30
2005-01-01,42,33,33,32,31
2005-01-01,39,34,33,31,29
2005-01-01,39,30,34,30,29
2005-01-01,37,26,32,26,28
2005-01-01,38,23,33,24,26
2005-01-01,44,28,40,31,33
2005-01-01,56,40,50,38,49
2005-01-01,44,39,50,38,50
2005-01-01,26,18,33,27,40
2005-01-01,21,10,22,28,32
2005-01-01,18,7,19,25,25
2005-01-01,14,6,13,20,15
2005-01-01,14,10,10,16,10
2005-01-01,12,9,14,11,10
2005-01-01,20,15,23,16,14
2005-01-01,24,20,25,25,20
2005-01-01,30,23,36,28,23
2005-01-01,29,32,37,31,34
2005-01-01,23,32,38,28,34
2005-01-01,26,32,32,29,35
2005-01-01,29,29,38,31,33
2005-01-02,28,25,38,27,30
2005-01-02,26,20,35,24,28
2005-01-02,23,20,32,21,22
2005-01-02,25,19,28,16,18
2005-01-02,30,19,25,19,18
2005-01-02,25,19,25,18,19
2005-01-02,23,16,24,17,17
2005-01-02,21,16,27,19,19
2005-01-02,23,23,40,23,24
2005-01-02,32,25,40,35,37
2005-01-02,35,21,37,30,53
2005-01-02,36,14,30,27,44
2005-01-02,24,8,19,25,23
2005-01-02,14,8,21,16,13
2005-01-02,10,9,12,9,13
2005-01-02,11,8,13,9,13
2005-01-02,11,10,11,6,14
2005-01-02,15,15,20,10,14
2005-01-02,23,17,24,21,16
2005-01-02,26,19,26,23,19
2005-01-02,24,20,27,23,21
2005-01-02,20,22,29,21,24
2005-01-02,23,23,27,22,25
2005-01-02,22,22,25,25,25
2005-01-03,20,18,23,22,27
2005-01-03,16,17,22,20,24
2005-01-03,17,16,22,19,19
2005-01-03,19,17,22,18,17
2005-01-03,17,15,20,16,16
2005-01-03,18,14,20,16,15
2005-01-03,19,13,18,17,18
2005-01-03,20,16,25,20,17
2005-01-03,28,24,30,25,22
2005-01-03,48,42,38,36,30
2005-01-03,58,34,52,37,30
2005-01-03,51,23,49,34,27
2005-01-03,37,19,33,20,21
2005-01-03,30,11,25,19,32
2005-01-03,20,11,23,21,16
2005-01-03,21,14,22,13,16
2005-01-03,19,9,25,12,30
2005-01-03,20,19,26,22,26
2005-01-03,38,19,32,35,30
2005-01-03,40,27,34,37,29
2005-01-03,25,30,37,40,27
2005-01-03,29,29,36,36,28
2005-01-03,26,28,34,29,28
2005-01-03,25,26,35,28,29
2005-01-04,22,23,33,24,24
2005-01-04,19,22,30,20,22
2005-01-04,18,21,29,20,22
2005-01-04,17,19,23,20,22
2005-01-04,18,17,23,17,19
2005-01-04,16,13,23,18,19
2005-01-04,18,13,23,20,17
2005-01-04,19,17,20,23,20
2005-01-04,25,28,32,28,27
2005-01-04,40,44,66,50,46
2005-01-04,41,53,79,31,50
2005-01-04,69,36,58,20,51
2005-01-04,48,23,40,28,43
2005-01-04,31,18,29,22,30
2005-01-04,28,11,20,24,25
