"Fecha","Noroeste.Ozono","Noreste.Ozono","Centro.Ozono","Suroeste.Ozono","Sureste.Ozono"
2005-01-01,19,10,4,26,13
2005-01-01,19,7,4,19,9
2005-01-01,17,5,4,23,9
2005-01-01,16,6,4,21,12
2005-01-01,16,8,5,23,19
2005-01-01,16,13,5,25,9
2005-01-01,16,11,5,35,9
2005-01-01,14,19,6,31,14
2005-01-01,19,10,14,22,19
2005-01-01,46,20,31,41,37
2005-01-01,74,73,75,80,66
2005-01-01,103,94,95,98,106
2005-01-01,119,86,120,124,123
2005-01-01,122,83,138,161,109
2005-01-01,114,88,113,172,67
2005-01-01,102,73,80,122,64
2005-01-01,75,74,63,97,55
2005-01-01,53,62,38,57,48
2005-01-01,21,60,19,45,44
2005-01-01,25,60,10,35,31
2005-01-01,52,31,12,40,18
2005-01-01,57,6,15,48,31
2005-01-01,49,17,10,35,22
2005-01-01,36,13,4,35,9
2005-01-02,22,4,3,34,22
2005-01-02,34,4,3,45,14
2005-01-02,27,4,3,44,20
2005-01-02,26,5,5,32,25
2005-01-02,26,4,5,31,22
2005-01-02,20,4,7,35,22
2005-01-02,14,4,6,13,9
2005-01-02,6,6,7,30,11
2005-01-02,15,5,14,25,14
2005-01-02,28,39,29,35,28
2005-01-02,55,45,47,63,57
2005-01-02,75,64,70,82,85
2005-01-02,88,66,75,107,104
2005-01-02,74,79,94,118,85
2005-01-02,79,81,86,89,58
2005-01-02,95,97,78,57,53
2005-01-02,76,72,45,42,48
2005-01-02,42,45,30,42,43
2005-01-02,16,25,15,20,32
2005-01-02,4,27,5,24,18
2005-01-02,15,35,3,11,8
2005-01-02,33,17,3,17,15
2005-01-02,37,5,5,27,11
2005-01-02,35,4,2,16,9
2005-01-03,21,3,7,29,3
2005-01-03,9,4,3,21,10
2005-01-03,14,4,3,26,4
2005-01-03,17,5,3,28,4
2005-01-03,15,5,4,24,4
2005-01-03,8,6,3,19,5
2005-01-03,5,5,3,11,6
2005-01-03,5,5,3,7,5
2005-01-03,5,5,5,10,5
2005-01-03,12,11,14,21,17
2005-01-03,26,35,26,39,35
2005-01-03,54,69,45,59,58
2005-01-03,66,90,71,66,74
2005-01-03,71,94,87,87,81
2005-01-03,75,88,85,95,90
2005-01-03,88,68,75,116,95
2005-01-03,79,88,73,83,79
2005-01-03,63,66,55,63,54
2005-01-03,19,34,21,34,46
2005-01-03,10,32,5,19,28
2005-01-03,25,26,5,25,17
2005-01-03,6,20,4,15,7
2005-01-03,4,4,4,15,6
2005-01-03,4,5,3,23,10
2005-01-04,6,5,3,29,14
2005-01-04,5,4,3,20,9
2005-01-04,8,4,3,20,19
2005-01-04,10,10,3,23,21
2005-01-04,11,7,4,23,18
2005-01-04,5,6,4,16,11
2005-01-04,5,6,4,8,6
2005-01-04,5,14,4,7,5
2005-01-04,5,14,5,10,6
2005-01-04,13,12,8,19,15
2005-01-04,28,40,31,40,43
2005-01-04,57,58,65,59,70
2005-01-04,84,63,80,72,88
2005-01-04,85,75,90,94,96
2005-01-04,91,95,88,107,109
2005-01-04,87,85,86,116,107
2005-01-04,82,92,81,108,111
2005-01-04,79,75,74,98,75
2005-01-04,24,39,15,47,60
2005-01-04,13,28,4,31,41
2005-01-04,45,25,4,40,18
2005-01-04,35,22,4,38,19
2005-01-04,12,4,4,24,9
2005-01-04,10,4,3,20,12
2005-01-05,6,4,3,30,8
2005-01-05,8,4,3,31,19
2005-01-05,12,3,4,37,14
2005-01-05,21,5,4,28,21
2005-01-05,22,4,5,14,19
2005-01-05,9,4,4,23,12
2005-01-05,5,4,4,9,13
2005-01-05,5,4,4,7,5
2005-01-05,7,8,6,8,7
2005-01-05,14,19,15,17,22
2005-01-05,42,41,45,45,49
2005-01-05,65,65,68,65,76
2005-01-05,72,73,87,96,95
2005-01-05,83,79,122,129,126
2005-01-05,103,105,144,158,145
2005-01-05,116,101,166,181,151
2005-01-05,125,93,163,191,155
2005-01-05,85,102,152,172,141
2005-01-05,44,78,82,80,70
2005-01-05,55,54,20,55,55
2005-01-05,35,21,6,49,50
2005-01-05,15,12,6,26,45
2005-01-05,36,5,5,32,8
2005-01-05,28,4,5,36,7
2005-01-06,15,4,3,26,8
2005-01-06,14,3,3,35,11
2005-01-06,18,4,5,43,21
2005-01-06,17,4,8,47,27
2005-01-06,14,5,4,46,23
2005-01-06,12,5,4,32,14
2005-01-06,5,4,4,11,5
2005-01-06,5,5,4,9,10
2005-01-06,8,5,6,17,18
2005-01-06,24,22,20,57,26
2005-01-06,41,49,42,61,53
2005-01-06,70,75,56,72,73
2005-01-06,98,91,73,90,88
2005-01-06,120,102,93,117,112
2005-01-06,136,117,107,137,126
2005-01-06,129,133,122,147,138
2005-01-06,121,112,107,138,96
2005-01-06,112,79,60,55,68
2005-01-06,43,65,23,35,68
2005-01-06,24,45,24,29,73
2005-01-06,10,35,11,45,41
