FECHA,HORA,VAL,SUR,TAC,FAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,ARA,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,TAX,ACO,IZT,CHO
01/01/2007,1,56,37,97,57,42,22,51,27,-99,118,35,59,11,29,17,133,85,51,14,31,-99,33,45,-99,-99,-99
01/01/2007,2,70,75,81,32,55,32,83,39,-99,110,19,109,42,15,12,127,88,58,18,46,-99,19,36,-99,-99,-99
01/01/2007,3,63,64,66,39,16,41,86,15,60,101,55,109,42,18,12,101,65,27,13,47,-99,21,38,-99,-99,-99
01/01/2007,4,45,54,63,37,6,18,53,7,60,64,61,96,36,30,18,90,46,24,13,46,-99,64,57,-99,-99,-99
01/01/2007,5,27,41,42,41,4,20,41,5,45,50,38,55,27,52,19,53,52,30,16,39,-99,59,48,-99,-99,-99
01/01/2007,6,15,32,34,34,4,34,42,5,37,44,13,25,22,37,13,38,46,38,15,19,-99,34,29,-99,-99,-99
01/01/2007,7,13,26,29,24,4,19,22,5,34,33,21,26,18,28,10,20,22,25,14,18,-99,27,24,-99,-99,-99
01/01/2007,8,10,21,23,13,5,21,16,6,24,18,15,26,14,23,9,11,11,14,19,18,-99,21,24,-99,-99,-99
01/01/2007,9,8,19,15,12,3,8,6,6,15,12,7,15,11,12,9,8,10,8,9,15,-99,11,23,-99,-99,-99
01/01/2007,10,9,18,17,15,3,7,7,8,18,11,7,14,14,15,11,7,7,7,18,15,-99,15,20,-99,-99,-99
01/01/2007,11,12,19,22,14,7,8,7,13,24,23,13,13,13,14,33,9,12,9,23,24,-99,13,19,-99,-99,-99
01/01/2007,12,10,20,20,14,8,8,8,14,21,24,12,12,14,12,34,11,15,12,21,18,-99,12,15,-99,-99,-99
01/01/2007,13,8,16,18,14,7,9,8,13,19,18,12,11,14,11,27,10,13,9,15,14,-99,11,12,-99,-99,-99
01/01/2007,14,6,14,15,13,6,9,8,10,16,14,10,11,13,9,21,10,11,9,11,11,-99,10,10,-99,-99,-99
01/01/2007,15,6,10,13,12,6,9,8,9,14,13,9,10,11,7,17,10,9,9,9,9,-99,8,8,-99,-99,-99
01/01/2007,16,14,3,9,12,6,11,5,6,16,25,6,6,5,1,10,38,26,13,4,5,-99,3,2,-99,-99,-99
01/01/2007,17,36,3,42,55,14,28,22,11,54,58,13,15,2,0,6,86,70,12,3,22,-99,1,1,-99,-99,-99
01/01/2007,18,55,16,46,49,27,48,48,24,58,62,33,60,37,0,11,110,36,34,4,51,-99,2,6,-99,-99,-99
01/01/2007,19,36,43,38,30,20,44,53,23,45,53,32,60,32,19,12,38,38,14,4,39,-99,13,56,-99,-99,-99
01/01/2007,20,12,36,25,74,10,22,28,15,21,15,23,35,27,17,9,11,32,8,8,21,-99,18,48,-99,-99,-99
01/01/2007,21,8,36,25,89,6,19,14,11,16,12,20,20,43,8,8,7,79,6,10,12,-99,11,28,-99,-99,-99
01/01/2007,22,5,59,42,75,4,14,9,8,14,11,14,17,53,12,6,6,88,5,7,10,-99,13,29,-99,-99,-99
01/01/2007,23,4,56,56,54,2,11,7,6,33,48,10,14,33,11,6,9,49,4,6,9,-99,15,40,-99,-99,-99
01/01/2007,24,10,50,44,22,1,7,40,5,35,71,6,28,25,5,5,14,49,8,7,16,-99,7,45,-99,-99,-99
02/01/2007,1,9,32,33,13,9,5,48,5,53,66,3,18,16,2,4,21,27,53,5,24,-99,3,10,-99,-99,-99
02/01/2007,2,7,10,28,8,35,5,24,17,33,47,3,7,8,1,3,34,20,58,6,26,-99,3,4,-99,-99,-99
02/01/2007,3,9,5,24,6,22,6,29,14,32,43,4,6,5,0,3,34,10,46,7,21,-99,3,2,-99,-99,-99
02/01/2007,4,11,3,18,5,24,9,9,22,25,30,6,11,4,1,3,25,8,40,5,12,-99,10,6,-99,-99,-99
02/01/2007,5,9,9,17,4,15,8,9,13,19,23,7,10,3,8,3,26,7,33,4,8,-99,16,19,-99,-99,-99
02/01/2007,6,12,21,10,4,11,9,12,11,14,16,7,10,2,4,3,23,4,31,5,7,-99,13,20,-99,-99,-99
02/01/2007,7,12,15,12,4,12,10,9,10,11,11,4,11,3,3,3,20,3,42,4,7,-99,13,15,-99,-99,-99
02/01/2007,8,9,11,11,5,19,9,8,9,11,11,4,15,4,3,4,18,3,31,4,8,-99,27,14,-99,-99,-99
02/01/2007,9,11,14,11,7,25,15,15,23,11,11,8,31,9,15,4,20,5,23,6,21,-99,30,19,-99,-99,-99
02/01/2007,10,13,14,16,13,24,18,17,35,21,21,26,45,11,22,7,22,10,21,7,29,-99,29,19,-99,-99,-99
02/01/2007,11,11,14,19,14,17,15,16,25,23,34,25,20,8,18,18,23,13,21,7,22,-99,18,23,-99,-99,-99
02/01/2007,12,9,17,17,12,-99,14,14,17,17,38,18,15,13,13,23,18,12,16,6,-99,14,13,15,-99,-99,-99
02/01/2007,13,7,9,11,11,7,9,10,12,12,-99,13,10,-99,7,20,15,13,14,3,-99,11,8,8,-99,-99,-99
02/01/2007,14,4,2,8,7,3,6,5,7,8,-99,10,6,-99,2,11,9,9,9,3,5,5,1,1,-99,-99,-99
02/01/2007,15,-99,2,5,4,1,4,3,4,5,2,7,3,-99,3,7,5,4,5,3,2,2,1,0,-99,-99,-99
02/01/2007,16,2,2,3,3,0,3,2,4,3,1,-99,3,1,2,5,3,2,4,3,2,1,1,1,-99,-99,-99
02/01/2007,17,2,3,3,3,0,3,2,4,3,1,-99,3,1,4,4,3,2,4,3,2,2,1,1,-99,-99,-99
02/01/2007,18,3,3,3,3,0,3,2,3,4,2,-99,3,2,6,4,3,2,4,3,2,2,1,1,-99,-99,-99
02/01/2007,19,3,3,3,5,1,3,3,5,4,2,-99,3,2,41,4,3,2,4,4,2,2,2,1,-99,-99,-99
02/01/2007,20,3,3,4,6,1,4,4,6,5,3,-99,3,1,26,5,6,9,10,3,3,2,2,1,-99,-99,-99
02/01/2007,21,4,3,6,11,2,4,5,6,9,11,-99,5,3,17,7,10,116,9,4,4,3,3,2,-99,-99,-99
02/01/2007,22,11,3,43,47,5,5,7,7,57,43,-99,5,2,11,5,16,108,22,4,9,3,3,4,-99,-99,-99
02/01/2007,23,53,4,34,24,11,6,51,8,73,81,-99,47,3,8,6,88,66,94,4,32,3,5,4,-99,-99,-99
02/01/2007,24,49,5,5,9,62,7,68,47,44,62,-99,65,3,5,6,90,36,87,4,39,3,19,7,-99,-99,-99
03/01/2007,1,39,6,5,6,43,7,55,59,17,34,-99,52,3,4,5,54,30,44,4,32,2,39,19,-99,-99,-99
03/01/2007,2,30,12,5,6,43,18,38,41,10,33,-99,42,2,3,5,30,22,46,4,22,2,44,16,-99,-99,-99
03/01/2007,3,18,10,5,5,55,20,32,53,7,22,-99,37,3,2,4,20,15,40,4,16,2,45,29,-99,-99,-99
03/01/2007,4,11,18,5,4,31,17,22,31,6,15,-99,31,3,2,3,19,11,22,4,17,3,43,27,-99,-99,-99
03/01/2007,5,13,15,5,5,18,19,10,31,7,13,-99,29,3,1,3,17,13,17,4,22,3,54,27,-99,-99,-99
03/01/2007,6,13,25,4,5,7,18,17,19,8,13,-99,20,3,1,4,18,12,8,4,17,3,38,30,-99,-99,-99
03/01/2007,7,13,19,8,6,9,16,18,15,8,20,-99,19,3,1,4,14,10,8,4,11,3,22,30,-99,-99,-99
03/01/2007,8,21,25,14,8,7,14,19,17,14,27,-99,19,4,1,4,14,17,9,7,14,4,17,26,-99,-99,-99
03/01/2007,9,25,29,16,9,10,20,21,22,29,34,-99,32,7,1,6,20,20,13,9,23,7,18,26,-99,-99,-99
03/01/2007,10,28,25,24,17,17,20,27,26,47,51,-99,32,13,-99,13,26,25,23,9,29,15,21,25,-99,-99,-99
03/01/2007,11,18,24,36,-99,16,18,-99,26,43,41,-99,-99,15,10,23,31,38,27,11,24,16,11,19,-99,-99,-99
03/01/2007,12,10,18,24,-99,11,10,-99,17,26,20,-99,-99,14,7,23,31,29,22,-99,15,13,7,13,-99,-99,-99
03/01/2007,13,5,12,15,-99,7,6,-99,10,12,9,-99,-99,12,4,21,23,22,15,-99,11,9,4,9,-99,-99,-99
03/01/2007,14,4,4,9,-99,2,4,-99,6,9,7,-99,-99,7,3,14,9,8,9,1,6,6,-99,2,-99,-99,-99
03/01/2007,15,3,2,4,-99,1,2,-99,4,5,4,-99,-99,2,5,10,6,7,5,1,3,2,2,1,-99,-99,-99
03/01/2007,16,2,2,4,3,0,2,-99,3,3,1,-99,3,1,8,4,4,2,4,2,2,2,1,0,-99,-99,-99
03/01/2007,17,2,2,4,3,0,1,3,4,2,1,-99,2,1,8,4,3,1,3,2,1,2,1,0,-99,-99,-99
03/01/2007,18,3,2,3,2,0,2,3,4,3,1,-99,3,1,13,3,3,1,4,1,1,2,1,1,-99,-99,-99
03/01/2007,19,3,2,4,3,0,2,3,5,3,2,-99,3,1,2,4,3,2,4,2,3,2,2,1,-99,-99,-99
03/01/2007,20,3,3,5,5,0,2,3,6,4,2,-99,4,2,3,5,3,3,4,2,5,2,3,1,-99,-99,-99
03/01/2007,21,3,3,4,6,1,3,5,6,5,3,-99,4,3,4,5,4,4,5,2,7,3,3,1,-99,-99,-99
03/01/2007,22,4,3,7,7,1,3,5,6,6,4,-99,4,3,5,5,4,4,5,1,7,4,3,1,-99,-99,-99
03/01/2007,23,4,5,6,6,1,4,7,6,7,6,-99,5,3,3,5,5,3,5,2,7,3,2,1,-99,-99,-99
03/01/2007,24,5,6,6,8,2,4,8,6,7,6,-99,6,2,2,5,5,4,5,2,7,3,2,1,-99,-99,-99
04/01/2007,1,3,3,7,7,2,3,7,5,7,6,-99,6,2,2,5,4,3,5,2,7,3,2,1,-99,-99,-99
04/01/2007,2,3,3,6,8,2,2,7,5,7,5,-99,6,2,2,3,6,2,4,2,7,2,2,1,-99,-99,-99
04/01/2007,3,6,3,6,7,2,2,7,5,7,4,-99,6,1,2,3,7,8,5,2,6,2,2,0,-99,-99,-99
04/01/2007,4,6,3,6,6,2,2,6,6,6,9,-99,5,1,1,3,6,7,5,2,6,3,2,0,-99,-99,-99
04/01/2007,5,6,3,6,7,2,2,6,6,6,8,-99,5,1,2,3,8,5,5,2,7,2,2,1,-99,-99,-99
04/01/2007,6,6,3,6,7,3,2,8,7,6,7,-99,6,1,1,3,8,5,5,2,7,3,1,1,-99,-99,-99
04/01/2007,7,5,4,7,6,4,3,9,7,7,8,-99,8,1,2,4,6,5,5,1,8,3,2,1,-99,-99,-99
