FECHA,HORA,TAC,FAC,SAG,TLA,XAL,MER,PED,CES,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,SUR,IZT
01/01/2008,1,34,23,36,30,26,40,23,38,-99,17,40,32,41,33,40,36,-99,38
01/01/2008,2,37,24,38,32,34,39,19,37,-99,14,41,35,39,29,37,33,-99,39
01/01/2008,3,36,29,40,34,35,37,26,37,-99,13,46,35,40,31,35,31,-99,36
01/01/2008,4,35,27,40,33,35,36,23,36,-99,13,45,33,40,32,35,31,-99,37
01/01/2008,5,34,18,38,32,32,37,24,34,-99,12,41,32,37,27,36,31,-99,36
01/01/2008,6,31,14,33,32,31,36,18,33,-99,8,38,27,38,28,36,29,-99,35
01/01/2008,7,28,12,34,28,28,35,19,31,-99,6,34,27,38,27,36,27,-99,35
01/01/2008,8,31,14,29,28,23,36,19,29,-99,7,35,28,35,22,35,28,-99,36
01/01/2008,9,27,19,10,21,6,45,18,39,-99,15,17,23,28,24,37,36,-99,46
01/01/2008,10,12,5,7,8,4,16,10,19,-99,7,12,14,13,9,14,23,-99,15
01/01/2008,11,9,5,6,4,5,14,5,10,-99,4,3,8,10,6,7,15,-99,8
01/01/2008,12,7,4,5,0,4,9,6,8,-99,3,2,9,8,3,4,14,-99,4
01/01/2008,13,5,3,5,1,4,6,5,8,-99,3,2,9,6,1,3,11,-99,3
01/01/2008,14,6,4,6,1,6,9,4,10,-99,4,3,9,8,2,-99,10,-99,5
01/01/2008,15,7,5,6,1,6,11,7,10,-99,4,3,9,9,2,-99,12,-99,5
01/01/2008,16,10,6,8,4,7,9,9,10,-99,7,5,17,11,6,3,12,-99,7
01/01/2008,17,12,7,9,7,8,11,9,11,-99,8,6,15,-99,10,7,12,-99,8
01/01/2008,18,14,11,11,7,11,14,15,14,-99,10,6,21,13,12,8,16,-99,10
01/01/2008,19,9,15,14,7,15,19,11,17,-99,11,6,17,19,6,10,17,-99,13
01/01/2008,20,9,13,15,7,14,17,13,17,-99,14,6,17,16,8,11,18,-99,15
01/01/2008,21,15,13,14,7,16,18,12,17,-99,10,6,19,17,10,12,17,-99,14
01/01/2008,22,18,13,14,5,15,16,13,19,-99,9,5,16,17,10,18,15,-99,11
01/01/2008,23,13,12,15,6,11,18,13,16,-99,6,4,15,14,9,15,17,-99,11
01/01/2008,24,10,6,9,4,8,14,11,12,-99,5,3,14,12,11,13,14,-99,9
02/01/2008,1,9,6,6,3,4,11,9,9,-99,3,2,12,8,6,9,9,-99,7
02/01/2008,2,9,3,3,2,1,7,6,6,-99,3,5,9,5,8,6,8,-99,4
02/01/2008,3,10,-99,4,4,1,4,5,6,-99,3,7,7,4,7,-99,2,-99,2
02/01/2008,4,10,-99,6,4,2,5,7,7,-99,6,10,10,6,7,6,2,-99,3
02/01/2008,5,10,-99,5,5,4,7,8,8,-99,7,10,11,6,7,8,4,-99,5
02/01/2008,6,12,-99,6,10,13,9,10,10,-99,7,14,14,9,9,11,12,-99,6
02/01/2008,7,19,-99,8,13,21,16,16,16,-99,8,10,21,17,19,18,25,-99,12
02/01/2008,8,28,-99,14,17,20,27,22,20,-99,7,8,30,26,24,23,27,-99,23
02/01/2008,9,25,-99,13,16,23,26,24,23,-99,12,7,32,21,20,23,35,-99,20
02/01/2008,10,24,-99,12,19,28,28,24,21,-99,12,4,30,23,21,21,34,-99,19
02/01/2008,11,21,-99,-99,15,22,28,18,19,-99,11,5,25,24,17,27,33,-99,23
02/01/2008,12,18,-99,-99,11,23,31,14,23,-99,11,6,20,24,13,28,31,-99,23
02/01/2008,13,15,-99,-99,9,22,24,13,21,-99,10,6,19,21,10,23,27,-99,18
02/01/2008,14,16,-99,-99,11,21,27,14,16,0,12,5,20,23,11,18,24,-99,18
02/01/2008,15,16,-99,-99,10,18,25,13,17,0,10,5,18,21,11,18,28,-99,14
02/01/2008,16,17,-99,8,12,22,26,15,13,0,12,4,22,22,14,-99,29,-99,15
02/01/2008,17,18,14,9,15,21,29,18,18,0,15,5,25,25,17,21,30,-99,16
02/01/2008,18,23,13,12,23,24,28,20,27,3,13,6,29,30,20,24,33,-99,22
02/01/2008,19,27,17,18,25,26,31,23,29,8,14,8,28,30,27,27,36,-99,28
02/01/2008,20,34,18,17,21,25,34,21,27,6,18,9,28,29,24,27,34,-99,26
02/01/2008,21,34,16,21,20,26,28,19,22,5,13,10,28,28,24,28,27,-99,21
02/01/2008,22,24,12,23,21,27,31,16,26,12,11,12,22,29,24,29,34,-99,32
02/01/2008,23,19,10,16,-99,25,36,14,34,16,9,10,17,35,17,38,28,-99,34
02/01/2008,24,11,8,-99,-99,17,33,9,27,13,5,10,13,32,9,36,-99,-99,27
03/01/2008,1,8,6,15,-99,14,24,8,20,15,3,8,10,25,3,29,14,-99,17
03/01/2008,2,8,4,11,-99,11,22,7,15,12,2,6,8,23,4,27,10,-99,16
03/01/2008,3,8,1,8,-99,19,19,6,14,12,3,8,7,20,1,22,11,-99,13
03/01/2008,4,7,5,9,-99,21,24,7,12,6,3,9,8,24,2,22,13,-99,12
03/01/2008,5,10,4,25,-99,24,29,8,14,13,4,16,11,28,8,30,16,-99,24
03/01/2008,6,18,9,30,-99,27,33,12,20,17,12,24,17,30,14,35,25,-99,27
03/01/2008,7,29,19,31,-99,29,36,16,29,25,16,28,31,36,25,36,32,-99,31
03/01/2008,8,34,23,31,-99,31,36,26,33,29,19,30,34,39,29,33,32,-99,33
03/01/2008,9,28,19,33,-99,37,38,26,37,26,17,30,28,40,25,39,34,-99,-99
03/01/2008,10,23,14,35,-99,47,37,25,41,23,10,19,28,42,20,54,41,-99,39
03/01/2008,11,28,19,26,-99,36,-99,27,74,19,10,12,36,51,32,65,52,-99,-99
