FECHA,HORA,TAC,FAC,SAG,TLA,XAL,MER,PED,CES,TLI,ATI,VIF,LAG,AZC,UIZ,TAX,SUR,IZT
01/01/2010,1,47,44,36,47,56,54,45,44,45,24,37,50,42,47,53,55,57
01/01/2010,2,43,39,44,46,55,44,36,45,45,29,36,43,40,49,48,48,51
01/01/2010,3,41,32,25,-99,24,43,33,42,50,37,34,42,43,45,42,43,45
01/01/2010,4,41,22,22,-99,17,18,27,30,41,20,33,18,45,24,29,35,24
01/01/2010,5,27,19,19,-99,16,15,21,15,39,19,22,21,32,16,27,34,18
01/01/2010,6,22,17,9,23,9,20,21,12,-99,15,11,24,26,9,22,25,20
01/01/2010,7,12,10,9,12,10,15,13,9,16,13,10,14,12,8,20,17,16
01/01/2010,8,12,11,9,13,14,20,11,13,16,12,13,19,12,16,20,11,18
01/01/2010,9,11,16,7,15,11,15,9,12,13,16,10,16,11,14,19,11,14
01/01/2010,10,9,7,5,6,10,10,8,8,7,6,6,8,4,9,10,7,10
01/01/2010,11,6,7,6,10,10,9,6,8,7,7,3,8,3,7,15,5,9
01/01/2010,12,8,9,6,9,10,10,8,10,6,7,3,12,7,9,16,9,10
01/01/2010,13,9,10,6,10,13,14,10,12,7,9,4,13,7,9,18,10,12
01/01/2010,14,9,12,6,10,9,15,10,13,7,8,3,13,7,10,17,10,12
01/01/2010,15,11,14,6,10,12,13,10,19,8,10,5,15,8,10,19,11,14
01/01/2010,16,15,15,10,13,11,14,11,21,8,12,5,18,10,10,16,12,16
01/01/2010,17,20,17,12,18,16,17,12,26,9,13,7,18,15,10,12,9,19
01/01/2010,18,21,23,17,20,25,25,14,22,14,16,9,28,20,13,13,13,24
01/01/2010,19,28,24,26,30,49,35,16,16,21,29,11,33,29,14,11,18,20
01/01/2010,20,31,26,24,43,39,37,33,23,31,33,11,36,39,21,28,29,37
01/01/2010,21,29,23,24,29,41,40,37,37,32,20,11,37,30,41,41,36,43
01/01/2010,22,23,24,25,38,41,37,40,35,32,20,30,35,26,36,35,39,34
01/01/2010,23,24,30,35,38,39,38,40,32,35,21,21,34,31,27,35,36,39
01/01/2010,24,25,22,32,37,37,34,37,30,30,16,22,33,30,30,33,36,34
02/01/2010,1,29,23,29,32,35,33,36,29,31,16,27,32,32,29,31,35,32
02/01/2010,2,30,28,29,33,32,30,34,27,31,19,29,30,30,27,30,34,31
02/01/2010,3,30,25,30,33,30,29,34,22,32,16,30,28,29,22,25,30,28
02/01/2010,4,27,27,28,32,29,27,32,22,31,15,26,27,28,26,24,27,30
02/01/2010,5,30,27,23,27,28,27,31,25,29,18,25,27,27,24,27,29,29
02/01/2010,6,29,25,25,25,27,29,30,24,30,17,23,27,26,26,27,29,28
02/01/2010,7,30,25,25,31,26,30,29,24,30,18,25,29,28,26,26,29,30
02/01/2010,8,30,27,22,32,28,34,28,30,29,23,24,31,29,23,23,25,29
02/01/2010,9,32,33,24,34,34,35,29,28,30,31,24,34,34,26,24,23,30
02/01/2010,10,42,44,26,41,41,47,34,38,35,40,26,43,40,32,29,28,34
02/01/2010,11,53,60,31,47,50,63,40,50,47,47,37,59,47,44,39,33,52
02/01/2010,12,64,78,35,59,45,80,42,58,55,54,50,75,64,45,44,37,73
02/01/2010,13,46,60,34,68,43,84,32,50,46,44,59,78,68,51,47,36,56
02/01/2010,14,29,33,19,35,25,46,18,29,23,22,32,49,30,23,36,19,24
02/01/2010,15,24,26,18,25,22,33,16,25,24,26,16,38,25,15,22,16,23
02/01/2010,16,30,36,16,30,18,32,15,17,22,34,11,40,28,14,14,12,22
02/01/2010,17,24,37,29,35,27,38,11,27,20,35,10,38,31,12,14,15,18
02/01/2010,18,27,47,25,43,25,30,14,19,31,30,20,40,33,16,20,24,26
02/01/2010,19,24,22,29,34,33,39,30,22,-99,24,28,38,30,18,30,28,30
02/01/2010,20,30,26,27,27,37,41,15,37,-99,16,12,40,32,36,40,34,35
02/01/2010,21,22,23,24,20,32,42,36,38,-99,13,13,40,20,36,43,42,44
02/01/2010,22,24,14,23,31,26,38,22,29,-99,13,15,26,28,25,38,27,41
02/01/2010,23,28,13,28,30,26,27,21,29,-99,14,15,25,30,26,32,28,23
02/01/2010,24,29,16,23,26,25,23,21,29,-99,25,15,24,27,27,30,25,22
03/01/2010,1,24,27,16,26,24,25,24,24,-99,25,12,26,27,25,29,25,23
03/01/2010,2,28,24,16,30,19,27,28,21,-99,23,13,24,25,22,26,28,26
03/01/2010,3,24,30,22,28,21,22,28,19,-99,23,16,23,27,21,23,30,20
03/01/2010,4,22,27,28,27,18,21,28,21,-99,24,16,24,18,19,22,26,24
03/01/2010,5,28,31,16,24,14,27,25,17,22,25,17,24,22,15,18,19,25
03/01/2010,6,26,29,19,26,22,30,25,13,31,24,16,27,26,14,20,19,26
03/01/2010,7,29,24,21,32,29,30,30,26,25,23,16,29,30,29,32,29,31
03/01/2010,8,28,24,19,33,28,33,30,28,26,23,18,31,29,26,29,31,31
03/01/2010,9,25,23,22,30,28,33,25,23,22,25,16,30,27,21,30,29,31
