FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,
01/01/2015,1,84,-99,122,-99,95,86,-99,186,153,117,-99,155,123,165,159,133,114,188,208,-99,175,116,211,-99,,,
01/01/2015,2,110,-99,179,-99,135,88,-99,177,199,139,-99,249,113,293,178,176,113,180,115,-99,231,138,246,-99,,,
01/01/2015,3,140,-99,153,-99,166,120,-99,223,209,145,-99,203,118,266,168,154,114,164,152,-99,246,177,183,-99,,,
01/01/2015,4,131,-99,119,-99,168,90,-99,225,177,173,-99,174,-99,178,167,168,107,123,161,-99,210,151,134,-99,,,
01/01/2015,5,151,-99,98,-99,142,117,-99,147,197,158,-99,135,-99,146,161,167,106,121,146,-99,242,176,278,-99,,,
01/01/2015,6,181,-99,99,-99,141,150,-99,187,190,153,-99,139,159,163,147,192,109,167,166,-99,210,201,175,-99,,,
01/01/2015,7,147,-99,109,-99,142,125,-99,166,165,165,-99,130,155,172,143,199,-99,193,127,-99,223,193,240,-99,,,
01/01/2015,8,139,-99,123,-99,147,137,-99,152,150,162,-99,129,188,164,107,230,-99,166,103,-99,270,173,205,-99,,,
01/01/2015,9,118,-99,137,-99,167,87,-99,163,193,171,-99,134,198,164,166,179,-99,161,127,-99,302,206,256,-99,,,
01/01/2015,10,74,-99,166,-99,211,116,-99,210,129,224,-99,156,222,172,191,169,-99,196,172,-99,295,238,247,-99,,,
01/01/2015,11,67,-99,123,-99,198,44,-99,163,153,216,-99,184,207,169,186,183,-99,148,106,-99,241,206,225,-99,,,
01/01/2015,12,61,-99,97,-99,148,14,-99,147,105,192,-99,116,165,126,156,124,-99,97,-99,-99,233,83,180,-99,,,
01/01/2015,13,29,-99,43,-99,98,-99,-99,119,60,90,-99,70,51,97,107,59,-99,16,-99,-99,154,36,61,-99,,,
01/01/2015,14,22,-99,14,-99,65,-99,-99,-99,59,33,-99,15,37,64,48,33,-99,-99,-99,-99,65,26,20,-99,,,
01/01/2015,15,17,-99,54,-99,49,-99,-99,-99,40,48,-99,22,35,34,17,-99,-99,-99,-99,-99,52,-99,4,-99,,,
01/01/2015,16,20,-99,22,-99,43,-99,-99,81,-99,20,-99,14,32,24,14,9,-99,-99,-99,-99,7,-99,13,-99,,,
01/01/2015,17,19,-99,27,-99,24,-99,-99,38,-99,12,-99,13,21,16,20,30,-99,-99,-99,-99,22,28,21,-99,,,
