FECHA,HORA,TAC,FAC,SAG,TLA,XAL,MER,PED,CES,HAN,TLI,ATI,VIF,PLA,LAG,AZC,UIZ,TAX,SUR
01/01/2006,1,32,43,36,41,55,-99,39,51,51,44,42,39,28,48,40,60,49,46
01/01/2006,2,30,40,38,35,54,-99,44,52,50,47,38,36,33,42,40,59,47,47
01/01/2006,3,35,38,41,36,58,-99,43,50,50,49,38,47,34,53,36,55,46,46
01/01/2006,4,34,35,39,30,56,-99,36,48,49,45,34,47,30,52,39,57,47,41
01/01/2006,5,28,32,37,30,53,-99,27,46,-99,44,35,49,27,55,39,55,46,38
01/01/2006,6,24,30,33,29,50,-99,35,39,55,44,32,41,24,44,37,50,44,36
01/01/2006,7,27,28,31,28,44,-99,34,39,50,43,30,33,23,36,35,51,42,35
01/01/2006,8,26,28,28,26,44,-99,28,37,51,40,30,34,22,58,33,58,42,33
01/01/2006,9,33,27,26,28,59,-99,29,50,42,51,42,55,24,84,38,70,54,47
01/01/2006,10,77,56,33,40,106,-99,41,71,73,77,51,40,45,103,49,104,79,66
01/01/2006,11,68,70,38,54,96,-99,45,57,72,75,47,34,62,96,46,83,73,60
01/01/2006,12,29,34,26,61,39,-99,33,58,55,38,51,23,35,55,31,47,80,43
01/01/2006,13,20,32,13,44,18,-99,20,41,22,23,37,9,26,27,36,46,65,25
01/01/2006,14,20,35,15,22,15,-99,20,35,24,15,21,6,21,21,34,41,53,17
01/01/2006,15,26,31,22,31,25,-99,21,24,23,15,17,7,23,24,26,62,62,10
01/01/2006,16,21,26,23,25,46,-99,20,34,44,16,15,6,21,27,23,85,-99,10
01/01/2006,17,22,23,22,23,37,-99,24,31,39,14,16,5,24,28,22,97,-99,16
01/01/2006,18,32,37,28,31,49,-99,38,45,32,18,27,14,26,27,33,76,118,32
01/01/2006,19,53,71,39,48,50,-99,49,48,62,42,43,32,55,58,62,76,-99,34
01/01/2006,20,65,83,32,57,44,-99,75,54,61,35,54,46,66,65,72,88,-99,50
01/01/2006,21,69,69,43,69,34,-99,49,52,61,46,55,53,60,73,70,99,81,52
